user_id,method,tide,tlx
10,NoInstructions,LowTide,20
10,NoInstructions,LowTide,20
10,NoInstructions,LowTide,5
10,NoInstructions,LowTide,90
10,NoInstructions,LowTide,15
10,NoInstructions,LowTide,5
10,Imitation,LowTide,75
10,Imitation,LowTide,75
10,Imitation,LowTide,10
10,Imitation,LowTide,65
10,Imitation,LowTide,75
10,Imitation,LowTide,5
10,Gamification,LowTide,80
10,Gamification,LowTide,70
10,Gamification,LowTide,10
10,Gamification,LowTide,80
10,Gamification,LowTide,70
10,Gamification,LowTide,5
10,NoInstructions,HighTide,30
10,NoInstructions,HighTide,15
10,NoInstructions,HighTide,15
10,NoInstructions,HighTide,90
10,NoInstructions,HighTide,30
10,NoInstructions,HighTide,10
10,Imitation,HighTide,60
10,Imitation,HighTide,55
10,Imitation,HighTide,30
10,Imitation,HighTide,75
10,Imitation,HighTide,60
10,Imitation,HighTide,10
10,Gamification,HighTide,75
10,Gamification,HighTide,80
10,Gamification,HighTide,20
10,Gamification,HighTide,65
10,Gamification,HighTide,75
10,Gamification,HighTide,5
11,NoInstructions,LowTide,60
11,NoInstructions,LowTide,35
11,NoInstructions,LowTide,75
11,NoInstructions,LowTide,75
11,NoInstructions,LowTide,30
11,NoInstructions,LowTide,5
11,Imitation,LowTide,25
11,Imitation,LowTide,40
11,Imitation,LowTide,80
11,Imitation,LowTide,90
11,Imitation,LowTide,40
11,Imitation,LowTide,5
11,Gamification,LowTide,30
11,Gamification,LowTide,55
11,Gamification,LowTide,60
11,Gamification,LowTide,55
11,Gamification,LowTide,65
11,Gamification,LowTide,25
11,NoInstructions,HighTide,10
11,NoInstructions,HighTide,15
11,NoInstructions,HighTide,95
11,NoInstructions,HighTide,95
11,NoInstructions,HighTide,15
11,NoInstructions,HighTide,5
11,Imitation,HighTide,10
11,Imitation,HighTide,10
11,Imitation,HighTide,100
11,Imitation,HighTide,100
11,Imitation,HighTide,5
11,Imitation,HighTide,5
11,Gamification,HighTide,35
11,Gamification,HighTide,45
11,Gamification,HighTide,35
11,Gamification,HighTide,80
11,Gamification,HighTide,60
11,Gamification,HighTide,50
12,NoInstructions,LowTide,75
12,NoInstructions,LowTide,75
12,NoInstructions,LowTide,25
12,NoInstructions,LowTide,65
12,NoInstructions,LowTide,80
12,NoInstructions,LowTide,25
12,Imitation,LowTide,55
12,Imitation,LowTide,40
12,Imitation,LowTide,20
12,Imitation,LowTide,75
12,Imitation,LowTide,50
12,Imitation,LowTide,40
12,Gamification,LowTide,80
12,Gamification,LowTide,85
12,Gamification,LowTide,75
12,Gamification,LowTide,65
12,Gamification,LowTide,85
12,Gamification,LowTide,65
12,NoInstructions,HighTide,25
12,NoInstructions,HighTide,25
12,NoInstructions,HighTide,25
12,NoInstructions,HighTide,70
12,NoInstructions,HighTide,25
12,NoInstructions,HighTide,25
12,Imitation,HighTide,75
12,Imitation,HighTide,85
12,Imitation,HighTide,30
12,Imitation,HighTide,65
12,Imitation,HighTide,40
12,Imitation,HighTide,40
12,Gamification,HighTide,75
12,Gamification,HighTide,65
12,Gamification,HighTide,65
12,Gamification,HighTide,40
12,Gamification,HighTide,75
12,Gamification,HighTide,75
13,NoInstructions,LowTide,85
13,NoInstructions,LowTide,35
13,NoInstructions,LowTide,40
13,NoInstructions,LowTide,100
13,NoInstructions,LowTide,70
13,NoInstructions,LowTide,15
13,Imitation,LowTide,75
13,Imitation,LowTide,20
13,Imitation,LowTide,35
13,Imitation,LowTide,95
13,Imitation,LowTide,60
13,Imitation,LowTide,5
13,Gamification,LowTide,65
13,Gamification,LowTide,20
13,Gamification,LowTide,45
13,Gamification,LowTide,75
13,Gamification,LowTide,75
13,Gamification,LowTide,15
13,NoInstructions,HighTide,35
13,NoInstructions,HighTide,30
13,NoInstructions,HighTide,10
13,NoInstructions,HighTide,100
13,NoInstructions,HighTide,35
13,NoInstructions,HighTide,5
13,Imitation,HighTide,30
13,Imitation,HighTide,20
13,Imitation,HighTide,30
13,Imitation,HighTide,100
13,Imitation,HighTide,20
13,Imitation,HighTide,5
13,Gamification,HighTide,30
13,Gamification,HighTide,25
13,Gamification,HighTide,35
13,Gamification,HighTide,100
13,Gamification,HighTide,50
13,Gamification,HighTide,5
14,NoInstructions,LowTide,5
14,NoInstructions,LowTide,5
14,NoInstructions,LowTide,5
14,NoInstructions,LowTide,90
14,NoInstructions,LowTide,55
14,NoInstructions,LowTide,20
14,Imitation,LowTide,10
14,Imitation,LowTide,15
14,Imitation,LowTide,5
14,Imitation,LowTide,85
14,Imitation,LowTide,15
14,Imitation,LowTide,15
14,Gamification,LowTide,65
14,Gamification,LowTide,25
14,Gamification,LowTide,20
14,Gamification,LowTide,70
14,Gamification,LowTide,35
14,Gamification,LowTide,30
14,NoInstructions,HighTide,40
14,NoInstructions,HighTide,30
14,NoInstructions,HighTide,50
14,NoInstructions,HighTide,30
14,NoInstructions,HighTide,30
14,NoInstructions,HighTide,50
14,Imitation,HighTide,25
14,Imitation,HighTide,10
14,Imitation,HighTide,5
