unixTime,lslTime,ECG
1643274651993,214349.5354188,-180
1643274651993,214349.5354217,-149
1643274651993,214349.5354245,-110
1643274651993,214349.5354518,-81
1643274651993,214349.5354554,-43
1643274651993,214349.5354582,2
1643274651993,214349.535461,45
1643274651993,214349.5354639,96
1643274651993,214349.5354669,153
1643274651993,214349.5354724,204
1643274652031,214349.5354754,254
1643274652031,214349.5354792,303
1643274652031,214349.5354831,336
1643274652031,214349.535486,363
1643274652031,214349.5354908,394
1643274652031,214349.5354937,399
1643274652031,214349.5354966,353
1643274652031,214349.5355007,247
1643274652031,214349.5355036,110
1643274652031,214349.5355083,-19
1643274652079,214349.5355129,-117
1643274652079,214349.5355174,-175
1643274652079,214349.5355217,-214
1643274652079,214349.5355263,-240
1643274652079,214349.5355306,-247
1643274652079,214349.5355355,-230
1643274652079,214349.5355385,-218
1643274652079,214349.5355426,-211
1643274652079,214349.5355455,-202
1643274652079,214349.5355484,-189
1643274652119,214349.5355514,-175
1643274652119,214349.5355562,-161
1643274652119,214349.5355591,-146
1643274652119,214349.535562,-137
1643274652119,214349.535565,-129
1643274652119,214349.5355687,-127
1643274652119,214349.5355717,-125
1643274652119,214349.5355763,-113
1643274652119,214349.5355809,-105
1643274652119,214349.5355857,-103
1643274652164,214349.5355901,-101
1643274652164,214349.5355947,-98
1643274652164,214349.5355992,-98
1643274652164,214349.5356038,-98
1643274652164,214349.5356066,-105
1643274652164,214349.5356095,-113
1643274652164,214349.5356133,-120
1643274652164,214349.5356163,-122
1643274652164,214349.5356209,-113
1643274652164,214349.5356255,-108
1643274652207,214349.5356293,-105
1643274652207,214349.535633,-101
1643274652207,214349.5356359,-93
1643274652207,214349.5356388,-88
1643274652207,214349.5356434,-84
1643274652207,214349.5356478,-81
1643274652207,214349.5356525,-79
1643274652207,214349.5356567,-81
1643274652207,214349.5356615,-79
1643274652207,214350.0902778,-79
1643274652251,214350.0902923,-79
1643274652251,214350.090296,-79
1643274652251,214350.0903015,-86
1643274652251,214350.0903047,-96
1643274652251,214350.0903099,-101
1643274652251,214350.0903132,-105
1643274652251,214350.090318,-93
1643274652251,214350.0903213,-84
1643274652251,214350.0903259,-91
1643274652251,214350.090329,-67
1643274652300,214350.0903322,-7
1643274652300,214350.0903378,2
1643274652300,214350.090341,-50
1643274652300,214350.090346,-79
1643274652505,214350.0903494,-74
1643274652505,214350.0903525,-74
1643274652505,214350.0903555,-76
1643274652505,214350.0903584,-64
1643274652505,214350.0903614,-55
1643274652505,214350.0903642,-55
1643274652505,214350.0903672,-62
1643274652505,214350.0903701,-74
1643274652505,214350.090373,-7
1643274652505,214350.0903759,288
1643274652548,214350.0903789,909
1643274652548,214350.0903818,1921
1643274652548,214350.0903846,2977
1643274652548,214350.0903875,2883
1643274652548,214350.0903903,1111
1643274652548,214350.0903933,-461
1643274652548,214350.0903961,-355
1643274652548,214350.0903993,-14
1643274652548,214350.0904024,-327
1643274652548,214350.0904055,-420
1643274652590,214350.0904097,-257
1643274652590,214350.0904128,-290
1643274652590,214350.0904179,-322
1643274652590,214350.0904212,-242
1643274652590,214350.0904262,-216
1643274652590,214350.0904292,-214
1643274652590,214350.0904323,-173
1643274652590,214350.0904371,-141
1643274652590,214350.0904402,-122
1643274652590,214350.0904434,-88
1643274652632,214350.0904475,-52
1643274652632,214350.0904526,-24
1643274652632,214350.0904555,4
1643274652632,214350.0904586,38
1643274652632,214350.0904618,76
1643274652632,214350.0904894,122
1643274652632,214350.0904984,170
1643274652632,214350.090503,214
1643274652632,214350.0905081,254
1643274652632,214350.0905113,298
1643274652678,214350.0905146,334
1643274652678,214350.0905196,360
1643274652678,214350.0905243,384
1643274652678,214350.0905294,394
1643274652678,214350.090534,355
1643274652678,214350.0905388,254
1643274652678,214350.0905437,125
1643274652678,214350.0905486,4
1643274652678,214350.0905535,-91
1643274652678,214350.0905588,-153
1643274652721,214350.0905618,-187
1643274652721,214350.090565,-209
1643274652721,214350.0905704,-214
1643274652721,214350.0905736,-206
1643274652721,214350.0905767,-199
1643274652721,214350.0905808,-182
1643274652721,214350.090584,-168
1643274652721,214350.090588,-168
1643274652721,214350.5901885,-168
1643274652721,214350.5902008,-156
1643274652765,214350.5902042,-144
1643274652765,214350.5902072,-137
1643274652765,214350.5902114,-129
1643274652765,214350.5902144,-122
1643274652765,214350.5902172,-115
1643274652765,214350.5902201,-117
1643274652765,214350.5902365,-122
1643274652765,214350.5902417,-115
1643274652765,214350.5902447,-110
1643274652765,214350.5902476,-115
1643274652808,214350.5902504,-113
1643274652808,214350.5902533,-120
1643274652808,214350.5902572,-156
1643274652808,214350.5902601,-175
1643274653076,214350.5902629,-158
1643274653076,214350.5902657,-149
1643274653076,214350.5902684,-149
1643274653076,214350.590271,-144
1643274653076,214350.5902737,-141
1643274653076,214350.5902764,-137
1643274653076,214350.590279,-129
1643274653076,214350.5902817,-125
1643274653076,214350.5902844,-120
1643274653076,214350.590287,-110
1643274653114,214350.5902897,-103
1643274653114,214350.5902924,-98
1643274653114,214350.590295,-96
1643274653114,214350.5902976,-88
1643274653114,214350.5903003,-76
1643274653114,214350.5903029,-72
1643274653114,214350.5903056,-74
1643274653114,214350.5903082,-69
1643274653114,214350.590311,-64
1643274653114,214350.5903136,-60
1643274653165,214350.5903162,-52
1643274653165,214350.5903189,-43
1643274653165,214350.5903726,-38
1643274653165,214350.5903802,-52
1643274653165,214350.5903835,-72
1643274653165,214350.5903863,-76
1643274653165,214350.5903893,-69
1643274653165,214350.5903923,-62
1643274653165,214350.590395,-48
1643274653165,214350.5903983,-36
1643274653202,214350.5904026,-14
1643274653202,214350.5904058,31
1643274653202,214350.5904085,57
1643274653202,214350.5904111,21
1643274653202,214350.5904138,-24
1643274653202,214350.5904165,-24
1643274653202,214350.5904191,-7
1643274653202,214350.5904891,-9
1643274653202,214350.5905006,-14
1643274653202,214350.5905088,-2
1643274653243,214350.5905153,0
1643274653243,214350.5905183,-4
1643274653243,214350.590523,-14
1643274653243,214350.590526,33
1643274653243,214350.5905307,290
1643274653243,214350.5905337,860
1643274653243,214350.5905383,1791
1643274653243,214350.5905413,2844
1643274653243,214350.590546,2933
1643274653243,214350.5905489,1317
1643274653289,214350.5905562,-355
1643274653289,214350.5905611,-372
1643274653289,214350.590564,31
1643274653289,214350.590567,-250
1643274653289,214350.5905719,-389
1643274653289,214350.5905748,-228
1643274653289,214350.5905795,-247
1643274653289,214351.1401552,-293
1643274653289,214351.1401673,-216
1643274653289,214351.1401722,-180
1643274653326,214351.1401773,-189
1643274653326,214351.1401808,-156
1643274653326,214351.1401856,-122
1643274653326,214351.1401886,-134
1643274653326,214351.140193,-132
1643274653326,214351.140196,-84
1643274653326,214351.1401989,-36
1643274653326,214351.1402019,-9
1643274653326,214351.1402058,19
1643274653326,214351.1402087,57
1643274653370,214351.1402116,105
1643274653370,214351.1402145,153
1643274653370,214351.1402175,199
1643274653370,214351.1402223,252
1643274653667,214351.1402255,300
1643274653667,214351.1402312,331
1643274653667,214351.1402341,358
1643274653667,214351.1402368,387
1643274653667,214351.1402396,396
1643274653667,214351.1402423,367
1643274653667,214351.140245,295
1643274653667,214351.140295,175
1643274653667,214351.1403133,36
1643274653667,214351.1403198,-76
1643274653711,214351.1403232,-149
1643274653711,214351.1403267,-197
1643274653711,214351.1403296,-226
1643274653711,214351.1403324,-240
1643274653711,214351.1403352,-245
1643274653711,214351.140338,-242
1643274653711,214351.1403409,-230
1643274653711,214351.1403436,-221
1643274653711,214351.1403463,-214
1643274653711,214351.1403491,-199
1643274653752,214351.140352,-189
1643274653752,214351.1403561,-192
1643274653752,214351.1403589,-187
1643274653752,214351.1403617,-175
1643274653752,214351.1403645,-170
1643274653752,214351.1403675,-165
1643274653752,214351.1403704,-158
1643274653752,214351.1403733,-151
1643274653752,214351.1403761,-144
1643274653752,214351.1403788,-141
1643274653798,214351.1403816,-139
1643274653798,214351.1403843,-132
1643274653798,214351.1403871,-127
1643274653798,214351.1403899,-125
1643274653798,214351.1403926,-122
1643274653798,214351.1403953,-122
1643274653798,214351.1403981,-115
1643274653798,214351.1404017,-108
1643274653798,214351.1404047,-105
1643274653798,214351.1404084,-101
1643274653840,214351.1404144,-91
1643274653840,214351.140418,-88
1643274653840,214351.1404221,-88
1643274653840,214351.1405108,-81
1643274653840,214351.1405235,-72
1643274653840,214351.1405293,-69
