unixTime,lslTime,EDA
1643279230251,218928.0111419,11.52
1643279230251,218928.0111441,11.5
1643279230251,218928.0111462,11.52
1643279230251,218928.0111481,11.52
1643279230251,218928.0111502,11.52
1643279230251,218928.0111522,11.5
1643279230251,218928.0111543,11.5
1643279230251,218928.0111563,11.5
1643279230251,218928.0111581,11.52
1643279230251,218928.1848054,11.5
1643279230283,218928.1856141,11.5
1643279230283,218928.18575,11.5
1643279230283,218928.1857542,11.5
1643279230283,218928.1857566,11.5
1643279230283,218928.1857587,11.5
1643279230283,218928.185761,11.5
1643279230283,218928.1857632,11.5
1643279230283,218928.1857652,11.5
1643279230283,218928.1857672,11.5
1643279230283,218928.1857692,11.5
1643279230318,218928.1857713,11.5
1643279230318,218928.1857733,11.5
1643279230318,218928.1857753,11.5
1643279230318,218928.1857773,11.5
1643279230318,218928.323616,11.5
1643279230318,218928.3237815,11.5
1643279230318,218928.3237862,11.5
1643279230318,218928.3237895,11.5
1643279230318,218928.3238712,11.5
1643279230318,218928.3238749,11.5
1643279230347,218928.323877,11.5
1643279230347,218928.323879,11.5
1643279230515,218928.3238809,11.5
1643279230515,218928.3238828,11.5
1643279230515,218928.3238846,11.5
1643279230515,218928.3238865,11.5
1643279230515,218928.3238883,11.5
1643279230515,218928.3238901,11.5
1643279230515,218928.3238919,11.5
1643279230515,218928.4695281,11.5
1643279230515,218928.470008,11.5
1643279230515,218928.4700236,11.5
1643279230550,218928.470034,11.5
1643279230550,218928.4700384,11.5
1643279230550,218928.4700417,11.5
1643279230550,218928.4704249,11.5
1643279230550,218928.4704285,11.5
1643279230550,218928.4704306,11.5
1643279230550,218928.4704324,11.5
1643279230550,218928.4704344,11.5
1643279230550,218928.4704365,11.47
1643279230550,218928.4704383,11.47
1643279230583,218928.4704404,11.5
1643279230583,218928.4704423,11.47
1643279230583,218928.615418,11.47
1643279230583,218928.6155824,11.47
1643279230583,218928.6155886,11.5
1643279230583,218928.6156017,11.47
1643279230583,218928.6156624,11.47
1643279230583,218928.6156667,11.47
1643279230583,218928.61567,11.47
1643279230583,218928.6156728,11.47
1643279230616,218928.6156748,11.47
1643279230616,218928.615678,11.47
1643279230833,218928.6156801,11.47
1643279230833,218928.6156819,11.47
1643279230833,218928.6156838,11.47
1643279230833,218928.6156856,11.47
1643279230833,218928.6156885,11.47
1643279230833,218928.7710423,11.47
1643279230833,218928.7712525,11.47
1643279230833,218928.7712681,11.47
1643279230833,218928.7712774,11.47
1643279230833,218928.7712814,11.47
1643279230873,218928.7712849,11.47
1643279230873,218928.7712885,11.47
1643279230873,218928.7713312,11.47
1643279230873,218928.7713362,11.47
1643279230873,218928.77134,11.47
1643279230873,218928.7713757,11.47
1643279230873,218928.7713799,11.47
1643279230873,218928.7713821,11.47
1643279230873,218928.7713852,11.47
1643279230873,218928.7713874,11.47
1643279230910,218928.9235884,11.47
1643279230910,218928.9237547,11.47
1643279230910,218928.9237603,11.45
1643279230910,218928.9237641,11.47
1643279230910,218928.9238442,11.45
1643279230910,218928.9238463,11.47
1643279230910,218928.9238483,11.45
1643279230910,218928.9238501,11.47
1643279230910,218928.923852,11.47
1643279230910,218928.9238538,11.45
1643279230948,218928.9238558,11.45
1643279230948,218928.9238577,11.45
1643279231101,218928.9238595,11.47
1643279231101,218928.9238613,11.45
1643279231101,218928.9238632,11.45
1643279231101,218929.0730309,11.45
1643279231101,218929.0734085,11.45
1643279231101,218929.0734135,11.45
1643279231101,218929.0734172,11.45
1643279231101,218929.073487,11.45
1643279231101,218929.0734919,11.45
1643279231101,218929.0734957,11.45
1643279231141,218929.0734995,11.45
1643279231141,218929.0735033,11.45
1643279231141,218929.0735068,11.45
1643279231141,218929.0735434,11.45
1643279231141,218929.0735472,11.45
1643279231141,218929.0735493,11.45
1643279231141,218929.0735525,11.45
1643279231141,218929.0735547,11.45
1643279231141,218929.2008415,11.45
1643279231141,218929.2009839,11.45
1643279231176,218929.2009888,11.45
1643279231176,218929.200992,11.45
1643279231176,218929.2009952,11.45
1643279231176,218929.2009985,11.45
1643279231176,218929.2010018,11.45
1643279231176,218929.2010043,11.45
1643279231176,218929.2010363,11.45
1643279231176,218929.2010402,11.45
1643279231176,218929.2010424,11.45
1643279231176,218929.2010443,11.45
1643279231208,218929.2010462,11.45
1643279231208,218929.2010481,11.45
1643279231572,218929.2010499,11.45
1643279231572,218929.3625971,11.45
1643279231572,218929.36274,11.45
1643279231572,218929.3627455,11.45
1643279231572,218929.3627492,11.45
1643279231572,218929.3627529,11.45
1643279231572,218929.3627558,11.45
1643279231572,218929.3628985,11.45
1643279231572,218929.3629042,11.45
1643279231572,218929.3629064,11.45
1643279231607,218929.3629195,11.45
1643279231607,218929.3629249,11.43
1643279231607,218929.3629272,11.45
1643279231607,218929.3629292,11.43
1643279231607,218929.362931,11.43
1643279231607,218929.3629329,11.43
1643279231607,218929.5103486,11.43
1643279231607,218929.5105121,11.43
1643279231607,218929.5105171,11.43
1643279231607,218929.5105208,11.43
1643279231639,218929.5108392,11.43
1643279231639,218929.5108445,11.43
1643279231639,218929.5108473,11.43
1643279231639,218929.5108493,11.43
1643279231639,218929.5108512,11.43
1643279231639,218929.5108532,11.43
1643279231639,218929.5108551,11.43
1643279231639,218929.5108569,11.43
1643279231639,218929.5108587,11.43
1643279231639,218929.5108606,11.43
1643279231674,218929.5108623,11.43
1643279231674,218929.6708329,11.43
1643279231887,218929.6709993,11.43
1643279231887,218929.6710043,11.43
1643279231887,218929.671008,11.43
1643279231887,218929.6710815,11.43
1643279231887,218929.6710838,11.43
1643279231887,218929.6710858,11.43
1643279231887,218929.6710878,11.43
1643279231887,218929.6710897,11.43
1643279231887,218929.6710917,11.43
1643279231887,218929.6710935,11.43
1643279231917,218929.6710955,11.43
1643279231917,218929.6710974,11.43
1643279231917,218929.6710991,11.43
1643279231917,218929.671101,11.43
1643279231917,218929.8046382,11.43
1643279231917,218929.8046645,11.43
1643279231917,218929.8046694,11.43
1643279231917,218929.8046718,11.43
1643279231917,218929.8046747,11.4
1643279231917,218929.8046769,11.43
1643279231957,218929.804679,11.43
1643279231957,218929.8046809,11.43
1643279231957,218929.804683,11.4
1643279231957,218929.8046851,11.4
1643279231957,218929.8046875,11.43
1643279231957,218929.805073,11.4
