unixTime,lslTime,EDA
1643279717149,219414.9340118,10.45
1643279717149,219414.9340136,10.45
1643279717149,219414.9340155,10.45
1643279717149,219414.9340175,10.45
1643279717149,219414.9340194,10.45
1643279717149,219414.9340213,10.45
1643279717149,219414.9340231,10.45
1643279717149,219414.9340249,10.45
1643279717149,219414.9340267,10.45
1643279717149,219414.9340285,10.45
1643279717174,219415.0904906,10.45
1643279717174,219415.0906497,10.45
1643279717174,219415.090654,10.45
1643279717174,219415.0906578,10.45
1643279717174,219415.0907248,10.45
1643279717174,219415.0907271,10.45
1643279717174,219415.0907291,10.45
1643279717174,219415.0907311,10.45
1643279717174,219415.090733,10.45
1643279717174,219415.0907348,10.45
1643279717198,219415.0907367,10.45
1643279717198,219415.0907385,10.45
1643279717198,219415.0907405,10.45
1643279717198,219415.0907423,10.45
1643279717198,219415.0907442,10.45
1643279717198,219415.2486675,10.45
1643279717198,219415.2490937,10.45
1643279717198,219415.2490977,10.45
1643279717198,219415.2491,10.45
1643279717198,219415.2491021,10.45
1643279717231,219415.2491053,10.45
1643279717231,219415.2491093,10.45
1643279717450,219415.2491115,10.45
1643279717450,219415.2491148,10.45
1643279717450,219415.2491169,10.45
1643279717450,219415.2491202,10.45
1643279717450,219415.2491223,10.45
1643279717450,219415.2491255,10.45
1643279717450,219415.2491287,10.45
1643279717450,219415.2491321,10.45
1643279717450,219415.3745317,10.45
1643279717450,219415.3747052,10.45
1643279717475,219415.374711,10.45
1643279717475,219415.3747149,10.45
1643279717475,219415.3747185,10.45
1643279717475,219415.3748101,10.45
1643279717475,219415.374813,10.45
1643279717475,219415.374815,10.45
1643279717475,219415.3750708,10.45
1643279717475,219415.3750814,10.45
1643279717475,219415.3750843,10.45
1643279717475,219415.3750865,10.45
1643279717511,219415.3750885,10.45
1643279717511,219415.3750905,10.45
1643279717511,219415.3750924,10.45
1643279717511,219415.5465183,10.45
1643279717511,219415.5465273,10.45
1643279717511,219415.5467726,10.45
1643279717511,219415.5467766,10.45
1643279717511,219415.5467884,10.45
1643279717511,219415.5467909,10.45
1643279717511,219415.5467929,10.45
1643279717531,219415.5467948,10.45
1643279717531,219415.5467967,10.45
1643279717726,219415.5467986,10.42
1643279717726,219415.5468005,10.45
1643279717726,219415.5468023,10.45
1643279717726,219415.5468041,10.45
1643279717726,219415.546806,10.45
1643279717726,219415.5468082,10.45
1643279717726,219415.6911402,10.42
1643279717726,219415.6911481,10.45
1643279717726,219415.6911521,10.45
1643279717726,219415.6911545,10.42
1643279717750,219415.6915542,10.42
1643279717750,219415.6915581,10.45
1643279717750,219415.6915617,10.42
1643279717750,219415.6916314,10.42
1643279717750,219415.6916354,10.42
1643279717750,219415.6916388,10.45
1643279717750,219415.6916424,10.42
1643279717750,219415.6916844,10.42
1643279717750,219415.6916881,10.42
1643279717750,219415.6917931,10.45
1643279717774,219415.6917957,10.42
1643279717774,219415.8218356,10.42
1643279717774,219415.8218433,10.42
1643279717774,219415.8218464,10.42
1643279717774,219415.8218488,10.42
1643279717774,219415.8218511,10.42
1643279717774,219415.8218534,10.42
1643279717774,219415.8218562,10.42
1643279717774,219415.8218594,10.42
1643279717774,219415.8218618,10.42
1643279717799,219415.8218639,10.42
1643279717799,219415.8218659,10.42
1643279718050,219415.8218679,10.42
1643279718050,219415.8218706,10.42
1643279718050,219415.8221658,10.42
1643279718050,219415.8221701,10.42
1643279718050,219415.981758,10.42
1643279718050,219415.9817659,10.42
1643279718050,219415.9817692,10.42
1643279718050,219415.9820761,10.42
1643279718050,219415.9820807,10.42
1643279718050,219415.982083,10.42
1643279718074,219415.9820851,10.42
1643279718074,219415.982087,10.42
1643279718074,219415.982089,10.42
1643279718074,219415.9820913,10.42
1643279718074,219415.9820933,10.42
1643279718074,219415.9820953,10.42
1643279718074,219415.9820972,10.42
1643279718074,219415.9820992,10.42
1643279718074,219415.9821012,10.42
1643279718074,219416.1370062,10.42
1643279718100,219416.1374246,10.4
1643279718100,219416.1374292,10.4
1643279718100,219416.137433,10.4
1643279718100,219416.137507,10.42
1643279718100,219416.1375112,10.4
1643279718100,219416.1375149,10.4
1643279718100,219416.1375655,10.4
1643279718100,219416.1375919,10.42
1643279718100,219416.1375959,10.4
1643279718100,219416.1375993,10.4
1643279718126,219416.1376954,10.42
1643279718126,219416.1376977,10.42
1643279718326,219416.1376996,10.4
1643279718326,219416.1377016,10.4
1643279718326,219416.258218,10.4
1643279718326,219416.2586652,10.4
1643279718326,219416.2604448,10.4
1643279718326,219416.2604495,10.4
1643279718326,219416.2604518,10.4
1643279718326,219416.2604542,10.4
1643279718326,219416.2604566,10.4
1643279718326,219416.2604589,10.4
1643279718350,219416.2604609,10.4
1643279718350,219416.2604629,10.42
1643279718350,219416.2604649,10.4
1643279718350,219416.2604669,10.4
1643279718350,219416.2604688,10.4
1643279718350,219416.2604707,10.4
1643279718350,219416.2604727,10.4
1643279718350,219416.4271585,10.4
1643279718350,219416.4273596,10.4
1643279718350,219416.4273667,10.42
1643279718374,219416.4273692,10.4
1643279718374,219416.4274937,10.4
1643279718374,219416.4274963,10.4
1643279718374,219416.4274983,10.4
1643279718374,219416.4275003,10.4
1643279718374,219416.4275023,10.4
1643279718374,219416.4275043,10.4
1643279718374,219416.4275062,10.4
1643279718374,219416.4275081,10.4
1643279718374,219416.4275102,10.4
1643279718399,219416.4275121,10.4
1643279718399,219416.4275141,10.4
1643279718774,219416.5856434,10.4
1643279718774,219416.5856518,10.4
1643279718774,219416.5856561,10.4
1643279718774,219416.5856586,10.4
1643279718774,219416.585662,10.4
1643279718774,219416.5856642,10.4
1643279718774,219416.5861641,10.4
1643279718774,219416.5861705,10.4
1643279718774,219416.5861749,10.4
1643279718774,219416.5861786,10.38
1643279718799,219416.5862477,10.4
1643279718799,219416.5862519,10.4
1643279718799,219416.5862555,10.4
1643279718799,219416.5865063,10.38
1643279718799,219416.5865106,10.4
1643279718799,219416.7540641,10.4
1643279718799,219416.7540781,10.38
1643279718799,219416.7540819,10.38
1643279718799,219416.7542961,10.38
1643279718799,219416.7543016,10.38
1643279718825,219416.7543065,10.38
1643279718825,219416.7543122,10.38
1643279718825,219416.7543144,10.38
