unixTime,lslTime,EDA
1643294445743,234143.5563482,6.1
1643294445743,234143.5563631,6.1
1643294445743,234143.5564043,6.08
1643294445743,234143.5564228,6.08
1643294445743,234143.5564881,6.08
1643294445743,234143.5565528,6.08
1643294445743,234143.5565569,6.08
1643294445743,234143.556559,6.08
1643294445743,234143.5565611,6.08
1643294445743,234143.5565631,6.08
1643294445768,234143.5565656,6.08
1643294445768,234143.5565681,6.08
1643294445768,234143.55657,6.08
1643294445768,234143.702061,6.08
1643294445768,234143.7020693,6.08
1643294445768,234143.7020731,6.08
1643294445768,234143.7021564,6.08
1643294445768,234143.7021621,6.08
1643294445768,234143.7021665,6.08
1643294445768,234143.7021725,6.08
1643294445792,234143.7024054,6.08
1643294445792,234143.702409,6.08
1643294445792,234143.7024111,6.08
1643294445792,234143.7024132,6.08
1643294445792,234143.7024152,6.08
1643294445792,234143.7024171,6.08
1643294445792,234143.702419,6.08
1643294445792,234143.7024208,6.05
1643294445792,234143.8402034,6.05
1643294445792,234143.8407352,6.08
1643294445816,234143.8407419,6.05
1643294445816,234143.840746,6.05
1643294446066,234143.8408885,6.05
1643294446066,234143.8408929,6.05
1643294446066,234143.8408952,6.05
1643294446066,234143.8408972,6.05
1643294446066,234143.8408992,6.05
1643294446066,234143.8409012,6.05
1643294446066,234143.8409037,6.05
1643294446066,234143.8409055,6.05
1643294446066,234143.8409076,6.05
1643294446066,234143.8409098,6.05
1643294446091,234143.8409117,6.05
1643294446091,234143.9968061,6.05
1643294446091,234143.9968158,6.05
1643294446091,234143.9968197,6.05
1643294446091,234143.9968238,6.05
1643294446091,234143.9968276,6.05
1643294446091,234143.9970265,6.05
1643294446091,234143.9970325,6.08
1643294446091,234143.9970364,6.05
1643294446091,234143.9971235,6.05
1643294446116,234143.9971275,6.05
1643294446116,234143.9971297,6.05
1643294446116,234143.9971319,6.05
1643294446116,234143.9971341,6.05
1643294446116,234143.997136,6.05
1643294446116,234143.997138,6.05
1643294446116,234144.1663964,6.05
1643294446116,234144.1664593,6.05
1643294446116,234144.1664647,6.05
1643294446116,234144.166468,6.05
1643294446141,234144.1664712,6.05
1643294446141,234144.1664734,6.05
1643294446349,234144.1664766,6.05
1643294446349,234144.1664786,6.05
1643294446349,234144.1664816,6.05
1643294446349,234144.1664836,6.05
1643294446349,234144.1665115,6.05
1643294446349,234144.1665135,6.05
1643294446349,234144.1665153,6.05
1643294446349,234144.1665171,6.05
1643294446349,234144.1665189,6.05
1643294446349,234144.2913541,6.05
1643294446365,234144.2915203,6.05
1643294446365,234144.2915256,6.05
1643294446365,234144.2915295,6.05
1643294446365,234144.2915332,6.05
1643294446365,234144.2915364,6.05
1643294446365,234144.2916122,6.05
1643294446365,234144.2916146,6.05
