unixTime,lslTime,ECG
1643294521047,234217.8489835,398
1643294521047,234217.8489862,431
1643294521047,234217.8489889,445
1643294521047,234217.8489916,482
1643294521047,234217.8489943,534
1643294521047,234217.848997,556
1643294521047,234217.8489997,551
1643294521047,234217.8490048,530
1643294521047,234217.8490098,487
1643294521047,234217.8490145,421
1643294521072,234217.8490192,327
1643294521072,234217.8490234,207
1643294521072,234217.849031,75
1643294521072,234217.8490355,-32
1643294521072,234217.8490395,-108
1643294521072,234217.8490423,-164
1643294521072,234217.8490451,-200
1643294521072,234217.8490478,-207
1643294521072,234217.8490509,-216
1643294521072,234217.8490552,-237
1643294521096,234217.8490581,-237
1643294521096,234217.849063,-207
1643294521096,234217.8490658,-195
1643294521096,234217.8490687,-190
1643294521096,234217.8490734,-148
1643294521096,234217.8490781,-131
1643294521096,234217.8490828,-155
1643294521096,234217.8490872,-131
1643294521096,234217.8490919,-101
1643294521096,234217.8490962,-115
1643294521124,234217.8491009,-120
1643294521124,234217.8491059,-89
1643294521124,234217.8491105,-77
1643294521124,234217.8491134,-87
1643294521124,234217.8491176,-68
1643294521124,234217.8491225,-42
1643294521124,234217.8491261,-49
1643294521124,234217.8491315,-54
1643294521124,234217.8491348,-49
1643294521124,234217.8491403,-73
1643294521146,234217.8491445,-89
1643294521146,234217.8491492,-82
1643294521146,234217.8491519,-73
1643294521146,234217.8491549,-56
1643294521146,234217.8491595,-35
1643294521146,234217.8491624,-30
1643294521146,234217.8491653,-32
1643294521146,234217.8491695,-40
1643294521146,234217.8491725,-42
1643294521146,234217.8491771,-37
1643294521171,234217.8491799,-32
1643294521171,234217.8491848,-37
1643294521171,234217.8491886,-40
1643294521171,234217.8491933,-30
1643294521171,234217.8491963,-7
1643294521171,234217.8492009,14
1643294521171,234217.8492037,-4
1643294521171,234217.8492066,-44
1643294521171,234217.8492114,-54
1643294521171,234217.8492158,-37
1643294521195,234217.8492205,4
1643294521195,234218.3497121,49
1643294521195,234218.3497251,32
1643294521195,234218.3497299,-16
1643294521195,234218.3497356,-16
1643294521195,234218.3497401,4
1643294521195,234218.3497439,2
1643294521195,234218.3497468,4
1643294521195,234218.3497497,30
1643294521195,234218.3497527,44
1643294521221,234218.3497555,42
1643294521221,234218.3497582,47
1643294521221,234218.3497609,68
1643294521221,234218.3497636,63
1643294521221,234218.3497663,9
1643294521221,234218.349769,-37
1643294521221,234218.3497718,-37
1643294521221,234218.3497745,-44
1643294521221,234218.3497772,-73
1643294521221,234218.3497799,-75
1643294521238,234218.3497826,-58
1643294521238,234218.3497862,-51
1643294521238,234218.3497891,-49
1643294521238,234218.349792,-14
1643294521238,234218.3497949,134
1643294521238,234218.3498002,475
1643294521238,234218.349803,815
1643294521238,234218.3498059,657
1643294521238,234218.3498088,-122
1643294521238,234218.3498116,-909
1643294521254,234218.3498147,-954
1643294521254,234218.3498175,-414
1643294521254,234218.3498205,-80
1643294521254,234218.3498242,-54
1643294521254,234218.3498272,4
1643294521254,234218.3498318,49
1643294521254,234218.3498363,18
1643294521254,234218.3498408,16
1643294521254,234218.3498452,47
1643294521254,234218.3498481,73
1643294521272,234218.349851,89
1643294521272,234218.3498562,91
1643294521272,234218.3498591,103
1643294521272,234218.3498619,131
1643294521272,234218.3498648,146
1643294521272,234218.3498677,146
1643294521272,234218.3498706,155
1643294521272,234218.3498735,188
1643294521272,234218.3498763,226
1643294521272,234218.3498793,254
1643294521288,234218.3498822,280
1643294521288,234218.349885,303
1643294521288,234218.3498878,360
1643294521288,234218.3498919,431
1643294521288,234218.3498948,438
1643294521288,234218.3498976,421
1643294521288,234218.3499005,440
1643294521288,234218.3499035,433
1643294521288,234218.3499074,374
1643294521288,234218.3499103,299
1643294521304,234218.3499131,204
1643294521304,234218.3499161,89
1643294521304,234218.3499199,-16
1643294521304,234218.3499228,-106
1643294521304,234218.3499266,-193
1643294521304,234218.3499315,-259
1643294521304,234218.3499343,-275
1643294521304,234218.3499371,-259
1643294521304,234218.34994,-259
1643294521304,234218.3499438,-254
1643294521321,234218.3499467,-233
1643294521321,234218.3499515,-230
1643294521321,234218.3499552,-247
1643294521321,234218.349958,-242
1643294521321,234218.9496961,-216
1643294521321,234218.9497091,-197
1643294521321,234218.9497141,-188
1643294521321,234218.9497191,-195
1643294521321,234218.949722,-212
1643294521321,234218.9497251,-183
1643294521338,234218.94973,-124
1643294521338,234218.9497347,-115
1643294521404,234218.9497397,-162
1643294521404,234218.9497426,-193
1643294521404,234218.9497456,-169
1643294521404,234218.9497485,-141
1643294521404,234218.9497514,-148
1643294521404,234218.9497542,-160
1643294521404,234218.949757,-157
1643294521404,234218.94976,-153
