QuestionType;Question;QuestionID;Answer
radio;In the computer generated world I had a sense of 'being there':;q1;5
radio;Somehow I felt that the virtual world surrounded me...;q2;5
radio;I felt like I was just perceiving pictures...;q3;3
radio;I did not feel present in the virtual space...;q4;5
radio;I had a sense of acting in the virtual space, rather than operating something from outside...;q5;6
radio;I felt present in the virtual space...;q6;5
radio;How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?;q7;4
radio;I was not aware of my real environment...;q8;3
radio;I still paid attention to the real environment...;q9;5
radio;I was completely captivated by the virtual world...;q10;3
radio;How real did the virtual world seem to you?;q11;5
radio;How much did your experience in the virtual environment seem consistent with your real world experience?;q12;5
radio;How real did the virtual world seem to you?;q13;4
radio;The virtual world seemed more realistic than the real world...;q14;1

