pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643287195771,BeamEnd_Target,-4.243707,0.1226889,-0.000957787,270.3375,147.7778,30.82435,
0,1643287195890,BeamEnd_Target,-4.243637,0.1227289,-0.0008577704,270.3298,144.2345,34.37622,
0,1643287195991,BeamEnd_Target,-4.243634,0.1226924,-0.0008810163,270.334,145.2906,33.3245,
0,1643287196116,BeamEnd_Target,-4.243729,0.1226223,-0.0008693114,270.338,148.507,30.09671,
0,1643287196241,BeamEnd_Target,-4.243654,0.1227653,-0.0009277835,270.3444,148.5012,30.11176,
0,1643287196341,BeamEnd_Target,-4.243768,0.1227968,-0.0008843318,270.35,146.7419,31.86072,
0,1643287196465,BeamEnd_Target,-4.243674,0.1227914,-0.000800617,270.3494,147.7693,30.83563,
0,1643287196568,BeamEnd_Target,-4.243635,0.1227884,-0.0009388775,270.346,147.0878,31.51707,
0,1643287196691,BeamEnd_Target,-4.243681,0.1226285,-0.0008853972,270.3539,147.3937,31.21002,
0,1643287196793,BeamEnd_Target,-4.243831,0.1227005,-0.000954248,270.3386,149.7434,28.86064,
0,1643287196916,BeamEnd_Target,-4.243755,0.1227401,-0.0008419082,270.346,148.0683,30.54073,
0,1643287197017,BeamEnd_Target,-4.243697,0.1228601,-0.0007285327,270.3572,146.1796,32.42988,
0,1643287197143,BeamEnd_Target,-4.243844,0.1228481,-0.000988394,270.3572,146.8356,31.77132,
0,1643287197268,BeamEnd_Target,-4.243772,0.1227382,-0.0008627623,270.3533,147.3513,31.25328,
0,1643287197391,BeamEnd_Target,-4.24368,0.1226688,-0.001020424,270.3528,147.743,30.87518,
0,1643287197491,BeamEnd_Target,-4.243785,0.1228665,-0.00090684,270.3769,149.6857,28.93173,
0,1643287197591,BeamEnd_Target,-4.24363,0.1227303,-0.0008024052,270.3555,149.2206,29.38231,
0,1643287197715,BeamEnd_Target,-4.243612,0.1228914,-0.0009219795,270.3583,151.2124,27.40465,
0,1643287197842,BeamEnd_Target,-4.243855,0.1226756,-0.0009099394,270.3604,148.1243,30.47918,
0,1643287197966,BeamEnd_Target,-4.243709,0.1227636,-0.0008115023,270.3555,148.6106,29.99128,
0,1643287198066,BeamEnd_Target,-4.243776,0.1227878,-0.000909701,270.3599,148.061,30.5495,
0,1643287198191,BeamEnd_Target,-4.243677,0.1227191,-0.0009147823,270.3615,147.9866,30.62173,
0,1643287198291,BeamEnd_Target,-4.243752,0.1226908,-0.0007666498,270.3533,147.1812,31.44219,
0,1643287198392,BeamEnd_Target,-4.243768,0.1227801,-0.0007782951,270.3599,146.2845,32.33208,
0,1643287198515,BeamEnd_Target,-4.243673,0.1227148,-0.0008915439,270.3674,145.3834,33.23605,
0,1643287198615,BeamEnd_Target,-4.243772,0.1227724,-0.0008199364,270.3685,146.0253,32.57894,
0,1643287198741,BeamEnd_Target,-4.243653,0.1230306,-0.0008786768,270.3594,146.7944,31.80552,
0,1643287198867,BeamEnd_Target,-4.243709,0.1228597,-0.0008801147,270.3572,146.2715,32.3259,
0,1643287198991,BeamEnd_Target,-4.24377,0.1228355,-0.0007714629,270.3717,146.7991,31.797,
0,1643287199091,BeamEnd_Target,-4.243797,0.1228181,-0.0007990748,270.3658,146.7305,31.85637,
0,1643287199191,BeamEnd_Target,-4.243754,0.1228173,-0.0008928925,270.3539,146.7937,31.8049,
0,1643287199291,BeamEnd_Target,-4.243745,0.1227191,-0.0008686632,270.3588,147.539,31.04593,
0,1643287199416,BeamEnd_Target,-4.243812,0.1227436,-0.0008086935,270.3674,147.1965,31.39986,
0,1643287199542,BeamEnd_Target,-4.243808,0.1226737,-0.0008261651,270.3577,147.3467,31.24962,
0,1643287199667,BeamEnd_Target,-4.243791,0.1227771,-0.0009508356,270.3539,147.6153,30.98895,
0,1643287199767,BeamEnd_Target,-4.243704,0.1227237,-0.0008397028,270.3626,147.3957,31.20931,
0,1643287199867,BeamEnd_Target,-4.243785,0.1226629,-0.0008431599,270.3528,148.1253,30.4765,
0,1643287199991,BeamEnd_Target,-4.243617,0.1227655,-0.0008430481,270.3539,150.2079,28.39653,
0,1643287200091,BeamEnd_Target,-4.243745,0.1227582,-0.0007735789,270.3599,148.4988,30.09896,
0,1643287200192,BeamEnd_Target,-4.243813,0.1227103,-0.0009275749,270.3588,150.2435,28.35707,
0,1643287200291,BeamEnd_Target,-4.243894,0.1228913,-0.0008543432,270.3632,148.3949,30.20332,
0,1643287200391,BeamEnd_Target,-4.243744,0.1227769,-0.0009681359,270.3712,147.6388,30.94847,
0,1643287200492,BeamEnd_Target,-4.243875,0.1227807,-0.001027822,270.3615,147.5401,31.06453,
0,1643287200595,BeamEnd_Target,-4.243797,0.1227787,-0.0008324683,270.3539,146.4893,32.11973,
0,1643287200716,BeamEnd_Target,-4.24388,0.1226799,-0.0009048358,270.3604,145.1275,33.48149,
0,1643287200841,BeamEnd_Target,-4.243766,0.122767,-0.0007793829,270.3594,145.1815,33.43709,
0,1643287200965,BeamEnd_Target,-4.243744,0.1226833,-0.0008179173,270.3621,146.4689,32.15137,
0,1643287201066,BeamEnd_Target,-4.243726,0.1227273,-0.001035221,270.3615,144.705,33.91012,
0,1643287201191,BeamEnd_Target,-4.243846,0.1227878,-0.0007801726,270.3653,142.9613,35.64142,
0,1643287201293,BeamEnd_Target,-4.243763,0.1227813,-0.0008420572,270.3696,143.6529,34.9508,
0,1643287201393,BeamEnd_Target,-4.243834,0.1227638,-0.0009440631,270.369,145.4448,33.15878,
0,1643287201516,BeamEnd_Target,-4.243775,0.1226616,-0.0008949339,270.3544,148.1843,30.40999,
0,1643287201617,BeamEnd_Target,-4.243749,0.1226966,-0.0009054914,270.368,149.336,29.26823,
0,1643287201741,BeamEnd_Target,-4.243834,0.1228372,-0.0007978454,270.3588,150.2128,28.3921,
0,1643287201865,BeamEnd_Target,-4.243743,0.1225769,-0.0009392351,270.3642,149.9356,28.67042,
0,1643287201965,BeamEnd_Target,-4.243699,0.1227876,-0.0008857176,270.3599,149.1404,29.47757,
0,1643287202066,BeamEnd_Target,-4.243773,0.1227063,-0.0007583648,270.3588,147.7298,30.88279,
0,1643287202191,BeamEnd_Target,-4.243823,0.1228622,-0.0009177178,270.3632,148.0637,30.54994,
0,1643287202292,BeamEnd_Target,-4.243638,0.1228435,-0.0007946119,270.3658,148.6766,29.92926,
0,1643287202415,BeamEnd_Target,-4.243697,0.1229072,-0.0009224266,270.361,146.4089,32.19415,
0,1643287202516,BeamEnd_Target,-4.243785,0.1229108,-0.000786379,270.3615,146.6277,31.98231,
0,1643287202616,BeamEnd_Target,-4.24381,0.1227301,-0.0008243844,270.3615,146.4256,32.19139,
0,1643287202741,BeamEnd_Target,-4.243702,0.1227927,-0.0008293986,270.355,148.1008,30.52291,
0,1643287202865,BeamEnd_Target,-4.243955,0.1229085,-0.0008438155,270.355,149.1995,29.41568,
0,1643287202965,BeamEnd_Target,-4.2438,0.1229708,-0.0009158999,270.368,149.7369,28.86401,
0,1643287203066,BeamEnd_Target,-4.243752,0.122784,-0.0008218437,270.369,149.048,29.56373,
0,1643287203190,BeamEnd_Target,-4.243834,0.1228592,-0.0009600595,270.3572,149.2175,29.38422,
0,1643287203291,BeamEnd_Target,-4.243877,0.1228735,-0.0009888634,270.3533,148.6289,29.9766,
0,1643287203416,BeamEnd_Target,-4.243884,0.1226019,-0.000817515,270.3449,147.1884,31.41007,
0,1643287203516,BeamEnd_Target,-4.243785,0.1226349,-0.0008435696,270.3494,145.9795,32.63247,
0,1643287203631,BeamEnd_Target,-4.243937,0.1227605,-0.0009079129,270.361,145.386,33.21339,
0,1643287203740,BeamEnd_Target,-4.243834,0.1227371,-0.000719212,270.3669,144.7508,33.86135,
0,1643287203840,BeamEnd_Target,-4.2438,0.1228265,-0.0007718503,270.3727,145.4206,33.17451,
