timestamp;foot;position
1643564475620;RightFoot;0.05570252
1643564478156;LeftFoot;0.09961127
1643564478156;RightFoot;0.09961127
1643564478392;RightFoot;0.1042517
1643564478456;RightFoot;0.1032914
1643564479588;RightFoot;0.1608445
1643564480421;LeftFoot;0.1867491
1643564482138;LeftFoot;0.2167226
1643564482354;RightFoot;0.2726605
1643564482953;RightFoot;0.2680006
1643564483085;LeftFoot;0.2850115
1643564483323;LeftFoot;0.3306895
1643564484286;RightFoot;0.3780002
1643564485421;LeftFoot;0.4096734
1643564487018;RightFoot;0.4915495
1643564488285;LeftFoot;0.497986
1643564489653;RightFoot;0.6064255
1643564491618;LeftFoot;0.6025346
1643564493251;RightFoot;0.718244
1643564493850;LeftFoot;0.730588
1643564493984;LeftFoot;0.7748796
1643564494117;LeftFoot;0.7754201
1643564495083;RightFoot;0.8371406
1643564495884;LeftFoot;0.8677531
1643564496116;LeftFoot;0.8924488
1643564497816;RightFoot;0.9742177
1643564499051;RightFoot;0.07822394
1643564499117;RightFoot;0.0773043
1643564499222;RightFoot;0.06160653
1643564503065;RightFoot;-0.01364279
1643564503498;RightFoot;-0.01374209
1643564503698;RightFoot;-0.01377261
1643564504567;RightFoot;0.04305881
1643564504834;RightFoot;0.04302889
1643564505533;LeftFoot;0.07952118
1643564505667;LeftFoot;0.09101433
1643564507199;LeftFoot;0.101464
1643564508165;RightFoot;0.1544227
1643564509571;LeftFoot;0.2008403
1643564510919;RightFoot;0.2621197
1643564511861;LeftFoot;0.3056427
1643564511966;LeftFoot;0.3172683
1643564513219;RightFoot;0.3693333
1643564514686;LeftFoot;0.4284207
1643564514855;LeftFoot;0.4299095
1643564516351;RightFoot;0.4948922
1643564517751;LeftFoot;0.5433892
1643564518985;RightFoot;0.60983
1643564520084;LeftFoot;0.6467022
1643564521632;RightFoot;0.7178091
1643564523216;LeftFoot;0.7529311
1643564524581;RightFoot;0.8217492
1643564524716;RightFoot;0.827273
1643564525415;LeftFoot;0.8582383
1643564525615;LeftFoot;0.8855146
1643564526916;RightFoot;0.9400716
1643564527049;RightFoot;0.936904
1643564527771;LeftFoot;0.9744455
1643564528943;LeftFoot;0.007573655
1643564539463;RightFoot;0.05296236
1643564539640;RightFoot;0.04912421
1643564539849;RightFoot;0.05470548
1643564540021;RightFoot;0.05377636
1643564540326;RightFoot;0.05368859
1643564541662;LeftFoot;0.09399371
1643564543454;RightFoot;0.1649801
1643564544420;LeftFoot;0.1985937
1643564545797;RightFoot;0.2782114
1643564548532;LeftFoot;0.2766587
1643564550117;LeftFoot;0.2999929
1643564550285;LeftFoot;0.3293598
1643564553628;RightFoot;0.3844651
1643564554661;LeftFoot;0.419117
1643564555829;RightFoot;0.5064354
1643564557629;LeftFoot;0.5427886
1643564558896;RightFoot;0.6311818
1643564560361;LeftFoot;0.6769065
1643564561928;RightFoot;0.7421227
1643564562029;RightFoot;0.7409478
1643564562196;RightFoot;0.7410522
1643564563261;LeftFoot;0.7814419
1643564564693;RightFoot;0.8516998
1643564565660;LeftFoot;0.8747339
1643564565893;LeftFoot;0.9018762
1643564566493;LeftFoot;0.9299515
1643564573964;RightFoot;-0.01001167
1643564577176;RightFoot;0.04588264
1643564578499;RightFoot;0.04296708
1643564578798;RightFoot;0.01652509
1643564579298;LeftFoot;0.09919512
1643564581259;RightFoot;0.1542718
1643564582980;LeftFoot;0.1902045
1643564583236;LeftFoot;0.2166632
1643564584250;RightFoot;0.2722923
1643564585756;LeftFoot;0.3076472
1643564588008;RightFoot;0.3904554
1643564589007;LeftFoot;0.4287629
1643564590191;RightFoot;0.4875253
1643564592396;LeftFoot;0.5629021
1643564593226;RightFoot;0.5636911
1643564595395;RightFoot;0.6185694
1643564596626;RightFoot;0.6191632
1643564596859;LeftFoot;0.6611383
1643564597027;LeftFoot;0.6755491
1643564598358;LeftFoot;0.6736826
1643564598625;RightFoot;0.7383993
1643564598827;RightFoot;0.734694
1643564599495;LeftFoot;0.7743995
1643564602524;RightFoot;0.8470132
1643564603526;LeftFoot;0.8848783
1643564603757;LeftFoot;0.9038379
1643564604823;RightFoot;0.9525113
1643564606689;LeftFoot;0.9986518
