unixTime,lslTime,ECG
1643563191249,12764.7852023,123
1643563191249,12764.7852052,9
1643563191249,12764.7852081,-75
1643563191249,12764.785211,-142
1643563191249,12764.7852138,-189
1643563191249,12764.7852166,-215
1643563191249,12764.7852195,-232
1643563191249,12764.7852223,-236
1643563191249,12764.7852251,-222
1643563191249,12764.785228,-210
1643563191270,12764.7852309,-198
1643563191270,12764.7852337,-187
1643563191270,12764.7852365,-187
1643563191270,12764.7852393,-189
1643563191270,12764.7852573,-172
1643563191270,12764.7852616,-163
1643563191270,12764.7852648,-161
1643563191270,12764.7852687,-146
1643563191270,12764.7852715,-132
1643563191270,12764.7852746,-130
1643563191291,12764.7852786,-127
1643563191291,12764.7852817,-118
1643563191291,12764.7852867,-113
1643563191291,12764.7852895,-108
1643563191291,12764.7852926,-104
1643563191291,12764.7852978,-104
1643563191291,12764.7853012,-106
1643563191291,12764.785306,-104
1643563191291,12764.7853094,-101
1643563191291,12764.7853126,-99
1643563191313,12764.7853166,-97
1643563191313,12764.7853196,-97
1643563191313,12764.7853295,-92
1643563191313,12764.7853484,-85
1643563191313,12764.7853548,-78
1643563191313,12764.7853584,-78
1643563191313,12764.7853624,-75
1643563191313,12764.7853653,-68
1643563191313,12764.7853684,-73
1643563191313,12764.7853714,-68
1643563191336,12764.7853742,-44
1643563191336,12764.7853771,-30
1643563191336,12764.7853803,-11
1643563191336,12764.7853844,26
1643563191336,12764.7853874,28
1643563191336,12764.7853904,2
1643563191336,12764.7853963,-16
1643563191336,12764.7853994,-30
1643563191336,12764.7854025,-40
1643563191336,12764.7854053,-30
1643563191358,12764.7854089,-16
1643563191358,12764.785412,-18
1643563191358,12764.7854151,-16
1643563191358,12764.7854181,-4
1643563191358,12764.7854212,26
1643563191358,12764.7854261,163
1643563191358,12764.7854293,499
1643563191358,12764.785434,819
1643563191358,12764.7854371,637
1643563191358,12764.7854421,-108
1643563191379,12764.785445,-862
1643563191379,12764.7854479,-942
1643563191379,12764.7854527,-364
1643563191379,12765.290841,23
1643563191379,12765.2908537,2
1643563191379,12765.2908578,23
1643563191379,12765.2908629,85
1643563191379,12765.2908661,68
1643563191379,12765.2908709,71
1643563191379,12765.2908758,101
1643563191402,12765.2908798,101
1643563191402,12765.2908829,89
1643563191402,12765.2908877,101
1643563191402,12765.2908924,125
1643563191913,12765.2908962,142
1643563191913,12765.2908992,161
1643563191913,12765.290902,184
1643563191913,12765.2909048,191
1643563191913,12765.2909076,196
1643563191913,12765.2909105,224
1643563191913,12765.2909133,269
1643563191913,12765.2909161,307
1643563191913,12765.2909188,345
1643563191913,12765.2909421,374
1643563191936,12765.2909505,388
1643563191936,12765.290957,400
1643563191936,12765.2909602,409
1643563191936,12765.2909633,402
1643563191936,12765.2909663,376
1643563191936,12765.2909692,319
1643563191936,12765.2909722,229
1643563191936,12765.2909758,120
1643563191936,12765.2909788,18
1643563191936,12765.2909818,-68
1643563191959,12765.290986,-142
1643563191959,12765.290989,-189
1643563191959,12765.2909949,-217
1643563191959,12765.2909978,-234
1643563191959,12765.2910006,-234
1643563191959,12765.2910037,-224
1643563191959,12765.2910066,-208
1643563191959,12765.2910096,-196
1643563191959,12765.2910126,-194
1643563191959,12765.2910266,-184
1643563191982,12765.2910332,-163
1643563191982,12765.2910374,-142
1643563191982,12765.2910425,-134
1643563191982,12765.2910454,-127
1643563191982,12765.2910485,-120
1643563191982,12765.2910524,-113
1643563191982,12765.2910555,-111
1643563191982,12765.2910604,-106
1643563191982,12765.2910652,-99
1643563191982,12765.2910785,-99
1643563192003,12765.2910934,-99
1643563192003,12765.2910994,-94
1643563192003,12765.2911027,-97
1643563192003,12765.2911058,-94
1643563192003,12765.2911088,-89
1643563192003,12765.2911118,-87
1643563192003,12765.2911148,-82
1643563192003,12765.2911178,-78
1643563192003,12765.2911208,-78
1643563192003,12765.291126,-80
1643563192025,12765.291129,-75
1643563192025,12765.291132,-68
1643563192025,12765.2911362,-66
1643563192025,12765.2911393,-66
1643563192025,12765.291144,-61
1643563192025,12765.2911469,-56
1643563192025,12765.29115,-54
1643563192025,12765.2911547,-56
1643563192025,12765.2911576,-63
1643563192025,12765.2911607,-66
1643563192048,12765.2911656,-52
1643563192048,12765.2911685,-28
1643563192048,12765.9361782,-16
1643563192048,12765.9361908,-7
1643563192048,12765.9361944,18
1643563192048,12765.9361995,44
1643563192048,12765.9362037,26
1643563192048,12765.9362086,-18
1643563192048,12765.9362117,-37
1643563192048,12765.9362167,-37
1643563192069,12765.9362205,-40
1643563192069,12765.9362253,-37
1643563192069,12765.936229,-23
1643563192069,12765.9362321,-16
1643563192357,12765.9362371,-28
1643563192357,12765.9362406,-52
1643563192357,12765.9362436,0
1643563192357,12765.9362496,258
1643563192357,12765.9362526,686
1643563192357,12765.9362555,857
1643563192357,12765.9362584,319
1643563192357,12765.9362612,-644
1643563192357,12765.936264,-1101
1643563192357,12765.9362668,-677
1643563192380,12765.9362697,-132
1643563192380,12765.9362726,-23
1643563192380,12765.9362754,-26
1643563192380,12765.9362783,47
1643563192380,12765.9362811,54
1643563192380,12765.9362839,37
1643563192380,12765.9362869,66
1643563192380,12765.936292,80
1643563192380,12765.9362966,80
1643563192380,12765.9363015,92
1643563192402,12765.9363058,106
1643563192402,12765.9363106,116
1643563192402,12765.9363137,137
1643563192402,12765.9363184,158
1643563192402,12765.9363213,170
1643563192402,12765.9363262,187
1643563192402,12765.936329,215
1643563192402,12765.9363321,248
1643563192402,12765.9363369,279
1643563192402,12765.9363402,312
1643563192424,12765.9363453,336
1643563192424,12765.9363484,348
1643563192424,12765.9363531,362
1643563192424,12765.9363562,371
1643563192424,12765.9363608,364
1643563192424,12765.9363638,355
1643563192424,12765.9363686,341
1643563192424,12765.9363717,293
1643563192424,12765.9363765,217
1643563192424,12765.9363795,132
1643563192446,12765.9363841,44
1643563192446,12765.9363884,-30
