pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643563191009,RightHand_Target,1.70234,1.046496,0.2733558,343.277,210.935,133.0775,
0,1643563191117,RightHand_Target,1.711801,1.044504,0.2760912,343.491,212.023,132.326,
0,1643563191224,RightHand_Target,1.716958,1.041559,0.2792484,344.569,213.1617,131.5454,
0,1643563191336,RightHand_Target,1.715882,1.042524,0.2814774,344.7744,213.0701,131.5652,
0,1643563191446,RightHand_Target,1.70933,1.045058,0.2826927,343.9538,213.1147,132.2284,
0,1643563191557,RightHand_Target,1.702233,1.047182,0.2830838,343.5117,212.4586,132.929,
0,1643563191669,RightHand_Target,1.696485,1.049704,0.2829943,343.4093,211.5404,133.3598,
0,1643563191780,RightHand_Target,1.693308,1.050785,0.2830342,343.4124,210.9588,133.4803,
0,1643563191891,RightHand_Target,1.693549,1.051151,0.2835021,343.3593,210.9927,133.2578,
0,1643563192003,RightHand_Target,1.693563,1.05022,0.2847776,344.1456,210.5672,132.9671,
0,1643563192114,RightHand_Target,1.690841,1.050776,0.28619,344.3399,210.3331,133.0702,
0,1643563192225,RightHand_Target,1.685901,1.052267,0.2869069,344.218,210.0331,133.4182,
0,1643563192335,RightHand_Target,1.680819,1.053881,0.2855139,343.8006,209.431,133.7355,
0,1643563192446,RightHand_Target,1.677568,1.053497,0.2835921,343.5909,209.014,133.6183,
0,1643563192557,RightHand_Target,1.676695,1.052554,0.2818831,343.6561,208.2,133.3254,
0,1643563192669,RightHand_Target,1.677214,1.05114,0.2814005,343.6479,208.1895,132.8913,
0,1643563192780,RightHand_Target,1.6791,1.048956,0.2814969,344.0129,208.1639,132.1405,
0,1643563192891,RightHand_Target,1.680475,1.047829,0.2811069,344.2858,207.808,131.5206,
0,1643563193003,RightHand_Target,1.678634,1.047897,0.2806535,344.6374,207.0423,131.2659,
0,1643563193113,RightHand_Target,1.673954,1.04996,0.2806019,344.4621,206.2548,131.6669,
0,1643563193226,RightHand_Target,1.670004,1.050752,0.2800525,344.6306,205.2677,131.5961,
0,1643563193336,RightHand_Target,1.666788,1.049352,0.2785121,344.9437,204.1931,131.0779,
0,1643563193447,RightHand_Target,1.66008,1.04919,0.2758704,344.9289,201.9885,131.2592,
0,1643563193558,RightHand_Target,1.65217,1.05087,0.271611,344.7316,200.4832,130.8741,
0,1643563193670,RightHand_Target,1.642548,1.052462,0.266418,345.4231,197.0214,131.3315,
0,1643563193786,RightHand_Target,1.631367,1.056152,0.2596686,344.7221,196.5206,132.3604,
0,1643563193891,RightHand_Target,1.624494,1.05884,0.2526316,344.3111,194.5742,132.975,
0,1643563194004,RightHand_Target,1.623181,1.058388,0.2475418,343.7967,193.9601,132.8984,
0,1643563194115,RightHand_Target,1.627057,1.056941,0.2462377,343.7124,194.0264,132.5107,
0,1643563194226,RightHand_Target,1.635587,1.056398,0.2502691,343.9883,195.2096,131.7731,
0,1643563194336,RightHand_Target,1.643812,1.055972,0.2578391,344.9249,196.5333,131.6808,
0,1643563194447,RightHand_Target,1.653426,1.056534,0.2654851,344.7205,200.2596,131.7503,
0,1643563194557,RightHand_Target,1.6659,1.05493,0.2699467,344.4846,202.9799,131.16,
0,1643563194670,RightHand_Target,1.682508,1.052074,0.2721809,344.2129,205.788,130.4299,
0,1643563194781,RightHand_Target,1.700933,1.049196,0.2746643,343.9688,209.1097,129.6299,
0,1643563194891,RightHand_Target,1.716718,1.047238,0.2798528,344.4552,212.2148,129.3261,
0,1643563195002,RightHand_Target,1.727861,1.046933,0.2866898,345.3552,215.3917,129.0213,
0,1643563195114,RightHand_Target,1.733664,1.04923,0.2915548,345.6878,216.835,129.4119,
0,1643563195225,RightHand_Target,1.736786,1.054419,0.2945167,344.4084,218.8653,130.8409,
0,1643563195335,RightHand_Target,1.742233,1.058734,0.2974315,344.278,220.1899,131.672,
0,1643563195448,RightHand_Target,1.751641,1.060046,0.2993405,344.4951,222.0672,132.2129,
0,1643563195557,RightHand_Target,1.763882,1.055872,0.2981129,345.4742,223.7495,130.9811,
0,1643563195669,RightHand_Target,1.772844,1.051378,0.2942482,345.8984,224.7647,129.716,
0,1643563195781,RightHand_Target,1.775129,1.049209,0.2911606,345.7219,224.9377,129.0766,
0,1643563195891,RightHand_Target,1.770587,1.049462,0.29182,345.7393,223.776,129.119,
0,1643563196004,RightHand_Target,1.759694,1.051187,0.2945153,345.3445,222.5031,129.973,
0,1643563196115,RightHand_Target,1.748361,1.052952,0.2956733,344.4413,221.7544,130.7802,
0,1643563196225,RightHand_Target,1.741096,1.051991,0.2939831,344.3585,219.5157,130.7944,
0,1643563196337,RightHand_Target,1.737522,1.049611,0.290896,344.2443,218.4845,130.1324,
0,1643563196447,RightHand_Target,1.735012,1.047635,0.2880577,344.6422,216.3458,129.0752,
0,1643563196559,RightHand_Target,1.729854,1.046702,0.2873062,344.81,215.2751,128.6543,
0,1643563196670,RightHand_Target,1.721852,1.047549,0.2890857,345.3618,213.0374,128.6962,
0,1643563196781,RightHand_Target,1.710504,1.04949,0.2921306,345.5116,211.4057,129.205,
0,1643563196892,RightHand_Target,1.698275,1.049873,0.2921657,345.6283,209.8156,129.2276,
0,1643563197002,RightHand_Target,1.683476,1.051181,0.2884064,345.6787,206.7204,129.6906,
0,1643563197114,RightHand_Target,1.669744,1.055257,0.2829785,344.127,205.4687,130.967,
0,1643563197225,RightHand_Target,1.664138,1.055551,0.2782749,343.5973,204.1307,131.1337,
0,1643563197336,RightHand_Target,1.665419,1.052038,0.2758817,344.125,203.6406,130.082,
0,1643563197448,RightHand_Target,1.667327,1.048926,0.276959,345.3141,202.24,129.289,
0,1643563197559,RightHand_Target,1.664807,1.049053,0.2795092,345.7815,202.0423,129.3603,
0,1643563197670,RightHand_Target,1.658646,1.049408,0.2783839,345.3645,202.9104,129.9506,
0,1643563197780,RightHand_Target,1.653863,1.049181,0.2725962,344.8118,201.991,129.8712,
0,1643563197891,RightHand_Target,1.652925,1.04723,0.2652874,343.9948,201.5314,129.2881,
0,1643563198003,RightHand_Target,1.653327,1.046099,0.2620715,344.1297,200.2905,128.243,
0,1643563198114,RightHand_Target,1.651529,1.047802,0.2644979,345.1383,199.4768,128.1483,
0,1643563198225,RightHand_Target,1.647074,1.05126,0.2682365,345.6327,199.7521,128.9429,
0,1643563198336,RightHand_Target,1.643566,1.054326,0.2699142,345.7747,199.6144,129.5615,
0,1643563198447,RightHand_Target,1.642349,1.056587,0.2687113,345.5697,199.8586,129.8525,
0,1643563198559,RightHand_Target,1.64378,1.057236,0.2664631,345.2924,199.4693,130.0346,
0,1643563198670,RightHand_Target,1.647951,1.05672,0.2662249,344.8283,200.2522,130.0803,
0,1643563198780,RightHand_Target,1.656355,1.05429,0.2692574,344.9943,201.111,129.5682,
0,1643563198891,RightHand_Target,1.667682,1.050757,0.2734933,345.3467,203.4272,128.515,
0,1643563199002,RightHand_Target,1.678007,1.048863,0.278983,346.8408,203.7405,127.071,
0,1643563199115,RightHand_Target,1.679841,1.047704,0.2827347,347.3403,204.8242,127.223,
0,1643563199224,RightHand_Target,1.675278,1.048456,0.2818484,346.0702,205.4867,127.6878,
0,1643563199336,RightHand_Target,1.670266,1.050377,0.275842,345.0907,204.4425,128.1922,
0,1643563199448,RightHand_Target,1.666653,1.051852,0.2709893,344.5622,203.264,128.3257,
0,1643563199558,RightHand_Target,1.664245,1.053018,0.2710108,344.6117,202.5841,128.7179,
0,1643563199669,RightHand_Target,1.663488,1.053745,0.2733856,344.856,202.8563,129.5132,
0,1643563199780,RightHand_Target,1.663693,1.054265,0.2757711,345.4145,202.8258,129.6548,
0,1643563199891,RightHand_Target,1.664334,1.054385,0.276688,345.3614,203.8839,129.1088,
0,1643563200002,RightHand_Target,1.664021,1.054881,0.2755507,345.3317,203.2831,129.0017,
0,1643563200113,RightHand_Target,1.663404,1.055669,0.274357,345.0334,203.459,128.8762,
0,1643563200226,RightHand_Target,1.663563,1.054864,0.2733964,345.1752,203.5809,128.4136,
0,1643563200336,RightHand_Target,1.665308,1.054253,0.2740399,345.4886,203.4469,127.93,
0,1643563200447,RightHand_Target,1.664653,1.052938,0.2735686,346.4704,203.7815,125.512,
0,1643563200558,RightHand_Target,1.665496,1.051166,0.2719134,346.8546,206.2619,121.4361,
0,1643563200670,RightHand_Target,1.671672,1.0494,0.2735941,349.7867,202.0462,117.4326,
0,1643563200781,RightHand_Target,1.670044,1.050529,0.2771798,350.0103,199.2044,116.0326,
0,1643563200891,RightHand_Target,1.666749,1.053885,0.2772385,348.5422,199.7704,116.884,
0,1643563201003,RightHand_Target,1.662932,1.053715,0.2743001,348.1912,199.4438,117.7071,
0,1643563201114,RightHand_Target,1.664299,1.053302,0.2698745,346.4262,201.9423,120.406,
0,1643563201225,RightHand_Target,1.66978,1.051616,0.2687141,345.8949,202.097,120.4076,
0,1643563201336,RightHand_Target,1.677846,1.049139,0.2715935,346.2033,203.6348,119.8209,
0,1643563201447,RightHand_Target,1.685807,1.049419,0.2770218,346.6685,205.1037,119.6736,
0,1643563201558,RightHand_Target,1.693388,1.050517,0.2829067,346.7203,206.5378,119.528,
0,1643563201670,RightHand_Target,1.699436,1.050246,0.286381,346.9855,207.8593,119.5723,
0,1643563201780,RightHand_Target,1.704222,1.052308,0.2883264,346.2767,208.5905,119.8245,
0,1643563201891,RightHand_Target,1.707587,1.052193,0.2893128,346.4995,210.1761,120.2646,
0,1643563202002,RightHand_Target,1.707932,1.050696,0.2878903,346.7315,210.8254,120.8209,
0,1643563202114,RightHand_Target,1.709031,1.049209,0.2840496,346.2722,212.2765,120.2486,
0,1643563202226,RightHand_Target,1.710482,1.048223,0.2808716,345.9224,210.4725,120.2423,
0,1643563202336,RightHand_Target,1.712892,1.046984,0.281848,345.4799,212.7119,120.2968,
0,1643563202447,RightHand_Target,1.715912,1.046024,0.2852564,346.2556,212.5449,119.9718,
0,1643563202557,RightHand_Target,1.717065,1.045096,0.2880526,346.944,213.1703,119.5415,
0,1643563202668,RightHand_Target,1.714817,1.045794,0.2894295,347.0591,212.8792,119.5973,
0,1643563202780,RightHand_Target,1.709439,1.048875,0.2906699,346.7228,212.6734,120.2261,
0,1643563202891,RightHand_Target,1.705015,1.052547,0.2930106,345.9789,213.3143,121.3241,
0,1643563203003,RightHand_Target,1.706984,1.055387,0.2962714,345.5617,214.5629,121.7704,
0,1643563203115,RightHand_Target,1.717502,1.057791,0.3029705,345.3799,217.0389,122.2605,
0,1643563203222,RightHand_Target,1.742277,1.057068,0.3147022,345.1366,223.5714,122.3468,
0,1643563203336,RightHand_Target,1.76889,1.050355,0.3223363,346.2133,228.7187,121.4802,
0,1643563203469,RightHand_Target,1.807831,1.039369,0.3386717,347.88,232.9472,117.9257,
0,1643563203602,RightHand_Target,1.83593,1.039069,0.3618228,349.787,238.0498,118.2715,
0,1643563203734,RightHand_Target,1.853526,1.046578,0.363604,349.8128,246.9924,121.7483,
0,1643563203835,RightHand_Target,1.861462,1.04768,0.3435126,349.2402,250.19,124.6833,
0,1643563203936,RightHand_Target,1.870418,1.05374,0.3035981,343.5556,257.2416,124.2848,
0,1643563204046,RightHand_Target,1.878202,1.043418,0.2754989,347.1633,248.1045,123.9766,
0,1643563204166,RightHand_Target,1.880518,1.032155,0.2605989,346.5885,252.5022,121.5114,
0,1643563204278,RightHand_Target,1.872755,1.028915,0.2580336,344.6193,250.39,121.2876,
0,1643563204389,RightHand_Target,1.867357,1.03255,0.2660782,343.641,247.45,121.184,
