pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643562769901,Pelvis_Target,1.78074,1.070801,0.08421233,1.363433,185.235,349.9817,
0,1643562770004,Pelvis_Target,1.780078,1.070849,0.08527623,1.331492,185.252,349.9921,
0,1643562770116,Pelvis_Target,1.781481,1.070142,0.0863995,1.355753,184.8154,349.1431,
0,1643562770226,Pelvis_Target,1.783278,1.070761,0.08762211,1.433849,184.4854,349.5498,
0,1643562770338,Pelvis_Target,1.784012,1.070666,0.08814161,1.408718,184.6826,349.6753,
0,1643562770449,Pelvis_Target,1.783693,1.070499,0.08833335,1.428985,184.5805,349.7304,
0,1643562770561,Pelvis_Target,1.78265,1.070147,0.087925,1.414913,184.5789,349.7751,
0,1643562770671,Pelvis_Target,1.781529,1.070118,0.08813774,1.391462,184.7112,349.5855,
0,1643562770782,Pelvis_Target,1.781286,1.069983,0.08818777,1.424085,184.7746,349.4674,
0,1643562770894,Pelvis_Target,1.781272,1.069745,0.08792743,1.419901,185.103,349.4789,
0,1643562771004,Pelvis_Target,1.781107,1.06981,0.08777481,1.44576,185.3382,349.4566,
0,1643562771114,Pelvis_Target,1.780992,1.069658,0.0878811,1.440703,185.6063,349.1701,
0,1643562771226,Pelvis_Target,1.781578,1.069473,0.08802307,1.462095,185.3916,348.9996,
0,1643562771339,Pelvis_Target,1.781879,1.069544,0.08799721,1.593447,185.3042,349.2129,
0,1643562771449,Pelvis_Target,1.781818,1.069929,0.08833276,1.72482,185.3893,349.4164,
0,1643562771559,Pelvis_Target,1.781559,1.06982,0.08818083,1.734433,185.3919,349.4236,
0,1643562771671,Pelvis_Target,1.780961,1.069839,0.08797698,1.717646,185.2807,349.3884,
0,1643562771782,Pelvis_Target,1.779962,1.069882,0.08776666,1.694577,185.1283,349.4544,
0,1643562771893,Pelvis_Target,1.778729,1.070082,0.08770674,1.712445,185.305,349.5572,
0,1643562772004,Pelvis_Target,1.777684,1.069941,0.08783391,1.705513,185.4273,349.4674,
0,1643562772115,Pelvis_Target,1.776411,1.070026,0.08843356,1.731899,185.4968,349.4855,
0,1643562772226,Pelvis_Target,1.775486,1.070107,0.08887964,1.707509,185.3929,349.305,
0,1643562772337,Pelvis_Target,1.774411,1.070227,0.08880232,1.715463,185.3527,349.2991,
0,1643562772448,Pelvis_Target,1.773363,1.07029,0.08852552,1.704563,185.3188,349.2705,
0,1643562772560,Pelvis_Target,1.772401,1.070078,0.08817377,1.648412,185.3308,349.2031,
0,1643562772673,Pelvis_Target,1.771318,1.070031,0.0884813,1.600638,185.2662,349.2089,
0,1643562772783,Pelvis_Target,1.770435,1.070072,0.08917087,1.597126,185.349,349.2087,
0,1643562772893,Pelvis_Target,1.76982,1.070132,0.09012543,1.600087,185.4487,349.1961,
0,1643562773004,Pelvis_Target,1.769135,1.070531,0.09119193,1.582148,185.4055,349.192,
0,1643562773116,Pelvis_Target,1.768433,1.070533,0.09213577,1.583184,185.2355,349.1958,
0,1643562773227,Pelvis_Target,1.767522,1.070793,0.09353648,1.599604,185.0446,349.2249,
0,1643562773338,Pelvis_Target,1.766794,1.070654,0.09418059,1.590929,184.8854,349.2245,
0,1643562773448,Pelvis_Target,1.76553,1.070117,0.09461749,1.630764,184.6676,349.2386,
0,1643562773561,Pelvis_Target,1.764703,1.070152,0.09553415,1.643871,184.4276,349.2171,
0,1643562773670,Pelvis_Target,1.763564,1.069927,0.09581718,1.630087,184.2878,349.2418,
0,1643562773782,Pelvis_Target,1.762703,1.069981,0.09578934,1.582024,184.1816,349.193,
0,1643562773893,Pelvis_Target,1.762227,1.069785,0.09594044,1.574878,184.0642,349.1293,
0,1643562774005,Pelvis_Target,1.761898,1.069707,0.09614956,1.583131,183.963,349.0678,
0,1643562774115,Pelvis_Target,1.761476,1.070087,0.09660377,1.582588,183.9282,349.0115,
0,1643562774226,Pelvis_Target,1.760776,1.070219,0.09695637,1.5496,183.9039,348.9944,
0,1643562774338,Pelvis_Target,1.760049,1.070733,0.09744653,1.505557,183.873,348.9072,
0,1643562774448,Pelvis_Target,1.759308,1.071282,0.09822299,1.479009,183.7451,348.9648,
0,1643562774560,Pelvis_Target,1.758904,1.071364,0.09878151,1.487339,183.5378,348.8134,
0,1643562774670,Pelvis_Target,1.758371,1.071519,0.09896308,1.47145,183.3195,348.782,
0,1643562774782,Pelvis_Target,1.757938,1.072038,0.09959992,1.474861,183.2298,348.7323,
0,1643562774892,Pelvis_Target,1.757811,1.071788,0.09933613,1.500905,183.077,348.6607,
0,1643562775004,Pelvis_Target,1.757632,1.071555,0.09909151,1.540866,183.0073,348.6567,
0,1643562775115,Pelvis_Target,1.757307,1.071325,0.09899244,1.520179,182.9518,348.6019,
0,1643562775226,Pelvis_Target,1.757143,1.070755,0.09825797,1.48897,182.7614,348.5213,
0,1643562775337,Pelvis_Target,1.757077,1.070919,0.09848713,1.479653,182.6629,348.5225,
0,1643562775449,Pelvis_Target,1.757089,1.071129,0.09862547,1.455977,182.68,348.5662,
0,1643562775560,Pelvis_Target,1.75748,1.071443,0.09883434,1.434867,182.708,348.4856,
0,1643562775670,Pelvis_Target,1.757509,1.071427,0.09885914,1.417335,182.6791,348.4115,
0,1643562775782,Pelvis_Target,1.757322,1.071163,0.09842891,1.424578,182.6763,348.575,
0,1643562775892,Pelvis_Target,1.757322,1.071199,0.09844986,1.411879,182.7096,348.5562,
0,1643562776005,Pelvis_Target,1.756978,1.071678,0.09887147,1.417357,182.702,348.6252,
0,1643562776115,Pelvis_Target,1.756846,1.071802,0.09899298,1.391699,182.6344,348.6114,
0,1643562776226,Pelvis_Target,1.757164,1.071953,0.09899095,1.39921,182.6622,348.5986,
