pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643564797756,Head_Target,1.555716,1.677738,0.08117716,358.6731,186.0843,197.0136,
0,1643564797883,Head_Target,1.553378,1.678645,0.06981502,358.141,183.0813,198.0783,
0,1643564798016,Head_Target,1.551911,1.680654,0.06088023,357.4136,180.3319,199.9269,
0,1643564798150,Head_Target,1.550387,1.682027,0.05327307,357.3909,178.2784,200.3481,
0,1643564798250,Head_Target,1.550045,1.683262,0.04907493,357.3395,177.0733,200.372,
0,1643564798383,Head_Target,1.551524,1.685264,0.04447116,354.5604,172.4013,201.3102,
0,1643564798483,Head_Target,1.554777,1.687391,0.03894636,345.4384,163.7282,204.5377,
0,1643564798584,Head_Target,1.559958,1.689801,0.0280235,339.9074,155.1892,206.8426,
0,1643564798716,Head_Target,1.568413,1.692552,0.01234986,339.2241,148.2669,207.987,
0,1643564798817,Head_Target,1.574049,1.693916,0.004957587,341.1752,147.0223,208.1021,
0,1643564798928,Head_Target,1.58008,1.695378,-0.0009626597,344.5129,148.0665,208.0903,
0,1643564799038,Head_Target,1.588152,1.700871,-0.002259538,349.4308,151.6484,210.1907,
0,1643564799150,Head_Target,1.604005,1.714895,0.002086759,356.3565,156.9456,218.2287,
0,1643564799262,Head_Target,1.626618,1.732322,0.009714887,2.006038,162.8715,228.448,
0,1643564799374,Head_Target,1.654528,1.749334,0.01930229,4.155864,169.7025,240.431,
0,1643564799506,Head_Target,1.679004,1.761235,0.02767414,2.715757,174.9786,248.5781,
0,1643564799606,Head_Target,1.691339,1.765926,0.03139527,1.73035,177.5722,253.2382,
0,1643564799739,Head_Target,1.698629,1.76845,0.03267565,1.588661,180.018,255.0285,
0,1643564799873,Head_Target,1.694987,1.76873,0.03485192,1.06952,181.8614,253.5022,
0,1643564800007,Head_Target,1.665903,1.76308,0.03861136,1.734005,184.2597,238.8696,
0,1643564800139,Head_Target,1.606534,1.732588,0.04718002,2.558702,186.9309,211.8719,
0,1643564800272,Head_Target,1.567535,1.702386,0.05869361,2.921753,187.412,203.626,
0,1643564800405,Head_Target,1.545584,1.680738,0.06939265,2.922584,187.3698,199.4374,
0,1643564800505,Head_Target,1.540592,1.67366,0.07744537,2.65544,186.9616,198.2464,
0,1643564800638,Head_Target,1.546995,1.675003,0.09039832,1.878256,185.8684,199.3847,
0,1643564800772,Head_Target,1.559181,1.680362,0.1051113,1.047559,184.481,200.9411,
0,1643564800905,Head_Target,1.580895,1.694825,0.1190094,1.104303,183.3221,206.1956,
0,1643564801008,Head_Target,1.604914,1.711925,0.1277468,0.9384485,183.5232,217.3948,
0,1643564801139,Head_Target,1.626079,1.729232,0.1298739,1.030294,182.6828,225.126,
0,1643564801239,Head_Target,1.617835,1.727259,0.1210821,1.462126,180.8903,217.2286,
0,1643564801340,Head_Target,1.606822,1.725431,0.1034662,1.193274,180.1788,217.9507,
0,1643564801441,Head_Target,1.594575,1.729535,0.07583029,1.587646,181.7101,217.8993,
0,1643564801573,Head_Target,1.584058,1.728774,0.02853635,3.995059,184.6379,218.6988,
0,1643564801706,Head_Target,1.58012,1.725223,-0.005656257,4.216915,185.8618,217.523,
0,1643564801807,Head_Target,1.575463,1.727849,-0.01767244,3.457134,186.1338,215.7168,
0,1643564801940,Head_Target,1.572907,1.727548,-0.02795005,3.436177,187.266,216.0369,
0,1643564802073,Head_Target,1.569381,1.723395,-0.03377751,4.07305,188.1672,216.5735,
0,1643564802174,Head_Target,1.568803,1.724257,-0.03921348,5.198428,187.0822,216.6684,
0,1643564802306,Head_Target,1.563697,1.727284,-0.03888535,4.405791,186.5894,217.8051,
0,1643564802407,Head_Target,1.560333,1.727213,-0.0388874,4.965425,186.8776,218.4722,
0,1643564802540,Head_Target,1.559801,1.730944,-0.03665923,4.353519,188.3262,219.1834,
0,1643564802662,Head_Target,1.563851,1.735542,-0.03475675,3.049072,188.7939,221.1763,
0,1643564802773,Head_Target,1.568479,1.739415,-0.03524552,2.591243,189.5143,223.0258,
0,1643564802906,Head_Target,1.575933,1.744079,-0.03871773,2.584721,190.16,226.7054,
0,1643564803007,Head_Target,1.583435,1.746728,-0.04189496,2.342729,189.4133,228.8954,
0,1643564803139,Head_Target,1.587636,1.748808,-0.04507302,2.965706,188.4608,231.2911,
0,1643564803273,Head_Target,1.582395,1.751483,-0.04238522,2.674075,187.8103,232.37,
0,1643564803373,Head_Target,1.579864,1.756125,-0.0346534,1.839204,186.8563,233.5897,
