pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643564101403,LeftFoot_Target,1.74623,0.222483,-0.165454,5.740921,333.7505,8.473292,
0,1643564101506,LeftFoot_Target,1.746175,0.2221747,-0.1653409,5.742601,333.6938,8.578156,
0,1643564101617,LeftFoot_Target,1.746162,0.2221391,-0.1654378,5.815091,333.756,8.668436,
0,1643564101729,LeftFoot_Target,1.7461,0.2219086,-0.1650806,5.828981,333.7641,8.627347,
0,1643564101839,LeftFoot_Target,1.74628,0.2228038,-0.1656789,5.8252,333.7728,8.598242,
0,1643564101951,LeftFoot_Target,1.746099,0.2223096,-0.165402,5.796653,333.7585,8.607586,
0,1643564102062,LeftFoot_Target,1.746182,0.2220381,-0.1655638,5.770905,333.7678,8.665007,
0,1643564102173,LeftFoot_Target,1.746139,0.2225405,-0.1656153,5.744283,333.7789,8.624246,
0,1643564102284,LeftFoot_Target,1.746253,0.2225314,-0.1654674,5.743403,333.8042,8.548406,
0,1643564102395,LeftFoot_Target,1.746406,0.2225466,-0.1650679,5.673638,333.8151,8.450966,
0,1643564102506,LeftFoot_Target,1.74652,0.2222467,-0.1654197,5.562857,333.8076,8.455544,
0,1643564102617,LeftFoot_Target,1.746469,0.2228588,-0.1655715,5.540396,333.7946,8.577822,
0,1643564102728,LeftFoot_Target,1.746372,0.2218277,-0.1653023,5.481854,333.814,8.699148,
0,1643564102840,LeftFoot_Target,1.746237,0.2222329,-0.1656735,5.465249,333.7799,8.858526,
0,1643564102951,LeftFoot_Target,1.74637,0.2219955,-0.1655838,5.475042,333.793,8.913698,
0,1643564103061,LeftFoot_Target,1.746249,0.2215466,-0.1653855,5.536981,333.783,8.949607,
0,1643564103173,LeftFoot_Target,1.74632,0.2218838,-0.1652465,5.516909,333.7648,8.97566,
0,1643564103284,LeftFoot_Target,1.746253,0.2213125,-0.1653443,5.515141,333.7647,9.072464,
0,1643564103395,LeftFoot_Target,1.746125,0.2213216,-0.1655425,5.645827,333.7856,8.991265,
0,1643564103520,LeftFoot_Target,1.746526,0.221259,-0.1649829,5.667035,333.8765,8.887297,
0,1643564103650,LeftFoot_Target,1.746203,0.2223043,-0.1653589,5.582777,333.7957,8.84823,
0,1643564103784,LeftFoot_Target,1.746426,0.2219092,-0.1653775,5.5663,333.791,8.855037,
0,1643564103884,LeftFoot_Target,1.746371,0.2218138,-0.1654222,5.563745,333.7774,8.983816,
0,1643564103988,LeftFoot_Target,1.746261,0.2215966,-0.1654482,5.559267,333.7643,9.040922,
0,1643564104117,LeftFoot_Target,1.746222,0.2209417,-0.1650851,5.54419,333.7693,8.99611,
0,1643564104251,LeftFoot_Target,1.746424,0.2215572,-0.1650262,5.539634,333.7603,8.970798,
0,1643564104362,LeftFoot_Target,1.745979,0.2209254,-0.1652315,5.457234,333.7497,9.010891,
0,1643564104472,LeftFoot_Target,1.746142,0.2215042,-0.1652396,5.463181,333.7541,9.063162,
0,1643564104583,LeftFoot_Target,1.746282,0.2211692,-0.1656509,5.438487,333.7358,9.114358,
0,1643564104694,LeftFoot_Target,1.746192,0.2215111,-0.165345,5.462027,333.7393,9.174756,
0,1643564104805,LeftFoot_Target,1.746244,0.2208629,-0.165424,5.548391,333.7886,9.23644,
0,1643564104917,LeftFoot_Target,1.746082,0.2206215,-0.1649824,5.44821,333.7249,9.273294,
0,1643564105028,LeftFoot_Target,1.746012,0.221177,-0.1657108,5.418944,333.739,9.33716,
0,1643564105139,LeftFoot_Target,1.746426,0.2203404,-0.1653284,5.406217,333.7425,9.434823,
0,1643564105250,LeftFoot_Target,1.746098,0.2207154,-0.1648607,5.438637,333.7049,9.507799,
0,1643564105361,LeftFoot_Target,1.745983,0.2202526,-0.1649995,5.531115,333.6977,9.722795,
0,1643564105473,LeftFoot_Target,1.745847,0.2198257,-0.1651996,5.664389,333.6465,9.938578,
0,1643564105583,LeftFoot_Target,1.745956,0.2204204,-0.1652955,5.721746,333.627,10.11666,
0,1643564105694,LeftFoot_Target,1.745901,0.2202693,-0.1653343,5.759109,333.5984,10.21575,
0,1643564105806,LeftFoot_Target,1.745863,0.2198724,-0.1649874,5.839631,333.573,10.27344,
0,1643564105917,LeftFoot_Target,1.745885,0.2199311,-0.1650264,5.914966,333.5835,10.36586,
0,1643564106029,LeftFoot_Target,1.745874,0.2200835,-0.165176,5.915448,333.5096,10.35843,
0,1643564106140,LeftFoot_Target,1.745839,0.2205381,-0.1653324,5.896272,333.5622,10.29977,
0,1643564106250,LeftFoot_Target,1.745904,0.2198174,-0.1651368,5.887619,333.5627,10.24743,
0,1643564106361,LeftFoot_Target,1.745912,0.2201154,-0.1653412,5.836012,333.5841,10.17237,
0,1643564106473,LeftFoot_Target,1.746034,0.2204371,-0.1652201,5.78918,333.5918,10.07923,
0,1643564106585,LeftFoot_Target,1.746031,0.2202021,-0.1654433,5.69238,333.6078,9.949086,
0,1643564106694,LeftFoot_Target,1.74582,0.2201455,-0.1652846,5.645939,333.5748,9.897357,
0,1643564106806,LeftFoot_Target,1.746154,0.2202094,-0.1651346,5.682688,333.6159,9.886027,
0,1643564106917,LeftFoot_Target,1.746138,0.2202827,-0.1651349,5.674202,333.6046,9.8901,
0,1643564107028,LeftFoot_Target,1.746006,0.2204449,-0.1652454,5.669743,333.6039,9.897655,
0,1643564107139,LeftFoot_Target,1.745919,0.2199603,-0.1651257,5.680549,333.5828,9.875963,
0,1643564107250,LeftFoot_Target,1.746129,0.2198975,-0.1650238,5.681162,333.5904,9.867296,
0,1643564107361,LeftFoot_Target,1.745918,0.2200445,-0.1651682,5.686125,333.6054,9.830939,
0,1643564107473,LeftFoot_Target,1.745673,0.2194369,-0.1651995,5.643849,333.6123,9.874125,
0,1643564107587,LeftFoot_Target,1.745851,0.2196761,-0.1651486,5.640121,333.5691,9.839701,
0,1643564107694,LeftFoot_Target,1.746071,0.2202697,-0.1651721,5.626216,333.5995,9.886054,
0,1643564107806,LeftFoot_Target,1.746038,0.219981,-0.1650513,5.624172,333.6133,9.915038,
0,1643564107926,LeftFoot_Target,1.746084,0.2203795,-0.1653172,5.63421,333.6165,9.931251,
0,1643564108028,LeftFoot_Target,1.745946,0.2195786,-0.1651123,5.639921,333.6236,9.963396,
0,1643564108151,LeftFoot_Target,1.745897,0.2198029,-0.1648871,5.65723,333.6092,10.00519,
0,1643564108251,LeftFoot_Target,1.746027,0.220611,-0.1650713,5.687913,333.6051,10.00074,
0,1643564108383,LeftFoot_Target,1.745852,0.2191471,-0.1652807,5.712017,333.6005,10.00277,
0,1643564108484,LeftFoot_Target,1.745973,0.2194636,-0.1650501,5.657796,333.5826,10.05242,
0,1643564108616,LeftFoot_Target,1.746008,0.220309,-0.1653294,5.738632,333.5894,10.03405,
0,1643564108750,LeftFoot_Target,1.746114,0.219724,-0.1650612,5.722119,333.5769,10.1364,
0,1643564108850,LeftFoot_Target,1.745921,0.2194275,-0.1650436,5.744966,333.5793,10.13282,
0,1643564108985,LeftFoot_Target,1.745952,0.2200343,-0.1651267,5.854029,333.5689,10.30314,
0,1643564109118,LeftFoot_Target,1.745934,0.2195759,-0.1652021,5.848802,333.5343,10.51079,
0,1643564109228,LeftFoot_Target,1.74584,0.2191972,-0.1654847,5.631577,333.4352,10.76167,
0,1643564109341,LeftFoot_Target,1.745603,0.2187479,-0.1656489,5.345066,333.2844,11.3782,
0,1643564109451,LeftFoot_Target,1.745415,0.2184956,-0.1654835,5.456062,332.8439,12.33612,
0,1643564109583,LeftFoot_Target,1.745055,0.2196454,-0.1646181,5.62955,332.6578,13.724,
0,1643564109717,LeftFoot_Target,1.745328,0.2199885,-0.1634569,5.690205,331.7738,14.15088,
0,1643564109818,LeftFoot_Target,1.745816,0.2200375,-0.163033,6.175641,328.5473,14.68608,
0,1643564109951,LeftFoot_Target,1.74637,0.2213579,-0.1630821,6.633233,326.2869,14.21242,
0,1643564110051,LeftFoot_Target,1.746341,0.2203355,-0.1636906,6.676918,325.4966,14.6467,
0,1643564110151,LeftFoot_Target,1.74646,0.2195422,-0.1636926,6.564319,325.7029,16.08308,
0,1643564110284,LeftFoot_Target,1.745723,0.2221479,-0.1625524,7.856259,324.3969,18.68375,
0,1643564110384,LeftFoot_Target,1.745971,0.2313044,-0.1536112,13.14708,314.1582,18.01421,
0,1643564110485,LeftFoot_Target,1.702798,0.2400121,-0.1084798,10.50519,319.6389,7.677881,
0,1643564110585,LeftFoot_Target,1.65473,0.2351788,-0.05293497,3.458851,333.4665,2.903705,
0,1643564110696,LeftFoot_Target,1.66553,0.2231974,-0.05622235,6.329207,329.8978,9.561051,
0,1643564110807,LeftFoot_Target,1.665732,0.2210488,-0.05963717,5.630918,329.2128,8.795643,
0,1643564110919,LeftFoot_Target,1.665187,0.2219995,-0.05956469,7.80712,328.777,7.788096,
0,1643564111052,LeftFoot_Target,1.664993,0.2222576,-0.05971295,8.365575,328.6993,8.152244,
0,1643564111152,LeftFoot_Target,1.664358,0.2243261,-0.05966336,9.321288,328.2455,6.419,
