pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643363129708,Head_Target,1.707832,1.730499,0.02226301,4.502056,193.8194,246.1486,
0,1643363129826,Head_Target,1.705605,1.73012,0.02385562,3.98582,193.7598,246.6511,
0,1643363129950,Head_Target,1.701223,1.729217,0.02518151,3.052957,194.0171,248.1558,
0,1643363130077,Head_Target,1.695268,1.72569,0.02586472,1.90993,194.6776,252.9847,
0,1643363130201,Head_Target,1.691504,1.723123,0.02499144,1.914827,196.0382,257.3275,
0,1643363130315,Head_Target,1.691985,1.723031,0.0250821,1.805264,195.7408,258.6413,
0,1643363130428,Head_Target,1.690605,1.723801,0.02775093,2.186815,195.0336,258.6248,
0,1643363130543,Head_Target,1.690534,1.725384,0.03108869,2.611512,194.4712,256.2498,
0,1643363130664,Head_Target,1.683981,1.726159,0.03471732,2.736991,195.9237,257.1944,
0,1643363130789,Head_Target,1.681774,1.726669,0.03708676,2.423844,196.5752,256.5735,
0,1643363130913,Head_Target,1.682939,1.726627,0.04034702,2.344143,195.6501,256.3752,
0,1643363131037,Head_Target,1.68517,1.72597,0.04312517,2.071061,194.7554,257.2121,
0,1643363131160,Head_Target,1.667296,1.71598,0.04899427,2.364422,194.2419,266.7635,
0,1643363131273,Head_Target,1.672341,1.717631,0.048598,2.520668,193.099,264.8999,
0,1643363131384,Head_Target,1.671986,1.718642,0.04877497,2.094277,192.3979,264.0865,
0,1643363131497,Head_Target,1.670241,1.718628,0.04947003,1.784791,191.7975,263.7928,
0,1643363131608,Head_Target,1.669811,1.718585,0.0513248,1.957474,191.1365,264.037,
0,1643363131723,Head_Target,1.669927,1.718442,0.05309045,1.773179,189.7924,264.1945,
0,1643363131839,Head_Target,1.671197,1.718792,0.05468869,1.893068,189.1599,264.0888,
0,1643363131956,Head_Target,1.671304,1.718495,0.05555671,1.818706,189.091,264.1136,
0,1643363132079,Head_Target,1.671892,1.718646,0.05614872,1.84779,189.0112,264.0833,
0,1643363132201,Head_Target,1.671684,1.718683,0.05618493,1.701511,189.3762,264.0994,
0,1643363132304,Head_Target,1.670676,1.718578,0.05622708,1.624712,189.6842,264.1734,
0,1643363132405,Head_Target,1.669638,1.718557,0.05628514,1.409668,189.9949,264.2673,
0,1643363132513,Head_Target,1.668955,1.718572,0.05593251,1.318461,190.7425,264.26,
0,1643363132622,Head_Target,1.66789,1.718735,0.05611839,1.332191,191.4261,264.3439,
0,1643363132733,Head_Target,1.666456,1.718895,0.0563842,1.586289,192.812,264.4464,
0,1643363132846,Head_Target,1.663559,1.719465,0.05342387,3.039013,201.7096,263.1112,
0,1643363132961,Head_Target,1.658629,1.719037,0.04864084,4.4658,213.024,262.7438,
0,1643363133080,Head_Target,1.651516,1.718754,0.04292876,5.639361,227.7581,263.0763,
0,1643363133200,Head_Target,1.649904,1.718839,0.04116899,4.704491,233.4815,262.5123,
0,1643363133303,Head_Target,1.651861,1.718897,0.04180571,4.0053,233.5358,262.1423,
0,1643363133403,Head_Target,1.65346,1.718893,0.04180556,3.644373,233.5163,261.7911,
0,1643363133504,Head_Target,1.654835,1.719234,0.04136787,3.572162,233.3929,261.3759,
0,1643363133637,Head_Target,1.660999,1.722198,0.04053454,4.489022,229.0473,258.2262,
0,1643363133750,Head_Target,1.667315,1.724624,0.0420515,4.10089,221.3712,255.2911,
0,1643363133874,Head_Target,1.675299,1.726018,0.048629,2.39095,206.8715,254.1052,
0,1643363134000,Head_Target,1.679446,1.726796,0.05212734,1.122641,197.2372,254.0996,
0,1643363134117,Head_Target,1.680817,1.726858,0.05050478,2.279732,194.2139,253.851,
0,1643363134238,Head_Target,1.682431,1.727132,0.04661199,2.454835,193.8154,253.312,
0,1643363134361,Head_Target,1.683896,1.727349,0.0454367,3.072576,192.4923,252.9102,
0,1643363134487,Head_Target,1.685002,1.72774,0.04513964,3.506065,191.1101,252.3441,
0,1643363134611,Head_Target,1.686562,1.728537,0.04730509,3.038831,187.0982,251.7799,
0,1643363134740,Head_Target,1.686907,1.728933,0.04968259,2.361552,182.3578,250.7587,
0,1643363134868,Head_Target,1.685391,1.728644,0.04899575,2.148141,180.4153,250.557,
0,1643363134994,Head_Target,1.683833,1.728506,0.04581938,2.439116,181.6086,250.6018,
0,1643363135126,Head_Target,1.682276,1.728344,0.04523996,2.309365,181.2843,250.5292,
0,1643363135248,Head_Target,1.681108,1.728309,0.04590008,2.218902,180.9626,250.7969,
0,1643363135373,Head_Target,1.681171,1.72861,0.04641543,1.960266,180.9489,251.0007,
0,1643363135495,Head_Target,1.681621,1.728617,0.04690588,1.821766,181.111,251.3126,
0,1643363135619,Head_Target,1.682221,1.728552,0.04718851,1.785461,181.2242,251.6115,
0,1643363135745,Head_Target,1.68154,1.728476,0.04695904,1.813136,181.4951,251.5667,
0,1643363135871,Head_Target,1.679762,1.7285,0.04716624,1.897933,181.5435,251.2472,
0,1643363136001,Head_Target,1.676813,1.728761,0.04824257,2.159175,181.3838,249.9984,
0,1643363136133,Head_Target,1.674297,1.731317,0.04977662,2.408193,181.4095,245.6038,
0,1643363136264,Head_Target,1.668833,1.734136,0.05208905,3.333696,181.5494,238.5809,
0,1643363136387,Head_Target,1.663811,1.736265,0.05538251,3.617542,180.5819,232.0517,
0,1643363136513,Head_Target,1.658918,1.735644,0.05667371,3.594842,180.2985,228.806,
0,1643363136650,Head_Target,1.658841,1.735196,0.05733173,3.693588,179.8068,227.0276,
0,1643363136781,Head_Target,1.662014,1.734042,0.05700882,3.902109,179.2341,225.8024,
0,1643363136919,Head_Target,1.666915,1.733992,0.05606452,3.826328,178.4026,224.1871,
0,1643363137051,Head_Target,1.670413,1.73299,0.05490519,3.765444,177.8135,223.0455,
0,1643363137191,Head_Target,1.674321,1.73243,0.05402979,3.814088,177.4768,222.0476,
0,1643363137322,Head_Target,1.678562,1.731563,0.05313155,3.767822,176.9038,221.1797,
0,1643363137446,Head_Target,1.681752,1.730762,0.05240159,3.148697,175.5595,220.1753,
0,1643363137575,Head_Target,1.68547,1.730035,0.05201546,2.207557,174.1039,219.3045,
0,1643363137705,Head_Target,1.688418,1.72928,0.05098173,1.30439,172.6157,218.569,
0,1643363137837,Head_Target,1.690457,1.728416,0.04926615,0.5430675,170.7867,217.8085,
0,1643363137970,Head_Target,1.689583,1.727821,0.04783023,0.3507467,169.3368,217.2381,
0,1643363138107,Head_Target,1.688686,1.727747,0.04677019,0.6351683,168.9791,217.1135,
0,1643363138231,Head_Target,1.687278,1.728269,0.04611781,1.116266,168.8416,217.268,
0,1643363138354,Head_Target,1.686629,1.7288,0.045766,1.99741,169.3772,217.6374,
0,1643363138480,Head_Target,1.686198,1.72879,0.04445079,2.815678,170.5596,217.8506,
0,1643363138604,Head_Target,1.685145,1.729087,0.04282072,3.331889,171.457,217.8023,
0,1643363138735,Head_Target,1.682848,1.729089,0.04215115,3.442984,171.3676,217.7897,
0,1643363138866,Head_Target,1.680845,1.729179,0.04309421,3.035855,170.6543,217.7081,
0,1643363139006,Head_Target,1.679247,1.729162,0.04390374,2.845045,170.8242,218.1432,
0,1643363139147,Head_Target,1.678398,1.729697,0.04453653,2.82958,171.4924,218.8886,
0,1643363139285,Head_Target,1.67901,1.73035,0.04524314,2.865719,170.9241,222.838,
0,1643363139410,Head_Target,1.681505,1.730934,0.04625463,2.69159,169.5681,226.4359,
0,1643363139533,Head_Target,1.685101,1.730721,0.04780175,2.090132,165.9147,231.9169,
0,1643363139663,Head_Target,1.686558,1.729296,0.04765453,0.9106216,163.4956,237.6527,
0,1643363139792,Head_Target,1.686274,1.727871,0.04381584,2.426846,166.0308,241.9277,
0,1643363139920,Head_Target,1.678841,1.723685,0.04498072,2.535123,164.7363,246.8851,
0,1643363140049,Head_Target,1.674536,1.722715,0.04374292,2.181729,165.7994,248.4091,
0,1643363140178,Head_Target,1.666532,1.722649,0.04418008,2.321522,164.7062,249.9728,
0,1643363140299,Head_Target,1.666149,1.723624,0.04553828,1.711693,162.0236,251.2796,
0,1643363140426,Head_Target,1.665788,1.723529,0.04815869,1.393216,159.3667,250.8905,
0,1643363140546,Head_Target,1.670711,1.724743,0.04909041,2.013702,160.1089,253.8118,
0,1643363140672,Head_Target,1.675033,1.723473,0.05262598,2.090172,158.5509,257.1717,
0,1643363140793,Head_Target,1.683618,1.72344,0.05443884,2.217108,160.1967,256.4879,
0,1643363140921,Head_Target,1.678231,1.72462,0.05607477,2.325181,159.9402,256.7502,
0,1643363141047,Head_Target,1.673842,1.72533,0.05773257,2.555483,160.5794,255.2489,
0,1643363141177,Head_Target,1.672601,1.726698,0.05711806,2.12536,163.3386,253.6185,
0,1643363141296,Head_Target,1.676847,1.727703,0.05722685,2.537203,166.3445,251.9203,
0,1643363141412,Head_Target,1.680223,1.727411,0.0567764,2.415783,168.4827,251.7368,
0,1643363141533,Head_Target,1.683544,1.727719,0.05604995,2.042563,171.2908,251.4657,
0,1643363141659,Head_Target,1.687366,1.727803,0.05518467,1.894978,174.8795,251.6811,
0,1643363141784,Head_Target,1.691109,1.727875,0.05561305,1.398456,177.2032,251.4043,
0,1643363141909,Head_Target,1.692993,1.727683,0.05681507,1.405975,178.3597,251.02,
0,1643363142039,Head_Target,1.693333,1.727558,0.05789425,1.653018,179.5947,250.0751,
0,1643363142166,Head_Target,1.693518,1.728055,0.05898564,1.581639,180.1036,249.3919,
0,1643363142286,Head_Target,1.693087,1.728286,0.06160842,1.674935,179.8544,248.9106,
0,1643363142407,Head_Target,1.693278,1.72854,0.06310334,1.558111,179.5042,248.7555,
0,1643363142528,Head_Target,1.693958,1.72856,0.06472364,1.360102,178.9963,248.9419,
0,1643363142651,Head_Target,1.695207,1.728238,0.06553186,1.215133,178.6675,248.9981,
0,1643363142777,Head_Target,1.696601,1.727983,0.06550344,1.050157,178.2735,249.2823,
0,1643363142902,Head_Target,1.697393,1.728389,0.06450327,1.009576,178.4253,249.2293,
0,1643363143036,Head_Target,1.697093,1.728612,0.06273307,0.9066298,178.8275,249.3225,
0,1643363143165,Head_Target,1.696714,1.728441,0.05996637,0.6995024,179.6127,249.7994,
0,1643363143287,Head_Target,1.696919,1.728273,0.05720382,0.6022002,180.6666,250.0247,
0,1643363143410,Head_Target,1.696979,1.728454,0.05477947,0.4330077,181.5576,250.4664,
0,1643363143535,Head_Target,1.697005,1.728382,0.0525552,0.2746461,182.0533,250.6273,
0,1643363143652,Head_Target,1.696226,1.728417,0.05037522,0.1864468,182.2477,250.7264,
0,1643363143779,Head_Target,1.694526,1.728163,0.04776393,0.1061434,182.4601,250.8517,
0,1643363143894,Head_Target,1.692131,1.728064,0.04501264,0.07126845,182.6406,250.8697,
0,1643363144019,Head_Target,1.68967,1.72772,0.04328708,0.182547,182.7794,250.8696,
0,1643363144146,Head_Target,1.686181,1.727402,0.04148,0.1879965,182.7518,251.0074,
0,1643363144263,Head_Target,1.682055,1.727089,0.04065154,0.3312942,182.7856,251.0345,
0,1643363144377,Head_Target,1.67884,1.72666,0.04100727,0.3503548,182.6731,251.1012,
0,1643363144493,Head_Target,1.674735,1.72641,0.042548,0.4687445,182.518,251.1818,
0,1643363144608,Head_Target,1.670432,1.726141,0.04480855,0.6103305,182.1863,251.2781,
0,1643363144732,Head_Target,1.66703,1.726091,0.04658345,0.7590367,182.0607,251.4333,
0,1643363144854,Head_Target,1.663105,1.726366,0.04841071,0.9079825,182.0383,251.4841,
0,1643363144976,Head_Target,1.658839,1.727058,0.0499191,1.031336,182.3122,251.5485,
0,1643363145097,Head_Target,1.654835,1.727453,0.05196113,1.270349,182.3423,251.29,
0,1643363145223,Head_Target,1.652483,1.727719,0.05402819,1.496697,182.1434,250.9233,
0,1643363145334,Head_Target,1.650763,1.728017,0.05614054,1.740773,181.8868,250.504,
0,1643363145458,Head_Target,1.649404,1.72807,0.05822238,1.933031,181.5856,249.8066,
0,1643363145567,Head_Target,1.64856,1.728295,0.05941086,1.837862,181.3269,249.344,
0,1643363145689,Head_Target,1.647267,1.728291,0.06008065,1.837759,180.9692,248.9893,
0,1643363145816,Head_Target,1.646364,1.728218,0.06059036,1.780482,180.7433,248.5217,
0,1643363145939,Head_Target,1.645976,1.728553,0.06130438,1.687444,180.5916,247.7611,
0,1643363146066,Head_Target,1.645185,1.728288,0.06129099,1.600948,180.7104,247.2416,
0,1643363146190,Head_Target,1.645232,1.728633,0.06136047,1.541607,180.7334,246.6794,
0,1643363146299,Head_Target,1.646141,1.728868,0.06144595,1.516557,180.704,246.5205,
0,1643363146412,Head_Target,1.647946,1.728975,0.06125049,1.659613,180.7437,246.5155,
0,1643363146527,Head_Target,1.649467,1.728988,0.06120168,1.643371,180.6436,246.6964,
0,1643363146646,Head_Target,1.650644,1.729007,0.06115023,1.669217,180.6951,246.7386,
0,1643363146769,Head_Target,1.651411,1.729151,0.06119803,1.65685,180.5992,246.5993,
0,1643363146888,Head_Target,1.652256,1.729164,0.06098941,1.607917,180.6113,246.6293,
0,1643363147012,Head_Target,1.653425,1.729265,0.06068696,1.655411,180.5288,246.6127,
0,1643363147135,Head_Target,1.654538,1.729123,0.06060502,1.71291,180.519,246.675,
0,1643363147256,Head_Target,1.655751,1.729616,0.06073985,1.741858,180.4736,246.7002,
0,1643363147370,Head_Target,1.656833,1.729728,0.06040453,1.818739,180.679,246.7866,
0,1643363147486,Head_Target,1.656995,1.729348,0.06041308,1.993536,180.4418,245.6092,
0,1643363147609,Head_Target,1.6545,1.731462,0.06030855,3.545002,180.0923,236.46,
0,1643363147732,Head_Target,1.644847,1.733503,0.05938034,4.43683,179.2202,221.6679,
0,1643363147862,Head_Target,1.620085,1.727903,0.05702937,5.05386,176.8829,206.3679,
0,1643363147993,Head_Target,1.606018,1.71965,0.05358614,5.18635,175.0264,201.9772,
0,1643363148123,Head_Target,1.60471,1.715613,0.0509609,4.511611,174.0361,201.3218,
0,1643363148243,Head_Target,1.609992,1.713973,0.04872201,4.108868,173.2397,200.901,
0,1643363148358,Head_Target,1.615031,1.71313,0.04735462,4.051997,172.9666,201.0832,
0,1643363148475,Head_Target,1.621248,1.712009,0.04569361,4.370025,172.8368,201.3355,
0,1643363148592,Head_Target,1.627969,1.711564,0.04466599,4.762429,172.8954,202.2584,
0,1643363148712,Head_Target,1.633764,1.711857,0.04400472,4.655251,173.3533,202.9181,
0,1643363148836,Head_Target,1.640263,1.713167,0.04364763,4.191586,173.5359,203.9687,
0,1643363148956,Head_Target,1.646177,1.714223,0.04204822,3.193884,174.0411,204.2217,
0,1643363149083,Head_Target,1.649933,1.714206,0.03987246,4.017389,174.2892,204.0448,
0,1643363149206,Head_Target,1.6525,1.714493,0.03746042,3.950103,173.9976,204.2846,
0,1643363149324,Head_Target,1.653654,1.714357,0.03548295,3.788165,173.6333,204.4723,
0,1643363149450,Head_Target,1.65253,1.714337,0.03428404,3.866331,173.3985,204.2981,
0,1643363149577,Head_Target,1.649125,1.714001,0.03365915,3.784961,173.5621,204.6118,
0,1643363149706,Head_Target,1.645284,1.714187,0.03387534,3.898986,173.4636,204.4503,
