unixTime,lslTime,EDA
1643364855711,1202.463441,2.81
1643364855711,1202.4635244,2.83
1643364855711,1202.4635302,2.81
1643364855711,1202.4635342,2.81
1643364855711,1202.4635366,2.81
1643364855711,1202.4635399,2.83
1643364855711,1202.4635421,2.81
1643364855711,1202.4635454,2.83
1643364855711,1202.4635476,2.83
1643364855711,1202.4635509,2.83
1643364855735,1202.4635531,2.83
1643364855735,1202.4636104,2.83
1643364855735,1202.4636164,2.83
1643364855735,1202.4636197,2.83
1643364855735,1202.4636234,2.83
1643364855735,1202.4809342,2.83
1643364855735,1202.480951,2.83
1643364855735,1202.4810635,2.83
1643364855735,1202.4810688,2.83
1643364855735,1202.481072,2.83
1643364855760,1202.4810756,2.83
1643364855760,1202.4810785,2.83
1643364855760,1202.481097,2.83
1643364855760,1202.4811008,2.83
1643364855760,1202.4811033,2.83
1643364855760,1202.4811069,2.83
1643364855760,1202.4811106,2.83
1643364855760,1202.4811142,2.83
1643364855760,1202.4811177,2.83
1643364855760,1202.4811214,2.86
1643364855792,1202.4979203,2.83
1643364855792,1202.4979291,2.86
1643364855792,1202.497932,2.86
1643364855792,1202.4979341,2.86
1643364855792,1202.4979362,2.86
1643364855792,1202.4979382,2.86
1643364855792,1202.4979403,2.86
1643364855792,1202.4979424,2.86
1643364855792,1202.4979447,2.86
1643364855792,1202.4979469,2.86
1643364855812,1202.4979488,2.86
1643364855812,1202.497951,2.86
1643364855812,1202.4979529,2.86
1643364855812,1202.4979568,2.86
1643364855812,1202.4981814,2.86
1643364855812,1202.5047886,2.86
1643364855812,1202.5050009,2.86
1643364855812,1202.5050578,2.86
1643364855812,1202.5050604,2.86
1643364855812,1202.5050627,2.88
1643364855836,1202.5050646,2.86
1643364855836,1202.5050667,2.88
1643364855836,1202.5050686,2.86
1643364855836,1202.5050706,2.88
1643364855836,1202.5050726,2.88
1643364855836,1202.5050745,2.88
1643364855836,1202.5050765,2.88
1643364855836,1202.5050785,2.88
1643364855836,1202.5050805,2.88
1643364855836,1202.5050824,2.88
1643364855859,1202.5951286,2.88
1643364855859,1202.5951454,2.88
1643364855859,1202.5951539,2.88
1643364855859,1202.5951613,2.88
1643364856087,1202.5951644,2.88
1643364856087,1202.5951678,2.88
1643364856087,1202.5951761,2.88
1643364856087,1202.595185,2.88
1643364856087,1202.5951974,2.88
1643364856087,1202.5953347,2.88
1643364856087,1202.5953396,2.88
1643364856087,1202.5953426,2.88
1643364856087,1202.5956003,2.88
1643364856087,1202.5956041,2.88
1643364856119,1202.5956078,2.86
1643364856119,1202.7425441,2.86
1643364856119,1202.7430938,2.86
1643364856119,1202.7432595,2.88
1643364856119,1202.7532045,2.86
1643364856119,1202.7532672,2.86
1643364856119,1202.753271,2.86
1643364856119,1202.7532749,2.86
1643364856119,1202.7532772,2.86
1643364856119,1202.7532813,2.86
1643364856141,1202.7532853,2.86
1643364856141,1202.7532889,2.86
1643364856141,1202.753292,2.83
1643364856141,1202.7532956,2.83
1643364856141,1202.7532995,2.83
1643364856141,1202.7533025,2.83
1643364856141,1202.8771648,2.83
1643364856141,1202.8771729,2.83
1643364856141,1202.8771753,2.83
1643364856141,1202.8771774,2.83
1643364856166,1202.8771794,2.83
1643364856166,1202.8771813,2.83
1643364856372,1202.8771833,2.83
1643364856372,1202.8771853,2.83
1643364856372,1202.8771883,2.83
1643364856372,1202.8771904,2.83
1643364856372,1202.8771924,2.81
1643364856372,1202.8771943,2.83
1643364856372,1202.8771962,2.81
1643364856372,1202.8771983,2.83
1643364856372,1202.8772001,2.81
1643364856372,1203.0133428,2.83
1643364856399,1203.0138395,2.81
1643364856399,1203.013844,2.81
1643364856399,1203.0138464,2.81
1643364856399,1203.0138485,2.81
1643364856399,1203.0138507,2.81
1643364856399,1203.0138527,2.81
1643364856399,1203.0138547,2.81
1643364856399,1203.0138568,2.81
1643364856399,1203.013859,2.81
1643364856399,1203.0138609,2.81
1643364856431,1203.013863,2.81
1643364856431,1203.013865,2.81
1643364856431,1203.0138672,2.81
1643364856431,1203.0138693,2.81
1643364856431,1203.17287,2.81
1643364856431,1203.1728789,2.81
1643364856431,1203.172882,2.81
1643364856431,1203.172886,2.81
1643364856431,1203.1728883,2.81
1643364856431,1203.1730484,2.83
1643364856452,1203.1730542,2.83
1643364856452,1203.173058,2.83
1643364856676,1203.173209,2.83
1643364856676,1203.1732128,2.83
1643364856676,1203.1732151,2.83
1643364856676,1203.1732173,2.86
1643364856676,1203.1732194,2.86
1643364856676,1203.1732215,2.86
1643364856676,1203.1732234,2.86
1643364856676,1203.3186595,2.86
1643364856676,1203.3188639,2.86
1643364856676,1203.3192587,2.86
1643364856923,1203.3192699,2.86
1643364856923,1203.3193082,2.86
1643364856923,1203.3193251,2.86
1643364856923,1203.3193517,2.86
1643364856923,1203.3193801,2.83
1643364856923,1203.3193836,2.83
1643364856923,1203.319386,2.83
1643364856923,1203.3193888,2.86
1643364856923,1203.3193909,2.83
1643364856923,1203.3193931,2.83
1643364856966,1203.3193952,2.83
1643364856966,1203.3193973,2.83
1643364856966,1203.4782964,2.83
1643364856966,1203.4783053,2.83
1643364856966,1203.4783093,2.83
1643364856966,1203.4783129,2.83
1643364856966,1203.4783893,2.83
1643364856966,1203.4783986,2.83
1643364856966,1203.4784022,2.83
1643364856966,1203.4784049,2.83
