pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643364883936,BeamStart_Target,1.577635,0.09497924,0.1078377,270.9333,220.3854,44.04877,
0,1643364884049,BeamStart_Target,1.577634,0.09491024,0.1078715,270.8598,221.0541,43.37033,
0,1643364884150,BeamStart_Target,1.577646,0.09472105,0.1077335,270.8578,218.5098,45.90264,
0,1643364884264,BeamStart_Target,1.577651,0.09468053,0.1079256,270.8767,220.9907,43.4252,
0,1643364884385,BeamStart_Target,1.577975,0.09538756,0.1078469,270.9559,217.6175,46.77766,
0,1643364884499,BeamStart_Target,1.577707,0.09451691,0.1077014,270.9128,218.5855,45.82621,
0,1643364884616,BeamStart_Target,1.577712,0.09492627,0.1076568,270.8965,220.4603,43.97385,
0,1643364884717,BeamStart_Target,1.577743,0.09468844,0.1078987,270.9035,218.4354,45.98864,
0,1643364884845,BeamStart_Target,1.577816,0.09491267,0.1078224,270.9111,218.9095,45.50033,
0,1643364884955,BeamStart_Target,1.577855,0.09511106,0.1075772,270.8874,218.5344,45.88502,
0,1643364885068,BeamStart_Target,1.577646,0.09448726,0.1075119,270.8961,218.4726,45.9562,
0,1643364885171,BeamStart_Target,1.577972,0.09489674,0.1077254,270.8787,221.256,43.14828,
0,1643364885286,BeamStart_Target,1.577931,0.09496494,0.1075515,270.8711,222.2975,42.11536,
0,1643364885410,BeamStart_Target,1.577947,0.09453404,0.1075886,270.8874,221.4462,42.95535,
0,1643364885523,BeamStart_Target,1.578084,0.09505366,0.1078529,270.9009,220.7497,43.65227,
0,1643364885650,BeamStart_Target,1.578005,0.09449348,0.1079127,270.9124,221.352,43.03556,
0,1643364885757,BeamStart_Target,1.578049,0.09477332,0.1075949,270.9228,221.5642,42.82657,
0,1643364885882,BeamStart_Target,1.577988,0.09487439,0.1079889,270.9121,222.5959,41.78177,
0,1643364885989,BeamStart_Target,1.57821,0.09485477,0.1078433,270.9104,222.8179,41.56179,
0,1643364886102,BeamStart_Target,1.57811,0.09463021,0.1078353,270.9266,222.3079,42.05627,
0,1643364886230,BeamStart_Target,1.578291,0.09436992,0.1075922,270.9194,221.8388,42.55539,
0,1643364886351,BeamStart_Target,1.578285,0.09465747,0.1078704,270.907,223.7341,40.66294,
0,1643364886459,BeamStart_Target,1.577944,0.09436128,0.107717,270.8974,223.6587,40.78435,
0,1643364886581,BeamStart_Target,1.578257,0.09511094,0.107666,270.8869,223.3556,41.06966,
0,1643364886697,BeamStart_Target,1.578292,0.09473135,0.1076676,270.9003,222.6574,41.76602,
0,1643364886814,BeamStart_Target,1.578333,0.09467231,0.1076063,270.9467,225.4909,38.93287,
0,1643364886942,BeamStart_Target,1.578342,0.09491992,0.1075523,270.9407,225.0776,39.32511,
0,1643364887068,BeamStart_Target,1.578384,0.09479415,0.1075157,270.9359,224.6157,39.78031,
0,1643364887194,BeamStart_Target,1.578376,0.09459024,0.1075399,270.9061,223.7927,40.61296,
0,1643364887314,BeamStart_Target,1.578324,0.09470142,0.1074697,270.8878,224.1154,40.28009,
0,1643364887443,BeamStart_Target,1.578205,0.09452003,0.1072817,270.8882,224.8567,39.54809,
0,1643364887574,BeamStart_Target,1.578385,0.09480749,0.1078508,270.8957,224.8969,39.49262,
0,1643364887702,BeamStart_Target,1.578441,0.09482503,0.1076428,270.8992,224.1364,40.24211,
0,1643364887807,BeamStart_Target,1.578396,0.09433285,0.1076338,270.8976,224.145,40.24386,
0,1643364887922,BeamStart_Target,1.578499,0.0949071,0.1076912,270.8887,224.0614,40.32559,
0,1643364888031,BeamStart_Target,1.578497,0.09447615,0.1077262,270.8838,224.372,40.01081,
0,1643364888148,BeamStart_Target,1.578487,0.09445375,0.1078256,270.9011,224.1187,40.25133,
0,1643364888264,BeamStart_Target,1.57845,0.09463657,0.1078977,270.8763,223.3405,41.03978,
0,1643364888389,BeamStart_Target,1.578614,0.09477272,0.1077429,270.8666,221.4433,42.93045,
0,1643364888503,BeamStart_Target,1.578609,0.09477267,0.1073762,270.8578,222.5127,41.87332,
0,1643364888627,BeamStart_Target,1.578604,0.09446638,0.1075203,270.858,221.6789,42.71721,
0,1643364888729,BeamStart_Target,1.578683,0.09487038,0.1077798,270.8646,222.7772,41.6081,
0,1643364888839,BeamStart_Target,1.578592,0.09418306,0.1077357,270.8827,223.2993,41.05519,
0,1643364888947,BeamStart_Target,1.578719,0.09439666,0.107682,270.8816,224.4292,39.93329,
0,1643364889062,BeamStart_Target,1.578808,0.09448259,0.1077821,270.9113,224.8741,39.47179,
0,1643364889164,BeamStart_Target,1.579071,0.0951127,0.108048,270.9147,225.0225,39.32207,
0,1643364889281,BeamStart_Target,1.578817,0.09388277,0.1075279,270.9037,225.2622,39.08419,
0,1643364889404,BeamStart_Target,1.57893,0.09502487,0.1079628,270.9213,226.0519,38.28291,
0,1643364889514,BeamStart_Target,1.578874,0.09476037,0.1076313,270.9333,226.3493,37.98878,
0,1643364889633,BeamStart_Target,1.578706,0.09427068,0.1074326,270.9498,226.7119,37.62621,
0,1643364889738,BeamStart_Target,1.578784,0.09495039,0.1076895,270.9518,227.7756,36.56339,
0,1643364889872,BeamStart_Target,1.578845,0.09444545,0.1078496,270.9868,226.4932,37.80323,
0,1643364889982,BeamStart_Target,1.57908,0.09453693,0.1076702,270.9774,227.0568,37.26546,
0,1643364890095,BeamStart_Target,1.578847,0.09436913,0.1075039,270.982,227.2195,37.09812,
0,1643364890200,BeamStart_Target,1.579057,0.09461875,0.1076569,270.978,226.173,38.15023,
0,1643364890307,BeamStart_Target,1.579051,0.09489954,0.1077634,270.975,226.1046,38.21985,
0,1643364890418,BeamStart_Target,1.579051,0.09477296,0.1078486,270.986,226.3893,37.93149,
0,1643364890565,BeamStart_Target,1.579019,0.09489657,0.1078026,270.9748,227.2516,37.0808,
0,1643364890664,BeamStart_Target,1.578927,0.09453293,0.107941,270.9879,227.4706,36.84233,
0,1643364890772,BeamStart_Target,1.578917,0.09495752,0.1076127,271.0145,228.4239,35.86611,
0,1643364890897,BeamStart_Target,1.578997,0.09445594,0.1074846,271.0083,228.0608,36.24609,
0,1643364891011,BeamStart_Target,1.579122,0.09470613,0.1076585,270.9943,226.9557,37.36319,
0,1643364891122,BeamStart_Target,1.579223,0.09501533,0.1077078,270.9895,225.5299,38.79264,
0,1643364891225,BeamStart_Target,1.579281,0.09484388,0.107756,271.0045,226.4052,37.89961,
0,1643364891350,BeamStart_Target,1.579054,0.09463382,0.1074803,271.0176,225.9104,38.39273,
