pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643363889488,RightFoot_Target,1.840828,0.1118322,0.1942645,356.6638,351.7505,350.9063,
0,1643363889594,RightFoot_Target,1.840838,0.1119618,0.1944401,356.5896,351.74,350.8081,
0,1643363889710,RightFoot_Target,1.840514,0.1118748,0.1945474,356.5247,351.7365,350.7627,
0,1643363889834,RightFoot_Target,1.840487,0.1122995,0.194791,356.5586,351.7523,350.7952,
0,1643363889958,RightFoot_Target,1.840403,0.1119525,0.1945287,356.5121,351.7463,350.8421,
0,1643363890064,RightFoot_Target,1.84,0.1120472,0.1945999,356.4545,351.7581,350.8324,
0,1643363890162,RightFoot_Target,1.839828,0.1120651,0.1948993,356.4568,351.7697,350.9532,
0,1643363890284,RightFoot_Target,1.83979,0.1121574,0.1948948,356.4154,351.7619,350.885,
0,1643363890410,RightFoot_Target,1.83949,0.1125907,0.1946397,356.4232,351.7509,350.9028,
0,1643363890534,RightFoot_Target,1.839375,0.1122119,0.1948432,356.435,351.7421,351.0219,
0,1643363890634,RightFoot_Target,1.839289,0.1121304,0.1947415,356.4814,351.7486,351.2161,
0,1643363890735,RightFoot_Target,1.839301,0.1116335,0.1946443,356.4247,351.7434,351.3815,
0,1643363890837,RightFoot_Target,1.83879,0.1119625,0.1948526,356.424,351.7586,351.4986,
0,1643363890960,RightFoot_Target,1.838434,0.1120538,0.1948998,356.4752,351.7732,351.7021,
0,1643363891084,RightFoot_Target,1.838515,0.1117241,0.1947283,356.4923,351.7897,351.8737,
0,1643363891185,RightFoot_Target,1.83872,0.1118649,0.1947124,356.5068,351.804,351.9169,
0,1643363891309,RightFoot_Target,1.838832,0.1111788,0.1948238,356.5401,351.8121,351.8715,
0,1643363891410,RightFoot_Target,1.839134,0.1114301,0.1947075,356.5174,351.7987,351.8348,
0,1643363891510,RightFoot_Target,1.838903,0.112132,0.1948116,356.4621,351.7939,351.7243,
0,1643363891634,RightFoot_Target,1.838977,0.1117981,0.1949785,356.3109,351.7934,351.5734,
0,1643363891735,RightFoot_Target,1.838791,0.1119891,0.1950036,356.3315,351.7824,351.6127,
0,1643363891859,RightFoot_Target,1.838462,0.1121574,0.195371,356.3027,351.7808,351.594,
0,1643363891960,RightFoot_Target,1.83858,0.1121327,0.1950775,356.2458,351.7739,351.4859,
0,1643363892085,RightFoot_Target,1.838797,0.1120828,0.1950145,356.2013,351.781,351.445,
0,1643363892209,RightFoot_Target,1.838782,0.1121864,0.1950754,356.307,351.7794,351.3974,
0,1643363892310,RightFoot_Target,1.838697,0.112365,0.1952838,356.4356,351.771,351.4926,
0,1643363892434,RightFoot_Target,1.838668,0.1126358,0.1952389,356.4296,351.7772,351.4526,
0,1643363892560,RightFoot_Target,1.838553,0.112874,0.1951795,356.449,351.7643,351.4264,
0,1643363892684,RightFoot_Target,1.838147,0.1130253,0.1953146,356.4469,351.7602,351.4081,
0,1643363892809,RightFoot_Target,1.837736,0.1127734,0.1955104,356.4749,351.7589,351.3862,
0,1643363892934,RightFoot_Target,1.837399,0.1138804,0.1952904,356.565,351.7536,351.448,
0,1643363893035,RightFoot_Target,1.837094,0.113501,0.1956963,356.5685,351.7548,351.4217,
0,1643363893135,RightFoot_Target,1.836622,0.113617,0.1957703,356.5967,351.7662,351.4868,
0,1643363893259,RightFoot_Target,1.837008,0.1134379,0.1959486,356.5987,351.7637,351.3688,
0,1643363893384,RightFoot_Target,1.836774,0.1140402,0.1957376,356.6074,351.7418,351.3004,
0,1643363893485,RightFoot_Target,1.836786,0.1137395,0.1956458,356.6232,351.7422,351.3152,
0,1643363893609,RightFoot_Target,1.836507,0.1144498,0.1953799,356.6863,351.7363,351.4724,
0,1643363893712,RightFoot_Target,1.836124,0.1137673,0.1955939,356.8996,351.7603,351.7302,
0,1643363893837,RightFoot_Target,1.836073,0.112522,0.195316,357.0402,351.7788,351.8999,
0,1643363893960,RightFoot_Target,1.835978,0.1110056,0.1955477,356.794,351.7601,351.4411,
0,1643363894086,RightFoot_Target,1.836013,0.1107867,0.1956294,356.9041,351.8338,351.7327,
0,1643363894186,RightFoot_Target,1.835612,0.1109921,0.1959973,356.6198,351.8116,351.574,
0,1643363894310,RightFoot_Target,1.835607,0.111291,0.1955849,357.0109,351.7962,351.2307,
0,1643363894438,RightFoot_Target,1.835061,0.1149211,0.1955541,358.3266,351.8266,352.4915,
0,1643363894559,RightFoot_Target,1.825608,0.1213789,0.1955478,1.992518,355.8401,359.4001,
0,1643363894684,RightFoot_Target,1.732343,0.1195955,0.1929874,353.9723,354.2134,349.7996,
0,1643363894809,RightFoot_Target,1.743442,0.1204423,0.1929902,358.2419,355.0152,350.7665,
0,1643363894933,RightFoot_Target,1.745035,0.1167251,0.1942532,356.5644,354.7733,350.5798,
0,1643363895058,RightFoot_Target,1.745048,0.115347,0.1939746,357.6051,354.5712,351.2444,
0,1643363895183,RightFoot_Target,1.744514,0.1141014,0.1944484,357.3877,354.5259,351.4163,
0,1643363895284,RightFoot_Target,1.744486,0.1137068,0.1942556,357.345,354.4887,351.4506,
0,1643363895385,RightFoot_Target,1.744365,0.1133791,0.1940146,357.8437,354.4497,351.7374,
0,1643363895508,RightFoot_Target,1.744271,0.1129029,0.1940635,357.8242,354.4241,351.9781,
0,1643363895633,RightFoot_Target,1.743997,0.1126139,0.1939417,357.7364,354.4282,352.1557,
0,1643363895758,RightFoot_Target,1.743338,0.1124778,0.1942291,357.4263,354.5028,352.4412,
0,1643363895883,RightFoot_Target,1.743039,0.113083,0.194267,357.2289,354.5169,352.4006,
0,1643363896008,RightFoot_Target,1.742789,0.1133057,0.1939242,357.0847,354.5322,352.3392,
0,1643363896134,RightFoot_Target,1.742973,0.113208,0.1943306,356.8657,354.5097,352.0101,
0,1643363896258,RightFoot_Target,1.743024,0.113266,0.1944927,356.7608,354.4808,351.8648,
0,1643363896383,RightFoot_Target,1.74304,0.1136986,0.1942624,356.683,354.5151,351.785,
0,1643363896507,RightFoot_Target,1.743172,0.1131274,0.1947657,356.8682,354.4387,351.7055,
0,1643363896608,RightFoot_Target,1.743084,0.1132425,0.1944592,356.8118,354.4554,351.7895,
0,1643363896708,RightFoot_Target,1.743114,0.1129569,0.1945301,356.7918,354.4607,351.7614,
0,1643363896834,RightFoot_Target,1.742918,0.1130693,0.194453,356.7006,354.4833,351.7356,
0,1643363896958,RightFoot_Target,1.742828,0.1132994,0.1944492,356.6934,354.4928,351.8201,
0,1643363897084,RightFoot_Target,1.742684,0.1131231,0.194456,356.7176,354.4801,351.9085,
0,1643363897184,RightFoot_Target,1.742749,0.1130736,0.1944523,356.7024,354.4707,351.8998,
0,1643363897285,RightFoot_Target,1.742923,0.1128866,0.1943959,356.7223,354.4614,351.8788,
0,1643363897388,RightFoot_Target,1.742747,0.1128245,0.1944534,356.785,354.473,351.8803,
0,1643363897499,RightFoot_Target,1.74297,0.1137678,0.1947147,356.7265,354.4859,351.7404,
0,1643363897604,RightFoot_Target,1.742973,0.1136843,0.1944954,356.8069,354.4909,351.7374,
0,1643363897709,RightFoot_Target,1.743052,0.1134778,0.1946605,357.0364,354.4848,351.7863,
0,1643363897810,RightFoot_Target,1.743228,0.1136532,0.1945217,357.1979,354.4655,351.7926,
0,1643363897912,RightFoot_Target,1.743119,0.1136236,0.1946351,357.3815,354.4555,351.8516,
0,1643363898035,RightFoot_Target,1.743352,0.1137936,0.1947182,357.4261,354.4616,351.7856,
0,1643363898158,RightFoot_Target,1.743247,0.1135595,0.1945892,357.5326,354.4524,351.7536,
0,1643363898261,RightFoot_Target,1.74328,0.1137616,0.1947188,357.8227,354.4336,351.8521,
0,1643363898383,RightFoot_Target,1.743333,0.1138081,0.194479,358.5114,354.3955,352.1586,
0,1643363898484,RightFoot_Target,1.743658,0.1142333,0.1945881,359.0674,354.3866,352.4799,
