pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643369620529,BeamEnd_Target,-4.459991,0.09574271,-0.05338235,274.1695,187.5704,350.2258,
0,1643369620658,BeamEnd_Target,-4.459853,0.0952714,-0.05352004,274.1764,187.8718,349.9197,
0,1643369620773,BeamEnd_Target,-4.459768,0.09566017,-0.05319542,274.1772,187.6911,350.1064,
0,1643369620873,BeamEnd_Target,-4.459914,0.09544431,-0.05353726,274.171,187.6011,350.1925,
0,1643369620973,BeamEnd_Target,-4.459883,0.09547985,-0.05322105,274.1683,187.6181,350.1866,
0,1643369621074,BeamEnd_Target,-4.459798,0.09556594,-0.05348964,274.166,187.6589,350.1386,
0,1643369621198,BeamEnd_Target,-4.459703,0.0956,-0.0533271,274.1602,187.5215,350.264,
0,1643369621298,BeamEnd_Target,-4.459781,0.09544826,-0.05320969,274.1551,187.649,350.1403,
0,1643369621423,BeamEnd_Target,-4.460098,0.09544803,-0.05303492,274.155,187.8155,349.959,
0,1643369621548,BeamEnd_Target,-4.459926,0.09548277,-0.05346734,274.1526,187.9216,349.8466,
0,1643369621648,BeamEnd_Target,-4.459877,0.09542592,-0.05329908,274.16,187.7438,350.0294,
0,1643369621773,BeamEnd_Target,-4.459672,0.09538998,-0.05319595,274.1627,187.8537,349.9431,
0,1643369621898,BeamEnd_Target,-4.460059,0.09530706,-0.0534059,274.1609,188.1338,349.665,
0,1643369622023,BeamEnd_Target,-4.459931,0.09563415,-0.05345768,274.1662,187.9434,349.8492,
0,1643369622148,BeamEnd_Target,-4.459996,0.0955478,-0.053366,274.1712,187.9659,349.8351,
0,1643369622273,BeamEnd_Target,-4.459912,0.09523785,-0.05344004,274.1624,188.0196,349.7783,
0,1643369622398,BeamEnd_Target,-4.459952,0.09527182,-0.05319232,274.1664,187.9839,349.8191,
0,1643369622498,BeamEnd_Target,-4.459992,0.09537219,-0.05331746,274.1657,187.902,349.8881,
0,1643369622622,BeamEnd_Target,-4.459854,0.09559223,-0.05308433,274.1725,187.8591,349.9491,
0,1643369622722,BeamEnd_Target,-4.459712,0.09541158,-0.05338462,274.1656,187.8604,349.9342,
0,1643369622826,BeamEnd_Target,-4.459683,0.09559377,-0.05313117,274.1818,187.6704,350.1309,
