unixTime,lslTime,EDA
1643371449609,7799.3903026,10.35
1643371449609,7799.3903046,10.38
1643371449609,7799.3903066,10.38
1643371449609,7799.3903085,10.38
1643371449609,7799.3903104,10.38
1643371449609,7799.3903122,10.38
1643371449609,7799.3903297,10.38
1643371449609,7799.516166,10.38
1643371449609,7799.5162087,10.38
1643371449609,7799.5167174,10.38
1643371449631,7799.5167226,10.38
1643371449631,7799.5167264,10.38
1643371449631,7799.5169404,10.38
1643371449631,7799.5169448,10.38
1643371449631,7799.516947,10.38
1643371449631,7799.5169502,10.38
1643371449631,7799.5169537,10.4
1643371449631,7799.5169572,10.4
1643371449631,7799.5169594,10.4
1643371449631,7799.5169857,10.42
1643371449655,7799.5169879,10.42
1643371449655,7799.5169899,10.42
1643371450030,7799.6775286,10.42
1643371450030,7799.6775374,10.42
1643371450030,7799.6775416,10.45
1643371450030,7799.6777087,10.45
1643371450030,7799.6777145,10.45
1643371450030,7799.6777185,10.45
1643371450030,7799.6777208,10.45
1643371450030,7799.6777241,10.47
1643371450030,7799.6777264,10.47
1643371450030,7799.6777297,10.47
1643371450055,7799.677732,10.5
1643371450055,7799.6777353,10.5
1643371450055,7799.6777379,10.5
1643371450055,7799.6777412,10.52
1643371450055,7799.6777449,10.52
1643371450055,7799.8171019,10.52
1643371450055,7799.8171092,10.55
1643371450055,7799.8172042,10.55
1643371450055,7799.8172171,10.57
1643371450055,7799.8172218,10.57
1643371450080,7799.817225,10.57
1643371450080,7799.8172285,10.6
1643371450080,7799.817232,10.6
1643371450080,7799.8172892,10.62
1643371450080,7799.817317,10.62
1643371450080,7799.8173209,10.62
1643371450080,7799.8174175,10.64
1643371450080,7799.8174197,10.64
1643371450080,7799.8174216,10.64
1643371450080,7799.8174235,10.67
1643371450104,7799.984737,10.67
1643371450104,7799.9849039,10.69
1643371450304,7799.9849088,10.69
1643371450304,7799.9849127,10.72
1643371450304,7799.9849892,10.72
1643371450304,7799.9849916,10.74
1643371450304,7799.9849937,10.74
1643371450304,7799.9849956,10.74
1643371450304,7799.9849975,10.77
1643371450304,7799.9849994,10.77
1643371450304,7799.9850013,10.79
1643371450304,7799.9850033,10.79
1643371450330,7799.9850052,10.82
1643371450330,7799.9850072,10.84
1643371450330,7799.9850091,10.84
1643371450330,7800.1157196,10.84
1643371450330,7800.115886,10.86
1643371450330,7800.1158905,10.86
1643371450330,7800.1158941,10.89
1643371450330,7800.1159763,10.89
1643371450330,7800.1159787,10.91
1643371450330,7800.1159807,10.91
1643371450355,7800.1159826,10.94
1643371450355,7800.1159845,10.94
1643371450355,7800.1159865,10.94
1643371450355,7800.1159884,10.96
1643371450355,7800.1159903,10.96
1643371450355,7800.1159922,10.99
1643371450355,7800.1159941,10.99
1643371450355,7800.1159961,11.01
1643371450355,7800.2625515,11.01
1643371450355,7800.2625596,11.01
1643371450379,7800.2625637,11.01
1643371450379,7800.262566,11.04
1643371450606,7800.2625692,11.04
1643371450606,7800.2625713,11.06
1643371450606,7800.2629449,11.06
1643371450606,7800.2629484,11.08
