pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643370040002,Pelvis_Target,1.980621,1.023206,-0.007555179,3.63092,180.9386,347.3742,
0,1643370040132,Pelvis_Target,1.980715,1.023145,-0.00872241,3.548795,180.9356,347.369,
0,1643370040248,Pelvis_Target,1.978846,1.023397,-0.009387054,3.500908,180.8962,347.4629,
0,1643370040374,Pelvis_Target,1.975571,1.023119,-0.01019371,3.498017,180.1342,347.6844,
0,1643370040497,Pelvis_Target,1.972808,1.023265,-0.01071083,3.449888,180.0792,347.8125,
0,1643370040603,Pelvis_Target,1.97179,1.023089,-0.01155496,3.545019,181.1495,347.9897,
0,1643370040714,Pelvis_Target,1.971792,1.022921,-0.01183256,3.688541,182.225,348.0905,
0,1643370040831,Pelvis_Target,1.972732,1.022223,-0.0127941,3.818914,182.9028,347.9927,
0,1643370040947,Pelvis_Target,1.974422,1.021901,-0.014787,3.974127,182.9735,347.8394,
0,1643370041048,Pelvis_Target,1.975539,1.022489,-0.01690661,3.983505,182.8092,347.6929,
0,1643370041164,Pelvis_Target,1.976988,1.022506,-0.02111994,3.831942,182.9276,347.4987,
0,1643370041281,Pelvis_Target,1.97823,1.023131,-0.02526814,3.705457,183.0061,347.2059,
0,1643370041382,Pelvis_Target,1.97812,1.023882,-0.028468,3.617013,182.8012,346.9969,
0,1643370041507,Pelvis_Target,1.978015,1.023947,-0.03291565,3.588063,182.831,346.654,
0,1643370041630,Pelvis_Target,1.977766,1.024085,-0.03711945,3.50826,183.484,346.6505,
0,1643370041756,Pelvis_Target,1.976437,1.02399,-0.04037701,3.56252,183.6259,346.6417,
0,1643370041857,Pelvis_Target,1.974185,1.023682,-0.04328653,3.556613,183.5097,346.7013,
0,1643370041981,Pelvis_Target,1.971273,1.02315,-0.04809891,3.549404,183.2352,346.9602,
0,1643370042105,Pelvis_Target,1.969396,1.022214,-0.05398376,3.402663,182.8333,347.4303,
0,1643370042214,Pelvis_Target,1.969555,1.021741,-0.06004053,3.326295,182.5738,347.5476,
0,1643370042314,Pelvis_Target,1.971386,1.020573,-0.06704799,3.153539,182.4665,347.3455,
0,1643370042431,Pelvis_Target,1.975425,1.018865,-0.07577357,2.915251,182.4349,347.0237,
0,1643370042546,Pelvis_Target,1.979442,1.016263,-0.08423659,2.476997,182.3074,346.9885,
0,1643370042647,Pelvis_Target,1.982293,1.013927,-0.09064751,2.098764,182.4193,346.9333,
0,1643370042794,Pelvis_Target,1.986124,1.013155,-0.09876686,2.517698,183.2043,346.9999,
0,1643370042902,Pelvis_Target,1.988861,1.00914,-0.1075082,2.584873,183.4869,347.0347,
0,1643370043007,Pelvis_Target,1.989625,1.006298,-0.1152874,2.812962,183.6038,347.0611,
0,1643370043107,Pelvis_Target,1.99099,1.001672,-0.1245682,2.892548,183.9557,347.3426,
0,1643370043211,Pelvis_Target,1.990823,0.9998838,-0.1310361,2.940219,184.5541,347.9233,
0,1643370043333,Pelvis_Target,1.990638,0.9957907,-0.1397076,2.83109,185.0369,348.8524,
