pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643368499382,Head_Target,1.853907,1.212568,-0.386899,342.3116,312.1196,203.3044,
0,1643368499500,Head_Target,1.848994,1.209768,-0.3884003,344.5231,309.918,204.7864,
0,1643368499615,Head_Target,1.845414,1.211853,-0.3891044,344.8521,309.1172,204.9831,
0,1643368499740,Head_Target,1.845224,1.215617,-0.3900014,345.6754,309.2622,204.3079,
0,1643368499865,Head_Target,1.845266,1.216505,-0.3914499,345.4704,309.7687,204.5072,
0,1643368499987,Head_Target,1.848277,1.212675,-0.3923193,343.9122,311.9832,205.6473,
0,1643368500110,Head_Target,1.848871,1.213699,-0.3904833,345.0294,310.7809,205.0741,
0,1643368500231,Head_Target,1.847989,1.212966,-0.390821,344.7874,310.7346,204.7837,
0,1643368500358,Head_Target,1.846336,1.214161,-0.3893746,344.4816,309.061,207.6531,
0,1643368500481,Head_Target,1.846486,1.219362,-0.3913772,343.879,307.5861,207.7405,
0,1643368500608,Head_Target,1.843411,1.222179,-0.3925316,345.1628,306.8613,210.3469,
0,1643368500739,Head_Target,1.841703,1.228142,-0.3911107,345.8957,305.8305,210.9767,
0,1643368500839,Head_Target,1.83914,1.234391,-0.3920754,345.0206,306.6246,211.292,
0,1643368500973,Head_Target,1.834006,1.242835,-0.3989422,345.8956,305.2383,214.1853,
0,1643368501088,Head_Target,1.826822,1.253027,-0.4074372,346.7296,302.2787,217.8801,
0,1643368501204,Head_Target,1.822603,1.258863,-0.4125127,348.6602,298.6,221.955,
0,1643368501323,Head_Target,1.815426,1.272882,-0.4137228,350.2305,293.8817,228.887,
0,1643368501439,Head_Target,1.798468,1.29204,-0.4110224,352.0177,283.4948,240.1985,
0,1643368501558,Head_Target,1.790171,1.301228,-0.4056738,343.3557,267.2874,258.6732,
0,1643368501674,Head_Target,1.792209,1.311597,-0.4085769,339.2206,254.7169,269.7206,
0,1643368501792,Head_Target,1.796536,1.319982,-0.4228185,338.3501,248.0826,282.4357,
0,1643368501907,Head_Target,1.809187,1.320552,-0.4343597,337.5397,243.1236,289.9846,
0,1643368502012,Head_Target,1.821229,1.31975,-0.4355996,348.5723,241.7566,291.1831,
0,1643368502117,Head_Target,1.843158,1.316435,-0.4350621,5.163912,240.8966,292.8604,
0,1643368502234,Head_Target,1.86949,1.318623,-0.4442858,6.200979,227.5708,290.8832,
0,1643368502361,Head_Target,1.879423,1.312117,-0.4558824,14.62061,215.8593,283.0837,
0,1643368502492,Head_Target,1.883976,1.300792,-0.4721251,17.21257,205.8932,276.658,
0,1643368502618,Head_Target,1.894814,1.304358,-0.4831419,11.04613,200.37,272.0981,
0,1643368502719,Head_Target,1.902726,1.302673,-0.4790907,12.07164,198.4051,269.8096,
0,1643368502821,Head_Target,1.905462,1.302133,-0.4714287,11.35519,196.5341,268.7077,
0,1643368502953,Head_Target,1.904155,1.294188,-0.4629489,10.03558,192.9105,268.035,
0,1643368503076,Head_Target,1.899893,1.276103,-0.4633211,5.536013,191.0431,266.5366,
0,1643368503200,Head_Target,1.89268,1.268268,-0.4520077,2.752374,187.2428,264.3423,
0,1643368503326,Head_Target,1.875338,1.270135,-0.437916,5.919446,185.2368,265.4426,
0,1643368503428,Head_Target,1.869494,1.254485,-0.4337564,7.00386,184.0523,269.7274,
0,1643368503550,Head_Target,1.871491,1.25315,-0.4186615,3.964467,182.2415,269.428,
0,1643368503677,Head_Target,1.881009,1.313567,-0.4109138,2.121507,181.8613,260.7473,
0,1643368503777,Head_Target,1.887388,1.342848,-0.3984604,359.7473,184.2099,259.1523,
0,1643368503908,Head_Target,1.891043,1.34371,-0.3400496,358.4724,181.3776,262.1586,
0,1643368504036,Head_Target,1.904084,1.391958,-0.3088817,355.9455,181.3492,257.9622,
0,1643368504169,Head_Target,1.922773,1.441172,-0.3311665,4.460279,188.072,257.5999,
0,1643368504303,Head_Target,1.934305,1.446647,-0.3300828,5.785516,191.0215,261.2156,
0,1643368504402,Head_Target,1.934167,1.437221,-0.326543,6.244286,192.741,263.8906,
0,1643368504536,Head_Target,1.921777,1.431558,-0.3240153,7.395958,194.1552,266.1337,
0,1643368504669,Head_Target,1.913813,1.428298,-0.3189312,6.996646,195.8563,266.6159,
0,1643368504769,Head_Target,1.916091,1.425432,-0.3093453,6.528543,194.1596,266.7311,
0,1643368504900,Head_Target,1.923187,1.43253,-0.2958533,8.333258,192.081,265.334,
0,1643368505002,Head_Target,1.930455,1.439339,-0.2962589,6.991492,191.0494,264.3541,
0,1643368505135,Head_Target,1.93276,1.445961,-0.2990009,8.918941,189.9885,264.2239,
0,1643368505268,Head_Target,1.937556,1.460023,-0.304973,7.433518,189.7409,262.4323,
0,1643368505371,Head_Target,1.939943,1.472942,-0.3074691,6.366132,189.4225,261.2423,
0,1643368505503,Head_Target,1.941152,1.487989,-0.313509,7.04167,189.6808,260.0774,
0,1643368505603,Head_Target,1.946322,1.49579,-0.3163039,6.726109,189.766,260.7902,
0,1643368505735,Head_Target,1.956476,1.504372,-0.3204888,4.978562,190.7007,262.9191,
0,1643368505837,Head_Target,1.965188,1.509687,-0.3230457,3.880798,191.5047,264.461,
0,1643368505973,Head_Target,1.97788,1.521953,-0.3221825,4.14306,191.3824,264.1205,
0,1643368506102,Head_Target,1.988939,1.529236,-0.3312674,5.859643,194.3552,263.8455,
0,1643368506203,Head_Target,1.998435,1.536282,-0.3388723,8.067686,195.9699,262.3671,
0,1643368506335,Head_Target,2.010306,1.547023,-0.3435014,8.13979,198.2315,261.6301,
0,1643368506437,Head_Target,2.018424,1.562194,-0.3408149,8.34576,198.5304,260.0357,
0,1643368506541,Head_Target,2.028017,1.581446,-0.3405531,9.37066,201.3137,259.9452,
0,1643368506644,Head_Target,2.031899,1.592767,-0.3394928,9.363047,203.933,261.8445,
0,1643368506746,Head_Target,2.040404,1.619393,-0.3259074,11.88906,201.3312,257.251,
0,1643368506855,Head_Target,2.051978,1.642691,-0.3133843,12.55262,199.5953,254.5392,
0,1643368506965,Head_Target,2.066737,1.662685,-0.3065552,12.54922,200.5714,254.4104,
0,1643368507094,Head_Target,2.096316,1.691558,-0.2879593,12.37671,200.342,255.5067,
0,1643368507226,Head_Target,2.128761,1.728015,-0.26486,13.0398,197.5983,253.6204,
0,1643368507326,Head_Target,2.165472,1.758348,-0.243821,12.87279,195.1901,252.6614,
0,1643368507428,Head_Target,2.204353,1.78199,-0.2185821,10.27103,194.2635,255.9861,
0,1643368507559,Head_Target,2.247843,1.806513,-0.1791615,7.508213,191.1431,259.7381,
0,1643368507661,Head_Target,2.277394,1.818742,-0.1473078,6.847915,188.8334,261.8472,
0,1643368507794,Head_Target,2.299356,1.816964,-0.1103382,5.787651,186.017,265.5546,
0,1643368507924,Head_Target,2.309978,1.79971,-0.08211946,4.187143,185.0224,271.476,
0,1643368508048,Head_Target,2.308695,1.777627,-0.07153615,4.640833,186.417,275.3737,
0,1643368508170,Head_Target,2.307883,1.764213,-0.05907061,5.604825,186.095,277.5736,
0,1643368508300,Head_Target,2.30796,1.761974,-0.04994452,7.657132,185.2713,275.9772,
0,1643368508401,Head_Target,2.29893,1.760742,-0.0481855,4.889503,185.5256,278.9853,
0,1643368508535,Head_Target,2.287095,1.737919,-0.04570791,1.305693,186.1274,285.5493,
0,1643368508635,Head_Target,2.279317,1.721508,-0.04061103,0.9393145,186.2206,287.4068,
0,1643368508759,Head_Target,2.25731,1.709968,-0.03666255,0.117639,187.325,287.0117,
0,1643368508860,Head_Target,2.244084,1.71468,-0.02944408,2.181522,187.2151,282.0482,
0,1643368508985,Head_Target,2.236686,1.712263,-0.02183391,2.335527,187.3479,279.2781,
0,1643368509108,Head_Target,2.239573,1.711493,-0.01279362,3.768607,185.8502,275.4168,
0,1643368509233,Head_Target,2.246584,1.713515,-0.01163328,3.884399,184.7051,272.6027,
0,1643368509334,Head_Target,2.25498,1.714078,-0.01357044,4.248699,183.6738,270.937,
0,1643368509436,Head_Target,2.263621,1.71326,-0.01406708,4.551033,182.8307,270.5467,
0,1643368509537,Head_Target,2.272281,1.71228,-0.01715067,3.664385,182.6643,271.1917,
0,1643368509670,Head_Target,2.276659,1.716364,-0.02031136,3.355992,182.6815,270.3545,
0,1643368509770,Head_Target,2.275464,1.722032,-0.02063949,3.013205,182.1513,269.6841,
0,1643368509902,Head_Target,2.280059,1.724761,-0.02128734,4.112732,181.4644,264.6093,
0,1643368510003,Head_Target,2.282547,1.725256,-0.02454009,3.358877,181.7729,262.3257,
0,1643368510120,Head_Target,2.285236,1.726834,-0.0271761,1.591069,181.5287,262.148,
0,1643368510249,Head_Target,2.286952,1.726629,-0.02904088,0.5798678,181.0113,262.1379,
0,1643368510350,Head_Target,2.288387,1.726167,-0.03173511,0.7582739,180.4761,261.591,
0,1643368510451,Head_Target,2.288897,1.726424,-0.03455923,0.7197197,179.7848,261.2137,
0,1643368510584,Head_Target,2.286749,1.727088,-0.03832592,0.8234848,178.1406,261.8494,
0,1643368510683,Head_Target,2.284734,1.727304,-0.04014978,1.576534,177.1566,263.3437,
0,1643368510816,Head_Target,2.280953,1.730177,-0.04190721,2.276072,176.1723,266.6327,
0,1643368510949,Head_Target,2.28097,1.731316,-0.04101966,3.615249,176.0506,268.7209,
0,1643368511071,Head_Target,2.280551,1.732556,-0.03707694,2.378605,175.8046,272.0182,
0,1643368511200,Head_Target,2.276194,1.73494,-0.03237469,1.006248,177.3986,274.2872,
0,1643368511323,Head_Target,2.26834,1.734465,-0.03022538,1.801587,178.3554,275.1295,
0,1643368511453,Head_Target,2.265855,1.731717,-0.03383903,4.472407,177.0578,273.8535,
0,1643368511582,Head_Target,2.264588,1.728873,-0.04120059,6.229106,174.5054,272.1061,
0,1643368511683,Head_Target,2.260662,1.730251,-0.04331113,5.479423,173.2628,272.2141,
0,1643368511824,Head_Target,2.251085,1.734399,-0.05043589,4.710974,173.3312,272.1287,
0,1643368511910,Head_Target,2.244029,1.733465,-0.05830151,5.299542,172.826,271.3021,
0,1643368512022,Head_Target,2.238616,1.732375,-0.06661348,4.603004,172.8888,271.4252,
0,1643368512127,Head_Target,2.235548,1.734564,-0.07373658,2.288859,174.2879,274.1179,
0,1643368512238,Head_Target,2.231719,1.734516,-0.0824572,3.382505,176.1939,274.9349,
0,1643368512360,Head_Target,2.232633,1.733232,-0.08317627,5.047496,177.0713,273.9656,
0,1643368512490,Head_Target,2.235523,1.734046,-0.07480551,3.374621,175.0913,275.0468,
0,1643368512592,Head_Target,2.238286,1.734226,-0.07451448,1.556389,173.3763,276.1383,
0,1643368512724,Head_Target,2.238674,1.730621,-0.07766373,1.959242,170.359,275.6041,
0,1643368512858,Head_Target,2.236631,1.728315,-0.08099973,1.441431,164.1407,275.4653,
0,1643368512959,Head_Target,2.239174,1.72715,-0.079212,0.05873537,158.8259,277.4171,
0,1643368513083,Head_Target,2.239074,1.727588,-0.08611667,359.7934,154.921,277.5045,
0,1643368513184,Head_Target,2.238233,1.72859,-0.0916457,0.04766705,152.4751,277.5198,
0,1643368513309,Head_Target,2.240222,1.729185,-0.09427798,0.6607048,150.2496,277.7389,
0,1643368513442,Head_Target,2.24424,1.730238,-0.09571762,2.217462,147.7559,277.5025,
0,1643368513576,Head_Target,2.246526,1.733787,-0.09564601,3.316963,145.4993,276.9117,
0,1643368513677,Head_Target,2.243705,1.735642,-0.09426095,3.829356,144.416,276.5704,
0,1643368513778,Head_Target,2.241032,1.736746,-0.09205946,3.786452,144.1575,276.2642,
0,1643368513906,Head_Target,2.236052,1.7363,-0.08918872,3.817851,144.8222,276.5106,
0,1643368514033,Head_Target,2.232963,1.736146,-0.0855581,3.809292,146.2679,277.2021,
0,1643368514160,Head_Target,2.2323,1.735948,-0.08007042,4.262416,148.0711,276.9625,
0,1643368514260,Head_Target,2.232476,1.736108,-0.07610939,4.626982,150.0149,276.7569,
0,1643368514362,Head_Target,2.234262,1.735139,-0.07103117,4.753668,152.4985,276.7637,
0,1643368514495,Head_Target,2.236966,1.7353,-0.06542219,5.492631,155.9307,277.1781,
0,1643368514628,Head_Target,2.242476,1.736062,-0.06105679,5.757231,158.8024,278.2449,
0,1643368514732,Head_Target,2.248379,1.732738,-0.04847275,6.199748,159.7779,278.111,
0,1643368514862,Head_Target,2.249639,1.731577,-0.04115993,6.873621,161.7515,277.9495,
0,1643368514963,Head_Target,2.252988,1.730329,-0.03350718,7.52632,163.0422,277.3544,
0,1643368515083,Head_Target,2.256361,1.727994,-0.02316567,8.206108,164.0405,276.4821,
0,1643368515208,Head_Target,2.259094,1.726319,-0.01396549,8.235116,165.1201,276.7528,
0,1643368515310,Head_Target,2.263099,1.724492,-0.003802195,8.362807,165.7072,276.0292,
0,1643368515430,Head_Target,2.266086,1.722862,0.004465729,8.173423,166.5635,276.0374,
0,1643368515550,Head_Target,2.271975,1.722621,0.01273134,8.952682,166.9682,275.4921,
0,1643368515684,Head_Target,2.280363,1.722073,0.02002071,9.577715,166.8717,275.6711,
0,1643368515814,Head_Target,2.287603,1.722006,0.02343473,8.501882,166.4341,278.3874,
0,1643368515925,Head_Target,2.291723,1.724161,0.02567968,7.811133,165.0994,279.8525,
0,1643368516039,Head_Target,2.296751,1.724361,0.02796726,7.43668,162.9082,279.8295,
0,1643368516165,Head_Target,2.299527,1.725858,0.02682783,6.894723,160.9336,278.7385,
0,1643368516295,Head_Target,2.303093,1.726586,0.02173485,6.850905,159.7742,278.3689,
0,1643368516393,Head_Target,2.307189,1.725441,0.01623721,8.462978,158.8344,276.0794,
0,1643368516493,Head_Target,2.308979,1.725767,0.007045969,9.219953,158.2412,275.7123,
0,1643368516594,Head_Target,2.310303,1.728135,-0.004146576,7.933938,158.9979,277.3982,
0,1643368516725,Head_Target,2.314374,1.728561,-0.01412587,7.866923,158.9261,277.4258,
0,1643368516826,Head_Target,2.313813,1.730293,-0.02176426,7.325488,159.5789,277.7928,
0,1643368516957,Head_Target,2.313394,1.731399,-0.03294677,6.308612,160.4675,277.6335,
0,1643368517084,Head_Target,2.316002,1.730348,-0.04230636,6.619811,159.5337,273.9621,
0,1643368517185,Head_Target,2.316135,1.730457,-0.04756857,6.242589,157.677,271.9875,
0,1643368517315,Head_Target,2.315857,1.729549,-0.05753922,4.938548,158.422,271.5369,
0,1643368517449,Head_Target,2.317783,1.729482,-0.06869096,4.137935,159.1647,270.6637,
0,1643368517577,Head_Target,2.315939,1.731273,-0.08394204,4.064853,160.0573,269.1895,
0,1643368517676,Head_Target,2.31254,1.734341,-0.09506398,4.509027,160.4174,265.983,
0,1643368517808,Head_Target,2.305971,1.734492,-0.1061557,4.377811,160.1664,263.7036,
0,1643368517908,Head_Target,2.301799,1.733263,-0.1114566,3.640931,160.4507,262.9597,
0,1643368518043,Head_Target,2.296255,1.733492,-0.1162423,3.362177,161.0728,261.8345,
0,1643368518173,Head_Target,2.292519,1.73306,-0.1199863,3.137763,161.8202,260.3397,
0,1643368518279,Head_Target,2.289722,1.733716,-0.122384,3.01246,162.7124,258.9721,
0,1643368518409,Head_Target,2.2865,1.733668,-0.1217547,1.735317,164.762,259.8278,
0,1643368518542,Head_Target,2.287056,1.734817,-0.1213799,2.450975,167.2846,258.3539,
