pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643368499382,RightFoot_Target,2.242257,0.1029398,0.04395645,353.0194,339.4524,359.8312,
0,1643368499500,RightFoot_Target,2.242136,0.1028488,0.04407688,352.9382,339.4542,359.8422,
0,1643368499615,RightFoot_Target,2.242313,0.1024417,0.04379117,352.8008,339.4693,359.8969,
0,1643368499740,RightFoot_Target,2.242443,0.1023338,0.04366353,352.7049,339.5107,359.9015,
0,1643368499865,RightFoot_Target,2.242661,0.102259,0.04333846,352.6581,339.4888,359.9484,
0,1643368499987,RightFoot_Target,2.243089,0.1018983,0.04271888,352.2901,339.5736,359.824,
0,1643368500110,RightFoot_Target,2.242662,0.1019821,0.04279348,352.1785,339.5947,359.9437,
0,1643368500231,RightFoot_Target,2.242991,0.1023478,0.04294482,352.1586,339.6154,359.9474,
0,1643368500358,RightFoot_Target,2.2426,0.1017556,0.04277466,352.2468,339.6309,359.9603,
0,1643368500481,RightFoot_Target,2.242792,0.1020592,0.04301402,352.2571,339.6269,359.8974,
0,1643368500608,RightFoot_Target,2.242339,0.1021981,0.04291163,352.3141,339.6166,359.9179,
0,1643368500739,RightFoot_Target,2.242594,0.1023554,0.04322026,352.3857,339.6071,359.9051,
0,1643368500839,RightFoot_Target,2.242621,0.102109,0.04315255,352.411,339.6033,359.9572,
0,1643368500973,RightFoot_Target,2.242719,0.1019611,0.04296673,352.3193,339.5911,359.9321,
0,1643368501088,RightFoot_Target,2.242447,0.1022982,0.04327265,352.3495,339.6043,359.8967,
0,1643368501204,RightFoot_Target,2.242407,0.1025713,0.0432825,352.3184,339.5896,359.8828,
0,1643368501323,RightFoot_Target,2.242431,0.102079,0.04303239,352.2918,339.5811,359.869,
0,1643368501439,RightFoot_Target,2.242686,0.1020813,0.0430706,352.2698,339.6033,359.8586,
0,1643368501558,RightFoot_Target,2.243169,0.1019178,0.04296279,352.2781,339.5935,359.8744,
0,1643368501674,RightFoot_Target,2.242558,0.1022141,0.04289814,352.2772,339.581,359.8464,
0,1643368501792,RightFoot_Target,2.242389,0.1021472,0.04306358,352.2977,339.5986,359.8247,
0,1643368501907,RightFoot_Target,2.242741,0.1019387,0.04294783,352.3347,339.5727,359.8181,
0,1643368502012,RightFoot_Target,2.242834,0.1022886,0.04324479,352.3182,339.5839,359.8082,
0,1643368502117,RightFoot_Target,2.242787,0.1024759,0.04342571,352.3593,339.595,359.8087,
0,1643368502234,RightFoot_Target,2.242791,0.1023752,0.04328004,352.4556,339.5694,359.8199,
0,1643368502361,RightFoot_Target,2.242883,0.1020464,0.04320301,352.52,339.5665,359.8216,
0,1643368502492,RightFoot_Target,2.242914,0.102114,0.04320641,352.6095,339.5669,359.8039,
0,1643368502618,RightFoot_Target,2.242901,0.10244,0.04344952,352.6272,339.5375,359.7614,
0,1643368502719,RightFoot_Target,2.243283,0.1020524,0.0433483,352.6137,339.4996,359.7374,
0,1643368502821,RightFoot_Target,2.243079,0.1025962,0.04349707,352.6625,339.5117,359.7408,
0,1643368502953,RightFoot_Target,2.243295,0.1022323,0.04341546,352.6419,339.508,359.7581,
0,1643368503076,RightFoot_Target,2.24343,0.1017076,0.04317766,352.6023,339.4674,359.783,
0,1643368503200,RightFoot_Target,2.24396,0.1014424,0.04314636,352.5565,339.4663,359.8192,
0,1643368503326,RightFoot_Target,2.243628,0.1018324,0.04328072,352.5209,339.4636,359.8545,
0,1643368503428,RightFoot_Target,2.243676,0.1020383,0.04339385,352.5444,339.4763,359.8925,
0,1643368503550,RightFoot_Target,2.243903,0.1014405,0.04299097,352.5941,339.4811,359.9254,
0,1643368503677,RightFoot_Target,2.244169,0.1012906,0.04284745,352.6341,339.4493,359.9524,
0,1643368503777,RightFoot_Target,2.244317,0.1012755,0.04269045,352.5586,339.4318,359.9572,
0,1643368503908,RightFoot_Target,2.244678,0.1011619,0.04252361,352.4535,339.4322,-0.003367529,
0,1643368504036,RightFoot_Target,2.244889,0.1004776,0.04199383,352.3371,339.4157,0.036141,
0,1643368504169,RightFoot_Target,2.244369,0.101298,0.04218783,352.2102,339.4295,0.1291675,
0,1643368504303,RightFoot_Target,2.244514,0.100544,0.04169783,352.2012,339.4593,0.06306913,
0,1643368504402,RightFoot_Target,2.245071,0.1001983,0.04149939,352.089,339.423,0.09157509,
0,1643368504536,RightFoot_Target,2.244969,0.09990888,0.04151538,352.0514,339.4759,0.01423437,
0,1643368504669,RightFoot_Target,2.24493,0.09942303,0.04139932,352.0481,339.4813,0.2369801,
0,1643368504769,RightFoot_Target,2.245028,0.09865436,0.04090409,351.9382,339.5373,0.4008406,
0,1643368504900,RightFoot_Target,2.244713,0.09852777,0.04093884,351.7516,339.6029,0.5787107,
0,1643368505002,RightFoot_Target,2.243689,0.09857336,0.04017146,351.1992,339.813,1.44118,
0,1643368505135,RightFoot_Target,2.242987,0.09858403,0.03932767,351.8274,340.4021,4.045416,
0,1643368505268,RightFoot_Target,2.241843,0.09997117,0.03874473,351.2503,340.6487,5.667694,
0,1643368505371,RightFoot_Target,2.240715,0.101543,0.03879106,351.5154,340.6637,7.478023,
0,1643368505503,RightFoot_Target,2.240315,0.1017878,0.03759297,351.277,342.4565,7.978306,
0,1643368505603,RightFoot_Target,2.240823,0.1012354,0.03557814,350.9061,345.2508,7.68835,
0,1643368505735,RightFoot_Target,2.241846,0.1006389,0.03400639,350.55,348.6776,6.694504,
