unixTime,lslTime,ECG
1643374975643,11324.9226102,350
1643374975643,11324.922613,293
1643374975643,11324.922616,220
1643374975643,11324.9226188,144
1643374975643,11324.9226216,68
1643374975643,11324.9226245,9
1643374975643,11324.9226273,-30
1643374975643,11324.9226302,-61
1643374975643,11324.9226332,-85
1643374975643,11324.9226362,-97
1643374975666,11324.9226391,-104
1643374975666,11324.9226419,-106
1643374975666,11324.9226449,-99
1643374975666,11324.9226478,-89
1643374975666,11324.9226506,-78
1643374975666,11325.4734776,-71
1643374975666,11325.4734936,-63
1643374975666,11325.4734976,-52
1643374975666,11325.4735007,-42
1643374975666,11325.4735036,-37
1643374975695,11325.4735066,-33
1643374975695,11325.4736419,-30
1643374975695,11325.4736488,-28
1643374975695,11325.473652,-30
1643374976066,11325.4736549,-54
1643374976066,11325.4736578,-68
1643374976066,11325.4736612,-56
1643374976066,11325.473664,-61
1643374976066,11325.4736669,-68
1643374976066,11325.4736698,-63
1643374976066,11325.4736727,-59
1643374976066,11325.4736756,-61
1643374976066,11325.4736785,-56
1643374976066,11325.4736815,-49
1643374976090,11325.4736844,-44
1643374976090,11325.4736872,-37
1643374976090,11325.4736901,-33
1643374976090,11325.473693,-37
1643374976090,11325.4736959,-33
1643374976090,11325.4736988,-26
1643374976090,11325.4737017,-23
1643374976090,11325.4737046,-21
1643374976090,11325.4737076,-14
1643374976090,11325.4737105,-11
1643374976116,11325.4737134,-14
1643374976116,11325.4737162,-9
1643374976116,11325.4737192,-9
1643374976116,11325.4737221,-14
1643374976116,11325.473725,-11
1643374976116,11325.4737278,-4
1643374976116,11325.4737307,-2
1643374976116,11325.4737336,-4
1643374976116,11325.4737365,-4
1643374976116,11325.4737579,-7
1643374976141,11325.4737669,-14
1643374976141,11325.4737708,-18
1643374976141,11325.473774,-14
1643374976141,11325.4737771,4
1643374976141,11325.47378,30
1643374976141,11325.473783,35
1643374976141,11325.4737859,37
1643374976141,11325.4737888,54
1643374976141,11325.4738347,54
1643374976141,11325.4738422,21
1643374976166,11325.4738458,14
1643374976166,11325.4738488,33
1643374976166,11325.4738517,35
1643374976166,11325.4738546,28
1643374976166,11325.4738578,33
1643374976166,11325.4738608,28
1643374976166,11325.4738639,23
1643374976166,11325.4738702,30
1643374976166,11325.4738735,35
1643374976166,11325.4738765,35
1643374976191,11325.4738797,37
1643374976191,11325.473886,37
1643374976191,11325.4738892,37
1643374976191,11325.4738925,30
1643374976191,11325.4738962,-28
1643374976191,11325.4739004,-127
1643374976191,11325.4739036,-16
1643374976191,11325.4739088,594
1643374976191,11325.4739118,1477
1643374976191,11325.473915,1686
1643374976216,11325.4739199,731
1643374976216,11325.473923,-312
1643374976216,11325.4739377,-402
1643374976216,11325.4739861,-78
1643374976216,11326.0227241,-21
1643374976216,11326.0227479,-56
1643374976216,11326.0227524,-28
1643374976216,11326.0227558,-28
1643374976216,11326.0227589,-35
1643374976216,11326.022762,-11
1643374976242,11326.0227654,0
1643374976242,11326.0227695,-9
1643374976242,11326.0227732,-23
1643374976242,11326.0227763,-14
1643374976617,11326.0227793,4
1643374976617,11326.0227824,11
1643374976617,11326.0227854,28
1643374976617,11326.0227883,47
1643374976617,11326.0228297,52
1643374976617,11326.022844,66
1643374976617,11326.0228485,89
1643374976617,11326.0228517,104
1643374976617,11326.0228548,125
1643374976617,11326.0228577,149
1643374976641,11326.0228606,165
1643374976641,11326.0228636,189
1643374976641,11326.0228664,222
1643374976641,11326.0228693,255
1643374976641,11326.0228723,281
1643374976641,11326.0228752,305
1643374976641,11326.0228781,329
1643374976641,11326.022881,343
1643374976641,11326.0228838,343
1643374976641,11326.0228867,326
1643374976666,11326.0228895,291
1643374976666,11326.0228924,239
1643374976666,11326.0228953,168
1643374976666,11326.0228981,89
1643374976666,11326.022901,21
1643374976666,11326.0229039,-33
1643374976666,11326.0229068,-68
1643374976666,11326.0229097,-89
1643374976666,11326.0229126,-104
1643374976666,11326.0229154,-108
1643374976690,11326.0229183,-116
1643374976690,11326.0229212,-120
1643374976690,11326.0229242,-113
1643374976690,11326.0229271,-104
1643374976690,11326.02293,-94
1643374976690,11326.0229329,-82
1643374976690,11326.0229358,-73
1643374976690,11326.0229387,-68
1643374976690,11326.0229416,-59
1643374976690,11326.0229454,-52
1643374976716,11326.0229483,-49
1643374976716,11326.0229512,-42
1643374976716,11326.0229541,-37
1643374976716,11326.0229569,-42
1643374976716,11326.0229612,-37
1643374976716,11326.0229642,-28
1643374976716,11326.0229671,-33
1643374976716,11326.02297,-37
1643374976716,11326.0229728,-33
1643374976716,11326.0229758,-30
1643374976740,11326.0229787,-33
1643374976740,11326.0229816,-30
1643374976740,11326.0229845,-26
1643374976740,11326.0229874,-26
1643374976740,11326.0229903,-21
1643374976740,11326.0229931,-16
1643374976740,11326.0229961,-16
1643374976740,11326.022999,-21
1643374976740,11326.0230031,-21
1643374976740,11326.0230065,-14
1643374976766,11326.0230109,-9
1643374976766,11326.0230244,-11
1643374976766,11326.0230309,-11
1643374976766,11326.5731125,-9
1643374976766,11326.5731237,-4
1643374976766,11326.5731275,2
1643374976766,11326.5731309,7
1643374976766,11326.5731351,4
1643374976766,11326.5731382,-2
1643374976766,11326.5731442,-21
1643374976791,11326.5731474,-33
1643374976791,11326.5731505,-23
1643374976791,11326.5731536,-16
1643374976791,11326.5731821,-23
1643374977216,11326.5731883,-28
1643374977216,11326.5731916,-30
1643374977216,11326.5731945,-42
1643374977216,11326.5731974,-37
1643374977216,11326.5732003,-14
1643374977216,11326.5732032,7
1643374977216,11326.5732061,9
1643374977216,11326.573209,14
1643374977216,11326.5732118,30
1643374977216,11326.5732147,23
1643374977241,11326.5732177,-2
1643374977241,11326.5732206,-9
1643374977241,11326.5732234,4
1643374977241,11326.5732506,4
1643374977241,11326.5732585,0
1643374977241,11326.5732622,0
1643374977241,11326.5732653,-2
1643374977241,11326.5732682,0
1643374977241,11326.5732711,2
1643374977241,11326.573274,2
1643374977266,11326.5732768,2
1643374977266,11326.5732797,4
1643374977266,11326.5732826,9
1643374977266,11326.5732855,11
1643374977266,11326.5732884,0
1643374977266,11326.5732913,-73
1643374977266,11326.5732942,-158
1643374977266,11326.5732971,33
1643374977266,11326.5733,736
1643374977266,11326.5733029,1553
1643374977290,11326.5733057,1506
1643374977290,11326.5733085,402
1643374977290,11326.5733113,-483
1643374977290,11326.5733142,-386
1643374977290,11326.5733171,-71
1643374977290,11326.57332,-63
1643374977290,11326.5733228,-78
1643374977290,11326.5733257,-35
1643374977290,11326.5733286,-40
1643374977290,11326.5733314,-42
1643374977316,11326.5733342,-23
1643374977316,11326.5733371,-21
1643374977316,11326.57334,-16
1643374977316,11326.5733429,4
1643374977316,11326.5733459,16
1643374977316,11326.5733487,28
1643374977316,11326.5733516,42
1643374977316,11326.5733552,40
1643374977316,11326.5733584,42
1643374977316,11326.5733644,59
1643374977340,11326.5733674,75
1643374977340,11326.5733704,89
1643374977340,11326.5733734,104
1643374977340,11326.5733765,125
1643374977340,11326.5733794,142
1643374977340,11326.5733823,158
1643374977340,11326.5733852,194
1643374977340,11326.5733881,232
1643374977340,11326.5733914,258
1643374977340,11326.5733945,281
1643374977364,11326.5733977,310
1643374977364,11326.5734006,333
1643374977364,11327.1732709,350
1643374977364,11327.1732826,355
1643374977364,11327.1732861,336
1643374977364,11327.1732891,274
1643374977364,11327.173292,184
1643374977364,11327.1732949,92
1643374977364,11327.1732977,23
1643374977364,11327.1733006,-28
1643374977390,11327.1733035,-75
1643374977390,11327.1733063,-120
1643374977390,11327.1733092,-153
1643374977390,11327.1733121,-172
1643374977815,11327.1733149,-182
1643374977815,11327.1733177,-175
1643374977815,11327.1733206,-172
1643374977815,11327.1733235,-172
1643374977815,11327.1733263,-163
1643374977815,11327.1733291,-149
1643374977815,11327.1733319,-139
1643374977815,11327.1733348,-127
1643374977815,11327.1733377,-118
1643374977815,11327.1733404,-118
1643374977840,11327.1733433,-108
1643374977840,11327.1733472,-97
1643374977840,11327.1733502,-92
1643374977840,11327.1733532,-92
1643374977840,11327.1733561,-89
1643374977840,11327.173359,-87
1643374977840,11327.1733619,-82
1643374977840,11327.1733647,-78
1643374977840,11327.1733676,-78
1643374977840,11327.1733705,-82
1643374977865,11327.1733733,-80
1643374977865,11327.1733761,-75
1643374977865,11327.173379,-75
1643374977865,11327.1733818,-71
1643374977865,11327.1733847,-66
1643374977865,11327.1733877,-66
1643374977865,11327.1733906,-66
1643374977865,11327.1734263,-61
1643374977865,11327.173431,-59
1643374977865,11327.1734341,-54
1643374977890,11327.173437,-52
1643374977890,11327.1734398,-49
1643374977890,11327.1734427,-47
1643374977890,11327.1734455,-44
1643374977890,11327.1734484,-37
1643374977890,11327.1734512,-33
1643374977890,11327.1734541,-33
1643374977890,11327.173457,-33
1643374977890,11327.1734598,-37
1643374977890,11327.1734626,-44
