timestamp;foot;position
1643374991887;RightFoot;0.09088048
1643374993038;LeftFoot;0.1397745
1643374993536;RightFoot;0.1523784
1643374993738;RightFoot;0.1522429
1643374994438;RightFoot;0.2235512
1643374994488;RightFoot;0.2244148
1643374995213;LeftFoot;0.2599177
1643374995288;RightFoot;0.2777191
1643374996537;RightFoot;0.3578948
1643374996613;RightFoot;0.3580289
1643374996763;RightFoot;0.3576884
1643374997363;LeftFoot;0.4079362
1643374997537;LeftFoot;0.4295723
1643374997638;RightFoot;0.4278503
1643374998586;RightFoot;0.5018437
1643374999312;LeftFoot;0.5440839
1643375000187;RightFoot;0.6000666
1643375000413;RightFoot;0.6329981
1643375000537;RightFoot;0.6312968
1643375001161;LeftFoot;0.6767026
1643375001988;RightFoot;0.7122965
1643375002412;RightFoot;0.780217
1643375003012;LeftFoot;0.8215041
1643375003989;RightFoot;0.8990554
1643375004612;RightFoot;0.9520991
1643375004989;RightFoot;0.9918014
1643375013409;RightFoot;0.03626734
1643375013484;RightFoot;0.03619862
1643375014136;RightFoot;0.03624725
1643375014859;LeftFoot;0.07302564
1643375015934;RightFoot;0.1027841
1643375016133;RightFoot;0.1536703
1643375016808;LeftFoot;0.1636793
1643375017008;LeftFoot;0.1869739
1643375018207;RightFoot;0.2866961
1643375019058;LeftFoot;0.3166402
1643375020257;RightFoot;0.4014174
1643375020959;LeftFoot;0.4147629
1643375021009;LeftFoot;0.4171411
1643375022208;RightFoot;0.5171249
1643375023035;LeftFoot;0.5528265
1643375023157;LeftFoot;0.5684346
1643375024608;RightFoot;0.6849421
1643375024683;RightFoot;0.685442
1643375024909;RightFoot;0.6854599
1643375025283;LeftFoot;0.701026
1643375025382;LeftFoot;0.7346529
1643375025631;LeftFoot;0.7633438
1643375026359;RightFoot;0.8031064
1643375026656;RightFoot;0.8330284
1643375026780;RightFoot;0.83269
1643375027309;LeftFoot;0.8646877
1643375027559;LeftFoot;0.9080468
1643375034513;LeftFoot;0.02578115
1643375034582;LeftFoot;0.02553254
1643375035006;LeftFoot;0.02550117
1643375035307;LeftFoot;0.02535724
1643375035682;LeftFoot;0.02558474
1643375036531;RightFoot;0.08445232
1643375037206;RightFoot;0.08407395
1643375037531;LeftFoot;0.1227981
1643375037832;LeftFoot;0.1530098
1643375038007;RightFoot;0.1517223
1643375038532;RightFoot;0.1694954
1643375038855;RightFoot;0.2180856
1643375039581;LeftFoot;0.2628516
1643375039804;LeftFoot;0.283449
1643375040957;RightFoot;0.3549333
1643375041829;LeftFoot;0.3922049
1643375041904;RightFoot;0.4095188
1643375042105;LeftFoot;0.4199945
1643375042855;RightFoot;0.442246
1643375042931;RightFoot;0.4645831
1643375043155;RightFoot;0.4900215
1643375043985;LeftFoot;0.5367153
1643375044879;RightFoot;0.5765851
1643375045186;RightFoot;0.6338198
1643375045879;LeftFoot;0.6606878
1643375046161;LeftFoot;0.7061811
1643375046881;RightFoot;0.7302849
1643375047130;RightFoot;0.77749
1643375047781;LeftFoot;0.7974929
1643375048654;RightFoot;0.8476211
1643375048779;RightFoot;0.8713155
1643375049057;RightFoot;0.9193038
1643375049755;LeftFoot;0.9490685
1643375050704;RightFoot;0.986146
1643375050953;LeftFoot;-0.02777803
1643375056553;RightFoot;0.03605217
1643375056779;RightFoot;0.03607017
1643375057153;RightFoot;0.03605568
1643375058154;LeftFoot;0.06852275
1643375059403;RightFoot;0.1514862
1643375060275;LeftFoot;0.1947529
1643375061277;RightFoot;0.2788587
1643375061477;RightFoot;0.3109375
1643375062227;LeftFoot;0.3397444
1643375062451;LeftFoot;0.3864184
1643375063202;RightFoot;0.4234316
1643375063427;RightFoot;0.4539031
1643375063954;LeftFoot;0.4513701
1643375065026;RightFoot;0.5749239
1643375065725;LeftFoot;0.6009941
1643375066902;RightFoot;0.7201672
1643375067201;RightFoot;0.7499605
1643375067702;LeftFoot;0.7794498
1643375068025;LeftFoot;0.8302742
1643375068676;RightFoot;0.8621641
1643375069075;RightFoot;0.9074892
1643375069175;RightFoot;0.9075446
1643375069325;RightFoot;0.9076161
1643375069549;LeftFoot;0.9315166
