pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643374517005,LeftFoot_Target,1.659957,0.1096031,0.05686944,358.3075,349.2402,10.23978,
0,1643374517126,LeftFoot_Target,1.659818,0.1097701,0.05693604,358.3084,349.2357,10.14235,
0,1643374517249,LeftFoot_Target,1.660153,0.1099873,0.05708084,358.3273,349.2162,10.03586,
0,1643374517374,LeftFoot_Target,1.660613,0.1093972,0.05675147,358.258,349.2433,10.0903,
0,1643374517498,LeftFoot_Target,1.661023,0.1093056,0.05675859,358.1894,349.1786,10.20287,
0,1643374517624,LeftFoot_Target,1.660786,0.109357,0.05676281,358.1601,349.1558,10.20061,
0,1643374517723,LeftFoot_Target,1.660792,0.1094903,0.05663395,358.1577,349.1637,10.16409,
0,1643374517824,LeftFoot_Target,1.661256,0.1090382,0.05657017,358.0838,349.1586,10.16964,
0,1643374517948,LeftFoot_Target,1.661705,0.1087456,0.05671354,357.9221,349.1463,10.28001,
0,1643374518052,LeftFoot_Target,1.66114,0.1087317,0.05646817,357.7562,349.1843,10.38418,
0,1643374518173,LeftFoot_Target,1.661701,0.1086978,0.05637874,357.6173,349.2123,10.40007,
0,1643374518274,LeftFoot_Target,1.661209,0.1086693,0.05654463,357.5096,349.2035,10.45721,
0,1643374518398,LeftFoot_Target,1.661165,0.1086931,0.05637356,357.4359,349.1913,10.52575,
0,1643374518499,LeftFoot_Target,1.661778,0.1087037,0.05645284,357.41,349.2176,10.55901,
0,1643374518622,LeftFoot_Target,1.661097,0.1087867,0.05642869,357.3597,349.1936,10.62475,
0,1643374518724,LeftFoot_Target,1.660914,0.1093525,0.05655419,357.3607,349.2494,10.59151,
0,1643374518847,LeftFoot_Target,1.661014,0.1092549,0.05655911,357.2887,349.2634,10.51126,
0,1643374518950,LeftFoot_Target,1.660761,0.1091641,0.05650501,357.1756,349.291,10.56971,
0,1643374519073,LeftFoot_Target,1.660683,0.1096068,0.05675647,357.1197,349.307,10.56661,
0,1643374519174,LeftFoot_Target,1.660684,0.1093296,0.05638808,357.0926,349.3053,10.5571,
0,1643374519297,LeftFoot_Target,1.661379,0.1092904,0.05664518,357.0598,349.3185,10.49384,
0,1643374519423,LeftFoot_Target,1.661156,0.1097091,0.0564847,357.0795,349.3668,10.38679,
0,1643374519523,LeftFoot_Target,1.661007,0.1099113,0.05660698,357.0901,349.3651,10.34252,
0,1643374519623,LeftFoot_Target,1.661055,0.109677,0.05657269,357.0674,349.3854,10.36033,
0,1643374519723,LeftFoot_Target,1.660853,0.1095745,0.05651702,357.1022,349.4167,10.30148,
0,1643374519851,LeftFoot_Target,1.66117,0.1098701,0.05644464,357.1795,349.4278,10.18526,
0,1643374519976,LeftFoot_Target,1.660951,0.1108152,0.05700679,357.268,349.4732,10.11732,
0,1643374520098,LeftFoot_Target,1.661293,0.1098769,0.05658284,357.202,349.4232,10.1314,
0,1643374520224,LeftFoot_Target,1.661883,0.1097619,0.05645242,357.2685,349.4137,10.17406,
0,1643374520348,LeftFoot_Target,1.66185,0.109516,0.05635704,357.2958,349.4188,10.13551,
0,1643374520448,LeftFoot_Target,1.661857,0.1098514,0.05640925,357.3079,349.393,10.09494,
0,1643374520573,LeftFoot_Target,1.661986,0.1093117,0.05627465,357.3385,349.3942,10.05192,
0,1643374520697,LeftFoot_Target,1.662006,0.1092055,0.0562226,357.3215,349.4388,10.04502,
0,1643374520822,LeftFoot_Target,1.661919,0.1094935,0.05622502,357.2136,349.4474,10.08813,
0,1643374520946,LeftFoot_Target,1.661992,0.1095733,0.05631777,357.1375,349.4634,10.13756,
0,1643374521048,LeftFoot_Target,1.66198,0.1094347,0.05638171,357.0799,349.4621,10.13131,
0,1643374521172,LeftFoot_Target,1.661969,0.1095423,0.05639862,357.1719,349.4782,10.03411,
0,1643374521273,LeftFoot_Target,1.661836,0.1097944,0.05642946,357.2867,349.5207,9.958239,
0,1643374521398,LeftFoot_Target,1.661431,0.1100783,0.05644053,357.2865,349.5318,9.870024,
0,1643374521522,LeftFoot_Target,1.661588,0.1098702,0.05628721,357.3153,349.5098,9.875812,
0,1643374521623,LeftFoot_Target,1.661748,0.1099861,0.05653603,357.3929,349.4821,9.807144,
0,1643374521723,LeftFoot_Target,1.66173,0.1100191,0.05629727,357.3891,349.4934,9.875955,
0,1643374521823,LeftFoot_Target,1.661645,0.1097946,0.05644259,357.3918,349.4753,9.915652,
0,1643374521947,LeftFoot_Target,1.661455,0.1100411,0.05640666,357.4684,349.4613,9.864847,
0,1643374522049,LeftFoot_Target,1.661747,0.1099634,0.05643595,357.4707,349.4802,9.928205,
0,1643374522173,LeftFoot_Target,1.661613,0.1101519,0.05647384,357.4755,349.4559,9.8986,
0,1643374522297,LeftFoot_Target,1.661611,0.1098471,0.05633976,357.5659,349.4058,9.887103,
0,1643374522399,LeftFoot_Target,1.661862,0.1097649,0.05621676,357.6038,349.4256,9.897303,
0,1643374522523,LeftFoot_Target,1.661624,0.109887,0.05637091,357.7,349.4212,9.90239,
