pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643374517005,RightHand_Target,1.667279,1.02837,0.4029812,348.6509,250.5539,115.4072,
0,1643374517126,RightHand_Target,1.669278,1.02828,0.4030914,348.568,250.4744,115.2793,
0,1643374517249,RightHand_Target,1.669456,1.027413,0.4031465,348.5611,250.2309,114.8882,
0,1643374517374,RightHand_Target,1.6681,1.027133,0.4036905,348.6171,249.4355,114.5904,
0,1643374517498,RightHand_Target,1.665476,1.027152,0.4040716,348.7757,248.3915,114.5353,
0,1643374517624,RightHand_Target,1.661449,1.027031,0.4042856,349.0081,247.2048,114.4985,
0,1643374517723,RightHand_Target,1.657593,1.02706,0.404107,349.2422,245.9184,114.6473,
0,1643374517824,RightHand_Target,1.6533,1.027284,0.4041725,349.5089,244.4925,114.6798,
0,1643374517948,RightHand_Target,1.648092,1.027686,0.4034879,349.6896,242.873,114.7779,
0,1643374518052,RightHand_Target,1.644588,1.027388,0.4031151,349.7089,242.242,114.687,
0,1643374518173,RightHand_Target,1.6412,1.026552,0.4021145,349.7285,241.7159,114.3964,
0,1643374518274,RightHand_Target,1.63739,1.02584,0.4015501,349.8933,241.04,114.005,
0,1643374518398,RightHand_Target,1.631531,1.025717,0.4008937,350.1289,238.7694,114.0007,
0,1643374518499,RightHand_Target,1.627912,1.026083,0.4010142,350.2592,237.2658,114.1721,
0,1643374518622,RightHand_Target,1.625608,1.0266,0.4010679,350.3578,236.105,114.2799,
0,1643374518724,RightHand_Target,1.625296,1.025713,0.400901,350.3386,235.943,114.0172,
0,1643374518847,RightHand_Target,1.624312,1.025026,0.4007884,350.4707,235.4751,113.4461,
0,1643374518950,RightHand_Target,1.621923,1.023749,0.4000086,350.7592,234.2129,113.2418,
0,1643374519073,RightHand_Target,1.617048,1.023059,0.3989994,350.9168,231.5439,113.2881,
0,1643374519174,RightHand_Target,1.613921,1.022989,0.3979908,350.9797,229.613,113.6179,
0,1643374519297,RightHand_Target,1.612337,1.022793,0.3972018,351.0307,228.3303,113.7094,
0,1643374519423,RightHand_Target,1.61285,1.022691,0.3972142,351.296,227.3905,113.6619,
0,1643374519523,RightHand_Target,1.614143,1.022906,0.3972255,351.1736,226.7279,113.9034,
0,1643374519623,RightHand_Target,1.618189,1.022557,0.3970177,350.7468,228.2704,113.9121,
0,1643374519723,RightHand_Target,1.622984,1.021871,0.3977361,350.5656,230.6738,113.3619,
0,1643374519851,RightHand_Target,1.627661,1.023177,0.3977518,350.5964,231.0241,113.8554,
0,1643374519976,RightHand_Target,1.632515,1.022406,0.397187,350.4509,231.9972,113.8284,
0,1643374520098,RightHand_Target,1.639084,1.021353,0.3976395,350.1845,234.899,113.0901,
0,1643374520224,RightHand_Target,1.642963,1.02223,0.3974333,349.8214,236.6239,113.0688,
0,1643374520348,RightHand_Target,1.646444,1.021755,0.3963898,349.6468,237.505,113.1979,
0,1643374520448,RightHand_Target,1.649918,1.022421,0.3957562,349.5811,238.6699,113.2347,
0,1643374520573,RightHand_Target,1.65264,1.023232,0.3947143,349.5431,238.7081,113.6453,
