pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643377954908,Sphere Kopf(Clone),1.075356,1.699611,0.174362,277.3802,67.87903,294.7198,
0,1643377955011,Sphere Kopf(Clone),1.070191,1.725116,0.1803854,280.0812,78.49886,284.4722,
0,1643377955135,Sphere Kopf(Clone),1.075989,1.701163,0.1782317,277.309,69.01093,293.943,
0,1643377955258,Sphere Kopf(Clone),1.087371,1.680478,0.1814989,275.0557,57.03849,306.4889,
0,1643377955383,Sphere Kopf(Clone),1.099007,1.670393,0.1769506,274.326,41.74899,321.2173,
0,1643377955484,Sphere Kopf(Clone),1.109446,1.661152,0.1697223,273.8171,24.83323,337.0704,
0,1643377955607,Sphere Kopf(Clone),1.127747,1.635611,0.1564406,273.9053,331.698,28.33429,
0,1643377955710,Sphere Kopf(Clone),1.146081,1.608471,0.146394,276.1747,296.0129,62.49278,
0,1643377955834,Sphere Kopf(Clone),1.159647,1.594442,0.1366749,277.6804,282.5913,74.53602,
0,1643377955936,Sphere Kopf(Clone),1.164866,1.593151,0.1297058,277.814,278.7621,77.78391,
0,1643377956062,Sphere Kopf(Clone),1.174925,1.581475,0.1230353,279.3527,272.1754,83.95736,
0,1643377956185,Sphere Kopf(Clone),1.190172,1.560909,0.1172769,282.2798,268.5138,87.31858,
0,1643377956289,Sphere Kopf(Clone),1.199242,1.549879,0.1134566,283.912,266.9277,88.60966,
0,1643377956410,Sphere Kopf(Clone),1.216017,1.527539,0.1103007,287.1958,266.9026,88.48101,
0,1643377956513,Sphere Kopf(Clone),1.229336,1.510855,0.1113681,289.7284,267.5181,88.27539,
0,1643377956620,Sphere Kopf(Clone),1.240904,1.498859,0.111341,291.5983,267.4384,88.66901,
0,1643377956729,Sphere Kopf(Clone),1.251692,1.488676,0.1095651,293.2388,266.9589,89.12343,
0,1643377956837,Sphere Kopf(Clone),1.262911,1.477463,0.1076499,295.0157,266.6975,89.40483,
0,1643377956961,Sphere Kopf(Clone),1.281938,1.456586,0.1047502,298.3613,266.7229,89.26227,
0,1643377957095,Sphere Kopf(Clone),1.315513,1.420903,0.104848,304.2591,266.7728,89.26088,
0,1643377957227,Sphere Kopf(Clone),1.351707,1.390277,0.1054557,309.958,266.8565,89.02393,
0,1643377957328,Sphere Kopf(Clone),1.359155,1.385193,0.1075819,310.8219,266.9667,89.04243,
0,1643377957430,Sphere Kopf(Clone),1.358069,1.388796,0.1103097,310.1205,267.5059,88.99152,
0,1643377957532,Sphere Kopf(Clone),1.358816,1.391168,0.1136792,309.6859,267.8991,88.96838,
0,1643377957632,Sphere Kopf(Clone),1.357472,1.394659,0.1150916,308.9986,268.1099,88.78053,
0,1643377957734,Sphere Kopf(Clone),1.35156,1.401969,0.1167082,307.5508,268.4837,88.54826,
0,1643377957840,Sphere Kopf(Clone),1.346855,1.409197,0.1202578,306.2589,268.8768,88.58621,
0,1643377957949,Sphere Kopf(Clone),1.34383,1.417076,0.122652,304.866,269.2935,88.42334,
0,1643377958074,Sphere Kopf(Clone),1.335547,1.433036,0.1218283,302.2035,269.7776,87.80212,
0,1643377958194,Sphere Kopf(Clone),1.295762,1.480899,0.1179931,294.1713,272.5388,84.91664,
0,1643377958312,Sphere Kopf(Clone),1.287562,1.497766,0.1191483,291.6305,273.8474,83.71435,
0,1643377958432,Sphere Kopf(Clone),1.281152,1.510425,0.1229606,289.7859,275.3474,82.69072,
0,1643377958556,Sphere Kopf(Clone),1.277504,1.521234,0.1261563,288.3156,276.5391,81.9251,
0,1643377958681,Sphere Kopf(Clone),1.273434,1.533297,0.1283935,286.6625,276.78,81.93561,
0,1643377958807,Sphere Kopf(Clone),1.265754,1.549991,0.128365,284.2802,277.1944,81.52739,
0,1643377958923,Sphere Kopf(Clone),1.261768,1.558456,0.1271851,283.0961,277.7204,80.91964,
0,1643377959030,Sphere Kopf(Clone),1.25827,1.564382,0.1283937,282.2554,277.9941,80.8372,
0,1643377959139,Sphere Kopf(Clone),1.251844,1.575117,0.1296706,280.7519,278.9652,80.0306,
0,1643377959247,Sphere Kopf(Clone),1.245608,1.585469,0.1295813,279.2416,278.8691,80.01638,
0,1643377959355,Sphere Kopf(Clone),1.242906,1.588634,0.1266048,278.776,277.6497,80.75956,
0,1643377959464,Sphere Kopf(Clone),1.241734,1.588308,0.1258338,278.7817,276.7328,81.53745,
0,1643377959571,Sphere Kopf(Clone),1.239822,1.588454,0.1248752,278.7322,276.3832,81.743,
0,1643377959685,Sphere Kopf(Clone),1.235892,1.589685,0.1247253,278.5752,276.3905,81.67573,
0,1643377959797,Sphere Kopf(Clone),1.232094,1.589775,0.1247453,278.5276,276.0266,82.03532,
0,1643377959914,Sphere Kopf(Clone),1.226573,1.5904,0.1241877,278.4049,275.9084,82.14104,
0,1643377960016,Sphere Kopf(Clone),1.221236,1.591649,0.1239925,278.181,276.0551,82.06811,
0,1643377960121,Sphere Kopf(Clone),1.216394,1.592834,0.1237199,277.9769,275.4829,82.70951,
0,1643377960222,Sphere Kopf(Clone),1.211347,1.594556,0.1229156,277.6783,275.0109,83.25249,
0,1643377960331,Sphere Kopf(Clone),1.205481,1.596699,0.120225,277.312,273.1152,85.03372,
0,1643377960437,Sphere Kopf(Clone),1.200341,1.598995,0.1173199,276.9594,271.4298,86.45528,
0,1643377960548,Sphere Kopf(Clone),1.194471,1.601403,0.1163478,276.5944,270.6841,87.214,
0,1643377960662,Sphere Kopf(Clone),1.186664,1.60262,0.1118339,276.4362,270.6181,87.2359,
0,1643377960772,Sphere Kopf(Clone),1.181882,1.599184,0.09689617,276.8445,267.4881,89.33593,
0,1643377960893,Sphere Kopf(Clone),1.176689,1.59633,0.06536755,277.2771,257.9074,96.67679,
0,1643377960994,Sphere Kopf(Clone),1.173978,1.593937,0.03298178,277.7832,248.6147,103.8003,
0,1643377961096,Sphere Kopf(Clone),1.175222,1.587174,-0.005479932,278.9785,239.3444,110.2992,
0,1643377961199,Sphere Kopf(Clone),1.177643,1.580346,-0.03877726,280.5071,230.0521,117.4288,
0,1643377961306,Sphere Kopf(Clone),1.180649,1.57501,-0.07241032,282.2722,220.5528,125.2419,
0,1643377961417,Sphere Kopf(Clone),1.183725,1.570416,-0.09476534,283.8898,215.048,129.6081,
0,1643377961528,Sphere Kopf(Clone),1.187798,1.565066,-0.1193715,285.9154,210.191,132.8959,
0,1643377961639,Sphere Kopf(Clone),1.191589,1.561689,-0.1343229,287.1449,207.5597,134.5218,
0,1643377961754,Sphere Kopf(Clone),1.198457,1.556126,-0.1440549,288.8969,205.3975,135.8428,
0,1643377961865,Sphere Kopf(Clone),1.204854,1.552923,-0.1488014,289.9334,203.8087,136.8044,
0,1643377961973,Sphere Kopf(Clone),1.212335,1.547982,-0.1500432,290.6987,203.9018,136.3273,
0,1643377962083,Sphere Kopf(Clone),1.217805,1.543985,-0.146739,291.2988,204.31,135.7867,
0,1643377962197,Sphere Kopf(Clone),1.219936,1.542403,-0.1424114,291.3585,205.1417,135.0711,
0,1643377962308,Sphere Kopf(Clone),1.221472,1.540837,-0.133991,291.3842,206.5957,134.0446,
0,1643377962423,Sphere Kopf(Clone),1.222291,1.540334,-0.1271963,291.2616,208.3897,132.8137,
0,1643377962542,Sphere Kopf(Clone),1.222725,1.540427,-0.1182135,290.8991,211.1921,131.3435,
0,1643377962664,Sphere Kopf(Clone),1.223061,1.537697,-0.1111217,290.8194,213.0819,130.6417,
0,1643377962789,Sphere Kopf(Clone),1.223048,1.535479,-0.1042013,290.7655,214.3897,130.2015,
0,1643377962915,Sphere Kopf(Clone),1.219862,1.536894,-0.09503949,289.6787,216.931,128.9449,
0,1643377963030,Sphere Kopf(Clone),1.218401,1.531076,-0.07155627,289.8455,218.9458,127.8878,
0,1643377963144,Sphere Kopf(Clone),1.218632,1.533118,-0.05439222,288.8963,223.366,123.5065,
0,1643377963259,Sphere Kopf(Clone),1.213522,1.543527,-0.01547116,286.3894,229.8588,119.4107,
0,1643377963373,Sphere Kopf(Clone),1.213726,1.545873,0.02201438,285.5141,236.1185,115.2003,
0,1643377963491,Sphere Kopf(Clone),1.212727,1.550221,0.06076938,284.2631,244.1131,108.9737,
0,1643377963613,Sphere Kopf(Clone),1.224116,1.536121,0.08503348,286.0197,251.3347,101.7813,
0,1643377963735,Sphere Kopf(Clone),1.243176,1.507175,0.09215823,289.9785,257.8889,94.2429,
0,1643377963858,Sphere Kopf(Clone),1.243567,1.503778,0.09981075,290.4843,259.6595,92.75423,
0,1643377963974,Sphere Kopf(Clone),1.243341,1.504385,0.1029841,290.4477,260.5911,92.14975,
0,1643377964091,Sphere Kopf(Clone),1.246649,1.502123,0.1061006,290.7839,262.643,90.81843,
0,1643377964206,Sphere Kopf(Clone),1.251665,1.499168,0.1073101,291.2231,265.3821,88.97033,
0,1643377964325,Sphere Kopf(Clone),1.264962,1.48409,0.1104438,293.5698,267.3803,88.03005,
0,1643377964451,Sphere Kopf(Clone),1.287743,1.455602,0.1130132,298.2237,268.8436,87.37312,
0,1643377964577,Sphere Kopf(Clone),1.312865,1.426355,0.1169669,303.2538,270.1377,87.08337,
0,1643377964709,Sphere Kopf(Clone),1.350996,1.392615,0.1214596,309.7247,271.2485,87.20757,
0,1643377964852,Sphere Kopf(Clone),1.388659,1.365031,0.1219865,315.4408,271.1544,87.6682,
0,1643377964992,Sphere Kopf(Clone),1.418346,1.348297,0.1176557,319.4435,270.3694,87.69248,
0,1643377965118,Sphere Kopf(Clone),1.427721,1.342482,0.1142314,320.6229,270.1331,87.58433,
0,1643377965245,Sphere Kopf(Clone),1.439101,1.335044,0.1111326,322.132,269.7668,87.52164,
0,1643377965380,Sphere Kopf(Clone),1.464223,1.321568,0.1098107,325.6503,269.1942,87.71883,
0,1643377965517,Sphere Kopf(Clone),1.480135,1.313046,0.1136518,328.0511,269.1326,88.44748,
0,1643377965647,Sphere Kopf(Clone),1.475054,1.314032,0.1153494,327.4337,269.4735,88.74864,
0,1643377965786,Sphere Kopf(Clone),1.469186,1.317937,0.1165994,326.3303,269.7234,89.04074,
0,1643377965920,Sphere Kopf(Clone),1.449235,1.328762,0.1185267,323.1668,270.2051,89.17864,
0,1643377966043,Sphere Kopf(Clone),1.411014,1.349549,0.1211788,317.5223,271.1263,88.96438,
0,1643377966171,Sphere Kopf(Clone),1.35648,1.386437,0.1244284,309.2746,272.106,88.39429,
0,1643377966301,Sphere Kopf(Clone),1.314429,1.42429,0.1290554,302.1622,272.9162,87.93561,
0,1643377966429,Sphere Kopf(Clone),1.276435,1.468665,0.1302718,294.8783,273.417,87.16741,
0,1643377966553,Sphere Kopf(Clone),1.255531,1.503015,0.1271823,289.8018,273.6793,86.13306,
0,1643377966677,Sphere Kopf(Clone),1.242021,1.529139,0.1248161,286.1006,275.1651,84.27756,
0,1643377966801,Sphere Kopf(Clone),1.228307,1.557477,0.1243456,282.2182,276.5341,82.7633,
0,1643377966922,Sphere Kopf(Clone),1.219115,1.581043,0.1218818,279.1701,278.9579,79.96286,
0,1643377967031,Sphere Kopf(Clone),1.214822,1.594039,0.1182853,277.6371,282.6672,75.76826,
0,1643377967141,Sphere Kopf(Clone),1.213362,1.600661,0.1154096,277.0576,285.7975,72.13216,
0,1643377967248,Sphere Kopf(Clone),1.208749,1.606726,0.1168627,276.4855,289.4034,68.55029,
0,1643377967359,Sphere Kopf(Clone),1.200624,1.609323,0.1221273,276.128,292.2817,66.08373,
0,1643377967472,Sphere Kopf(Clone),1.193901,1.60988,0.1245884,276.0116,293.3421,65.16173,
0,1643377967585,Sphere Kopf(Clone),1.188216,1.604418,0.1244508,276.3913,285.2859,72.94674,
0,1643377967696,Sphere Kopf(Clone),1.186046,1.597075,0.1180623,277.0876,277.3949,79.93803,
0,1643377967817,Sphere Kopf(Clone),1.187276,1.590725,0.1065375,277.73,269.6084,86.19284,
0,1643377967929,Sphere Kopf(Clone),1.190651,1.588613,0.09937671,277.9875,264.9273,89.9246,
0,1643377968030,Sphere Kopf(Clone),1.194891,1.586685,0.0970228,278.3395,263.8177,90.8198,
0,1643377968131,Sphere Kopf(Clone),1.199891,1.58339,0.09743807,278.8706,263.569,91.25128,
0,1643377968241,Sphere Kopf(Clone),1.210118,1.571281,0.09785435,280.6959,264.7049,90.32101,
0,1643377968348,Sphere Kopf(Clone),1.221171,1.556273,0.1006173,282.9208,266.2487,89.34236,
0,1643377968457,Sphere Kopf(Clone),1.227283,1.549944,0.1028681,283.9377,266.1885,89.72577,
0,1643377968569,Sphere Kopf(Clone),1.232929,1.54429,0.1064013,284.7408,265.421,90.92277,
0,1643377968686,Sphere Kopf(Clone),1.238354,1.537014,0.1098328,285.8627,265.6899,91.23313,
0,1643377968798,Sphere Kopf(Clone),1.248555,1.524519,0.109336,287.7525,265.3466,91.51965,
0,1643377968922,Sphere Kopf(Clone),1.258451,1.516036,0.1057517,289.0692,264.1476,91.99081,
0,1643377969034,Sphere Kopf(Clone),1.262505,1.5154,0.10535,289.1935,263.8339,92.01765,
0,1643377969149,Sphere Kopf(Clone),1.265481,1.514439,0.1051416,289.36,264.3009,91.43761,
0,1643377969267,Sphere Kopf(Clone),1.268216,1.512577,0.1049165,289.6492,265.0476,90.5356,
0,1643377969388,Sphere Kopf(Clone),1.269146,1.511275,0.1056489,289.8017,265.83,89.75523,
0,1643377969501,Sphere Kopf(Clone),1.269764,1.510621,0.106792,289.896,266.4392,89.28573,
0,1643377969623,Sphere Kopf(Clone),1.271044,1.509514,0.109241,290.1115,267.0073,89.00636,
0,1643377969749,Sphere Kopf(Clone),1.271645,1.508758,0.1104359,290.205,266.9125,89.22241,
0,1643377969875,Sphere Kopf(Clone),1.272583,1.508914,0.1112069,290.208,266.6564,89.62001,
0,1643377969994,Sphere Kopf(Clone),1.272714,1.509752,0.110734,290.1025,266.1077,90.13479,
0,1643377970118,Sphere Kopf(Clone),1.271562,1.510396,0.1108443,290.0313,265.7633,90.50482,
0,1643377970231,Sphere Kopf(Clone),1.270533,1.510467,0.1103242,290.0467,265.5052,90.62877,
0,1643377970353,Sphere Kopf(Clone),1.268673,1.510603,0.1093704,290.0129,265.75,90.27158,
0,1643377970476,Sphere Kopf(Clone),1.264756,1.514385,0.1104225,289.4193,266.3924,89.74608,
0,1643377970602,Sphere Kopf(Clone),1.253918,1.527692,0.1156681,287.3846,267.9918,88.95559,
0,1643377970726,Sphere Kopf(Clone),1.244943,1.538506,0.1211908,285.756,269.2864,88.39777,
0,1643377970849,Sphere Kopf(Clone),1.238521,1.546736,0.1238017,284.5541,270.2739,87.75809,
0,1643377970964,Sphere Kopf(Clone),1.233521,1.554641,0.1249227,283.4304,270.4025,87.81467,
0,1643377971084,Sphere Kopf(Clone),1.233298,1.553176,0.1201662,283.5999,269.0996,88.37571,
0,1643377971205,Sphere Kopf(Clone),1.237191,1.543713,0.1141512,284.8453,267.3799,88.99647,
0,1643377971331,Sphere Kopf(Clone),1.252806,1.51837,0.1088298,288.5334,268.978,86.72649,
0,1643377971457,Sphere Kopf(Clone),1.247152,1.519237,0.1130414,288.5167,269.5948,86.72017,
0,1643377971582,Sphere Kopf(Clone),1.243099,1.514981,0.1127442,289.1575,268.8161,87.31013,
0,1643377971709,Sphere Kopf(Clone),1.240467,1.509403,0.1111585,289.969,268.0801,87.5416,
0,1643377971839,Sphere Kopf(Clone),1.238769,1.507389,0.1130714,290.2542,268.362,87.4168,
0,1643377971967,Sphere Kopf(Clone),1.237812,1.508415,0.1142772,290.0808,268.252,87.57702,
0,1643377972089,Sphere Kopf(Clone),1.237072,1.511022,0.1153304,289.7065,268.2627,87.69888,
0,1643377972214,Sphere Kopf(Clone),1.235298,1.514327,0.1162935,289.2349,268.1729,87.91808,
0,1643377972342,Sphere Kopf(Clone),1.232843,1.516254,0.1182134,288.9563,268.5055,87.79224,
0,1643377972471,Sphere Kopf(Clone),1.230476,1.516559,0.1215434,288.7545,268.8795,87.86111,
0,1643377972597,Sphere Kopf(Clone),1.223253,1.522232,0.1237318,287.937,270.0782,87.27628,
0,1643377972732,Sphere Kopf(Clone),1.21951,1.523039,0.1216578,287.73,267.5452,89.40017,
0,1643377972865,Sphere Kopf(Clone),1.217715,1.526445,0.1174656,287.2283,267.3729,89.05991,
0,1643377972990,Sphere Kopf(Clone),1.216138,1.529529,0.1205981,286.6853,268.0489,88.98519,
0,1643377973112,Sphere Kopf(Clone),1.213644,1.533393,0.1219848,286.0517,268.8476,88.49272,
0,1643377973234,Sphere Kopf(Clone),1.209024,1.535419,0.1213348,285.7352,270.8794,86.62119,
0,1643377973359,Sphere Kopf(Clone),1.203672,1.532975,0.1159058,286.0897,271.5334,85.37127,
0,1643377973488,Sphere Kopf(Clone),1.204637,1.516147,0.1111203,288.6254,269.6469,86.52818,
0,1643377973618,Sphere Kopf(Clone),1.221518,1.483951,0.1079826,294.2527,268.5872,87.15483,
0,1643377973755,Sphere Kopf(Clone),1.236497,1.464368,0.1124943,298.3502,268.0586,88.38004,
0,1643377973888,Sphere Kopf(Clone),1.250942,1.437949,0.1168311,301.135,267.5565,89.28556,
0,1643377974020,Sphere Kopf(Clone),1.283622,1.409039,0.1136092,306.5782,268.965,87.83284,
0,1643377974154,Sphere Kopf(Clone),1.308102,1.386803,0.115457,310.1995,268.1944,88.56055,
0,1643377974289,Sphere Kopf(Clone),1.338198,1.368746,0.1110192,313.9879,267.9302,87.98876,
0,1643377974435,Sphere Kopf(Clone),1.357476,1.359623,0.1105727,315.7324,268.3716,87.58985,
0,1643377974576,Sphere Kopf(Clone),1.380052,1.346842,0.1114369,318.2757,268.5498,87.54476,
0,1643377974678,Sphere Kopf(Clone),1.404867,1.332779,0.1130629,321.5421,268.3768,87.81874,
0,1643377974779,Sphere Kopf(Clone),1.41868,1.324272,0.111656,323.3326,268.086,87.77797,
0,1643377974931,Sphere Kopf(Clone),1.443721,1.312643,0.1090252,326.5107,267.6028,87.68576,
0,1643377975066,Sphere Kopf(Clone),1.460086,1.303237,0.1076159,328.918,268.0328,87.50938,
0,1643377975200,Sphere Kopf(Clone),1.456153,1.303637,0.1067631,328.6176,268.554,87.62094,
0,1643377975335,Sphere Kopf(Clone),1.454093,1.304532,0.1004068,328.4868,268.268,87.63396,
