pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643380014534,LeftHand_Target,1.703504,1.056042,-0.1345334,346.0421,116.4579,104.6009,
0,1643380014650,LeftHand_Target,1.703534,1.058326,-0.1369427,345.8922,116.2248,104.5211,
0,1643380014752,LeftHand_Target,1.701734,1.061097,-0.1392366,345.986,115.9835,104.8247,
0,1643380014856,LeftHand_Target,1.699404,1.063567,-0.1404078,346.6769,115.7095,105.4293,
0,1643380014975,LeftHand_Target,1.700043,1.065513,-0.1403899,346.837,116.1326,105.3858,
0,1643380015100,LeftHand_Target,1.705956,1.064958,-0.1405,346.4369,116.1327,105.1583,
0,1643380015225,LeftHand_Target,1.714274,1.063679,-0.140798,345.9688,116.0389,104.9617,
0,1643380015327,LeftHand_Target,1.72037,1.063604,-0.1405029,345.7772,115.8884,104.8819,
0,1643380015449,LeftHand_Target,1.725718,1.063773,-0.140568,345.6963,115.846,104.9482,
0,1643380015551,LeftHand_Target,1.730832,1.063855,-0.1399084,345.6491,115.9786,104.9308,
0,1643380015674,LeftHand_Target,1.737507,1.064253,-0.1405993,345.5518,115.8977,105.0213,
0,1643380015775,LeftHand_Target,1.744127,1.064211,-0.1410507,345.5425,115.6222,105.0593,
0,1643380015901,LeftHand_Target,1.75282,1.063219,-0.1409535,345.2837,115.0918,104.7979,
0,1643380016025,LeftHand_Target,1.760681,1.061863,-0.1405762,345.4225,114.3079,104.5094,
0,1643380016125,LeftHand_Target,1.766626,1.059138,-0.1405606,345.3469,113.9746,104.0116,
0,1643380016250,LeftHand_Target,1.771012,1.056568,-0.1398551,345.2596,114.2517,103.3866,
0,1643380016376,LeftHand_Target,1.77184,1.055515,-0.1405087,345.4003,114.5611,103.2208,
0,1643380016500,LeftHand_Target,1.769126,1.055542,-0.1429109,345.3872,115.1782,103.4465,
0,1643380016600,LeftHand_Target,1.763815,1.056793,-0.1443559,345.3107,116.1866,103.5854,
0,1643380016725,LeftHand_Target,1.755178,1.058395,-0.1468315,345.5375,117.2201,104.1303,
0,1643380016825,LeftHand_Target,1.747532,1.060787,-0.1473966,345.7173,117.8651,104.6178,
0,1643380016949,LeftHand_Target,1.740155,1.063806,-0.1472635,346.0295,118.2797,105.1978,
0,1643380017080,LeftHand_Target,1.737108,1.065313,-0.1461233,346.4389,118.1296,105.4559,
0,1643380017199,LeftHand_Target,1.740107,1.063874,-0.1443151,346.1847,117.8849,105.1426,
0,1643380017324,LeftHand_Target,1.744228,1.064767,-0.1437674,345.9928,117.9756,104.8923,
0,1643380017427,LeftHand_Target,1.746512,1.069487,-0.1436094,346.4599,118.3235,105.4032,
0,1643380017549,LeftHand_Target,1.740598,1.081877,-0.1408081,349.8032,118.7249,107.59,
0,1643380017650,LeftHand_Target,1.730948,1.085825,-0.1435134,351.7437,121.0044,108.5798,
0,1643380017750,LeftHand_Target,1.726475,1.088402,-0.1550985,353.0479,120.9013,109.1289,
0,1643380017874,LeftHand_Target,1.723672,1.081528,-0.1829585,349.783,125.373,107.1059,
0,1643380017999,LeftHand_Target,1.722546,1.076504,-0.2136502,349.642,122.9933,109.8352,
0,1643380018102,LeftHand_Target,1.725772,1.074962,-0.2310013,349.926,120.8002,109.2075,
0,1643380018223,LeftHand_Target,1.735356,1.070992,-0.2404747,347.945,123.2357,106.9093,
0,1643380018327,LeftHand_Target,1.740927,1.074971,-0.2499021,347.6338,125.8636,105.2639,
0,1643380018449,LeftHand_Target,1.741807,1.071595,-0.2700302,346.636,130.1161,105.0633,
0,1643380018574,LeftHand_Target,1.731702,1.07591,-0.287129,344.6603,129.7902,105.7949,
0,1643380018678,LeftHand_Target,1.722381,1.080354,-0.2941068,348.2096,129.4287,106.6068,
0,1643380018798,LeftHand_Target,1.71331,1.080244,-0.2992453,349.3801,129.1205,107.73,
0,1643380018899,LeftHand_Target,1.71359,1.085833,-0.3030745,350.722,126.5516,108.1739,
0,1643380018999,LeftHand_Target,1.718865,1.0892,-0.3067416,350.912,125.648,107.982,
0,1643380019124,LeftHand_Target,1.727274,1.087027,-0.3149434,348.9485,124.4,107.568,
0,1643380019249,LeftHand_Target,1.729847,1.082294,-0.3172117,347.2184,124.3936,106.643,
0,1643380019373,LeftHand_Target,1.721432,1.078642,-0.3119583,346.3862,124.7013,106.0789,
0,1643380019474,LeftHand_Target,1.708828,1.080927,-0.3047475,348.041,124.8685,106.4592,
0,1643380019574,LeftHand_Target,1.6951,1.082467,-0.3006599,349.3853,125.9675,106.4455,
0,1643380019680,LeftHand_Target,1.680429,1.083145,-0.3001758,349.0152,125.021,107.2566,
0,1643380019799,LeftHand_Target,1.660299,1.084329,-0.2967336,348.6865,125.3216,107.504,
0,1643380019924,LeftHand_Target,1.637983,1.088087,-0.2911367,349.4762,125.5299,107.5229,
0,1643380020025,LeftHand_Target,1.620809,1.086993,-0.288367,349.9764,124.8609,107.9173,
0,1643380020125,LeftHand_Target,1.603201,1.083803,-0.2849962,349.1181,124.8404,107.6163,
0,1643380020249,LeftHand_Target,1.577797,1.081328,-0.2786826,349.166,125.0943,107.2274,
0,1643380020374,LeftHand_Target,1.543698,1.07825,-0.2708131,348.8693,124.9989,107.952,
0,1643380020498,LeftHand_Target,1.503711,1.090054,-0.2568229,350.1318,124.5666,108.8012,
0,1643380020599,LeftHand_Target,1.472857,1.110747,-0.2438548,351.6419,124.0707,109.1723,
0,1643380020726,LeftHand_Target,1.436695,1.136795,-0.2314544,352.454,124.982,109.6275,
0,1643380020848,LeftHand_Target,1.406487,1.162812,-0.2269623,353.1872,125.1012,111.0406,
0,1643380020949,LeftHand_Target,1.388077,1.179583,-0.2283628,354.3707,125.073,112.4837,
0,1643380021073,LeftHand_Target,1.374124,1.189124,-0.2301597,354.2458,124.2498,113.8136,
0,1643380021173,LeftHand_Target,1.370044,1.190756,-0.2290221,354.4598,123.0357,114.1898,
