pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643377364908,BeamStart_Target,1.578386,0.08851048,0.1313634,272.3303,208.5642,59.38313,
0,1643377365030,BeamStart_Target,1.578443,0.08859443,0.1314338,272.3087,208.747,59.19459,
0,1643377365153,BeamStart_Target,1.578397,0.08875605,0.131204,272.3282,208.3225,59.62155,
0,1643377365254,BeamStart_Target,1.578534,0.08848609,0.1314362,272.3102,208.2503,59.7127,
0,1643377365378,BeamStart_Target,1.578168,0.08861317,0.1313173,272.2997,208.5764,59.40744,
0,1643377365478,BeamStart_Target,1.578265,0.08846295,0.1309755,272.2908,208.2083,59.76241,
0,1643377365578,BeamStart_Target,1.578454,0.08852836,0.1315148,272.2743,207.976,60.00591,
0,1643377365679,BeamStart_Target,1.577876,0.08870419,0.1311757,272.2904,208.0907,59.88663,
0,1643377365802,BeamStart_Target,1.578218,0.08873913,0.1309796,272.2699,208.1162,59.89861,
0,1643377365904,BeamStart_Target,1.577915,0.08896007,0.1312323,272.2665,208.3864,59.60446,
0,1643377366009,BeamStart_Target,1.578006,0.088735,0.1313592,272.2835,208.0439,59.94129,
0,1643377366136,BeamStart_Target,1.57771,0.08859108,0.1309686,272.2846,207.6711,60.3218,
0,1643377366255,BeamStart_Target,1.577903,0.08896069,0.1312805,272.2656,207.5611,60.43347,
0,1643377366377,BeamStart_Target,1.577861,0.08843008,0.1310321,272.2514,207.9067,60.09992,
0,1643377366478,BeamStart_Target,1.57761,0.08904703,0.1312234,272.2375,208.1565,59.84889,
0,1643377366578,BeamStart_Target,1.577628,0.08906291,0.1311753,272.2397,208.1729,59.84315,
0,1643377366679,BeamStart_Target,1.577646,0.08921145,0.1314972,272.2592,209.0091,58.97021,
0,1643377366803,BeamStart_Target,1.577278,0.08888169,0.1310527,272.212,209.4116,58.5799,
0,1643377366903,BeamStart_Target,1.577262,0.08944646,0.1313133,272.2071,209.5552,58.44589,
0,1643377367029,BeamStart_Target,1.577098,0.08923773,0.1316204,272.2267,208.8719,59.11832,
0,1643377367153,BeamStart_Target,1.57741,0.08902808,0.1309698,272.2319,208.8567,59.1488,
0,1643377367278,BeamStart_Target,1.577196,0.08925579,0.1312535,272.2546,208.2594,59.75267,
0,1643377367403,BeamStart_Target,1.577117,0.08995101,0.1315415,272.2395,209.0842,58.93908,
0,1643377367504,BeamStart_Target,1.577026,0.08935173,0.1312081,272.2138,209.1863,58.84093,
0,1643377367604,BeamStart_Target,1.57708,0.08946747,0.1314832,272.2079,209.7205,58.30767,
0,1643377367728,BeamStart_Target,1.577322,0.08914337,0.1313274,272.2235,209.7167,58.27077,
0,1643377367829,BeamStart_Target,1.577182,0.0894212,0.1315142,272.2083,210.5077,57.46907,
0,1643377367953,BeamStart_Target,1.577098,0.08944797,0.1316204,272.2028,209.9269,58.08579,
0,1643377368055,BeamStart_Target,1.577274,0.08933011,0.1316019,272.214,209.8598,58.15073,
0,1643377368178,BeamStart_Target,1.577047,0.0889475,0.1313251,272.243,209.0748,58.94477,
0,1643377368278,BeamStart_Target,1.577146,0.08928495,0.1312121,272.2421,209.2501,58.77071,
0,1643377368403,BeamStart_Target,1.577099,0.08908959,0.1312369,272.2322,208.8241,59.19793,
0,1643377368528,BeamStart_Target,1.576847,0.08931012,0.1311058,272.2438,208.985,59.0451,
0,1643377368629,BeamStart_Target,1.576863,0.08932366,0.131588,272.261,208.4285,59.60788,
0,1643377368752,BeamStart_Target,1.576845,0.08919737,0.1315654,272.275,209.1102,58.89268,
0,1643377368853,BeamStart_Target,1.576905,0.08921431,0.131557,272.252,209.2042,58.81003,
0,1643377368953,BeamStart_Target,1.576773,0.08936211,0.1313367,272.2437,209.3511,58.66991,
0,1643377369054,BeamStart_Target,1.577127,0.08944947,0.1314617,272.239,208.9063,59.10507,
0,1643377369179,BeamStart_Target,1.576909,0.08939734,0.1315552,272.2438,208.9264,59.09867,
0,1643377369304,BeamStart_Target,1.576535,0.08986409,0.131294,272.2355,209.4067,58.61622,
0,1643377369429,BeamStart_Target,1.576489,0.08970521,0.1311795,272.229,209.758,58.27731,
0,1643377369552,BeamStart_Target,1.576805,0.08925023,0.1312755,272.2253,209.0935,58.95427,
0,1643377369653,BeamStart_Target,1.576674,0.08958214,0.1314489,272.2435,209.0526,58.98609,
0,1643377369777,BeamStart_Target,1.576761,0.08956433,0.1314609,272.2376,208.2662,59.78513,
0,1643377369878,BeamStart_Target,1.576755,0.08925785,0.1316775,272.2038,208.2901,59.76191,
0,1643377369979,BeamStart_Target,1.576768,0.08935517,0.1314887,272.2335,208.7544,59.26987,
0,1643377370103,BeamStart_Target,1.576567,0.08930216,0.1314326,272.2291,209.5368,58.48332,
0,1643377370228,BeamStart_Target,1.57669,0.08970266,0.1316795,272.228,209.9117,58.0966,
0,1643377370353,BeamStart_Target,1.576826,0.08957803,0.131605,272.2223,209.8981,58.10264,
0,1643377370453,BeamStart_Target,1.57645,0.08921452,0.1314634,272.2078,209.4984,58.51073,
0,1643377370577,BeamStart_Target,1.576367,0.08972682,0.1313267,272.2113,209.2282,58.79924,
0,1643377370678,BeamStart_Target,1.576397,0.0895156,0.1313308,272.2056,209.0333,58.99279,
0,1643377370779,BeamStart_Target,1.576396,0.0892178,0.1313817,272.2309,209.732,58.28165,
0,1643377370904,BeamStart_Target,1.576438,0.08949351,0.131328,272.2067,209.7948,58.2115,
0,1643377371029,BeamStart_Target,1.576407,0.08975843,0.1314459,272.2033,209.5572,58.44493,
0,1643377371153,BeamStart_Target,1.576448,0.08947423,0.131387,272.2276,209.3616,58.64888,
0,1643377371253,BeamStart_Target,1.576148,0.08949509,0.1313679,272.2203,209.5935,58.42202,
0,1643377371353,BeamStart_Target,1.576077,0.08955637,0.1313388,272.2081,209.9012,58.11092,
0,1643377371477,BeamStart_Target,1.576325,0.08948362,0.1312515,272.2042,209.828,58.19175,
0,1643377371578,BeamStart_Target,1.575974,0.08966196,0.1315614,272.2062,209.9953,58.01941,
0,1643377371703,BeamStart_Target,1.576101,0.08983058,0.1316687,272.208,209.5995,58.43964,
0,1643377371830,BeamStart_Target,1.576106,0.08964878,0.131707,272.2092,209.3767,58.65109,
0,1643377371954,BeamStart_Target,1.576073,0.08952131,0.1316783,272.2145,209.2899,58.75122,
0,1643377372054,BeamStart_Target,1.575908,0.08992641,0.1315185,272.1989,209.8061,58.23455,
0,1643377372177,BeamStart_Target,1.57581,0.08942969,0.1314086,272.2026,209.8259,58.21782,
0,1643377372278,BeamStart_Target,1.575838,0.08982936,0.1315226,272.1882,209.9836,58.09282,
0,1643377372403,BeamStart_Target,1.57566,0.08974287,0.1314044,272.1898,210.8076,57.24668,
0,1643377372528,BeamStart_Target,1.575876,0.08994222,0.1316575,272.1559,210.1592,57.91406,
0,1643377372653,BeamStart_Target,1.575699,0.09026621,0.1317122,272.1626,210.5567,57.51447,
0,1643377372753,BeamStart_Target,1.576129,0.08988836,0.1315583,272.1862,210.1313,57.90414,
0,1643377372878,BeamStart_Target,1.575972,0.0897426,0.131525,272.1798,210.3852,57.65533,
0,1643377372979,BeamStart_Target,1.57598,0.0902747,0.1318885,272.1998,210.4728,57.55384,
0,1643377373102,BeamStart_Target,1.575997,0.08929191,0.1314648,272.2307,209.2927,58.71119,
0,1643377373228,BeamStart_Target,1.575876,0.08975206,0.1314681,272.2228,209.3868,58.62848,
0,1643377373353,BeamStart_Target,1.575733,0.09021787,0.1316659,272.2322,209.3072,58.70462,
0,1643377373453,BeamStart_Target,1.575596,0.08979922,0.1317325,272.2233,208.7349,59.32384,
0,1643377373578,BeamStart_Target,1.575657,0.09012511,0.1318491,272.2217,209.0321,58.99951,
0,1643377373702,BeamStart_Target,1.575693,0.09029894,0.1316166,272.2175,209.3573,58.70608,
0,1643377373803,BeamStart_Target,1.575599,0.09020797,0.1314586,272.193,210.1892,57.87205,
0,1643377373929,BeamStart_Target,1.575553,0.0902674,0.1317238,272.184,210.4471,57.60168,
0,1643377374029,BeamStart_Target,1.575827,0.09003341,0.1317141,272.1941,210.6848,57.34467,
0,1643377374152,BeamStart_Target,1.57537,0.08998726,0.1314581,272.2078,209.3775,58.66199,
0,1643377374253,BeamStart_Target,1.57534,0.08969729,0.1312934,272.1864,208.9727,59.08208,
0,1643377374353,BeamStart_Target,1.575146,0.09002122,0.1314503,272.1769,208.5257,59.54079,
0,1643377374477,BeamStart_Target,1.574927,0.09009802,0.1316881,272.1875,209.2292,58.81912,
0,1643377374578,BeamStart_Target,1.575126,0.09027246,0.1316934,272.1835,208.7102,59.34564,
0,1643377374703,BeamStart_Target,1.575097,0.09015699,0.1318708,272.1496,208.9485,59.13073,
0,1643377374827,BeamStart_Target,1.57484,0.0899229,0.1315912,272.1798,208.46,59.60197,
0,1643377374953,BeamStart_Target,1.575295,0.0900952,0.1319393,272.1935,208.3687,59.68708,
0,1643377375054,BeamStart_Target,1.574753,0.08990285,0.1316732,272.1934,208.2838,59.79388,
0,1643377375154,BeamStart_Target,1.574865,0.08991977,0.1317246,272.1975,207.9647,60.11409,
0,1643377375276,BeamStart_Target,1.574749,0.09004451,0.131774,272.1825,208.3978,59.68232,
0,1643377375378,BeamStart_Target,1.574845,0.09043777,0.1316369,272.1632,208.8476,59.2314,
0,1643377375502,BeamStart_Target,1.574599,0.09022483,0.1315961,272.1441,209.2081,58.86388,
0,1643377375603,BeamStart_Target,1.574535,0.09054603,0.1315894,272.1203,209.4405,58.63002,
0,1643377375728,BeamStart_Target,1.574483,0.09034387,0.1315193,272.116,209.1718,58.89901,
0,1643377375852,BeamStart_Target,1.574387,0.09041593,0.1317427,272.1342,209.2409,58.84366,
0,1643377375952,BeamStart_Target,1.574205,0.0904947,0.131954,272.1223,209.0366,59.03922,
0,1643377376054,BeamStart_Target,1.574181,0.09072042,0.1319227,272.1588,208.832,59.2189,
0,1643377376177,BeamStart_Target,1.574268,0.09074898,0.132221,272.1481,208.7368,59.31373,
0,1643377376277,BeamStart_Target,1.574012,0.0910679,0.1319404,272.1504,209.5174,58.52265,
0,1643377376377,BeamStart_Target,1.574218,0.09065765,0.1318973,272.1468,209.6568,58.37963,
0,1643377376503,BeamStart_Target,1.574099,0.09063895,0.1319755,272.1273,209.7932,58.26538,
0,1643377376627,BeamStart_Target,1.574348,0.09098508,0.1323413,272.1544,209.4058,58.65446,
0,1643377376752,BeamStart_Target,1.574058,0.0909524,0.1318463,272.1659,209.6254,58.43179,
0,1643377376877,BeamStart_Target,1.574045,0.09047198,0.1320001,272.1696,209.3849,58.67222,
