unixTime,lslTime,EDA
1643379215847,15565.4970023,9.72
1643379215847,15565.497011,9.72
1643379215847,15565.4970158,9.72
1643379215847,15565.4970189,9.72
1643379215847,15565.4970275,9.72
1643379215847,15565.4975413,9.72
1643379215847,15565.4975451,9.72
1643379215847,15565.4975476,9.72
1643379215847,15565.4975497,9.72
1643379215847,15565.4975521,9.72
1643379215871,15565.6219083,9.72
1643379215871,15565.6219172,9.72
1643379215871,15565.6219208,9.69
1643379215871,15565.6220889,9.72
1643379215871,15565.6220934,9.69
1643379215871,15565.6220973,9.72
1643379215871,15565.6221013,9.72
1643379215871,15565.6221884,9.69
1643379215871,15565.6221924,9.69
1643379215871,15565.6221948,9.72
1643379215898,15565.622197,9.69
1643379215898,15565.6221991,9.69
1643379215898,15565.6222012,9.69
1643379215898,15565.6222033,9.69
1643379215898,15565.6222054,9.69
1643379215898,15565.7941036,9.69
1643379215898,15565.7943975,9.69
1643379215898,15565.7944022,9.69
1643379215898,15565.7944048,9.69
1643379215898,15565.794407,9.69
1643379215922,15565.7944092,9.69
1643379215922,15565.7944115,9.69
1643379216150,15565.7944134,9.69
1643379216150,15565.7944155,9.69
1643379216150,15565.7944176,9.69
1643379216150,15565.7944199,9.69
1643379216150,15565.7944219,9.69
1643379216150,15565.794424,9.69
1643379216150,15565.794426,9.69
1643379216150,15565.7945058,9.69
1643379216150,15565.9303128,9.69
1643379216150,15565.9305657,9.69
1643379216176,15565.9305696,9.69
1643379216176,15565.9305718,9.69
1643379216176,15565.9305738,9.69
1643379216176,15565.9305757,9.69
1643379216176,15565.9305777,9.69
1643379216176,15565.9305797,9.69
1643379216176,15565.9305816,9.69
1643379216176,15565.9305835,9.69
1643379216176,15565.9305855,9.69
1643379216176,15565.9305873,9.69
1643379216195,15565.9305892,9.67
1643379216195,15565.9305911,9.69
1643379216195,15565.930593,9.67
1643379216195,15566.0968471,9.67
1643379216195,15566.0970232,9.67
1643379216195,15566.097029,9.67
1643379216195,15566.097033,9.67
1643379216195,15566.0970355,9.67
1643379216195,15566.0970989,9.67
1643379216195,15566.0971303,9.67
1643379216224,15566.0971329,9.67
1643379216224,15566.097135,9.67
1643379216444,15566.0971371,9.67
1643379216444,15566.097139,9.67
1643379216444,15566.097141,9.67
1643379216444,15566.097143,9.67
1643379216444,15566.0971449,9.67
1643379216444,15566.0971468,9.67
1643379216444,15566.2208058,9.67
1643379216444,15566.2210074,9.67
1643379216444,15566.2210133,9.67
1643379216444,15566.2210172,9.67
1643379216470,15566.2211042,9.67
1643379216470,15566.221108,9.67
1643379216470,15566.2211103,9.67
1643379216470,15566.2211124,9.67
1643379216470,15566.2211145,9.67
1643379216470,15566.2211165,9.67
1643379216470,15566.2211186,9.67
1643379216470,15566.2211205,9.67
1643379216470,15566.2211228,9.67
1643379216470,15566.2211251,9.67
1643379216496,15566.221127,9.67
1643379216496,15566.3939493,9.67
1643379216496,15566.3946657,9.67
1643379216496,15566.3946988,9.67
1643379216496,15566.3947059,9.64
1643379216496,15566.3947094,9.64
1643379216496,15566.3947118,9.64
1643379216496,15566.3947157,9.64
1643379216496,15566.3947195,9.64
1643379216496,15566.3947226,9.64
1643379216520,15566.3947248,9.64
1643379216520,15566.3947284,9.64
1643379216720,15566.3947322,9.64
1643379216720,15566.3947361,9.64
1643379216720,15566.3947399,9.62
1643379216720,15566.3947438,9.62
1643379216720,15566.5205064,9.62
1643379216720,15566.5205138,9.62
1643379216720,15566.5205167,9.62
1643379216720,15566.5205303,9.62
1643379216720,15566.5205334,9.62
1643379216720,15566.5205358,9.62
1643379216745,15566.5205383,9.59
1643379216745,15566.5205404,9.62
1643379216745,15566.5205423,9.59
1643379216745,15566.5205443,9.59
1643379216745,15566.5205463,9.59
1643379216745,15566.5205483,9.59
1643379216745,15566.5205502,9.59
1643379216745,15566.5205521,9.59
1643379216745,15566.520554,9.59
1643379216745,15566.6739872,9.59
1643379216770,15566.6739966,9.59
1643379216770,15566.6740076,9.59
1643379216770,15566.6742289,9.59
1643379216770,15566.6742358,9.59
1643379216770,15566.6742383,9.59
1643379216770,15566.675367,9.59
1643379216770,15566.6754987,9.59
1643379216770,15566.6755232,9.59
1643379216770,15566.6755285,9.59
1643379216770,15566.6755313,9.59
1643379216795,15566.675534,9.59
1643379216795,15566.6755365,9.59
1643379217044,15566.675539,9.59
1643379217044,15566.6755415,9.59
1643379217044,15566.8229025,9.59
1643379217044,15566.8229114,9.59
1643379217044,15566.8232525,9.59
1643379217044,15566.8252029,9.57
1643379217044,15566.8252117,9.57
1643379217044,15566.8252145,9.59
1643379217044,15566.8252167,9.59
1643379217044,15566.8252193,9.57
1643379217071,15566.8252214,9.59
1643379217071,15566.8252233,9.59
1643379217071,15566.8252254,9.57
1643379217071,15566.8252279,9.59
1643379217071,15566.8252299,9.57
1643379217071,15566.8252319,9.59
1643379217071,15566.8252341,9.57
1643379217071,15566.9956402,9.59
1643379217071,15566.9956478,9.57
1643379217071,15566.9956514,9.59
1643379217095,15566.9956559,9.57
1643379217095,15566.9956594,9.57
1643379217095,15566.9956745,9.57
1643379217095,15566.9959446,9.57
1643379217095,15566.9959484,9.57
1643379217095,15566.9959509,9.57
1643379217095,15566.9959534,9.57
1643379217095,15566.9959559,9.57
1643379217095,15566.9959582,9.57
1643379217095,15566.9959602,9.57
1643379217120,15566.9959621,9.57
1643379217120,15566.995964,9.57
1643379217471,15567.1172558,9.57
1643379217471,15567.1176846,9.57
1643379217471,15567.1176913,9.57
1643379217471,15567.1177089,9.57
1643379217471,15567.1177178,9.57
1643379217471,15567.1177216,9.57
1643379217471,15567.1177251,9.57
1643379217471,15567.1177287,9.57
1643379217471,15567.1179673,9.57
1643379217471,15567.1179713,9.57
1643379217496,15567.1179737,9.57
1643379217496,15567.1179758,9.57
1643379217496,15567.1179779,9.57
1643379217496,15567.11798,9.57
1643379217496,15567.117982,9.57
1643379217496,15567.2997906,9.57
1643379217496,15567.2997978,9.57
1643379217496,15567.2998007,9.57
1643379217496,15567.2998029,9.57
1643379217496,15567.2998049,9.57
1643379217520,15567.2998069,9.55
1643379217520,15567.2998088,9.55
1643379217520,15567.2998115,9.55
1643379217520,15567.2998135,9.55
1643379217520,15567.2998155,9.55
1643379217520,15567.2998175,9.55
1643379217520,15567.2998194,9.55
1643379217520,15567.2998214,9.55
1643379217520,15567.2998234,9.55
1643379217520,15567.2998254,9.55
1643379217545,15567.4260903,9.55
1643379217545,15567.4266513,9.55
1643379217795,15567.4266559,9.55
1643379217795,15567.4266582,9.55
1643379217795,15567.4266605,9.55
1643379217795,15567.4266628,9.55
1643379217795,15567.4266651,9.55
1643379217795,15567.4266674,9.55
1643379217795,15567.4266694,9.55
1643379217795,15567.4266717,9.55
1643379217795,15567.4266738,9.55
1643379217795,15567.4266761,9.55
1643379217819,15567.4266781,9.55
1643379217819,15567.4266801,9.55
1643379217819,15567.4266821,9.55
1643379217819,15567.5876898,9.55
1643379217819,15567.5878623,9.55
1643379217819,15567.5878676,9.55
1643379217819,15567.5878712,9.55
1643379217819,15567.5879439,9.55
1643379217819,15567.5879477,9.55
1643379217819,15567.5879501,9.55
1643379217845,15567.5879523,9.55
1643379217845,15567.5879544,9.55
1643379217845,15567.5879563,9.55
1643379217845,15567.5879583,9.55
1643379217845,15567.5879603,9.55
1643379217845,15567.5879623,9.55
1643379217845,15567.5879642,9.55
1643379217845,15567.5879663,9.55
1643379217845,15567.743994,9.55
1643379217845,15567.7441819,9.55
1643379217870,15567.7441872,9.55
1643379217870,15567.7441895,9.55
1643379218094,15567.7441917,9.55
1643379218094,15567.7441939,9.52
1643379218094,15567.744196,9.52
1643379218094,15567.744198,9.55
1643379218094,15567.7442001,9.52
1643379218094,15567.7442022,9.52
1643379218094,15567.7442043,9.52
1643379218094,15567.7442063,9.52
1643379218094,15567.7442084,9.52
1643379218094,15567.7442105,9.52
1643379218119,15567.7442127,9.52
1643379218119,15567.8838959,9.52
1643379218119,15567.883903,9.52
1643379218119,15567.8839059,9.52
1643379218119,15567.8839104,9.52
1643379218119,15567.8841742,9.52
