unixTime,lslTime,ECG
1643384110825,20460.1822453,11
1643384110825,20460.182248,26
1643384110825,20460.1822507,28
1643384110825,20460.1822535,21
1643384110825,20460.1822562,16
1643384110825,20460.1822589,14
1643384110825,20460.1822617,18
1643384110825,20460.182265,23
1643384110825,20460.1822676,18
1643384110825,20460.1822704,14
1643384110856,20460.1822743,21
1643384110856,20460.1822779,14
1643384110856,20460.1822809,-7
1643384110856,20460.1822841,-2
1643384110856,20460.1822868,9
1643384110856,20460.1822895,7
1643384110856,20460.1822922,4
1643384110856,20460.182295,16
1643384110856,20460.1822977,18
1643384110856,20460.1823004,11
1643384110878,20460.1823031,18
1643384110878,20460.1823058,26
1643384110878,20460.1823085,23
1643384110878,20460.1823354,23
1643384110878,20460.1823453,28
1643384110878,20460.1823493,28
1643384110878,20460.1823522,21
1643384110878,20460.1823551,18
1643384110878,20460.1823579,21
1643384110878,20460.1823607,28
1643384110899,20460.1823634,30
1643384110899,20460.1823662,54
1643384110899,20460.182369,92
1643384110899,20460.1823718,101
1643384110899,20460.1823746,82
1643384110899,20460.1823773,78
1643384110899,20460.1823801,71
1643384110899,20460.1823828,52
1643384110899,20460.1823856,47
1643384110899,20460.1823884,49
1643384110924,20460.1823911,49
1643384110924,20460.1823938,40
1643384110924,20460.1823967,18
1643384110924,20460.1823995,52
1643384110924,20460.1824023,310
1643384110924,20460.182405,850
1643384110924,20460.1824078,1439
1643384110924,20460.1824106,1624
1643384110924,20460.1824133,729
1643384110924,20460.182416,-826
1643384110950,20460.1824188,-1205
1643384110950,20460.1824215,-381
1643384110950,20460.1824243,-11
1643384110950,20460.182427,-101
1643384110950,20460.1824298,14
1643384110950,20460.1824325,94
1643384110950,20460.1824352,33
1643384110950,20460.182438,49
1643384110950,20460.1824408,97
1643384110950,20460.1824436,92
1643384110985,20460.7823795,99
1643384110985,20460.7823935,120
1643384110985,20460.7823973,118
1643384110985,20460.7824025,108
1643384110985,20460.7824056,108
1643384110985,20460.7824103,125
1643384110985,20460.7824134,151
1643384110985,20460.7824163,182
1643384110985,20460.7824192,213
1643384110985,20460.7824221,243
1643384111007,20460.7824251,272
1643384111007,20460.7824281,310
1643384111007,20460.782431,359
1643384111007,20460.782434,404
1643384111474,20460.7824369,433
1643384111474,20460.7824397,457
1643384111474,20460.7824425,471
1643384111474,20460.7824452,461
1643384111474,20460.782448,431
1643384111474,20460.7824508,388
1643384111474,20460.7824535,317
1643384111474,20460.7824563,220
1643384111474,20460.7824592,113
1643384111474,20460.7824619,11
1643384111498,20460.7824647,-66
1643384111498,20460.7824674,-123
1643384111498,20460.7824702,-161
1643384111498,20460.7824729,-187
1643384111498,20460.7824756,-201
1643384111498,20460.7824783,-203
1643384111498,20460.7824811,-203
1643384111498,20460.7824838,-201
1643384111498,20460.7824866,-194
1643384111498,20460.7824893,-189
1643384111524,20460.7824921,-187
1643384111524,20460.7824948,-177
1643384111524,20460.7824975,-165
1643384111524,20460.7825003,-146
1643384111524,20460.782503,-130
1643384111524,20460.7825058,-120
1643384111524,20460.7825086,-106
1643384111524,20460.7825114,-92
1643384111524,20460.7825142,-82
1643384111524,20460.7825169,-75
1643384111549,20460.7825197,-63
1643384111549,20460.7825226,-54
1643384111549,20460.7825255,-49
1643384111549,20460.7825283,-42
1643384111549,20460.7825311,-40
1643384111549,20460.782534,-40
1643384111549,20460.7825368,-42
1643384111549,20460.7825396,-42
1643384111549,20460.7825424,-40
1643384111549,20460.7825452,-37
1643384111574,20460.7825481,-37
1643384111574,20460.7825509,-42
1643384111574,20460.7825537,-42
1643384111574,20460.7825565,-40
1643384111574,20460.7825593,-37
1643384111574,20460.7825621,-37
1643384111574,20460.7825649,-35
1643384111574,20460.7825676,-30
1643384111574,20460.7825704,-30
1643384111574,20460.7825732,-30
1643384111598,20460.782576,-23
1643384111598,20460.7825788,-21
1643384111598,20460.7825816,-21
1643384111598,20460.7825844,-26
1643384111598,20460.7825872,-23
1643384111598,20460.7825908,-21
1643384111598,20460.7825936,-18
1643384111598,20460.7825965,-14
1643384111598,20460.7825992,-9
1643384111598,20461.4291296,-7
1643384111624,20461.429141,-7
1643384111624,20461.4291443,-7
1643384111624,20461.4291471,-9
1643384111624,20461.4291498,-14
1643384111624,20461.4291526,-11
1643384111624,20461.4291553,-7
1643384111624,20461.429158,-7
1643384111624,20461.4291607,-23
1643384111624,20461.4291634,-47
1643384111624,20461.429166,-44
1643384111649,20461.4291688,-30
1643384111649,20461.4294258,-28
1643384111649,20461.4294468,-28
1643384111649,20461.429454,-26
1643384111975,20461.4294591,-23
1643384111975,20461.429462,-21
1643384111975,20461.4294647,-14
1643384111975,20461.4294675,-7
1643384111975,20461.4294702,-4
1643384111975,20461.429473,-4
1643384111975,20461.4294757,-4
1643384111975,20461.4294785,0
1643384111975,20461.4294813,7
1643384111975,20461.429484,7
1643384111998,20461.4294868,0
1643384111998,20461.4294895,-2
1643384111998,20461.4294922,2
1643384111998,20461.4294949,2
1643384111998,20461.4294977,-7
1643384111998,20461.4295005,-11
1643384111998,20461.4295032,-4
1643384111998,20461.4295058,7
1643384111998,20461.4295085,23
1643384111998,20461.4295112,59
1643384112023,20461.4295139,85
1643384112023,20461.4295165,80
1643384112023,20461.4295194,68
1643384112023,20461.4295221,56
1643384112023,20461.4295247,37
1643384112023,20461.4295274,30
1643384112023,20461.4295301,28
1643384112023,20461.4295328,26
1643384112023,20461.4295354,26
1643384112023,20461.4295382,16
1643384112049,20461.4295409,7
1643384112049,20461.4295436,123
1643384112049,20461.4295463,509
1643384112049,20461.429549,1068
1643384112049,20461.4295518,1496
