pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643384110857,Pelvis_Target,1.768172,0.9381886,0.1404297,8.576045,184.5693,353.2374,
0,1643384110985,Pelvis_Target,1.769281,0.9374394,0.1384019,8.491358,184.1511,352.8551,
0,1643384111099,Pelvis_Target,1.770697,0.9375204,0.1375421,8.503222,184.7294,352.7584,
0,1643384111199,Pelvis_Target,1.773182,0.937566,0.1368597,8.515035,186.1277,352.5724,
0,1643384111300,Pelvis_Target,1.774942,0.9378915,0.1366621,8.560601,188.0595,352.3821,
0,1643384111425,Pelvis_Target,1.776816,0.938071,0.1358609,8.682626,190.4372,352.1313,
0,1643384111549,Pelvis_Target,1.777273,0.9381727,0.1341364,8.765594,192.09,352.0177,
0,1643384111649,Pelvis_Target,1.776262,0.9382321,0.1322235,8.728053,193.0106,351.8392,
0,1643384111773,Pelvis_Target,1.774636,0.9385629,0.1297894,8.719957,193.6287,351.7662,
0,1643384111874,Pelvis_Target,1.773128,0.9388881,0.1275122,8.527795,193.5122,351.6134,
0,1643384111975,Pelvis_Target,1.771172,0.9393367,0.1256725,8.535556,193.8256,351.6309,
0,1643384112098,Pelvis_Target,1.767706,0.9390869,0.1235313,8.604795,193.9443,351.521,
0,1643384112199,Pelvis_Target,1.763583,0.93898,0.1216442,8.574382,193.6124,351.8865,
0,1643384112301,Pelvis_Target,1.760362,0.9388836,0.1186695,8.418818,192.835,352.3546,
0,1643384112426,Pelvis_Target,1.758609,0.9387624,0.1133411,8.365141,191.1576,352.3803,
0,1643384112550,Pelvis_Target,1.760313,0.9388424,0.1071212,8.530847,189.9572,352.3382,
0,1643384112650,Pelvis_Target,1.762776,0.9390256,0.09933034,8.633673,188.8096,352.8333,
0,1643384112775,Pelvis_Target,1.773131,0.9391905,0.08947236,9.04515,188.1929,352.3455,
0,1643384112899,Pelvis_Target,1.789721,0.9375199,0.08228447,9.751943,188.6076,350.5228,
0,1643384113024,Pelvis_Target,1.800413,0.934679,0.08265451,10.03436,189.5138,350.9632,
0,1643384113124,Pelvis_Target,1.800796,0.9313573,0.0919774,9.476089,188.3166,350.6729,
0,1643384113249,Pelvis_Target,1.805383,0.9329897,0.1170128,9.135948,190.2995,350.2721,
0,1643384113374,Pelvis_Target,1.807923,0.9304339,0.1488345,8.342113,190.8178,351.179,
0,1643384113475,Pelvis_Target,1.815625,0.9302851,0.1803454,7.833061,190.4156,351.0936,
0,1643384113575,Pelvis_Target,1.819185,0.929136,0.2005666,8.374049,190.5748,355.366,
0,1643384113699,Pelvis_Target,1.823647,0.92763,0.2040938,6.537427,190.8536,355.6694,
0,1643384113824,Pelvis_Target,1.82002,0.9300319,0.2114646,6.663254,192.6803,356.3431,
0,1643384113927,Pelvis_Target,1.810196,0.9268126,0.2183724,7.072195,194.3794,354.938,
0,1643384114025,Pelvis_Target,1.793508,0.9257492,0.2258022,8.233473,194.6436,356.3044,
0,1643384114149,Pelvis_Target,1.779777,0.926876,0.2273639,8.544626,193.844,356.4326,
0,1643384114249,Pelvis_Target,1.772839,0.9254905,0.2260158,8.587626,192.0016,354.9248,
0,1643384114349,Pelvis_Target,1.758662,0.9253609,0.2282123,9.119352,190.3679,355.2017,
0,1643384114450,Pelvis_Target,1.74438,0.9272914,0.223341,8.954951,190.9622,354.6068,
0,1643384114574,Pelvis_Target,1.730756,0.9275482,0.2166876,8.324771,191.2885,353.4141,
0,1643384114675,Pelvis_Target,1.718706,0.9290341,0.215811,8.358872,190.4458,353.5515,
0,1643384114799,Pelvis_Target,1.706936,0.9302111,0.2182455,8.884825,190.7162,353.2927,
0,1643384114923,Pelvis_Target,1.701288,0.9326681,0.2176011,9.26228,190.7717,352.8052,
0,1643384115030,Pelvis_Target,1.696527,0.9343861,0.2139945,9.001119,194.0166,352.3849,
0,1643384115148,Pelvis_Target,1.682918,0.9334568,0.2122101,9.282888,193.9113,353.2778,
0,1643384115249,Pelvis_Target,1.674061,0.9301369,0.2098865,9.517244,191.8172,352.353,
0,1643384115374,Pelvis_Target,1.651752,0.9243413,0.2015462,9.899625,190.71,351.3223,
0,1643384115477,Pelvis_Target,1.620766,0.9249387,0.1894622,8.700554,190.5974,351.1276,
0,1643384115598,Pelvis_Target,1.588761,0.9262589,0.1797375,8.439601,192.1618,350.8414,
0,1643384115723,Pelvis_Target,1.56809,0.9386054,0.1697088,7.780624,193.6396,349.4078,
0,1643384115849,Pelvis_Target,1.56041,0.9572656,0.1631842,9.204141,194.6411,345.6666,
0,1643384115974,Pelvis_Target,1.52534,0.9531458,0.1561897,8.290077,190.6379,347.6534,
0,1643384116074,Pelvis_Target,1.499855,0.9547316,0.1483489,8.000403,189.9216,348.9179,
0,1643384116199,Pelvis_Target,1.476905,0.9607091,0.1361035,6.562572,189.1416,349.7108,
0,1643384116299,Pelvis_Target,1.458579,0.9666918,0.1305434,5.674987,187.9878,352.4541,
0,1643384116424,Pelvis_Target,1.437437,0.9715425,0.1353275,5.063849,184.1233,354.5145,
0,1643384116548,Pelvis_Target,1.415442,0.9742053,0.1395646,6.154999,182.0185,355.5217,
0,1643384116649,Pelvis_Target,1.397314,0.9713197,0.1411495,5.538616,181.9797,354.706,
0,1643384116773,Pelvis_Target,1.371473,0.9663884,0.1445538,5.203732,182.4013,353.212,
0,1643384116897,Pelvis_Target,1.344186,0.9680839,0.1449179,6.76054,184.1994,351.2105,
0,1643384116998,Pelvis_Target,1.324071,0.9709451,0.1391616,7.464087,185.4327,349.1319,
0,1643384117100,Pelvis_Target,1.306365,0.972017,0.1188572,8.70998,184.5549,347.49,
0,1643384117224,Pelvis_Target,1.29587,0.9773859,0.08479381,8.006562,183.894,346.6208,
0,1643384117348,Pelvis_Target,1.283279,0.9804024,0.08907257,7.905971,178.0598,346.5064,
0,1643384117448,Pelvis_Target,1.274115,0.9814484,0.1085758,8.602029,177.8413,347.0069,
0,1643384117572,Pelvis_Target,1.259363,0.9811412,0.1316898,9.144391,178.872,346.3402,
0,1643384117674,Pelvis_Target,1.245043,0.9805459,0.1392478,10.28457,181.6684,344.9688,
0,1643384117799,Pelvis_Target,1.224531,0.9781135,0.137359,9.956426,181.9617,345.5451,
0,1643384117923,Pelvis_Target,1.213567,0.9768078,0.1336059,10.21399,181.3723,345.929,
0,1643384118049,Pelvis_Target,1.215417,0.9776207,0.1283581,10.76291,179.4832,345.5963,
0,1643384118173,Pelvis_Target,1.215044,0.983134,0.125528,8.807086,174.2373,345.6316,
0,1643384118273,Pelvis_Target,1.203861,0.9810024,0.1239351,8.649129,172.3889,345.0046,
0,1643384118399,Pelvis_Target,1.168553,0.9784967,0.128688,8.993195,175.24,346.6665,
0,1643384118523,Pelvis_Target,1.130743,0.976682,0.1372709,9.530234,174.0402,346.5589,
0,1643384118648,Pelvis_Target,1.095344,0.9746913,0.1448342,10.18971,175.7633,346.7433,
0,1643384118748,Pelvis_Target,1.070593,0.9769913,0.1438733,10.69109,177.3906,347.1247,
0,1643384118873,Pelvis_Target,1.052852,0.9800812,0.1463098,12.30543,180.5385,348.5393,
0,1643384118998,Pelvis_Target,1.039592,0.9821812,0.1455236,11.21985,180.3794,347.9972,
0,1643384119123,Pelvis_Target,1.009422,0.9819726,0.1586691,9.312573,181.4786,350.6198,
0,1643384119249,Pelvis_Target,0.9630281,0.9725327,0.192885,11.72316,179.7149,350.7841,
0,1643384119350,Pelvis_Target,0.9377481,0.9788294,0.2056153,10.58137,180.5033,351.2822,
0,1643384119451,Pelvis_Target,0.9309382,0.9735305,0.2154357,13.08072,179.2687,350.674,
0,1643384119574,Pelvis_Target,0.9284551,0.9765286,0.2085133,12.77813,178.7247,351.0312,
0,1643384119677,Pelvis_Target,0.9239811,0.9822154,0.191897,12.23702,181.0919,350.9007,
0,1643384119800,Pelvis_Target,0.9132482,0.9827936,0.1634138,11.04503,180.806,351.0915,
0,1643384119924,Pelvis_Target,0.9001018,0.9897211,0.1423834,9.604366,181.5041,351.1214,
0,1643384120026,Pelvis_Target,0.8896733,0.9913793,0.1419133,9.737633,180.5968,349.9655,
0,1643384120148,Pelvis_Target,0.8717422,0.993542,0.1437048,10.21407,182.2672,350.2386,
0,1643384120249,Pelvis_Target,0.857224,0.9930894,0.1390843,10.90531,184.787,349.2918,
0,1643384120349,Pelvis_Target,0.8305053,0.9900829,0.132105,10.05674,185.482,348.7113,
0,1643384120473,Pelvis_Target,0.7900071,0.9866079,0.1205132,8.764429,185.5667,348.6247,
0,1643384120573,Pelvis_Target,0.7557325,0.9868309,0.1164507,8.576456,186.2433,350.0651,
0,1643384120675,Pelvis_Target,0.7312535,0.9860207,0.1040045,6.266253,187.1968,350.2581,
0,1643384120798,Pelvis_Target,0.6893752,0.9978426,0.1043253,6.77036,183.7586,353.5117,
0,1643384120923,Pelvis_Target,0.6438048,1.003749,0.1075418,7.855856,181.266,356.2249,
0,1643384121049,Pelvis_Target,0.5901226,0.9946815,0.1073897,7.439485,180.0942,355.3214,
0,1643384121172,Pelvis_Target,0.5221692,0.9845166,0.108467,5.553111,180.6682,355.429,
0,1643384121274,Pelvis_Target,0.4589476,0.9826851,0.1208115,6.946936,176.8318,354.9293,
0,1643384121398,Pelvis_Target,0.3923985,0.9900833,0.1318759,8.563164,177.9811,352.6384,
0,1643384121498,Pelvis_Target,0.344912,0.9939112,0.1330143,8.703952,179.7448,351.2714,
0,1643384121598,Pelvis_Target,0.3047181,1.000675,0.1391651,10.5072,181.3515,351.3997,
0,1643384121723,Pelvis_Target,0.2705892,1.001008,0.1461952,12.5385,183.2636,352.2701,
0,1643384121847,Pelvis_Target,0.2448671,1.005882,0.1447901,12.70381,186.5415,353.8944,
0,1643384121972,Pelvis_Target,0.2218139,1.009882,0.1372581,11.96681,189.3723,354.323,
0,1643384122073,Pelvis_Target,0.1980632,1.009749,0.1351945,11.98188,189.881,354.3282,
