timestamp;foot;position
1643382544074;LeftFoot;0.03231506
1643382544898;LeftFoot;0.03857186
1643382548569;RightFoot;0.08219524
1643382548776;RightFoot;0.1071082
1643382550638;LeftFoot;0.1684148
1643382554852;RightFoot;0.2195542
1643382556176;LeftFoot;0.2881628
1643382556304;LeftFoot;0.3135949
1643382557205;RightFoot;0.3472631
1643382558327;LeftFoot;0.4271292
1643382559403;RightFoot;0.4915206
1643382560351;LeftFoot;0.5662234
1643382560501;LeftFoot;0.6036715
1643382561451;RightFoot;0.6220093
1643382561525;RightFoot;0.6502193
1643382561702;RightFoot;0.6842203
1643382562502;LeftFoot;0.7211485
1643382562751;LeftFoot;0.7588636
1643382563600;RightFoot;0.7755932
1643382563977;RightFoot;0.8445085
1643382565125;LeftFoot;0.9224818
1643382565950;RightFoot;0.9459926
1643382572119;RightFoot;0.05093086
1643382574475;LeftFoot;0.09673011
1643382576201;RightFoot;0.1419823
1643382577564;LeftFoot;0.2303182
1643382579575;RightFoot;0.2750399
1643382580904;LeftFoot;0.3553288
1643382582752;RightFoot;0.4203305
1643382583951;LeftFoot;0.4852962
1643382585397;RightFoot;0.5482703
1643382586462;LeftFoot;0.6077582
1643382586718;LeftFoot;0.655296
1643382587903;RightFoot;0.6969982
1643382588839;LeftFoot;0.7717903
1643382588913;LeftFoot;0.7958255
1643382589088;LeftFoot;0.815604
1643382589964;RightFoot;0.8684938
1643382591013;LeftFoot;0.9384542
1643382591338;LeftFoot;0.9766006
1643382591438;LeftFoot;0.9782326
1643382596287;RightFoot;0.05298099
1643382600587;LeftFoot;0.09782514
1643382600711;LeftFoot;0.1191349
1643382602637;RightFoot;0.1556877
1643382602736;RightFoot;0.1789771
1643382603911;LeftFoot;0.2264694
1643382605660;RightFoot;0.2907855
1643382606935;LeftFoot;0.3628395
1643382607018;LeftFoot;0.384745
1643382608501;RightFoot;0.4288554
1643382608541;RightFoot;0.4445914
1643382609785;LeftFoot;0.5017628
1643382611111;RightFoot;0.5708165
1643382612334;LeftFoot;0.6322185
1643382613561;RightFoot;0.7088796
1643382614692;LeftFoot;0.7782851
1643382615858;RightFoot;0.8615983
1643382617834;LeftFoot;0.9715519
1643382618934;RightFoot;0.968462
1643382623158;RightFoot;0.004403293
1643382626106;LeftFoot;0.1013911
1643382628409;RightFoot;0.1670753
1643382629634;LeftFoot;0.2362732
1643382631183;RightFoot;0.3146392
1643382632380;LeftFoot;0.3754065
1643382632606;LeftFoot;0.4254296
1643382634005;RightFoot;0.4699403
1643382635131;LeftFoot;0.5361356
1643382636355;RightFoot;0.6128697
1643382637680;LeftFoot;0.6955801
1643382637833;LeftFoot;0.7287693
1643382638781;RightFoot;0.7549063
1643382640132;LeftFoot;0.8569933
1643382640308;LeftFoot;0.8757201
1643382641279;RightFoot;0.900626
