pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643382859497,Sphere Kopf(Clone),1.466247,1.542439,0.007264078,282.7003,246.7999,85.01493,
0,1643382859615,Sphere Kopf(Clone),1.49072,1.506533,-0.01025227,287.8126,244.4246,83.4973,
0,1643382859723,Sphere Kopf(Clone),1.512887,1.478691,-0.02343699,291.8289,241.5335,82.9705,
0,1643382859845,Sphere Kopf(Clone),1.526702,1.461384,-0.03091183,294.3642,239.1786,83.1078,
0,1643382859946,Sphere Kopf(Clone),1.526233,1.457537,-0.02715251,294.9253,238.1021,84.50994,
0,1643382860074,Sphere Kopf(Clone),1.51221,1.462491,-0.007136434,294.2865,239.4352,86.70486,
0,1643382860196,Sphere Kopf(Clone),1.482628,1.471588,0.04911718,293.0237,245.2332,90.28931,
0,1643382860299,Sphere Kopf(Clone),1.469847,1.475436,0.09326801,292.5064,251.557,90.78915,
0,1643382860421,Sphere Kopf(Clone),1.464962,1.479659,0.1407953,292.1295,259.5821,89.87367,
0,1643382860524,Sphere Kopf(Clone),1.459934,1.492748,0.1601709,290.227,265.0556,87.41766,
0,1643382860649,Sphere Kopf(Clone),1.4601,1.502133,0.168651,288.9737,270.2136,83.58604,
0,1643382860751,Sphere Kopf(Clone),1.458541,1.511746,0.1693741,287.6976,272.2124,81.79668,
0,1643382860876,Sphere Kopf(Clone),1.454818,1.524075,0.1690229,285.9325,273.2255,80.95838,
0,1643382861000,Sphere Kopf(Clone),1.452805,1.531898,0.1687909,284.8337,273.6172,80.85477,
0,1643382861124,Sphere Kopf(Clone),1.450799,1.537888,0.167758,284.0107,273.7952,80.90461,
0,1643382861224,Sphere Kopf(Clone),1.449684,1.542229,0.1628963,283.3864,272.779,81.51147,
0,1643382861328,Sphere Kopf(Clone),1.449056,1.546349,0.1538893,282.7518,269.393,83.84865,
0,1643382861449,Sphere Kopf(Clone),1.449064,1.54923,0.1486171,282.3218,267.9088,85.02818,
0,1643382861550,Sphere Kopf(Clone),1.449295,1.549757,0.1463557,282.2073,267.4108,85.46284,
0,1643382861678,Sphere Kopf(Clone),1.450275,1.549081,0.1449833,282.3373,266.8837,85.93977,
0,1643382861792,Sphere Kopf(Clone),1.451422,1.548257,0.1420992,282.4646,267.6141,84.99883,
0,1643382861907,Sphere Kopf(Clone),1.452567,1.548347,0.1465158,282.4575,268.9335,84.4586,
0,1643382862023,Sphere Kopf(Clone),1.453227,1.547382,0.151654,282.5178,270.4033,83.74089,
0,1643382862138,Sphere Kopf(Clone),1.453284,1.544926,0.1685048,282.808,272.192,84.10183,
0,1643382862260,Sphere Kopf(Clone),1.451656,1.542326,0.1797901,283.153,276.2317,81.43422,
0,1643382862375,Sphere Kopf(Clone),1.44986,1.539938,0.1895477,283.531,279.5443,79.29902,
0,1643382862499,Sphere Kopf(Clone),1.446859,1.538391,0.2044509,283.8181,284.2708,76.47054,
0,1643382862625,Sphere Kopf(Clone),1.451736,1.533082,0.2686085,284.415,293.1348,76.61892,
0,1643382862728,Sphere Kopf(Clone),1.484896,1.522569,0.3649745,285.5259,299.5049,84.36658,
0,1643382862859,Sphere Kopf(Clone),1.548481,1.521557,0.467757,285.4294,315.1311,85.85039,
0,1643382862991,Sphere Kopf(Clone),1.56839,1.516992,0.4873187,286.1235,318.8633,85.41512,
0,1643382863094,Sphere Kopf(Clone),1.560796,1.512629,0.4772378,286.7878,318.5285,83.64359,
0,1643382863224,Sphere Kopf(Clone),1.569734,1.503361,0.4823558,288.1278,320.2519,83.22083,
0,1643382863326,Sphere Kopf(Clone),1.573925,1.49628,0.4847395,289.1369,320.0862,84.07915,
0,1643382863458,Sphere Kopf(Clone),1.560593,1.491201,0.4736084,289.8799,318.011,83.98927,
0,1643382863592,Sphere Kopf(Clone),1.531639,1.48563,0.4374802,290.7728,312.6389,82.95646,
0,1643382863727,Sphere Kopf(Clone),1.463934,1.504686,0.3442057,287.8749,301.7945,77.21715,
0,1643382863829,Sphere Kopf(Clone),1.434363,1.51611,0.244328,286.2643,289.0899,75.14227,
0,1643382863935,Sphere Kopf(Clone),1.437723,1.501779,0.2115701,288.0236,277.261,82.04897,
0,1643382864066,Sphere Kopf(Clone),1.438536,1.497136,0.1999545,288.6361,271.377,86.12285,
0,1643382864170,Sphere Kopf(Clone),1.439246,1.495105,0.1973769,288.9425,269.7944,87.23354,
0,1643382864300,Sphere Kopf(Clone),1.443178,1.492468,0.1933515,289.4479,268.9271,87.19058,
