unixTime,lslTime,EDA
1643383734150,20083.8726776,7.18
1643383734150,20083.8726802,7.18
1643383734150,20083.8726823,7.2
1643383734150,20083.8726843,7.2
1643383734150,20083.8726861,7.2
1643383734150,20083.872688,7.2
1643383734150,20084.0298323,7.2
1643383734150,20084.0298389,7.2
1643383734150,20084.0298412,7.2
1643383734150,20084.029844,7.18
1643383734172,20084.029846,7.18
1643383734172,20084.029848,7.18
1643383734369,20084.02985,7.18
1643383734369,20084.0298519,7.15
1643383734369,20084.0298538,7.15
1643383734369,20084.0298558,7.15
1643383734369,20084.0298577,7.13
1643383734369,20084.0298597,7.13
1643383734369,20084.0298616,7.13
1643383734369,20084.0298635,7.13
1643383734369,20084.0298654,7.13
1643383734369,20084.1773741,7.1
1643383734402,20084.1775444,7.1
1643383734402,20084.177557,7.1
1643383734402,20084.1775835,7.1
1643383734402,20084.1775884,7.1
1643383734402,20084.1775921,7.1
1643383734402,20084.177606,7.08
1643383734402,20084.1776176,7.08
1643383734402,20084.1776222,7.08
1643383734402,20084.1776263,7.08
1643383734402,20084.1776299,7.08
1643383734421,20084.1776494,7.06
1643383734421,20084.1776533,7.06
1643383734421,20084.1776557,7.06
1643383734421,20084.1776592,7.06
1643383734421,20084.3284576,7.06
1643383734421,20084.3284668,7.06
1643383734421,20084.3284718,7.06
1643383734421,20084.3286497,7.08
1643383734421,20084.3286551,7.06
1643383734421,20084.328659,7.08
1643383734444,20084.3286612,7.08
1643383734444,20084.3286668,7.08
1643383734645,20084.3286692,7.08
1643383734645,20084.328725,7.08
1643383734645,20084.3287649,7.08
1643383734645,20084.3287701,7.08
1643383734645,20084.3287729,7.08
1643383734645,20084.3288104,7.08
1643383734645,20084.3288142,7.08
1643383734645,20084.4569329,7.1
1643383734645,20084.4569595,7.1
1643383734645,20084.4569639,7.1
1643383734671,20084.4569663,7.1
1643383734671,20084.4569698,7.1
1643383734671,20084.4569731,7.1
1643383734671,20084.4569765,7.1
1643383734671,20084.4569787,7.1
1643383734671,20084.4573841,7.1
1643383734671,20084.4573878,7.1
1643383734671,20084.457391,7.1
1643383734671,20084.457394,7.1
1643383734671,20084.4574645,7.13
1643383734694,20084.4574686,7.13
1643383734694,20084.4574715,7.13
1643383734694,20084.6028359,7.13
1643383734694,20084.6032952,7.13
1643383734694,20084.6033005,7.13
1643383734694,20084.6033038,7.13
1643383734694,20084.6033833,7.15
1643383734694,20084.6033886,7.15
1643383734694,20084.6033923,7.15
1643383734694,20084.6033957,7.15
1643383734718,20084.6033999,7.15
1643383734718,20084.6034036,7.18
1643383734969,20084.6034696,7.18
1643383734969,20084.6034751,7.18
1643383734969,20084.6034787,7.18
1643383734969,20084.6035378,7.18
1643383734969,20084.6035435,7.18
1643383734969,20084.7599542,7.18
1643383734969,20084.7599618,7.18
1643383734969,20084.7599648,7.18
1643383734969,20084.7599689,7.18
1643383734969,20084.7602012,7.18
1643383734997,20084.7602059,7.18
1643383734997,20084.7602083,7.2
1643383734997,20084.7602116,7.18
1643383734997,20084.7602138,7.2
1643383734997,20084.7602173,7.2
1643383734997,20084.7602194,7.2
1643383734997,20084.7602464,7.2
1643383734997,20084.7602486,7.2
1643383734997,20084.7602506,7.2
1643383734997,20084.7602524,7.2
1643383735019,20084.9094123,7.2
1643383735019,20084.9095873,7.2
1643383735019,20084.9095919,7.2
1643383735019,20084.9095956,7.2
1643383735019,20084.9096907,7.2
1643383735019,20084.909701,7.23
1643383735019,20084.9097055,7.23
1643383735019,20084.9097079,7.23
1643383735019,20084.9097114,7.23
1643383735019,20084.9097153,7.23
1643383735044,20084.9097176,7.25
1643383735044,20084.9097209,7.25
1643383735247,20084.9097247,7.25
1643383735247,20084.909728,7.25
