pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643383734401,BeamStart_Target,1.617503,0.1137436,0.1233228,271.0068,244.1353,25.07753,
0,1643383734531,BeamStart_Target,1.617419,0.1136822,0.1232286,271.0153,244.0999,25.11235,
0,1643383734646,BeamStart_Target,1.61734,0.1134332,0.1230863,271.0164,244.6249,24.58048,
0,1643383734777,BeamStart_Target,1.617442,0.1138552,0.1233541,271.011,246.6618,22.56221,
0,1643383734896,BeamStart_Target,1.617216,0.1137157,0.123275,271.0141,246.2585,22.96286,
0,1643383734997,BeamStart_Target,1.617308,0.1135718,0.1231221,271.0068,247.2277,21.9947,
0,1643383735120,BeamStart_Target,1.617291,0.1135735,0.1231939,271.006,246.2678,22.9425,
0,1643383735248,BeamStart_Target,1.617406,0.1134545,0.1232055,271.0374,246.5935,22.62094,
0,1643383735372,BeamStart_Target,1.617238,0.114056,0.1232812,271.0253,246.7342,22.4708,
0,1643383735494,BeamStart_Target,1.617338,0.1137012,0.1232592,271.0408,247.4543,21.7496,
0,1643383735595,BeamStart_Target,1.617178,0.1137968,0.1232985,271.0333,248.0471,21.16097,
0,1643383735698,BeamStart_Target,1.617151,0.1139294,0.1231987,271.0333,248.5193,20.70685,
0,1643383735830,BeamStart_Target,1.617416,0.1139444,0.1233163,271.0383,247.596,21.59835,
0,1643383735945,BeamStart_Target,1.617189,0.1135607,0.1232142,271.0381,247.7254,21.47374,
0,1643383736045,BeamStart_Target,1.617268,0.1139845,0.1234633,271.0438,246.852,22.34163,
0,1643383736171,BeamStart_Target,1.616993,0.1139034,0.1232446,271.0348,246.6954,22.49589,
0,1643383736294,BeamStart_Target,1.617101,0.1140056,0.1235084,271.0453,248.5482,20.64142,
0,1643383736396,BeamStart_Target,1.616916,0.1137963,0.1233063,271.0355,247.7158,21.47838,
0,1643383736519,BeamStart_Target,1.617004,0.1138233,0.123344,271.0423,247.1833,22.01722,
0,1643383736645,BeamStart_Target,1.617041,0.1140257,0.1233024,271.0464,246.1612,23.03852,
0,1643383736769,BeamStart_Target,1.616895,0.1142237,0.1235255,271.0546,247.8183,21.36406,
0,1643383736870,BeamStart_Target,1.616808,0.1139874,0.1234439,271.0207,248.0361,21.16437,
0,1643383736994,BeamStart_Target,1.616739,0.1137762,0.1233646,271.0153,246.7369,22.46399,
0,1643383737095,BeamStart_Target,1.61685,0.1142772,0.1234987,271.0355,247.3054,21.88554,
0,1643383737220,BeamStart_Target,1.617029,0.1137626,0.1233964,271.0325,246.5305,22.66121,
0,1643383737319,BeamStart_Target,1.616817,0.113637,0.123485,271.0007,246.1441,23.04608,
0,1643383737445,BeamStart_Target,1.616942,0.1138707,0.1232594,271.0195,247.4092,21.78164,
0,1643383737569,BeamStart_Target,1.616623,0.1141035,0.1233708,271.0168,245.8706,23.34527,
0,1643383737669,BeamStart_Target,1.61685,0.114118,0.1235364,271.0359,245.5332,23.66635,
0,1643383737795,BeamStart_Target,1.616831,0.1140765,0.1235049,271.041,245.7274,23.46824,
0,1643383737918,BeamStart_Target,1.616955,0.1140147,0.1233457,271.047,245.2062,23.99347,
0,1643383738019,BeamStart_Target,1.61696,0.1141151,0.1234135,271.0438,245.5489,23.65924,
0,1643383738147,BeamStart_Target,1.616806,0.1139362,0.1233325,271.0431,245.8638,23.34459,
0,1643383738270,BeamStart_Target,1.61679,0.1141799,0.1235593,271.023,245.5001,23.71576,
0,1643383738394,BeamStart_Target,1.616765,0.1136435,0.1235701,271.0103,246.5406,22.67307,
0,1643383738496,BeamStart_Target,1.616859,0.1139261,0.1233948,271.0236,245.9626,23.25095,
0,1643383738619,BeamStart_Target,1.616861,0.1137868,0.1234907,271.0191,245.9944,23.21371,
0,1643383738719,BeamStart_Target,1.616905,0.1138728,0.1233084,271.0272,245.0869,24.12379,
0,1643383738819,BeamStart_Target,1.616891,0.1138694,0.1234709,271.0419,245.6598,23.53275,
0,1643383738943,BeamStart_Target,1.616792,0.1139397,0.1234484,271.0273,246.3641,22.83829,
0,1643383739044,BeamStart_Target,1.616752,0.1136789,0.1234719,271.0496,246.9919,22.21185,
0,1643383739168,BeamStart_Target,1.616662,0.1140303,0.1234481,271.0243,247.1876,22.02936,
0,1643383739269,BeamStart_Target,1.616587,0.1139295,0.1234629,271.0453,248.382,20.81377,
0,1643383739392,BeamStart_Target,1.616926,0.1139287,0.1232452,271.0511,247.9654,21.23679,
0,1643383739492,BeamStart_Target,1.616748,0.1140456,0.123357,271.0498,249.2101,19.98481,
0,1643383739593,BeamStart_Target,1.61669,0.1141109,0.1232918,271.0563,249.9485,19.24707,
0,1643383739718,BeamStart_Target,1.617056,0.1141283,0.1234479,271.073,249.9533,19.22128,
0,1643383739844,BeamStart_Target,1.617121,0.1139772,0.1233522,271.062,249.9887,19.20953,
0,1643383739968,BeamStart_Target,1.617061,0.1142664,0.1234778,271.0464,250.7961,18.41286,
0,1643383740068,BeamStart_Target,1.617094,0.1138562,0.1233043,271.0389,249.3444,19.85794,
0,1643383740168,BeamStart_Target,1.616999,0.1141271,0.1232844,271.0552,249.2844,19.9332,
0,1643383740292,BeamStart_Target,1.616788,0.113829,0.1231476,271.0483,249.8785,19.33976,
0,1643383740392,BeamStart_Target,1.617247,0.1138445,0.1232153,271.0359,250.4211,18.79075,
0,1643383740493,BeamStart_Target,1.617158,0.1140762,0.1233441,271.0342,249.7094,19.49932,
