pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643449072320,LeftHand_Target,1.610908,0.7678339,-0.1671935,1.616546,107.3584,97.12906,
0,1643449072449,LeftHand_Target,1.611003,0.7675914,-0.1669947,1.421665,107.3068,96.91228,
0,1643449072581,LeftHand_Target,1.610673,0.7673912,-0.1667666,1.461807,107.3426,96.87531,
0,1643449072692,LeftHand_Target,1.610562,0.7673681,-0.1666531,1.411952,107.3181,96.81861,
0,1643449072805,LeftHand_Target,1.610458,0.7677337,-0.1665849,1.461727,106.7894,96.70952,
0,1643449072915,LeftHand_Target,1.61062,0.7679168,-0.1665804,1.47355,106.4521,96.73856,
0,1643449073026,LeftHand_Target,1.610612,0.7677714,-0.1662069,1.535544,105.9888,96.83643,
0,1643449073138,LeftHand_Target,1.607039,0.7678189,-0.1649009,1.728471,106.3018,96.84268,
0,1643449073249,LeftHand_Target,1.601114,0.7682459,-0.1615584,1.922212,108.6774,97.22689,
0,1643449073359,LeftHand_Target,1.598866,0.7679376,-0.1609227,1.800683,108.428,96.97523,
0,1643449073470,LeftHand_Target,1.595479,0.7683198,-0.1592219,1.801346,109.6499,96.99657,
0,1643449073581,LeftHand_Target,1.593911,0.768259,-0.1584278,1.692836,110.2222,96.98868,
0,1643449073693,LeftHand_Target,1.593579,0.7680255,-0.1588618,1.583076,110.0472,96.94019,
0,1643449073804,LeftHand_Target,1.593754,0.7681364,-0.1595385,1.631517,110.0736,96.96613,
0,1643449073914,LeftHand_Target,1.59581,0.76852,-0.1616538,1.673904,109.2253,97.00549,
0,1643449074026,LeftHand_Target,1.596722,0.7687799,-0.1624478,1.751865,108.8544,96.94068,
0,1643449074137,LeftHand_Target,1.597444,0.7683572,-0.1634753,1.806548,108.7487,96.81731,
0,1643449074249,LeftHand_Target,1.597371,0.767866,-0.1638923,1.825621,108.6823,96.66663,
0,1643449074360,LeftHand_Target,1.597651,0.7673663,-0.1641277,1.861323,108.808,96.59756,
0,1643449074478,LeftHand_Target,1.597136,0.7676258,-0.1643509,1.844731,108.8532,96.51885,
0,1643449074582,LeftHand_Target,1.597223,0.7677824,-0.163904,1.830637,108.8618,96.46817,
0,1643449074693,LeftHand_Target,1.597868,0.7675992,-0.1632814,1.832321,109.0532,96.4633,
0,1643449074793,LeftHand_Target,1.598004,0.767705,-0.1626429,1.827927,108.8482,96.45391,
0,1643449074893,LeftHand_Target,1.598302,0.7680873,-0.1617098,1.876529,108.8356,96.60345,
0,1643449075027,LeftHand_Target,1.599907,0.7692057,-0.1613799,1.813568,108.4165,96.86643,
0,1643449075160,LeftHand_Target,1.60151,0.7696812,-0.1610793,1.733563,107.8445,96.99259,
0,1643449075293,LeftHand_Target,1.603358,0.7702082,-0.1609996,1.905546,107.243,97.04477,
0,1643449075426,LeftHand_Target,1.605349,0.7700598,-0.1605972,1.778867,106.754,96.99709,
0,1643449075526,LeftHand_Target,1.606793,0.7700215,-0.1602604,1.799344,106.6844,96.94268,
0,1643449075659,LeftHand_Target,1.609838,0.7705526,-0.1598637,1.878194,106.5524,96.9862,
0,1643449075759,LeftHand_Target,1.615623,0.7699772,-0.1605979,1.288856,106.2662,96.90299,
0,1643449075871,LeftHand_Target,1.625988,0.7695273,-0.16246,0.8434444,104.7425,96.85327,
0,1643449075984,LeftHand_Target,1.633861,0.7701124,-0.1641065,0.6557449,103.0324,96.89063,
0,1643449076093,LeftHand_Target,1.639228,0.7695199,-0.1646054,0.0735492,102.2294,96.73856,
0,1643449076205,LeftHand_Target,1.640503,0.7693689,-0.1643441,0.1544051,102.1792,96.522,
0,1643449076327,LeftHand_Target,1.639582,0.7689372,-0.1632436,0.08618677,102.585,96.27444,
0,1643449076460,LeftHand_Target,1.637433,0.7685578,-0.1637254,0.1730892,102.6016,95.99257,
0,1643449076594,LeftHand_Target,1.635254,0.7685015,-0.1626338,0.1083559,103.5784,95.80622,
0,1643449076732,LeftHand_Target,1.632381,0.7681786,-0.1630559,0.2028297,103.9196,95.78025,
0,1643449076832,LeftHand_Target,1.630891,0.76822,-0.1637839,359.99,103.7251,95.83733,
0,1643449076960,LeftHand_Target,1.629351,0.7682158,-0.1649991,0.442114,103.8961,95.98609,
0,1643449077060,LeftHand_Target,1.624981,0.7696893,-0.1654782,0.3233053,103.921,96.24397,
0,1643449077194,LeftHand_Target,1.586226,0.7772902,-0.1660155,8.872911,102.3417,94.80606,
0,1643449077294,LeftHand_Target,1.519505,0.7992936,-0.1574859,20.74614,103.261,95.12032,
0,1643449077426,LeftHand_Target,1.430855,0.8662955,-0.1397369,44.45573,108.4969,98.72442,
0,1643449077526,LeftHand_Target,1.393832,0.9198735,-0.1336551,59.31917,96.08623,88.64568,
0,1643449077627,LeftHand_Target,1.379874,0.954924,-0.1328601,66.83463,78.72028,71.24094,
0,1643449077761,LeftHand_Target,1.378684,0.9662368,-0.1306404,71.47923,85.09541,76.20657,
0,1643449077893,LeftHand_Target,1.376683,0.9825462,-0.1212409,73.09412,64.33946,54.53852,
0,1643449077993,LeftHand_Target,1.373138,0.9922404,-0.1157747,73.10713,51.34384,40.72731,
0,1643449078126,LeftHand_Target,1.36839,0.9943785,-0.1155014,72.27851,51.24033,40.94173,
0,1643449078227,LeftHand_Target,1.369081,0.9932879,-0.1185088,72.81319,52.82613,42.65491,
0,1643449078326,LeftHand_Target,1.369555,0.9880432,-0.120749,72.0901,58.62379,48.95412,
0,1643449078427,LeftHand_Target,1.368584,0.9866077,-0.120182,69.78513,52.94868,43.49241,
0,1643449078528,LeftHand_Target,1.365762,0.9896034,-0.1176029,71.89989,57.51183,47.70831,
0,1643449078659,LeftHand_Target,1.364448,0.9906626,-0.1171027,71.72334,54.10497,44.53442,
0,1643449078760,LeftHand_Target,1.364709,0.9853397,-0.1176134,70.64108,57.54221,47.28399,
0,1643449078860,LeftHand_Target,1.372856,0.9504302,-0.1313852,69.01478,89.92305,79.47201,
0,1643449078961,LeftHand_Target,1.412972,0.8743681,-0.1604079,47.60551,104.7603,98.97422,
0,1643449079093,LeftHand_Target,1.53781,0.7863775,-0.1860343,12.79478,103.417,99.83398,
0,1643449079193,LeftHand_Target,1.622263,0.7708139,-0.1858887,356.9461,104.1802,96.12128,
0,1643449079293,LeftHand_Target,1.664088,0.7714059,-0.1728552,346.4372,78.30869,100.6102,
0,1643449079405,LeftHand_Target,1.660465,0.775946,-0.188806,350.9661,60.37534,103.8689,
0,1643449079529,LeftHand_Target,1.623804,0.77684,-0.1796312,355.7692,86.7197,98.32434,
0,1643449079662,LeftHand_Target,1.596104,0.778721,-0.1648508,3.274696,106.4629,99.92554,
0,1643449079763,LeftHand_Target,1.59004,0.7778639,-0.1647683,3.549751,110.5811,98.54105,
0,1643449079863,LeftHand_Target,1.591026,0.7741143,-0.1678734,1.507655,105.9463,97.26075,
0,1643449079996,LeftHand_Target,1.593528,0.7739958,-0.1704296,1.561033,103.3101,97.38216,
0,1643449080129,LeftHand_Target,1.593055,0.7746971,-0.1700249,1.443819,104.289,97.6805,
0,1643449080260,LeftHand_Target,1.594424,0.772942,-0.1697882,0.624611,106.1994,97.31709,
0,1643449080362,LeftHand_Target,1.600157,0.7716082,-0.1694741,358.8235,105.9271,96.68583,
0,1643449080462,LeftHand_Target,1.602603,0.7732722,-0.1731361,358.0345,103.3687,97.40533,
0,1643449080596,LeftHand_Target,1.602869,0.7763129,-0.1738698,0.5582094,101.712,97.72937,
0,1643449080698,LeftHand_Target,1.604913,0.7766891,-0.1730203,0.7924792,100.4133,97.78338,
0,1643449080828,LeftHand_Target,1.622501,0.7786945,-0.1742607,1.981681,96.90327,98.03383,
0,1643449080928,LeftHand_Target,1.64658,0.7828576,-0.1768409,2.810515,88.58903,98.79816,
0,1643449081034,LeftHand_Target,1.677934,0.7869307,-0.1772058,3.287464,77.65069,99.4335,
0,1643449081168,LeftHand_Target,1.719365,0.7896734,-0.1690967,2.665659,63.63586,99.78734,
0,1643449081303,LeftHand_Target,1.74345,0.7872635,-0.1566546,359.237,54.33655,99.40717,
0,1643449081431,LeftHand_Target,1.741913,0.7865927,-0.1554134,358.8009,52.41693,99.35959,
0,1643449081564,LeftHand_Target,1.717322,0.7859115,-0.1636843,358.8126,63.51968,99.52216,
0,1643449081668,LeftHand_Target,1.687878,0.7849502,-0.1693873,358.3284,73.4204,99.23043,
0,1643449081795,LeftHand_Target,1.658892,0.7821164,-0.1724773,357.5552,84.32544,99.26118,
0,1643449081927,LeftHand_Target,1.629904,0.7800664,-0.1658033,359.2237,95.81649,100.0024,
0,1643449082029,LeftHand_Target,1.619899,0.7791337,-0.1588272,1.637117,102.208,99.61321,
0,1643449082129,LeftHand_Target,1.618491,0.7751553,-0.1592645,358.9286,101.7456,97.82755,
0,1643449082263,LeftHand_Target,1.619894,0.7737589,-0.1631614,358.0871,98.70942,97.58793,
0,1643449082394,LeftHand_Target,1.617828,0.7741776,-0.1639028,359.0625,99.43417,98.07707,
0,1643449082527,LeftHand_Target,1.619025,0.7754492,-0.1694159,359.5028,98.35884,98.05828,
0,1643449082661,LeftHand_Target,1.631534,0.7827178,-0.1755921,1.94195,96.08137,99.81338,
0,1643449082761,LeftHand_Target,1.652755,0.7935873,-0.1810208,8.007671,85.00116,98.98889,
0,1643449082894,LeftHand_Target,1.700947,0.8017601,-0.1820095,13.10513,67.31056,97.75587,
0,1643449082994,LeftHand_Target,1.736735,0.798942,-0.1737101,9.685576,57.42501,98.46789,
0,1643449083104,LeftHand_Target,1.760068,0.7924819,-0.1689628,2.840333,55.29655,99.50235,
0,1643449083227,LeftHand_Target,1.740949,0.7873058,-0.1823842,355.6158,62.49776,99.63403,
0,1643449083329,LeftHand_Target,1.703081,0.7890561,-0.1977198,359.1239,68.11242,97.55022,
0,1643449083461,LeftHand_Target,1.63197,0.7847575,-0.2070811,2.721038,81.43131,98.34443,
