pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643450658861,RightFoot_Target,1.515747,-0.03877075,0.1226064,347.5355,2.001789,355.8291,
0,1643450658972,RightFoot_Target,1.515743,-0.03882679,0.1226947,347.5249,1.987534,355.7577,
0,1643450659079,RightFoot_Target,1.515706,-0.03914718,0.1224714,347.6149,1.97402,355.7565,
0,1643450659189,RightFoot_Target,1.515828,-0.03914328,0.1226941,347.593,1.978312,355.7628,
0,1643450659299,RightFoot_Target,1.515752,-0.03884812,0.1226372,347.5756,1.984362,355.8181,
0,1643450659411,RightFoot_Target,1.515705,-0.03918405,0.122417,347.5303,2.001118,355.8426,
0,1643450659521,RightFoot_Target,1.515749,-0.03911604,0.1224506,347.5409,1.986369,355.8956,
0,1643450659634,RightFoot_Target,1.515687,-0.03891403,0.1224388,347.5107,1.982756,355.9042,
0,1643450659742,RightFoot_Target,1.515782,-0.03900653,0.1224006,347.5009,2.000403,355.8817,
0,1643450659855,RightFoot_Target,1.515682,-0.03893013,0.1224239,347.5175,1.99703,355.9325,
0,1643450659967,RightFoot_Target,1.515802,-0.038781,0.1224372,347.498,1.983459,355.9812,
0,1643450660079,RightFoot_Target,1.515728,-0.03879769,0.1222858,347.5036,1.971777,355.994,
0,1643450660189,RightFoot_Target,1.515634,-0.03868465,0.1222859,347.5077,1.980244,355.9956,
0,1643450660298,RightFoot_Target,1.515831,-0.03852188,0.1224092,347.4892,1.976542,355.986,
0,1643450660411,RightFoot_Target,1.515763,-0.0385433,0.1223408,347.4999,1.981726,355.9747,
0,1643450660525,RightFoot_Target,1.515803,-0.03866203,0.122319,347.4919,1.988582,355.9549,
0,1643450660635,RightFoot_Target,1.515718,-0.03852639,0.1222883,347.4991,2.000075,355.9139,
0,1643450660743,RightFoot_Target,1.515714,-0.03850369,0.1223668,347.4771,1.997937,355.8271,
0,1643450660855,RightFoot_Target,1.515692,-0.03842428,0.1221933,347.4989,2.003146,355.7429,
0,1643450660969,RightFoot_Target,1.515743,-0.03832166,0.1223675,347.5052,1.992379,355.7087,
0,1643450661077,RightFoot_Target,1.515833,-0.03861212,0.1220736,347.5145,1.994253,355.6771,
0,1643450661188,RightFoot_Target,1.515774,-0.03844202,0.1222277,347.5174,1.993553,355.6847,
0,1643450661299,RightFoot_Target,1.515806,-0.038258,0.1222243,347.4901,1.995944,355.7362,
0,1643450661409,RightFoot_Target,1.515777,-0.03843755,0.122276,347.4917,1.989573,355.7881,
0,1643450661523,RightFoot_Target,1.515727,-0.03834112,0.1221799,347.5112,1.991797,355.812,
0,1643450661632,RightFoot_Target,1.515767,-0.03807303,0.1222285,347.5161,1.992577,355.7747,
0,1643450661755,RightFoot_Target,1.51579,-0.03826343,0.1222277,347.5276,1.997792,355.7502,
0,1643450661855,RightFoot_Target,1.51575,-0.0383341,0.1220566,347.5542,1.997118,355.7667,
0,1643450661990,RightFoot_Target,1.515792,-0.03836909,0.1221503,347.562,2.018017,355.7222,
0,1643450662121,RightFoot_Target,1.515805,-0.03823712,0.1220178,347.5626,1.990716,355.752,
0,1643450662222,RightFoot_Target,1.515754,-0.03838962,0.1221445,347.5711,2.009639,355.7261,
0,1643450662354,RightFoot_Target,1.515841,-0.03806482,0.1221518,347.5588,1.990914,355.6927,
0,1643450662467,RightFoot_Target,1.515736,-0.03814261,0.1222015,347.5647,1.98292,355.6963,
0,1643450662576,RightFoot_Target,1.515976,-0.03823075,0.1219976,347.5702,1.983191,355.6754,
0,1643450662690,RightFoot_Target,1.515743,-0.03805187,0.1220691,347.556,1.986222,355.6501,
0,1643450662802,RightFoot_Target,1.515887,-0.03791983,0.1218726,347.5347,1.987457,355.6678,
0,1643450662910,RightFoot_Target,1.515867,-0.03784093,0.1218627,347.5393,1.984802,355.6972,
0,1643450663022,RightFoot_Target,1.515737,-0.03826563,0.1218136,347.5471,2.024064,355.6552,
0,1643450663132,RightFoot_Target,1.515755,-0.03770992,0.1220344,347.5789,2.010199,355.6286,
0,1643450663245,RightFoot_Target,1.515889,-0.03792929,0.1219693,347.7189,1.915931,355.6997,
0,1643450663355,RightFoot_Target,1.515715,-0.03754628,0.1222081,347.7555,1.831588,355.7749,
0,1643450663466,RightFoot_Target,1.515971,-0.03785088,0.1221261,347.8306,1.836913,355.8373,
0,1643450663577,RightFoot_Target,1.516056,-0.03772901,0.1223928,347.8721,1.775575,355.9285,
0,1643450663687,RightFoot_Target,1.516136,-0.03766887,0.12242,347.9451,1.713403,356.0771,
0,1643450663800,RightFoot_Target,1.516175,-0.03808361,0.1224194,348.0293,1.640691,356.1982,
0,1643450663911,RightFoot_Target,1.516266,-0.03773012,0.122717,348.1603,1.562313,356.275,
0,1643450664021,RightFoot_Target,1.516223,-0.03781967,0.1229791,348.2195,1.49284,356.3806,
0,1643450664133,RightFoot_Target,1.516071,-0.03830895,0.1226783,348.2688,1.4138,356.5109,
0,1643450664246,RightFoot_Target,1.516116,-0.0388452,0.1224995,348.2972,1.355764,356.6713,
0,1643450664353,RightFoot_Target,1.51613,-0.03841414,0.1227962,348.3005,1.320644,356.7642,
0,1643450664465,RightFoot_Target,1.516062,-0.03819241,0.1228177,348.1864,1.38398,356.7053,
0,1643450664578,RightFoot_Target,1.515958,-0.03841329,0.1225863,348.0154,1.484767,356.5194,
0,1643450664691,RightFoot_Target,1.516131,-0.03777756,0.1227959,347.8712,1.540339,356.2912,
0,1643450664809,RightFoot_Target,1.516328,-0.03729449,0.1229406,347.807,1.606142,356.0584,
0,1643450664924,RightFoot_Target,1.516408,-0.03712126,0.1228346,347.7965,1.63522,356.014,
0,1643450665055,RightFoot_Target,1.516332,-0.03753608,0.1225526,347.7812,1.649624,355.9172,
0,1643450665189,RightFoot_Target,1.516156,-0.03735541,0.1226061,347.7528,1.657332,356.0247,
0,1643450665321,RightFoot_Target,1.516233,-0.03707093,0.1226368,347.6472,1.6751,356.0373,
0,1643450665455,RightFoot_Target,1.51624,-0.03701657,0.1226364,347.5571,1.744798,355.9271,
0,1643450665587,RightFoot_Target,1.516152,-0.03687928,0.1228082,347.6124,1.800698,355.7969,
0,1643450665699,RightFoot_Target,1.516079,-0.03718054,0.1224139,347.5959,1.829141,355.6626,
0,1643450665811,RightFoot_Target,1.516308,-0.03704512,0.1226184,347.5927,1.849102,355.6101,
0,1643450665923,RightFoot_Target,1.516162,-0.03706889,0.1224325,347.5469,1.880801,355.5529,
0,1643450666034,RightFoot_Target,1.516123,-0.03704344,0.1225953,347.4773,1.872413,355.5372,
