unixTime,lslTime,ECG
1643451256299,5441.6211994,-54
1643451256299,5441.6212145,-49
1643451256299,5441.6212182,-49
1643451256299,5441.6212234,-52
1643451256299,5441.6212276,-47
1643451256299,5441.6212324,-45
1643451256299,5441.6212369,-45
1643451256299,5441.6212416,-42
1643451256299,5441.6212447,-42
1643451256299,5441.6212478,-42
1643451256318,5441.6212526,-35
1643451256318,5441.6212564,-28
1643451256318,5441.6212611,-30
1643451256318,5441.6212641,-30
1643451256318,5441.6212689,-28
1643451256318,5441.6212731,-28
1643451256318,5441.6212778,-30
1643451256318,5441.6212812,-30
1643451256318,5441.6212843,-26
1643451256318,5441.621289,-26
1643451256337,5441.6212937,-23
1643451256337,5441.6212968,-21
1643451256337,5441.621302,-19
1643451256337,5441.6213066,-14
1643451256337,5441.6213113,-11
1643451256337,5441.6213143,-11
1643451256337,5441.6213182,-14
1643451256337,5441.6213213,-19
1643451256337,5441.6213259,-14
1643451256337,5441.6213298,-11
1643451256356,5441.6213345,-23
1643451256356,5441.6213376,-33
1643451256356,5441.6213406,-35
1643451256356,5441.6213454,-19
1643451256356,5441.6213502,28
1643451256356,5441.6213549,54
1643451256356,5441.6213579,28
1643451256356,5441.6213609,4
1643451256356,5441.6213648,11
1643451256356,5441.6213679,16
1643451256380,5441.6213727,16
1643451256380,5441.6213766,23
1643451256380,5441.6213797,30
1643451256380,5441.6213845,26
1643451256380,5441.621389,16
1643451256380,5441.6213937,99
1643451256380,5441.6213975,446
1643451256380,5441.6214022,1038
1643451256380,5441.6214053,1463
1643451256380,5441.6214083,1178
1643451256401,5441.6214132,304
1643451256401,5441.6214161,-187
1643451256401,5441.6214193,-35
1643451256401,5441.6214242,7
1643451256401,5441.6214281,-135
1643451256401,5441.6214328,-104
1643451256401,5441.6214371,-49
1643451256401,5441.6214419,-83
1643451256401,5441.6214457,-80
1643451256401,5441.6214505,-49
1643451256435,5441.6214542,-45
1643451256435,5441.6214573,-38
1643451256435,5441.6214646,-21
1643451256435,5441.6214677,-9
1643451256435,5441.6214708,0
1643451256435,5441.6214749,16
1643451256435,5441.6214786,33
1643451256435,5441.6214818,47
1643451256435,5441.6214857,61
1643451256435,5441.6214908,76
1643451256454,5441.6214938,92
1643451256454,5441.6214969,114
1643451256454,5441.6215018,135
1643451256454,5442.3191039,156
1643451256768,5442.3191177,182
1643451256768,5442.3191216,206
1643451256768,5442.3191247,225
1643451256768,5442.3191277,242
1643451256768,5442.3191308,259
1643451256768,5442.3191337,268
1643451256768,5442.3191377,261
1643451256768,5442.3191801,244
1643451256768,5442.3192341,216
1643451256768,5442.3192444,147
1643451256786,5442.3192487,54
1643451256786,5442.3192521,-9
1643451256786,5442.3192551,-52
1643451256786,5442.3192582,-97
1643451256786,5442.3192612,-125
1643451256786,5442.3192643,-133
1643451256786,5442.3192674,-140
1643451256786,5442.3192705,-142
1643451256786,5442.3193368,-135
1643451256786,5442.3193438,-130
1643451256806,5442.3193474,-121
1643451256806,5442.3193505,-109
1643451256806,5442.3193539,-99
1643451256806,5442.3193569,-92
1643451256806,5442.3193599,-85
1643451256806,5442.319363,-80
1643451256806,5442.319366,-73
1643451256806,5442.3193691,-64
1643451256806,5442.3193721,-57
1643451256806,5442.3193751,-52
1643451256824,5442.3193781,-49
1643451256824,5442.3193812,-47
1643451256824,5442.3193842,-49
1643451256824,5442.3193873,-47
1643451256824,5442.3193903,-42
1643451256824,5442.3193934,-42
1643451256824,5442.3193965,-45
1643451256824,5442.3193995,-45
1643451256824,5442.3194025,-42
1643451256824,5442.3194056,-42
1643451256845,5442.3194088,-47
1643451256845,5442.3194121,-54
1643451256845,5442.3194154,-54
1643451256845,5442.3194201,-54
1643451256845,5442.3194234,-54
1643451256845,5442.3194264,-54
1643451256845,5442.3194295,-49
1643451256845,5442.3194326,-45
1643451256845,5442.3194357,-47
1643451256845,5442.3194387,-52
1643451256868,5442.3194418,-47
1643451256868,5442.3194448,-42
1643451256868,5442.3194479,-35
1643451256868,5442.3194509,-33
1643451256868,5442.3194539,-33
1643451256868,5442.319457,-30
1643451256868,5442.31946,-26
1643451256868,5442.319463,-21
1643451256868,5442.3194661,-21
1643451256868,5442.3194691,-14
1643451256890,5442.3194722,-11
1643451256890,5442.3194752,-11
1643451256890,5442.3194789,-11
