pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643451243732,BeamStart_Target,1.452763,-0.006773591,0.09942246,270.2579,85.34379,181.1627,
0,1643451243832,BeamStart_Target,1.452877,-0.006826572,0.09935675,270.2579,85.53049,180.9689,
0,1643451243949,BeamStart_Target,1.452919,-0.006730318,0.09936321,270.2564,85.79969,180.6895,
0,1643451244081,BeamStart_Target,1.452657,-0.006782025,0.09936441,270.2533,88.62644,177.8823,
0,1643451244184,BeamStart_Target,1.45294,-0.006882332,0.09919287,270.2447,92.22647,174.273,
0,1643451244287,BeamStart_Target,1.452845,-0.006638139,0.09914264,270.2471,95.25684,171.2413,
0,1643451244419,BeamStart_Target,1.452692,-0.006917663,0.0993111,270.2741,89.80833,176.7157,
0,1643451244552,BeamStart_Target,1.452704,-0.006890208,0.09925435,270.2609,93.54346,172.9785,
0,1643451244671,BeamStart_Target,1.452574,-0.006757855,0.09929091,270.2798,89.91911,176.5947,
0,1643451244780,BeamStart_Target,1.452824,-0.006676145,0.0994494,270.2748,88.25269,178.2461,
0,1643451244881,BeamStart_Target,1.452796,-0.00700441,0.0993763,270.2867,87.32598,179.1683,
0,1643451245002,BeamStart_Target,1.452823,-0.007134572,0.09929425,270.2921,91.97754,174.529,
0,1643451245112,BeamStart_Target,1.45282,-0.006578892,0.09946679,270.288,90.0496,176.4586,
0,1643451245214,BeamStart_Target,1.452777,-0.006926917,0.09944493,270.2921,89.48501,177.0326,
0,1643451245327,BeamStart_Target,1.452738,-0.006871015,0.09955474,270.2741,86.99851,179.5079,
0,1643451245434,BeamStart_Target,1.45268,-0.006987035,0.09939627,270.2839,90.54519,175.9694,
0,1643451245560,BeamStart_Target,1.452785,-0.007050321,0.0994122,270.2727,86.56155,179.9154,
0,1643451245692,BeamStart_Target,1.45272,-0.006833009,0.0993901,270.2625,87.09321,179.4042,
0,1643451245800,BeamStart_Target,1.452895,-0.006813653,0.09942365,270.2533,85.52714,180.9679,
0,1643451245924,BeamStart_Target,1.452746,-0.006831378,0.09947385,270.2439,83.65304,182.8401,
0,1643451246025,BeamStart_Target,1.452816,-0.006902531,0.09934185,270.2579,85.16199,181.3283,
0,1643451246136,BeamStart_Target,1.452746,-0.00708542,0.09913599,270.2609,88.17043,178.3428,
0,1643451246256,BeamStart_Target,1.452616,-0.007116884,0.09934035,270.2784,93.19116,173.3382,
0,1643451246365,BeamStart_Target,1.452761,-0.006846845,0.09915221,270.2541,93.84119,172.6768,
0,1643451246493,BeamStart_Target,1.45268,-0.006895684,0.09924394,270.2579,93.26687,173.2554,
0,1643451246600,BeamStart_Target,1.452667,-0.007362388,0.09913981,270.2609,97.51686,168.9984,
0,1643451246703,BeamStart_Target,1.452709,-0.007001318,0.09933252,270.2495,96.66975,169.8368,
0,1643451246840,BeamStart_Target,1.452714,-0.006887011,0.09923538,270.2374,93.79551,172.715,
0,1643451246970,BeamStart_Target,1.452724,-0.006917015,0.09925233,270.2431,95.43368,171.0841,
0,1643451247075,BeamStart_Target,1.452692,-0.007032827,0.09920348,270.2324,92.73916,173.7705,
0,1643451247203,BeamStart_Target,1.452571,-0.006886899,0.09910379,270.2564,94.55186,171.9567,
0,1643451247309,BeamStart_Target,1.452809,-0.006925799,0.09926961,270.2533,91.88488,174.6344,
0,1643451247425,BeamStart_Target,1.452729,-0.00687328,0.09922995,270.2683,88.87654,177.6187,
0,1643451247547,BeamStart_Target,1.452672,-0.007047512,0.0993069,270.2669,92.29819,174.2119,
0,1643451247656,BeamStart_Target,1.452813,-0.006853223,0.09940926,270.2587,92.89323,173.6151,
0,1643451247772,BeamStart_Target,1.452669,-0.007057406,0.09921329,270.2683,92.24146,174.2734,
0,1643451247892,BeamStart_Target,1.452485,-0.007380277,0.09914178,270.2518,97.15253,169.3569,
0,1643451247993,BeamStart_Target,1.452721,-0.006844826,0.09932648,270.2502,89.3949,177.1123,
