pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643454788028,BeamEnd_Target,-4.549429,0.08197359,0.1631789,271.3611,129.1833,49.99946,
0,1643454788157,BeamEnd_Target,-4.549549,0.08183967,0.1631625,271.3692,128.6479,50.51574,
0,1643454788262,BeamEnd_Target,-4.549411,0.08206905,0.1630616,271.3788,128.5149,50.65429,
0,1643454788399,BeamEnd_Target,-4.549462,0.08207639,0.1630148,271.3927,128.7285,50.45142,
0,1643454788508,BeamEnd_Target,-4.549479,0.08200572,0.1632725,271.3896,128.8992,50.2829,
0,1643454788614,BeamEnd_Target,-4.549243,0.08184709,0.162977,271.3911,129.0527,50.12091,
0,1643454788731,BeamEnd_Target,-4.549155,0.08223466,0.1630729,271.3998,129.2805,49.89074,
0,1643454788856,BeamEnd_Target,-4.549247,0.08224343,0.1631321,271.3954,128.954,50.21695,
0,1643454788990,BeamEnd_Target,-4.54925,0.08235557,0.1629886,271.3869,128.4004,50.77626,
0,1643454789089,BeamEnd_Target,-4.549138,0.08203411,0.1629876,271.3947,128.4433,50.73012,
0,1643454789201,BeamEnd_Target,-4.549143,0.08216961,0.1629788,271.3808,128.6952,50.47945,
0,1643454789319,BeamEnd_Target,-4.549263,0.08226031,0.1630168,271.3696,128.6511,50.52628,
0,1643454789436,BeamEnd_Target,-4.549175,0.08207265,0.1630676,271.3702,129.2662,49.91041,
0,1643454789557,BeamEnd_Target,-4.549097,0.08225401,0.1630568,271.383,129.0183,50.14751,
0,1643454789688,BeamEnd_Target,-4.548973,0.08205736,0.163074,271.3868,128.8991,50.2805,
0,1643454789813,BeamEnd_Target,-4.548913,0.08212823,0.1629657,271.3774,128.9383,50.24634,
0,1643454789944,BeamEnd_Target,-4.549006,0.08222212,0.1629422,271.3803,129.0808,50.09312,
0,1643454790077,BeamEnd_Target,-4.548965,0.08246277,0.1631076,271.3727,128.9901,50.18813,
