pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643455540281,Pelvis_Target,1.693258,0.8620144,-0.01602494,354.6468,186.8844,345.1632,
0,1643455540407,Pelvis_Target,1.692798,0.8620859,-0.01764157,354.637,188.1887,345.2631,
0,1643455540520,Pelvis_Target,1.692351,0.8624958,-0.02026945,354.4808,189.6046,345.3237,
0,1643455540630,Pelvis_Target,1.691517,0.8623743,-0.02169168,354.4728,190.2729,345.1951,
0,1643455540762,Pelvis_Target,1.690345,0.8611422,-0.02044406,354.5883,188.6705,345.1679,
0,1643455540863,Pelvis_Target,1.68973,0.8626694,-0.01686752,354.7274,187.4109,344.9942,
0,1643455540995,Pelvis_Target,1.688367,0.8630491,-0.01446263,354.7537,186.1529,345.1533,
0,1643455541096,Pelvis_Target,1.687203,0.862554,-0.01344375,354.7492,185.4782,344.9872,
0,1643455541231,Pelvis_Target,1.686321,0.8622572,-0.01121096,354.7565,184.7435,345.0629,
0,1643455541335,Pelvis_Target,1.686132,0.8621719,-0.009033129,354.8181,184.2393,344.9473,
0,1643455541465,Pelvis_Target,1.686766,0.8625416,-0.006674588,354.9138,183.4962,344.8434,
0,1643455541596,Pelvis_Target,1.688139,0.8622159,-0.006463267,354.836,183.4489,344.9876,
0,1643455541729,Pelvis_Target,1.6907,0.862239,-0.007496171,354.8012,183.6824,344.9264,
0,1643455541830,Pelvis_Target,1.693745,0.8618042,-0.007886082,354.7866,183.7642,344.776,
0,1643455541940,Pelvis_Target,1.69811,0.8620487,-0.008594848,354.7581,183.7332,344.73,
0,1643455542055,Pelvis_Target,1.702842,0.8623768,-0.0092737,354.7276,183.777,344.5313,
0,1643455542185,Pelvis_Target,1.706376,0.8614519,-0.01049499,354.7192,183.8872,344.1699,
0,1643455542285,Pelvis_Target,1.708242,0.8612758,-0.01044694,354.7095,183.9114,344.1016,
0,1643455542386,Pelvis_Target,1.708729,0.8615109,-0.009978175,354.7219,183.8776,344.0986,
0,1643455542518,Pelvis_Target,1.709491,0.8619332,-0.009568825,354.6717,184.0136,344.2604,
0,1643455542623,Pelvis_Target,1.709241,0.8618454,-0.009686977,354.6724,184.1502,344.4509,
0,1643455542753,Pelvis_Target,1.708551,0.8620334,-0.01046374,354.7631,184.1716,344.3693,
0,1643455542853,Pelvis_Target,1.707469,0.8621584,-0.01154529,354.8354,184.3606,344.2317,
0,1643455542984,Pelvis_Target,1.704994,0.8627734,-0.01260138,354.9022,184.2984,344.3578,
0,1643455543085,Pelvis_Target,1.704079,0.8632128,-0.01386373,354.9741,184.4378,344.4698,
0,1643455543217,Pelvis_Target,1.703678,0.8635767,-0.01597007,355.0903,184.7021,344.2648,
0,1643455543317,Pelvis_Target,1.702898,0.8613282,-0.0204672,355.1823,184.6854,344.3157,
0,1643455543418,Pelvis_Target,1.701921,0.8611898,-0.0232096,355.2502,184.7901,344.3289,
0,1643455543519,Pelvis_Target,1.700458,0.8614148,-0.02539025,355.3106,184.7627,344.4438,
0,1643455543653,Pelvis_Target,1.699652,0.8607436,-0.02988144,355.3475,184.8048,344.86,
0,1643455543754,Pelvis_Target,1.70079,0.8602152,-0.03402425,355.453,185.088,345.0024,
0,1643455543885,Pelvis_Target,1.703659,0.8605111,-0.03918399,355.6652,185.114,344.9376,
0,1643455544017,Pelvis_Target,1.706083,0.8597502,-0.04510999,355.9114,184.9524,345.5203,
0,1643455544118,Pelvis_Target,1.706441,0.8593915,-0.04885811,356.4038,184.175,346.2692,
0,1643455544251,Pelvis_Target,1.707137,0.856554,-0.05541695,356.0657,182.5256,346.8387,
0,1643455544351,Pelvis_Target,1.71073,0.854477,-0.06092674,355.5526,181.8816,347.3503,
0,1643455544486,Pelvis_Target,1.71321,0.8562538,-0.05956544,355.5232,180.712,348.7085,
0,1643455544589,Pelvis_Target,1.716176,0.8575444,-0.0575035,356.0042,180.2983,348.7017,
0,1643455544718,Pelvis_Target,1.716794,0.8578153,-0.05653481,356.1079,179.9846,348.4601,
0,1643455544851,Pelvis_Target,1.716449,0.8565154,-0.05527432,355.7968,180.4754,346.1631,
0,1643455544952,Pelvis_Target,1.720834,0.856709,-0.05934265,355.6303,183.313,345.9588,
0,1643455545086,Pelvis_Target,1.721274,0.8568691,-0.0591714,355.6431,183.2069,346.8572,
0,1643455545217,Pelvis_Target,1.718897,0.8554938,-0.06398841,355.8229,183.8485,346.4636,
0,1643455545351,Pelvis_Target,1.720519,0.8511546,-0.07260937,354.7654,182.2203,346.7129,
0,1643455545485,Pelvis_Target,1.727945,0.8546681,-0.07532344,355.5656,181.2076,347.0172,
0,1643455545597,Pelvis_Target,1.730808,0.85859,-0.0758005,355.7097,181.4719,347.7017,
0,1643455545707,Pelvis_Target,1.731374,0.8586483,-0.07425985,356.0309,181.6541,347.8787,
0,1643455545809,Pelvis_Target,1.7255,0.8585239,-0.0739345,355.8796,181.2375,348.4703,
0,1643455545940,Pelvis_Target,1.722986,0.8585954,-0.07397018,356.1975,181.1486,348.6159,
0,1643455546076,Pelvis_Target,1.716596,0.8593106,-0.07249776,355.8121,180.7153,349.1667,
0,1643455546205,Pelvis_Target,1.701985,0.8567684,-0.06955647,355.4459,180.3071,348.9004,
0,1643455546308,Pelvis_Target,1.693954,0.8564811,-0.06850681,355.445,180.627,349.842,
0,1643455546440,Pelvis_Target,1.67918,0.8541696,-0.06785282,355.1277,179.1214,348.6345,
0,1643455546573,Pelvis_Target,1.666998,0.8559535,-0.06727176,354.9929,179.6149,350.3851,
0,1643455546706,Pelvis_Target,1.657894,0.8543675,-0.07023155,353.9678,179.6721,351.4778,
0,1643455546808,Pelvis_Target,1.644264,0.8541719,-0.06617422,353.6829,178.5018,350.3244,
0,1643455546939,Pelvis_Target,1.624447,0.8565123,-0.05669733,354.0336,178.6075,350.0949,
0,1643455547041,Pelvis_Target,1.608235,0.8558978,-0.04931246,353.3911,177.0643,349.9328,
0,1643455547172,Pelvis_Target,1.586328,0.8558995,-0.03520931,354.0135,175.6531,348.7107,
0,1643455547308,Pelvis_Target,1.558889,0.8555191,-0.0234314,354.5208,174.3936,348.693,
0,1643455547440,Pelvis_Target,1.5294,0.8555658,-0.01365317,354.76,173.1626,348.5602,
0,1643455547578,Pelvis_Target,1.502765,0.8622055,-0.006693922,354.7418,173.0683,348.6973,
0,1643455547709,Pelvis_Target,1.484643,0.8690464,-0.002202325,354.6105,174.2487,348.7211,
0,1643455547842,Pelvis_Target,1.473191,0.8749617,0.003433786,354.5636,174.9699,348.1622,
0,1643455547941,Pelvis_Target,1.465345,0.8764945,0.007783026,354.4559,175.2766,348.2154,
0,1643455548042,Pelvis_Target,1.459316,0.8781053,0.0122273,354.2049,175.2199,348.1675,
0,1643455548173,Pelvis_Target,1.449495,0.8804186,0.01899549,353.9392,175.3353,347.9373,
0,1643455548273,Pelvis_Target,1.442341,0.8812039,0.02708484,353.9286,175.1759,347.7404,
0,1643455548375,Pelvis_Target,1.433105,0.8785498,0.03452405,354.1568,175.1598,347.3959,
0,1643455548508,Pelvis_Target,1.420477,0.8726929,0.04663557,355.1375,178.0379,347.5145,
0,1643455548609,Pelvis_Target,1.409976,0.8657928,0.05061734,355.5959,180.442,350.3616,
0,1643455548709,Pelvis_Target,1.403974,0.8603761,0.05453565,355.7175,182.9259,349.5938,
0,1643455548841,Pelvis_Target,1.392601,0.8623233,0.06095049,355.8561,182.4813,350.0674,
0,1643455548972,Pelvis_Target,1.382904,0.8645249,0.06396882,355.624,182.9585,349.9748,
0,1643455549074,Pelvis_Target,1.378008,0.8612273,0.06371594,355.0697,183.7586,348.9398,
0,1643455549207,Pelvis_Target,1.368135,0.8652537,0.06850637,355.3525,183.9921,349.094,
0,1643455549309,Pelvis_Target,1.363292,0.8670695,0.0702492,356.8138,185.1411,350.0847,
0,1643455549410,Pelvis_Target,1.357412,0.8714716,0.06837787,356.5196,186.837,351.194,
0,1643455549531,Pelvis_Target,1.351298,0.875017,0.06718749,356.4676,187.4594,351.0333,
0,1643455549663,Pelvis_Target,1.337174,0.8755232,0.06763557,357.2335,188.4184,350.1089,
0,1643455549796,Pelvis_Target,1.312629,0.873123,0.06936505,357.9211,190.2974,348.7897,
0,1643455549931,Pelvis_Target,1.288486,0.872803,0.07383204,357.562,190.3979,347.955,
0,1643455550064,Pelvis_Target,1.266201,0.8787587,0.08650607,357.6432,190.8077,346.1216,
0,1643455550196,Pelvis_Target,1.242334,0.8848933,0.09135067,357.908,192.1953,345.1491,
0,1643455550296,Pelvis_Target,1.218291,0.8865328,0.09384637,357.9893,190.725,344.2422,
0,1643455550430,Pelvis_Target,1.18437,0.888472,0.0927149,357.2734,189.7476,344.1251,
0,1643455550530,Pelvis_Target,1.161162,0.8910013,0.09003562,357.4543,190.9169,344.465,
0,1643455550642,Pelvis_Target,1.135441,0.8923296,0.08529493,356.8042,191.1721,344.9884,
0,1643455550753,Pelvis_Target,1.108426,0.8943937,0.08277616,356.5063,191.5907,343.9819,
0,1643455550873,Pelvis_Target,1.071332,0.8952987,0.07916173,356.6398,192.4307,343.4152,
0,1643455551004,Pelvis_Target,1.033799,0.8927867,0.07310301,355.4196,192.0639,344.1135,
0,1643455551106,Pelvis_Target,1.009387,0.8935717,0.0793814,355.0705,190.1841,343.9601,
0,1643455551206,Pelvis_Target,0.9873724,0.8947357,0.08268321,353.3342,187.3799,347.4804,
0,1643455551339,Pelvis_Target,0.9691794,0.8992733,0.08174109,351.5577,185.2486,347.1654,
