unixTime,lslTime,ECG
1643454132663,8318.0740489,9
1643454132663,8318.0740546,14
1643454132663,8318.074058,11
1643454132663,8318.0740627,14
1643454132663,8318.0740658,38
1643454132663,8318.0740708,61
1643454132663,8318.0740738,54
1643454132663,8318.0740769,33
1643454132663,8318.0740812,19
1643454132663,8318.0740843,19
1643454132683,8318.0740882,16
1643454132683,8318.0740935,11
1643454132683,8318.0740966,16
1643454132683,8318.0740997,11
1643454132683,8318.0741036,-4
1643454132683,8318.0741069,106
1643454132683,8318.0741108,499
1643454132683,8318.074114,926
1643454132683,8318.0741192,826
1643454132683,8318.0741222,16
1643454132711,8318.0741254,-722
1643454132711,8318.0741296,-558
1643454132711,8318.0741345,-57
1643454132711,8318.0741377,16
1643454132711,8318.0741419,-54
1643454132711,8318.074146,2
1643454132711,8318.0741491,21
1643454132711,8318.0741533,0
1643454132711,8318.0741571,11
1643454132711,8318.0741613,26
1643454132736,8318.0741644,28
1643454132736,8318.0741684,33
1643454132736,8318.0741715,42
1643454132736,8318.0741772,49
1643454132736,8318.0741805,59
1643454132736,8318.0741837,61
1643454132736,8318.0741882,57
1643454132736,8318.0741914,64
1643454132736,8318.0741967,85
1643454132736,8318.0741998,106
1643454132757,8318.0742029,118
1643454132757,8318.6211046,128
1643454132757,8318.621134,142
1643454132757,8318.6211484,166
1643454132757,8318.6211552,178
1643454132757,8318.621159,178
1643454132757,8318.621164,166
1643454132757,8318.6211673,149
1643454132757,8318.6211722,130
1643454132757,8318.6211753,102
1643454132793,8318.6211785,68
1643454132793,8318.6211834,33
1643454132793,8318.6211883,0
1643454132793,8318.6211932,-26
1643454133196,8318.6211964,-57
1643454133196,8318.6211995,-87
1643454133196,8318.6212025,-92
1643454133196,8318.6212056,-80
1643454133196,8318.6212086,-83
1643454133196,8318.6212115,-83
1643454133196,8318.6212144,-78
1643454133196,8318.6212174,-76
1643454133196,8318.6212204,-66
1643454133196,8318.6212234,-52
1643454133227,8318.6212264,-45
1643454133227,8318.6212293,-40
1643454133227,8318.6212323,-30
1643454133227,8318.6212354,-23
1643454133227,8318.6212383,-14
1643454133227,8318.6212412,-4
1643454133227,8318.6212442,-2
1643454133227,8318.6212481,0
1643454133227,8318.6212532,7
1643454133227,8318.6212579,9
1643454133262,8318.6212627,11
1643454133262,8318.6212658,16
1643454133262,8318.6212691,19
1643454133262,8318.6213802,14
1643454133262,8318.6213901,14
1643454133262,8318.6213937,16
1643454133262,8318.6213989,16
1643454133262,8318.6214022,14
1643454133262,8318.6214072,14
1643454133262,8318.621411,14
1643454133296,8318.6214161,14
1643454133296,8318.6214201,21
1643454133296,8318.621425,19
1643454133296,8318.6214299,16
1643454133296,8318.6214348,16
1643454133296,8318.6214391,16
1643454133296,8318.6214442,14
1643454133296,8318.621449,16
1643454133296,8318.621454,19
1643454133296,8318.6214574,16
1643454133328,8318.6214624,19
1643454133328,8318.6214659,23
1643454133328,8318.6214708,26
1643454133328,8318.6214741,23
1643454133328,8318.6214792,28
1643454133328,8318.6214825,33
1643454133328,8318.6214874,28
1643454133328,8318.6214907,19
1643454133328,8318.6214955,16
1643454133328,8318.6214996,21
1643454133361,8318.6215045,26
1643454133361,8318.6215077,28
1643454133361,8318.6215113,23
1643454133361,8318.6215162,19
1643454133361,8318.6215198,21
1643454133361,8318.6215247,23
1643454133361,8318.6215278,28
1643454133361,8318.621531,52
1643454133361,8318.621536,73
1643454133361,8318.6215401,66
1643454133395,8319.1736999,45
1643454133395,8319.1737118,26
1643454133395,8319.173716,21
1643454133395,8319.1737216,26
1643454133395,8319.1737247,23
1643454133395,8319.1737294,9
1643454133395,8319.1737342,-16
1643454133395,8319.1737389,-40
1643454133395,8319.1737436,45
1643454133395,8319.1737483,403
1643454133428,8319.173753,860
1643454133428,8319.1737578,874
1643454133428,8319.1737607,142
1643454133428,8319.1737638,-703
1643454133718,8319.1737685,-670
1643454133718,8319.1737714,-116
1643454133718,8319.1737744,11
1643454133718,8319.1737773,-95
1643454133718,8319.1737801,-33
1643454133718,8319.1737829,11
1643454133718,8319.1737858,-23
1643454133718,8319.1737886,-11
1643454133718,8319.1737914,19
1643454133718,8319.1737943,11
1643454133740,8319.1737972,11
1643454133740,8319.1738,26
1643454133740,8319.1738029,30
1643454133740,8319.1738057,38
1643454133740,8319.1738086,47
1643454133740,8319.1738115,57
1643454133740,8319.1738145,68
1643454133740,8319.1738185,78
1643454133740,8319.1738215,90
1643454133740,8319.1738264,106
1643454133763,8319.1738293,125
1643454133763,8319.1738323,142
1643454133763,8319.1738361,156
1643454133763,8319.1738391,166
1643454133763,8319.1738438,163
1643454133763,8319.1738467,152
1643454133763,8319.1738497,137
1643454133763,8319.1738538,118
1643454133763,8319.1738568,92
1643454133763,8319.1738616,54
1643454133786,8319.1738655,16
1643454133786,8319.1738703,-9
1643454133786,8319.1738741,-26
1643454133786,8319.1738791,-35
1643454133786,8319.1738837,-38
1643454133786,8319.1738885,-38
1643454133786,8319.1738931,-35
1643454133786,8319.1738979,-35
1643454133786,8319.1739022,-38
1643454133786,8319.1739069,-45
1643454133806,8319.1739116,-42
1643454133806,8319.1739165,-33
1643454133806,8319.1739211,-23
1643454133806,8319.1739258,-21
1643454133806,8319.1739304,-16
1643454133806,8319.1739352,-7
1643454133806,8319.1739382,0
1643454133806,8319.1739413,4
1643454133806,8319.173946,14
1643454133806,8319.173949,16
1643454133828,8319.1739519,16
1643454133828,8319.1739561,21
1643454133828,8319.1739619,23
1643454133828,8319.1739771,23
1643454133828,8319.1739946,23
1643454133828,8319.1740126,26
1643454133828,8319.1740249,30
1643454133828,8319.174031,26
1643454133828,8319.1740344,19
1643454133828,8319.7246153,23
1643454133850,8319.7246265,26
1643454133850,8319.7246302,21
1643454133850,8319.7246339,19
1643454133850,8319.724637,14
1643454133850,8319.7246399,11
1643454133850,8319.7246429,14
1643454133850,8319.7246459,16
1643454133850,8319.724649,21
1643454133850,8319.7246522,26
1643454133850,8319.7246552,4
1643454133873,8319.7246582,-26
1643454133873,8319.7246612,-26
1643454133873,8319.7246641,-7
1643454133873,8319.7246671,-7
1643454134318,8319.72467,-11
1643454134318,8319.724673,-9
1643454134318,8319.7246759,-4
1643454134318,8319.7246789,-2
1643454134318,8319.7246818,2
1643454134318,8319.7246848,9
1643454134318,8319.7246878,9
1643454134318,8319.7246907,9
1643454134318,8319.7246937,11
1643454134318,8319.7246966,16
1643454134339,8319.7246996,16
1643454134339,8319.724703,16
1643454134339,8319.724706,21
1643454134339,8319.7247089,21
1643454134339,8319.7247118,21
1643454134339,8319.7247148,21
1643454134339,8319.7247177,19
1643454134339,8319.7247207,19
1643454134339,8319.7247237,14
1643454134339,8319.7247266,7
1643454134361,8319.7247296,14
1643454134361,8319.7247326,33
1643454134361,8319.7247355,57
1643454134361,8319.7247385,64
1643454134361,8319.7247415,47
1643454134361,8319.7247451,23
1643454134361,8319.7247481,14
1643454134361,8319.724751,19
1643454134361,8319.7247539,23
1643454134361,8319.7247572,19
1643454134384,8319.7247606,2
