timestamp;foot;position
1643455252193;RightFoot;0.03466817
1643455254890;LeftFoot;0.07116312
1643455256414;RightFoot;0.1479677
1643455257841;LeftFoot;0.228119
1643455258849;RightFoot;0.2790325
1643455259969;LeftFoot;0.3760233
1643455260991;RightFoot;0.4452941
1643455261192;RightFoot;0.461301
1643455262134;LeftFoot;0.5358255
1643455262304;LeftFoot;0.5445153
1643455263114;RightFoot;0.5963418
1643455263379;RightFoot;0.6207476
1643455264248;LeftFoot;0.6902474
1643455264547;LeftFoot;0.7056044
1643455265257;LeftFoot;0.7829906
1643455265526;RightFoot;0.7878397
1643455267735;LeftFoot;0.9797709
1643455277424;LeftFoot;0.08709794
1643455277822;RightFoot;0.1509532
1643455278589;RightFoot;0.1499963
1643455278969;LeftFoot;0.2187225
1643455279166;RightFoot;0.2177355
1643455279599;LeftFoot;0.2177909
1643455279968;RightFoot;0.2790002
1643455280368;LeftFoot;0.2792879
1643455280866;RightFoot;0.2794998
1643455281366;RightFoot;0.3504241
1643455281522;LeftFoot;0.3493343
1643455282144;LeftFoot;0.3484575
1643455282412;RightFoot;0.4227531
1643455282548;LeftFoot;0.4244561
1643455282548;RightFoot;0.4244561
1643455283313;LeftFoot;0.4951562
1643455283479;LeftFoot;0.5014242
1643455284213;RightFoot;0.5497108
1643455285233;LeftFoot;0.641511
1643455286235;RightFoot;0.7285638
1643455287067;LeftFoot;0.8121896
1643455287301;LeftFoot;0.8458059
1643455288034;RightFoot;0.911788
1643455289701;LeftFoot;0.05318564
1643455293375;RightFoot;0.03672409
1643455295680;LeftFoot;0.07314254
1643455297167;RightFoot;0.1446221
1643455298279;LeftFoot;0.2363111
1643455299377;RightFoot;0.3201893
1643455300345;LeftFoot;0.3792817
1643455300577;LeftFoot;0.4133365
1643455301401;RightFoot;0.475832
1643455301567;RightFoot;0.486962
1643455302369;LeftFoot;0.5628727
1643455302524;LeftFoot;0.5718903
1643455303493;RightFoot;0.6516706
1643455304524;LeftFoot;0.7364614
1643455305124;LeftFoot;0.7872469
1643455305357;LeftFoot;0.8212228
1643455305523;RightFoot;0.8207378
1643455306054;RightFoot;0.8835139
1643455306289;RightFoot;0.9187829
1643455316691;RightFoot;0.1701602
1643455318123;LeftFoot;0.2401636
1643455318390;RightFoot;0.2396855
1643455319190;RightFoot;0.3076379
1643455319592;LeftFoot;0.307655
1643455320025;RightFoot;0.3181778
1643455320624;LeftFoot;0.3858019
1643455321424;LeftFoot;0.4535043
1643455321425;RightFoot;0.4535043
1643455321588;RightFoot;0.4620762
1643455322408;LeftFoot;0.5252491
1643455322624;LeftFoot;0.5430852
1643455323421;RightFoot;0.6017953
1643455323623;RightFoot;0.6229669
1643455324456;LeftFoot;0.6936546
1643455324591;LeftFoot;0.7072915
1643455325491;RightFoot;0.7496792
1643455325722;RightFoot;0.7920244
1643455326525;LeftFoot;0.8554204
1643455327524;RightFoot;0.9284331
1643455327756;RightFoot;0.9722199
1643455327859;RightFoot;0.9760007
