pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643453683983,LeftHand_Target,1.461256,1.096324,-0.06831105,52.01929,62.59927,34.22124,
0,1643453684105,LeftHand_Target,1.464568,1.093927,-0.06765577,50.00747,63.53051,34.4237,
0,1643453684224,LeftHand_Target,1.467206,1.094911,-0.06465477,50.29284,63.8288,34.03342,
0,1643453684345,LeftHand_Target,1.468372,1.096512,-0.06217107,50.87849,63.50402,33.03729,
0,1643453684481,LeftHand_Target,1.46818,1.097069,-0.06028348,51.11815,63.05405,32.90524,
0,1643453684612,LeftHand_Target,1.467216,1.098304,-0.05669862,52.02391,62.76041,31.18352,
0,1643453684745,LeftHand_Target,1.467235,1.098706,-0.05472546,52.59947,62.68759,30.4341,
0,1643453684848,LeftHand_Target,1.467646,1.098607,-0.05724482,52.64875,62.3792,31.00034,
0,1643453684978,LeftHand_Target,1.468246,1.099573,-0.06447284,52.89099,60.24219,31.18507,
0,1643453685101,LeftHand_Target,1.470277,1.099954,-0.07076308,53.19532,57.46399,30.59814,
0,1643453685211,LeftHand_Target,1.473427,1.099326,-0.07435434,53.21745,56.05466,30.53222,
0,1643453685322,LeftHand_Target,1.474852,1.100046,-0.07221936,53.40014,54.58673,28.34014,
0,1643453685447,LeftHand_Target,1.464786,1.098932,-0.0603682,51.09443,46.59414,11.17385,
0,1643453685565,LeftHand_Target,1.454779,1.099077,-0.0420583,50.71571,47.98817,0.3571514,
0,1643453685677,LeftHand_Target,1.452,1.103868,-0.03029278,58.77618,55.04944,7.045301,
0,1643453685789,LeftHand_Target,1.450298,1.098405,-0.02531725,56.70121,53.72583,3.433835,
0,1643453685899,LeftHand_Target,1.454209,1.090648,-0.01554781,51.8404,51.96189,358.6718,
0,1643453686014,LeftHand_Target,1.456096,1.091398,-0.002029762,50.19442,51.25922,350.297,
0,1643453686122,LeftHand_Target,1.458828,1.091617,0.004086569,48.05003,49.49305,344.9645,
0,1643453686234,LeftHand_Target,1.46055,1.093513,0.005806305,49.93416,50.35176,345.9224,
0,1643453686345,LeftHand_Target,1.464122,1.093433,0.01405869,45.62823,51.77415,347.2578,
0,1643453686456,LeftHand_Target,1.463514,1.09894,0.02039424,45.2809,50.61108,344.7202,
0,1643453686567,LeftHand_Target,1.462558,1.103486,0.02705732,45.04951,46.68237,338.3565,
0,1643453686677,LeftHand_Target,1.46341,1.106722,0.02825435,46.09766,43.78123,334.1779,
0,1643453686788,LeftHand_Target,1.469944,1.112359,0.02510826,52.52559,40.46436,334.7913,
0,1643453686901,LeftHand_Target,1.471322,1.113575,0.03253582,53.07412,49.508,336.709,
0,1643453687012,LeftHand_Target,1.472078,1.115085,0.02809247,52.50804,53.56918,339.3794,
0,1643453687122,LeftHand_Target,1.467311,1.119057,0.03066299,53.45865,52.4617,336.6257,
0,1643453687232,LeftHand_Target,1.458868,1.121427,0.03387326,52.38429,50.37934,330.3673,
0,1643453687344,LeftHand_Target,1.448705,1.126844,0.03763875,51.26438,47.33505,322.3313,
0,1643453687458,LeftHand_Target,1.450876,1.128765,0.0366172,53.22325,43.46153,318.826,
0,1643453687568,LeftHand_Target,1.45689,1.123346,0.03024109,58.04798,45.27937,325.6564,
0,1643453687679,LeftHand_Target,1.45732,1.106775,0.0175606,58.13362,45.54238,333.918,
0,1643453687789,LeftHand_Target,1.452705,1.069186,-0.03802465,52.76875,39.53086,345.3746,
0,1643453687898,LeftHand_Target,1.461759,1.007245,-0.104389,61.56793,59.94563,26.86045,
0,1643453688013,LeftHand_Target,1.488992,0.9426655,-0.1575862,47.38135,84.60964,61.98468,
0,1643453688122,LeftHand_Target,1.532921,0.9060812,-0.1794551,36.33839,81.78534,62.29734,
0,1643453688235,LeftHand_Target,1.56639,0.8855934,-0.1749941,28.21939,90.34045,72.66871,
0,1643453688344,LeftHand_Target,1.593448,0.8699111,-0.1692329,20.01309,90.07098,72.60345,
0,1643453688455,LeftHand_Target,1.595886,0.8689277,-0.1568574,10.36925,97.65582,81.20599,
0,1643453688566,LeftHand_Target,1.589472,0.8705297,-0.1491274,9.698085,101.1858,83.69958,
0,1643453688695,LeftHand_Target,1.569783,0.8772463,-0.1438196,13.18836,102.9368,85.89282,
0,1643453688812,LeftHand_Target,1.554411,0.8812505,-0.133347,16.01249,105.2577,86.16325,
0,1643453688932,LeftHand_Target,1.545481,0.8872116,-0.1225355,20.18068,105.9349,86.47933,
0,1643453689066,LeftHand_Target,1.548348,0.8829436,-0.1258736,20.53956,105.7766,85.43246,
0,1643453689200,LeftHand_Target,1.553948,0.8776389,-0.1339948,18.47133,99.79753,82.76328,
0,1643453689301,LeftHand_Target,1.539196,0.8915377,-0.1229132,22.5728,101.8223,85.90085,
0,1643453689433,LeftHand_Target,1.505769,0.9265534,-0.08944877,37.00495,110.9769,91.54201,
0,1643453689534,LeftHand_Target,1.486012,0.9592534,-0.05578212,48.5624,124.0686,101.0446,
0,1643453689644,LeftHand_Target,1.474061,0.9925051,-0.0267305,60.56763,131.0113,106.0575,
0,1643453689758,LeftHand_Target,1.465611,1.019754,-0.01189381,69.42094,117.0646,91.31421,
0,1643453689871,LeftHand_Target,1.457716,1.032117,-0.008043662,65.51877,68.93404,40.71471,
0,1643453689990,LeftHand_Target,1.454464,1.036399,-0.0005269647,43.29315,39.69141,7.202286,
0,1643453690104,LeftHand_Target,1.455264,1.050439,0.005050078,38.15884,32.58693,358.6863,
0,1643453690207,LeftHand_Target,1.458987,1.067492,0.01215926,35.94704,31.40992,358.4764,
0,1643453690310,LeftHand_Target,1.460158,1.076613,0.01503848,34.63194,29.48563,355.9244,
0,1643453690424,LeftHand_Target,1.46445,1.091718,0.01706937,34.81874,29.12962,358.4249,
0,1643453690524,LeftHand_Target,1.464905,1.101087,0.02017136,36.22958,31.43887,2.786384,
0,1643453690624,LeftHand_Target,1.459149,1.088341,0.01394884,36.55647,31.08078,356.6489,
0,1643453690757,LeftHand_Target,1.451294,1.085971,0.00988999,40.60357,29.08321,345.4781,
0,1643453690891,LeftHand_Target,1.448165,1.096192,0.01124102,44.35424,30.1032,344.7458,
0,1643453691025,LeftHand_Target,1.439852,1.098094,0.006750725,48.66132,30.50414,338.3444,
0,1643453691157,LeftHand_Target,1.431579,1.105565,0.006637953,55.84137,34.81868,334.9244,
0,1643453691278,LeftHand_Target,1.444147,1.11372,0.01509072,54.9384,32.91745,344.349,
0,1643453691392,LeftHand_Target,1.446223,1.112521,0.0180257,37.02521,28.22697,352.0825,
