pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643458800438,LeftHand_Target,1.518684,0.8654105,-0.3616103,9.22191,97.16432,92.54443,
0,1643458800538,LeftHand_Target,1.516062,0.8737427,-0.3567725,12.81783,93.27564,92.36588,
0,1643458800673,LeftHand_Target,1.518388,0.8728861,-0.3576101,11.65416,95.71328,91.78157,
0,1643458800806,LeftHand_Target,1.528163,0.8662,-0.37085,7.460693,92.86271,92.56815,
0,1643458800932,LeftHand_Target,1.526843,0.862272,-0.3816246,4.347608,90.26761,92.57309,
0,1643458801063,LeftHand_Target,1.495736,0.8695332,-0.3845792,4.963837,88.98062,93.79107,
0,1643458801175,LeftHand_Target,1.453544,0.8765885,-0.3825325,5.335725,89.80777,96.11098,
0,1643458801301,LeftHand_Target,1.379842,0.8982483,-0.3715591,6.907556,89.53875,98.71419,
0,1643458801432,LeftHand_Target,1.29981,0.9361922,-0.349835,13.3563,92.52219,99.22408,
0,1643458801538,LeftHand_Target,1.245627,0.955387,-0.3294313,18.74173,96.15044,100.0622,
0,1643458801643,LeftHand_Target,1.207059,0.9693639,-0.3077385,23.28772,98.82095,100.3672,
0,1643458801765,LeftHand_Target,1.183438,0.9766469,-0.2918766,26.85466,104.8911,100.0668,
0,1643458801874,LeftHand_Target,1.182217,0.9649023,-0.3013512,25.51411,111.206,100.4745,
0,1643458801997,LeftHand_Target,1.216256,0.9356253,-0.3301632,24.74519,108.1133,98.72427,
0,1643458802131,LeftHand_Target,1.269197,0.9083075,-0.3496723,17.41849,101.1438,96.38432,
0,1643458802263,LeftHand_Target,1.312353,0.8954844,-0.3498176,10.56915,98.96523,98.86137,
0,1643458802372,LeftHand_Target,1.317506,0.8891246,-0.3472395,12.23682,93.85046,101.7232,
0,1643458802501,LeftHand_Target,1.271045,0.8916543,-0.3306976,22.52799,87.14767,101.9267,
0,1643458802601,LeftHand_Target,1.206432,0.9196795,-0.3124504,30.26746,89.448,102.6237,
0,1643458802716,LeftHand_Target,1.135136,0.9806466,-0.2906106,39.61929,93.21333,104.2273,
0,1643458802831,LeftHand_Target,1.112795,1.016142,-0.2801709,44.35414,94.06972,107.0705,
0,1643458802936,LeftHand_Target,1.100315,1.024018,-0.2783729,31.86918,104.8141,119.3534,
0,1643458803040,LeftHand_Target,1.105949,1.008468,-0.2913461,18.17826,107.7533,123.0779,
0,1643458803167,LeftHand_Target,1.136254,0.9933481,-0.308707,5.819907,86.893,121.015,
0,1643458803304,LeftHand_Target,1.144399,0.9366215,-0.2753647,327.3544,100.7536,120.7763,
0,1643458803404,LeftHand_Target,1.113133,0.9109601,-0.2641383,349.3251,43.03186,115.9066,
