pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643460267148,LeftFoot_Target,1.492116,-0.01238808,-0.08086107,355.7138,347.678,357.1002,
0,1643460267259,LeftFoot_Target,1.492046,-0.01264278,-0.08125137,355.7263,347.6892,357.1656,
0,1643460267359,LeftFoot_Target,1.492984,-0.01282798,-0.08129136,355.7745,347.7248,357.2143,
0,1643460267490,LeftFoot_Target,1.492337,-0.01276085,-0.08115063,355.8136,347.7252,357.2559,
0,1643460267624,LeftFoot_Target,1.491837,-0.01234817,-0.08126607,355.8566,347.699,357.2653,
0,1643460267756,LeftFoot_Target,1.491749,-0.01297201,-0.08127344,355.8821,347.6945,357.2475,
0,1643460267858,LeftFoot_Target,1.491693,-0.01276795,-0.08105456,355.8743,347.7068,357.2494,
0,1643460267990,LeftFoot_Target,1.492249,-0.01272762,-0.08111513,355.8856,347.7392,357.2428,
0,1643460268106,LeftFoot_Target,1.492512,-0.01248159,-0.08107457,355.8803,347.735,357.2243,
0,1643460268206,LeftFoot_Target,1.491848,-0.01253924,-0.0812607,355.8413,347.7495,357.2259,
0,1643460268323,LeftFoot_Target,1.492244,-0.01270214,-0.08134968,355.8599,347.7384,357.1942,
0,1643460268437,LeftFoot_Target,1.492172,-0.01245188,-0.08109618,355.8443,347.7397,357.1913,
0,1643460268552,LeftFoot_Target,1.492434,-0.01242217,-0.0813524,355.8454,347.7455,357.2263,
0,1643460268680,LeftFoot_Target,1.491984,-0.01269042,-0.08126652,355.8706,347.741,357.2675,
0,1643460268780,LeftFoot_Target,1.492551,-0.01235676,-0.08122557,355.9057,347.73,357.2701,
0,1643460268912,LeftFoot_Target,1.492451,-0.01200958,-0.08108971,355.951,347.7563,357.2687,
0,1643460269022,LeftFoot_Target,1.492108,-0.01240309,-0.08116519,355.9692,347.7791,357.2524,
0,1643460269147,LeftFoot_Target,1.492041,-0.01300859,-0.0813401,355.963,347.8001,357.2405,
0,1643460269280,LeftFoot_Target,1.492692,-0.01287843,-0.08130166,355.9713,347.7933,357.2132,
0,1643460269395,LeftFoot_Target,1.492581,-0.01250755,-0.0812552,356.0054,347.8012,357.2096,
