unixTime,lslTime,EDA
1643459019592,13205.2817442,9.42
1643459019592,13205.2817471,9.42
1643459019592,13205.2817507,9.42
1643459019592,13205.2817543,9.4
1643459019592,13205.2817564,9.4
1643459019592,13205.2817586,9.4
1643459019592,13205.2817606,9.4
1643459019592,13205.2817643,9.42
1643459019592,13205.2817668,9.45
1643459019592,13205.2817689,9.45
1643459019622,13205.4256488,9.47
1643459019622,13205.4258159,9.5
1643459019622,13205.4258212,9.52
1643459019622,13205.4258253,9.52
1643459019622,13205.4258289,9.52
1643459019622,13205.4258321,9.52
1643459019622,13205.4258356,9.55
1643459019622,13205.4258385,9.55
1643459019622,13205.4258442,9.55
1643459019622,13205.4258594,9.55
1643459019663,13205.4260333,9.57
1643459019663,13205.4260375,9.57
1643459019663,13205.4260509,9.59
1643459019663,13205.4260545,9.59
1643459019663,13205.4260567,9.59
1643459019663,13205.5550878,9.59
1643459019663,13205.5550992,9.62
1643459019663,13205.5551085,9.62
1643459019663,13205.5551128,9.62
1643459019663,13205.5551159,9.62
1643459019692,13205.5553772,9.62
1643459019692,13205.5553811,9.62
1643459019922,13205.5553834,9.59
1643459019922,13205.5553854,9.62
1643459019922,13205.5553873,9.59
1643459019922,13205.5553894,9.59
1643459019922,13205.5553914,9.59
1643459019922,13205.5553933,9.62
1643459019922,13205.5553953,9.62
1643459019922,13205.5553973,9.62
1643459019922,13205.7038276,9.62
1643459019922,13205.7039379,9.62
1643459019954,13205.7039991,9.64
1643459019954,13205.7040335,9.64
1643459019954,13205.7040371,9.64
1643459019954,13205.7040394,9.64
1643459019954,13205.7040416,9.64
1643459019954,13205.7040437,9.64
1643459019954,13205.7040457,9.64
1643459019954,13205.7040477,9.64
1643459019954,13205.70405,9.67
1643459019954,13205.704052,9.67
1643459019988,13205.7040539,9.67
1643459019988,13205.7040559,9.67
1643459019988,13205.7040579,9.67
1643459019988,13205.8727022,9.67
1643459019988,13205.872836,9.67
1643459019988,13205.8728884,9.67
1643459019988,13205.8729503,9.67
1643459019988,13205.8729552,9.67
1643459019988,13205.8729588,9.67
1643459019988,13205.8729624,9.67
1643459020022,13205.8729661,9.67
1643459020022,13205.8729697,9.67
1643459020188,13205.8729732,9.69
1643459020188,13205.8729768,9.69
1643459020188,13205.8729811,9.69
1643459020188,13205.8729833,9.72
1643459020188,13205.8729867,9.72
1643459020188,13205.8729892,9.72
1643459020188,13206.023403,9.74
1643459020188,13206.0234427,9.74
1643459020188,13206.0234728,9.74
1643459020188,13206.0234962,9.77
1643459020223,13206.0235004,9.77
1643459020223,13206.0235027,9.77
1643459020223,13206.0235241,9.77
1643459020223,13206.0235372,9.79
1643459020223,13206.023541,9.79
1643459020223,13206.0235436,9.79
1643459020223,13206.0235829,9.79
1643459020223,13206.0236128,9.79
1643459020223,13206.0236177,9.81
1643459020223,13206.0236205,9.79
1643459020255,13206.0236228,9.81
1643459020255,13206.1577333,9.81
1643459020255,13206.1580038,9.81
1643459020255,13206.1580095,9.81
1643459020255,13206.158012,9.81
1643459020255,13206.1580187,9.84
1643459020255,13206.1580687,9.81
1643459020255,13206.1580733,9.81
1643459020255,13206.1580759,9.81
1643459020255,13206.1581001,9.81
1643459020288,13206.1581191,9.81
1643459020288,13206.1581247,9.81
1643459020522,13206.1581531,9.81
1643459020522,13206.1581589,9.79
1643459020522,13206.1581611,9.79
