pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643460776953,Head_Target,1.596778,1.559449,-0.01394227,358.3165,183.7407,267.9028,
0,1643460777087,Head_Target,1.597646,1.55957,-0.01377092,358.2873,183.7476,267.8387,
0,1643460777213,Head_Target,1.598909,1.559454,-0.01319911,358.2769,183.4695,267.8774,
0,1643460777331,Head_Target,1.60079,1.559511,-0.01300053,358.2367,183.3583,267.9912,
0,1643460777434,Head_Target,1.602289,1.559439,-0.01308355,358.0873,183.3859,268.0844,
0,1643460777551,Head_Target,1.603429,1.559349,-0.01380213,358.1181,183.4874,268.108,
0,1643460777652,Head_Target,1.604153,1.559402,-0.01421872,358.2377,183.4115,268.1151,
0,1643460777785,Head_Target,1.604214,1.559566,-0.0147606,358.2784,183.4427,267.9286,
0,1643460777894,Head_Target,1.604654,1.559596,-0.01529832,358.2357,183.539,267.9305,
0,1643460778017,Head_Target,1.605355,1.559385,-0.01556589,358.2135,183.5032,267.8405,
0,1643460778118,Head_Target,1.606327,1.559411,-0.01600374,357.9619,183.7589,267.8382,
0,1643460778219,Head_Target,1.607286,1.559379,-0.01658174,357.923,183.9737,267.9477,
0,1643460778322,Head_Target,1.608413,1.559405,-0.01671375,357.879,183.8824,267.9962,
0,1643460778440,Head_Target,1.609401,1.559421,-0.01690649,357.8501,183.9404,268.0227,
0,1643460778543,Head_Target,1.609842,1.559473,-0.01699704,357.7874,184.0626,268.0547,
0,1643460778648,Head_Target,1.610107,1.559457,-0.01731606,357.7112,184.096,268.0749,
0,1643460778750,Head_Target,1.610266,1.559479,-0.0177531,357.7124,184.0288,268.0455,
0,1643460778861,Head_Target,1.609464,1.559522,-0.01872734,357.7406,183.9524,267.7748,
0,1643460778964,Head_Target,1.606243,1.560557,-0.02020489,357.9437,183.2667,266.8273,
0,1643460779094,Head_Target,1.595434,1.561301,-0.02496743,358.5723,182.1021,264.7915,
0,1643460779195,Head_Target,1.588551,1.56209,-0.03226148,358.5687,181.6909,262.9578,
0,1643460779328,Head_Target,1.585106,1.558444,-0.0443673,357.7338,180.9848,262.1464,
0,1643460779429,Head_Target,1.587612,1.555259,-0.05296221,357.9417,180.5694,261.2445,
0,1643460779540,Head_Target,1.591788,1.55523,-0.06241734,358.0558,180.7905,261.5784,
0,1643460779641,Head_Target,1.592296,1.558408,-0.06744093,359.2364,180.8105,260.8721,
0,1643460779762,Head_Target,1.591514,1.560912,-0.0742207,0.435605,180.9469,261.2805,
0,1643460779864,Head_Target,1.589491,1.561703,-0.07805032,0.05810235,180.7874,260.6884,
0,1643460779983,Head_Target,1.592805,1.562674,-0.08683224,0.558139,181.8629,258.9501,
0,1643460780090,Head_Target,1.595581,1.562903,-0.09323755,1.263467,182.5398,258.1776,
0,1643460780207,Head_Target,1.593339,1.562049,-0.09500489,1.915528,182.127,258.9279,
0,1643460780308,Head_Target,1.588525,1.562207,-0.09236811,1.631236,181.3024,260.076,
0,1643460780441,Head_Target,1.584893,1.563882,-0.08469988,0.9967375,180.7214,260.5635,
0,1643460780574,Head_Target,1.591166,1.569202,-0.0749079,0.665844,181.1271,259.9949,
