pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643457688484,LeftHand_Target,1.398027,1.390665,-0.09902745,10.28437,270.845,290.8842,
0,1643457688598,LeftHand_Target,1.398746,1.389592,-0.1006497,9.869014,269.0883,292.3926,
0,1643457688699,LeftHand_Target,1.396342,1.389247,-0.09957314,11.14389,270.8183,291.3227,
0,1643457688811,LeftHand_Target,1.394724,1.389093,-0.09647091,11.39082,271.9395,291.3988,
0,1643457688920,LeftHand_Target,1.394197,1.389618,-0.09564303,10.51456,270.7902,292.3516,
0,1643457689035,LeftHand_Target,1.392712,1.389107,-0.09731168,9.814724,269.8186,292.3776,
0,1643457689145,LeftHand_Target,1.391253,1.387076,-0.09949096,8.334419,267.0335,293.1614,
0,1643457689255,LeftHand_Target,1.390899,1.386806,-0.09820898,6.938961,264.6649,294.5864,
0,1643457689367,LeftHand_Target,1.389183,1.388393,-0.09307697,8.234147,265.7284,292.8893,
0,1643457689478,LeftHand_Target,1.386081,1.389086,-0.08950286,9.463033,268.4668,290.9596,
0,1643457689587,LeftHand_Target,1.385818,1.389269,-0.08881676,8.593657,268.204,292.1563,
0,1643457689699,LeftHand_Target,1.385035,1.39055,-0.08834639,7.763995,267.7601,292.4716,
0,1643457689810,LeftHand_Target,1.384317,1.390931,-0.08868541,6.220503,267.0762,293.6568,
0,1643457689921,LeftHand_Target,1.383996,1.391683,-0.08986272,3.348865,264.5892,296.8115,
0,1643457690031,LeftHand_Target,1.382769,1.392449,-0.08995411,3.155327,263.4848,296.6088,
0,1643457690145,LeftHand_Target,1.381696,1.392904,-0.0879034,5.235362,265.4173,294.3804,
0,1643457690256,LeftHand_Target,1.380116,1.392732,-0.08594474,5.828654,266.5336,293.1501,
0,1643457690365,LeftHand_Target,1.381271,1.393729,-0.08943383,4.215516,265.7387,293.7965,
0,1643457690478,LeftHand_Target,1.381659,1.394046,-0.09384839,1.694626,266.0377,294.8095,
0,1643457690588,LeftHand_Target,1.378834,1.391694,-0.1031886,358.9756,263.9932,289.565,
0,1643457690698,LeftHand_Target,1.382532,1.392771,-0.1117163,353.9592,259.4857,287.3949,
0,1643457690809,LeftHand_Target,1.388157,1.396588,-0.1177329,358.2527,257.692,281.4928,
0,1643457690921,LeftHand_Target,1.387723,1.410083,-0.1198754,8.563926,264.5178,266.1665,
0,1643457691028,LeftHand_Target,1.381575,1.421671,-0.1158566,7.864586,274.4225,257.4168,
0,1643457691136,LeftHand_Target,1.382181,1.427696,-0.1164433,4.524649,276.7674,254.7307,
0,1643457691254,LeftHand_Target,1.384175,1.427343,-0.1096451,5.965426,273.9842,258.96,
0,1643457691365,LeftHand_Target,1.379133,1.428522,-0.1041603,7.371628,274.9637,261.1513,
0,1643457691476,LeftHand_Target,1.380745,1.426441,-0.09884799,7.752369,274.4692,262.8466,
0,1643457691589,LeftHand_Target,1.377652,1.426608,-0.0969995,7.495298,272.2988,262.1561,
0,1643457691700,LeftHand_Target,1.371265,1.42377,-0.09781627,8.812153,269.5991,257.5488,
0,1643457691809,LeftHand_Target,1.374029,1.423553,-0.09540432,6.783597,268.4419,258.0992,
0,1643457691920,LeftHand_Target,1.377108,1.42491,-0.09710103,6.987619,267.406,256.5486,
0,1643457692034,LeftHand_Target,1.380329,1.422606,-0.09943956,9.064414,263.3454,254.1042,
0,1643457692146,LeftHand_Target,1.382156,1.417632,-0.1034828,11.45642,260.5091,252.9545,
0,1643457692254,LeftHand_Target,1.383093,1.418564,-0.1097182,12.79295,264.196,253.7866,
0,1643457692365,LeftHand_Target,1.380318,1.428048,-0.1052019,11.81875,265.2302,249.8461,
0,1643457692475,LeftHand_Target,1.379177,1.429633,-0.1118585,9.718496,269.553,252.5829,
0,1643457692587,LeftHand_Target,1.382187,1.429647,-0.1080374,9.260361,266.6336,255.8181,
0,1643457692699,LeftHand_Target,1.380773,1.428094,-0.1066694,9.878352,267.2209,256.603,
0,1643457692811,LeftHand_Target,1.379907,1.427747,-0.1116075,10.78708,269.4953,256.2574,
0,1643457692922,LeftHand_Target,1.38091,1.424546,-0.1171802,11.62711,271.7404,257.1349,
0,1643457693025,LeftHand_Target,1.38198,1.423346,-0.1176294,10.55885,272.6883,259.2163,
0,1643457693134,LeftHand_Target,1.386659,1.422361,-0.1112508,7.53874,268.0337,263.4807,
0,1643457693255,LeftHand_Target,1.390728,1.413243,-0.09885269,1.949152,261.9293,270.0768,
0,1643457693366,LeftHand_Target,1.400551,1.405579,-0.08194628,359.6525,255.6937,277.1721,
0,1643457693475,LeftHand_Target,1.404028,1.406096,-0.07452245,359.4968,256.25,278.9622,
0,1643457693587,LeftHand_Target,1.400657,1.410543,-0.08076842,3.662829,263.6823,274.971,
0,1643457693699,LeftHand_Target,1.402629,1.412421,-0.07499243,4.639441,262.5034,276.9203,
0,1643457693810,LeftHand_Target,1.39906,1.415698,-0.07437325,5.557508,264.9864,275.912,
0,1643457693922,LeftHand_Target,1.401658,1.416369,-0.07462691,4.283977,261.9195,278.1252,
0,1643457694034,LeftHand_Target,1.403165,1.414137,-0.07419011,2.908322,259.1416,279.1877,
0,1643457694144,LeftHand_Target,1.404184,1.410985,-0.08430243,0.4657267,254.4797,277.3369,
0,1643457694267,LeftHand_Target,1.397674,1.419529,-0.1242326,357.8997,252.6451,265.4721,
0,1643457694387,LeftHand_Target,1.402618,1.447207,-0.1446747,5.868432,262.5025,245.2482,
0,1643457694499,LeftHand_Target,1.401889,1.455974,-0.1409756,4.979842,265.7151,244.334,
0,1643457694609,LeftHand_Target,1.398399,1.455556,-0.1321879,4.344125,268.1871,248.1099,
0,1643457694722,LeftHand_Target,1.399904,1.451809,-0.1221382,4.482274,268.3129,255.317,
0,1643457694832,LeftHand_Target,1.398934,1.452601,-0.1208835,4.615585,265.835,259.3684,
0,1643457694943,LeftHand_Target,1.400887,1.450864,-0.1190238,5.08319,264.5219,261.3598,
0,1643457695055,LeftHand_Target,1.400053,1.4474,-0.118,5.888224,265.2642,262.232,
0,1643457695166,LeftHand_Target,1.399769,1.440608,-0.116821,5.483112,265.7203,262.2544,
0,1643457695278,LeftHand_Target,1.394681,1.440514,-0.1214055,5.467027,268.3339,257.5337,
0,1643457695387,LeftHand_Target,1.393867,1.436609,-0.1210306,3.765408,267.0313,258.4373,
0,1643457695499,LeftHand_Target,1.390453,1.43205,-0.1236041,3.613317,262.7541,257.3976,
0,1643457695610,LeftHand_Target,1.380006,1.436148,-0.1300307,6.038638,265.1098,251.6047,
0,1643457695720,LeftHand_Target,1.378418,1.438196,-0.1333497,9.304687,266.3158,250.3909,
0,1643457695833,LeftHand_Target,1.380389,1.43519,-0.132949,9.347404,264.4004,250.8532,
0,1643457695944,LeftHand_Target,1.38299,1.434459,-0.1323429,10.92453,264.904,250.4404,
0,1643457696054,LeftHand_Target,1.382257,1.435454,-0.1317463,10.93404,265.3961,251.0525,
0,1643457696166,LeftHand_Target,1.383568,1.434338,-0.1282827,11.53823,266.4956,252.2465,
0,1643457696275,LeftHand_Target,1.381086,1.431847,-0.123677,13.06291,275.1567,256.2027,
0,1643457696376,LeftHand_Target,1.385486,1.432407,-0.1217118,12.83332,273.1674,255.7392,
0,1643457696486,LeftHand_Target,1.388379,1.432795,-0.1221723,11.86239,269.1107,254.0975,
0,1643457696586,LeftHand_Target,1.389477,1.434518,-0.1236109,12.70944,269.2388,253.4593,
0,1643457696700,LeftHand_Target,1.390169,1.430547,-0.1284721,15.99722,268.7904,251.6405,
0,1643457696810,LeftHand_Target,1.383158,1.402655,-0.1461101,21.6552,265.459,255.9438,
0,1643457696921,LeftHand_Target,1.358549,1.354502,-0.1705968,39.78788,260.573,256.5549,
0,1643457697032,LeftHand_Target,1.312852,1.263632,-0.187572,65.49249,256.5078,255.5282,
0,1643457697145,LeftHand_Target,1.281476,1.135266,-0.1841673,73.70757,150.7335,154.3184,
0,1643457697256,LeftHand_Target,1.297755,1.042463,-0.1728065,63.89703,119.9486,121.0875,
0,1643457697375,LeftHand_Target,1.308947,1.006675,-0.1580249,56.88232,109.9971,108.6324,
0,1643457697485,LeftHand_Target,1.301001,0.9666734,-0.1547972,41.89235,110.0936,105.3576,
0,1643457697599,LeftHand_Target,1.31203,0.9302429,-0.1594011,31.07468,99.0209,94.08057,
0,1643457697699,LeftHand_Target,1.336124,0.9058946,-0.1591475,22.57707,92.69279,93.45966,
0,1643457697832,LeftHand_Target,1.367559,0.8877624,-0.1709928,15.31753,85.28037,95.87585,
0,1643457697932,LeftHand_Target,1.381546,0.8834562,-0.1912833,11.81942,80.43919,96.35458,
0,1643457698067,LeftHand_Target,1.388181,0.8806759,-0.2095194,7.726979,92.29707,102.5444,
0,1643457698168,LeftHand_Target,1.393413,0.8787582,-0.2118728,4.855851,98.7564,106.232,
0,1643457698276,LeftHand_Target,1.399932,0.8733671,-0.208913,5.30245,95.64423,104.5922,
0,1643457698388,LeftHand_Target,1.399913,0.8676543,-0.1948411,5.475727,97.87106,102.9347,
0,1643457698499,LeftHand_Target,1.394373,0.866202,-0.1823405,6.617465,102.5522,101.8059,
0,1643457698608,LeftHand_Target,1.386453,0.8669751,-0.1772895,7.802433,106.4832,101.6546,
0,1643457698720,LeftHand_Target,1.381916,0.8686635,-0.1779247,8.009723,107.316,101.758,
0,1643457698832,LeftHand_Target,1.382907,0.8687887,-0.1797672,7.596703,107.1267,101.9019,
0,1643457698943,LeftHand_Target,1.38685,0.8681179,-0.1800727,7.339241,106.5476,101.8346,
0,1643457699059,LeftHand_Target,1.391491,0.8686491,-0.1802227,7.938399,104.2434,100.9783,
0,1643457699167,LeftHand_Target,1.394154,0.8678118,-0.1781501,7.301223,105.854,101.5004,
0,1643457699277,LeftHand_Target,1.397612,0.8674188,-0.1784124,7.217614,106.063,101.5158,
0,1643457699388,LeftHand_Target,1.401088,0.8670171,-0.1786558,6.484814,106.3382,101.3591,
0,1643457699499,LeftHand_Target,1.403871,0.8662143,-0.1795714,5.876276,106.1168,101.0978,
0,1643457699610,LeftHand_Target,1.404768,0.8658836,-0.1798892,5.579079,106.3547,101.2724,
0,1643457699720,LeftHand_Target,1.403718,0.8653589,-0.1784765,5.701684,106.4979,101.1503,
0,1643457699826,LeftHand_Target,1.402652,0.8637171,-0.1767799,6.045897,106.9748,100.9096,
0,1643457699937,LeftHand_Target,1.40153,0.8613557,-0.1765066,5.970596,106.8846,100.3436,
0,1643457700042,LeftHand_Target,1.401402,0.8603257,-0.1763925,5.895569,106.6414,100.1839,
0,1643457700143,LeftHand_Target,1.39937,0.8604953,-0.1776475,5.414945,107.0667,100.6906,
0,1643457700243,LeftHand_Target,1.397197,0.8621174,-0.1776558,6.250053,107.158,100.9701,
0,1643457700375,LeftHand_Target,1.395896,0.8628204,-0.1759455,6.427062,107.657,100.6314,
0,1643457700476,LeftHand_Target,1.397429,0.862492,-0.1744633,6.115412,108.3396,100.4881,
0,1643457700610,LeftHand_Target,1.400912,0.862874,-0.1758157,5.797153,108.0152,100.6064,
0,1643457700743,LeftHand_Target,1.403005,0.8627511,-0.1773203,5.552193,107.5097,100.6525,
0,1643457700864,LeftHand_Target,1.404409,0.8625437,-0.1768147,5.397935,107.4505,100.4731,
0,1643457700975,LeftHand_Target,1.404976,0.862074,-0.1764569,5.50356,107.4567,100.3795,
0,1643457701088,LeftHand_Target,1.405369,0.8610935,-0.1759921,5.709154,107.6114,100.2036,
0,1643457701199,LeftHand_Target,1.405255,0.8609414,-0.1755032,5.818597,107.816,100.0197,
0,1643457701311,LeftHand_Target,1.405174,0.8608328,-0.1763887,5.939958,107.6961,99.96001,
0,1643457701422,LeftHand_Target,1.406053,0.8603846,-0.1764807,6.049849,107.6722,99.72781,
0,1643457701532,LeftHand_Target,1.407305,0.8595527,-0.1767124,5.943105,107.5084,99.53744,
0,1643457701642,LeftHand_Target,1.407856,0.8586847,-0.1778368,5.68453,107.6612,99.30703,
0,1643457701753,LeftHand_Target,1.407604,0.8602076,-0.1791018,5.481616,107.4477,99.24271,
0,1643457701866,LeftHand_Target,1.407557,0.8604273,-0.1799455,5.042369,107.7431,99.19118,
0,1643457701976,LeftHand_Target,1.406919,0.86167,-0.1810736,5.343284,107.1056,99.48725,
0,1643457702087,LeftHand_Target,1.405848,0.8623127,-0.1817471,5.303021,107.5151,99.53428,
0,1643457702201,LeftHand_Target,1.404083,0.862737,-0.1819491,5.597093,107.3258,99.72957,
0,1643457702317,LeftHand_Target,1.402021,0.8620852,-0.1807256,5.939521,108.0252,99.69124,
0,1643457702429,LeftHand_Target,1.402032,0.8624175,-0.1796764,5.86713,108.4152,99.67899,
0,1643457702532,LeftHand_Target,1.403353,0.8615744,-0.1785038,5.212483,109.1184,99.51057,
0,1643457702644,LeftHand_Target,1.405156,0.8605487,-0.1769822,4.222063,109.6749,99.24157,
0,1643457702754,LeftHand_Target,1.403805,0.860311,-0.1750896,2.962237,111.094,99.07348,
0,1643457702865,LeftHand_Target,1.396817,0.8620141,-0.1735711,3.361261,111.8023,99.46142,
0,1643457702976,LeftHand_Target,1.390076,0.8651353,-0.1712987,4.859937,111.8102,99.69434,
0,1643457703087,LeftHand_Target,1.388342,0.8656807,-0.1683218,5.755472,111.7049,99.61065,
0,1643457703199,LeftHand_Target,1.39162,0.8644416,-0.1686553,5.519543,110.5666,99.35958,
0,1643457703310,LeftHand_Target,1.396103,0.8628641,-0.1719125,4.909151,109.3157,99.47108,
0,1643457703421,LeftHand_Target,1.398948,0.8622452,-0.1760488,4.415127,108.4095,99.83809,
0,1643457703540,LeftHand_Target,1.400309,0.8623564,-0.1776917,4.511395,108.0147,99.92389,
0,1643457703650,LeftHand_Target,1.399506,0.8621331,-0.1770541,4.772017,108.2277,99.7056,
0,1643457703755,LeftHand_Target,1.398115,0.8619236,-0.1760941,4.850734,108.7841,99.638,
0,1643457703886,LeftHand_Target,1.395585,0.8631876,-0.176449,5.473207,108.8376,100.1119,
0,1643457703988,LeftHand_Target,1.394081,0.866294,-0.176683,7.959769,106.5392,100.3288,
0,1643457704119,LeftHand_Target,1.388863,0.8672916,-0.1765412,6.985414,107.9333,100.3818,
0,1643457704221,LeftHand_Target,1.386652,0.8732318,-0.1771246,8.737438,106.5724,100.7291,
0,1643457704354,LeftHand_Target,1.380673,0.922205,-0.1979202,41.94293,48.34614,70.03506,
0,1643457704479,LeftHand_Target,1.344758,1.031467,-0.2060309,51.1562,353.182,10.75746,
0,1643457704588,LeftHand_Target,1.337465,1.176037,-0.2032193,27.42416,327.6772,329.1997,
0,1643457704699,LeftHand_Target,1.379984,1.297687,-0.1758005,16.6748,299.6212,302.7341,
0,1643457704809,LeftHand_Target,1.398099,1.351883,-0.1460707,357.5885,306.337,286.654,
0,1643457704920,LeftHand_Target,1.406016,1.391744,-0.1246539,1.868514,316.8051,265.9523,
0,1643457705034,LeftHand_Target,1.41302,1.416285,-0.1227812,4.952303,310.0549,252.3562,
