pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643457797887,Sphere Kopf(Clone),1.245523,1.436206,0.02806044,288.3788,269.3718,82.49785,
0,1643457797988,Sphere Kopf(Clone),1.244718,1.436284,0.02974889,288.3469,269.3812,82.80051,
0,1643457798113,Sphere Kopf(Clone),1.243932,1.437403,0.03161412,288.197,269.7897,82.68159,
0,1643457798247,Sphere Kopf(Clone),1.242577,1.439985,0.03373584,287.8394,270.3177,82.43433,
0,1643457798380,Sphere Kopf(Clone),1.240469,1.447023,0.03875268,286.8542,271.5245,81.92229,
0,1643457798480,Sphere Kopf(Clone),1.240121,1.449668,0.04277921,286.4875,272.5457,81.44912,
0,1643457798581,Sphere Kopf(Clone),1.240949,1.451715,0.04316449,286.1888,272.8864,81.08729,
0,1643457798713,Sphere Kopf(Clone),1.241168,1.462262,0.03789079,284.6857,273.1932,79.91021,
0,1643457798847,Sphere Kopf(Clone),1.241224,1.473647,0.03030771,282.9769,272.3601,79.6217,
0,1643457798965,Sphere Kopf(Clone),1.241755,1.473114,0.029075,283.0002,271.3179,80.62186,
0,1643457799071,Sphere Kopf(Clone),1.24108,1.472429,0.03185415,283.0681,271.2699,81.25023,
0,1643457799174,Sphere Kopf(Clone),1.240393,1.473668,0.03371522,282.917,271.516,81.41318,
0,1643457799280,Sphere Kopf(Clone),1.239987,1.475669,0.03357682,282.6361,271.5312,81.46751,
0,1643457799386,Sphere Kopf(Clone),1.239825,1.477911,0.03427428,282.3291,271.8315,81.29797,
0,1643457799490,Sphere Kopf(Clone),1.239066,1.480816,0.03880933,281.9333,273.158,80.6538,
0,1643457799594,Sphere Kopf(Clone),1.23728,1.485849,0.04969808,281.2415,275.9538,79.45576,
0,1643457799702,Sphere Kopf(Clone),1.235896,1.490506,0.05949917,280.6243,279.1977,77.60149,
0,1643457799803,Sphere Kopf(Clone),1.235506,1.492319,0.06633678,280.4087,280.5772,77.13906,
0,1643457799936,Sphere Kopf(Clone),1.23539,1.483207,0.07131243,281.4976,277.2209,81.0401,
0,1643457800069,Sphere Kopf(Clone),1.234503,1.469689,0.06985447,283.18,273.284,84.68396,
0,1643457800203,Sphere Kopf(Clone),1.235109,1.474902,0.07230979,282.5631,275.0829,83.26379,
0,1643457800305,Sphere Kopf(Clone),1.235483,1.472988,0.07614568,282.7925,275.7652,83.17753,
0,1643457800416,Sphere Kopf(Clone),1.237757,1.471916,0.07640174,282.9454,275.1573,83.82626,
0,1643457800517,Sphere Kopf(Clone),1.239759,1.471392,0.07769063,283.0412,275.833,83.30148,
0,1643457800620,Sphere Kopf(Clone),1.241867,1.471103,0.08004838,283.0925,276.3922,83.03418,
0,1643457800723,Sphere Kopf(Clone),1.244482,1.470264,0.08243337,283.2447,277.491,82.19597,
0,1643457800826,Sphere Kopf(Clone),1.245865,1.470391,0.08629426,283.243,278.299,81.85413,
0,1643457800929,Sphere Kopf(Clone),1.246376,1.471748,0.08977073,283.074,279.4717,81.11421,
0,1643457801036,Sphere Kopf(Clone),1.24653,1.474397,0.09873447,282.7507,281.9146,79.8392,
0,1643457801170,Sphere Kopf(Clone),1.247863,1.484048,0.138036,281.4844,289.0916,78.15952,
0,1643457801270,Sphere Kopf(Clone),1.256534,1.494154,0.1898943,279.947,296.9739,77.8392,
0,1643457801401,Sphere Kopf(Clone),1.286106,1.525488,0.2753879,275.4419,315.9844,71.90035,
0,1643457801533,Sphere Kopf(Clone),1.332811,1.54596,0.3459226,273.2233,357.7259,42.38256,
0,1643457801635,Sphere Kopf(Clone),1.364931,1.542628,0.3796756,273.6641,3.578676,43.29573,
0,1643457801754,Sphere Kopf(Clone),1.393729,1.54114,0.4021424,273.825,7.787449,44.36506,
0,1643457801858,Sphere Kopf(Clone),1.407959,1.542938,0.4095282,273.8238,15.95389,38.61181,
0,1643457801959,Sphere Kopf(Clone),1.406044,1.541943,0.4054327,273.7376,13.58063,40.7192,
0,1643457802061,Sphere Kopf(Clone),1.387028,1.539127,0.3919359,273.6742,2.575568,48.72174,
0,1643457802163,Sphere Kopf(Clone),1.345173,1.529837,0.3601072,274.2658,332.1119,72.17325,
0,1643457802268,Sphere Kopf(Clone),1.301971,1.517959,0.3166601,275.8188,311.3132,84.40428,
