pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643458459701,BeamEnd_Target,-4.53111,0.08854543,0.1514381,271.5625,131.673,48.74507,
0,1643458459829,BeamEnd_Target,-4.531108,0.08852835,0.1516334,271.5439,131.5452,48.87169,
0,1643458459943,BeamEnd_Target,-4.531069,0.08874883,0.1514446,271.5465,131.4805,48.94079,
0,1643458460065,BeamEnd_Target,-4.530917,0.08848067,0.1516774,271.5357,131.2893,49.12763,
0,1643458460178,BeamEnd_Target,-4.531057,0.08888139,0.1515118,271.5403,131.1364,49.28004,
0,1643458460311,BeamEnd_Target,-4.531173,0.0887382,0.1514128,271.5429,131.8342,48.57444,
0,1643458460445,BeamEnd_Target,-4.531086,0.08888605,0.1513262,271.5453,132.0791,48.34372,
0,1643458460587,BeamEnd_Target,-4.5312,0.08874397,0.1514273,271.5435,131.8302,48.59931,
0,1643458460710,BeamEnd_Target,-4.530962,0.08868344,0.1514225,271.5442,132.3793,48.04803,
0,1643458460842,BeamEnd_Target,-4.530995,0.08874325,0.1516085,271.5431,131.701,48.73214,
0,1643458460942,BeamEnd_Target,-4.531088,0.08893135,0.151594,271.5534,131.3252,49.11003,
0,1643458461043,BeamEnd_Target,-4.531108,0.08880669,0.1512514,271.5563,131.0677,49.37214,
0,1643458461175,BeamEnd_Target,-4.531177,0.08845713,0.1513785,271.5412,131.9352,48.48646,
0,1643458461275,BeamEnd_Target,-4.531187,0.08875166,0.1513979,271.5529,131.7506,48.67636,
0,1643458461385,BeamEnd_Target,-4.530943,0.0886075,0.1515379,271.5382,131.8946,48.54942,
0,1643458461506,BeamEnd_Target,-4.53088,0.08859036,0.151435,271.5384,131.846,48.58714,
0,1643458461629,BeamEnd_Target,-4.53084,0.08870098,0.1514907,271.5315,131.4995,48.9321,
0,1643458461735,BeamEnd_Target,-4.531183,0.08860727,0.1514091,271.5112,132.0188,48.40106,
0,1643458461835,BeamEnd_Target,-4.530842,0.08865471,0.1515864,271.5158,131.4049,49.02319,
0,1643458461958,BeamEnd_Target,-4.530885,0.08858103,0.1515234,271.5271,131.7823,48.64776,
0,1643458462066,BeamEnd_Target,-4.531037,0.0887491,0.1515011,271.5171,131.7766,48.65372,
0,1643458462176,BeamEnd_Target,-4.531203,0.0883038,0.1516469,271.5198,131.6854,48.7385,
0,1643458462310,BeamEnd_Target,-4.531014,0.08862336,0.1516233,271.5297,131.9849,48.45034,
0,1643458462443,BeamEnd_Target,-4.530835,0.08872863,0.1514349,271.5395,131.5657,48.87803,
0,1643458462543,BeamEnd_Target,-4.531026,0.08877432,0.1514692,271.5557,131.8277,48.60932,
0,1643458462676,BeamEnd_Target,-4.531076,0.0887607,0.1514968,271.5396,131.7214,48.70945,
0,1643458462809,BeamEnd_Target,-4.531232,0.0886905,0.1514581,271.5427,131.3603,49.06404,
