timestamp;foot;position
1643458528845;RightFoot;0.05295923
1643458533288;LeftFoot;0.1017839
1643458535435;RightFoot;0.1686897
1643458536766;LeftFoot;0.2509878
1643458538283;RightFoot;0.2421924
1643458539473;RightFoot;0.2958426
1643458542206;LeftFoot;0.3361483
1643458544595;RightFoot;0.3959886
1643458546156;LeftFoot;0.4628319
1643458548793;RightFoot;0.4990164
1643458551343;RightFoot;0.5371261
1643458551898;LeftFoot;0.5720775
1643458552076;LeftFoot;0.608164
1643458553177;RightFoot;0.6748532
1643458553680;RightFoot;0.6741687
1643458554010;LeftFoot;0.7483463
1643458554243;RightFoot;0.747422
1643458555386;LeftFoot;0.8752434
1643458555617;LeftFoot;0.8998868
1643458556426;LeftFoot;0.9708304
1643458565116;LeftFoot;0.114596
1643458566234;RightFoot;0.1738676
1643458567467;RightFoot;0.1749186
1643458569119;LeftFoot;0.2211745
1643458569352;LeftFoot;0.2208573
1643458570896;LeftFoot;0.2204872
1643458574200;RightFoot;0.2796466
1643458575965;LeftFoot;0.2795377
1643458576532;LeftFoot;0.3428804
1643458578132;LeftFoot;0.3385803
1643458578839;LeftFoot;0.3387468
1643458579072;RightFoot;0.4140092
1643458579185;LeftFoot;0.4086875
1643458579233;RightFoot;0.4082734
1643458579934;LeftFoot;0.4640174
1643458580111;RightFoot;0.4607207
1643458580963;LeftFoot;0.457907
1643458581095;LeftFoot;0.4576631
1643458582118;LeftFoot;0.4574273
1643458583042;RightFoot;0.5086824
1643458583597;RightFoot;0.5070722
1643458585650;LeftFoot;0.5811579
1643458586374;RightFoot;0.6321285
1643458587291;LeftFoot;0.7033113
1643458588344;RightFoot;0.7304254
1643458588691;RightFoot;0.7626706
1643458588843;RightFoot;0.759702
1643458590910;LeftFoot;0.8229326
1643458591691;RightFoot;0.8530175
1643458597223;LeftFoot;0.9412634
1643458599859;RightFoot;0.04594437
1643458600770;RightFoot;0.004803253
1643458603920;RightFoot;0.05647187
1643458607883;LeftFoot;0.1059855
1643458608915;RightFoot;0.1356163
1643458610347;LeftFoot;0.2171344
1643458611223;RightFoot;0.2439151
1643458611312;RightFoot;0.28588
1643458612563;LeftFoot;0.346644
1643458612776;LeftFoot;0.3524069
1643458613517;RightFoot;0.4139695
1643458613952;LeftFoot;0.47394
1643458618248;RightFoot;0.5100875
1643458618771;RightFoot;0.5114787
1643458619831;RightFoot;0.5248299
1643458620358;LeftFoot;0.5892132
1643458621070;RightFoot;0.6635861
1643458621231;RightFoot;0.6621662
1643458621511;RightFoot;0.6617067
1643458621565;RightFoot;0.6618786
1643458621779;LeftFoot;0.7095571
1643458621971;LeftFoot;0.7248983
1643458622888;LeftFoot;0.7944165
1643458623604;LeftFoot;0.8604975
1643458624600;LeftFoot;0.9229457
1643458633021;RightFoot;0.1616516
1643458634325;LeftFoot;0.2172251
1643458635454;RightFoot;0.2753114
1643458635746;LeftFoot;0.275727
1643458635914;LeftFoot;0.275727
1643458636577;LeftFoot;0.3450085
1643458636965;RightFoot;0.3426973
1643458637269;LeftFoot;0.3494421
1643458638243;RightFoot;0.4038676
1643458638500;LeftFoot;0.4024642
1643458638901;LeftFoot;0.4543103
1643458639055;LeftFoot;0.4712382
1643458639255;RightFoot;0.4668623
1643458640270;RightFoot;0.5279505
1643458641077;LeftFoot;0.592769
1643458641759;RightFoot;0.6297525
1643458642301;RightFoot;0.6430894
1643458643855;LeftFoot;0.7090133
1643458644635;RightFoot;0.7593361
1643458645356;LeftFoot;0.83808
1643458646058;RightFoot;0.8826135
1643458647587;LeftFoot;0.9537045
