pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643458765756,BeamStart_Target,1.454608,-0.01159883,0.07001913,270.2122,74.28019,190.4114,
0,1643458765867,BeamStart_Target,1.454951,-0.01116046,0.07025144,270.2131,72.54323,192.1527,
0,1643458765969,BeamStart_Target,1.454846,-0.01145709,0.07009883,270.1866,69.49405,195.1957,
0,1643458766079,BeamStart_Target,1.454969,-0.01121481,0.07020634,270.2017,72.64442,192.0471,
0,1643458766204,BeamStart_Target,1.454788,-0.01163609,0.07004301,270.2017,72.36288,192.3339,
0,1643458766306,BeamStart_Target,1.454782,-0.01125474,0.07017293,270.1802,71.48392,193.2185,
0,1643458766410,BeamStart_Target,1.454799,-0.01142889,0.07002715,270.1918,70.29329,194.4086,
0,1643458766534,BeamStart_Target,1.454804,-0.01125239,0.07021029,270.1918,67.55461,197.1387,
0,1643458766638,BeamStart_Target,1.454892,-0.01158512,0.07006209,270.1877,72.90755,191.7917,
0,1643458766748,BeamStart_Target,1.45475,-0.01147791,0.07005467,270.1736,73.20213,191.5074,
0,1643458766870,BeamStart_Target,1.45472,-0.0114928,0.07015618,270.1978,76.93491,187.7663,
0,1643458766985,BeamStart_Target,1.454908,-0.01162659,0.07012621,270.1866,74.9356,189.7433,
0,1643458767101,BeamStart_Target,1.454764,-0.0115539,0.06984968,270.1702,79.42439,185.2567,
0,1643458767226,BeamStart_Target,1.454742,-0.01152284,0.07001568,270.1813,76.383,188.3174,
0,1643458767349,BeamStart_Target,1.45482,-0.01138027,0.07010385,270.1813,72.4379,192.2695,
0,1643458767472,BeamStart_Target,1.454888,-0.01150373,0.0702002,270.1747,75.08108,189.6276,
0,1643458767604,BeamStart_Target,1.454714,-0.01150937,0.06988985,270.1856,77.15177,187.5554,
0,1643458767748,BeamStart_Target,1.454872,-0.01147486,0.07012017,270.1918,74.86659,189.8448,
0,1643458767867,BeamStart_Target,1.454832,-0.01132168,0.07003213,270.1725,74.25469,190.4569,
0,1643458767995,BeamStart_Target,1.454876,-0.0115162,0.07000849,270.1834,74.21816,190.4846,
0,1643458768118,BeamStart_Target,1.455007,-0.01141389,0.07022313,270.1948,71.10064,193.5814,
0,1643458768249,BeamStart_Target,1.454676,-0.01150364,0.06981809,270.2122,74.97308,189.7107,
0,1643458768376,BeamStart_Target,1.454929,-0.01112325,0.07008098,270.2056,69.71375,195.0054,
0,1643458768511,BeamStart_Target,1.454835,-0.01123676,0.06976029,270.2008,68.98006,195.7441,
0,1643458768646,BeamStart_Target,1.455027,-0.01092683,0.06986033,270.1877,66.06942,198.6435,
0,1643458768779,BeamStart_Target,1.455028,-0.01098941,0.06966168,270.1747,73.20393,191.5263,
0,1643458768883,BeamStart_Target,1.454958,-0.01085723,0.0697837,270.1908,69.4526,195.2684,
0,1643458769005,BeamStart_Target,1.454899,-0.01096006,0.06957409,270.1998,64.77505,199.9471,
0,1643458769128,BeamStart_Target,1.454992,-0.01081415,0.06964551,270.1998,63.86003,200.859,
0,1643458769247,BeamStart_Target,1.454989,-0.01081574,0.06984454,270.2017,60.40667,204.3162,
0,1643458769362,BeamStart_Target,1.454982,-0.01079528,0.06982125,270.1667,61.85589,202.8388,
0,1643458769499,BeamStart_Target,1.454991,-0.01125019,0.0702334,270.1856,66.96391,197.7024,
0,1643458769620,BeamStart_Target,1.454924,-0.01118772,0.07029919,270.1583,72.0851,192.5739,
0,1643458769743,BeamStart_Target,1.454967,-0.01145026,0.0701241,270.1583,66.0952,198.5592,
0,1643458769849,BeamStart_Target,1.455032,-0.01138949,0.070376,270.148,67.42921,197.2095,
0,1643458769960,BeamStart_Target,1.455093,-0.01110289,0.07085451,270.1136,264.6603,0,
0,1643458770100,BeamStart_Target,1.454844,-0.01172796,0.0705409,270.1426,50.81591,213.8062,
0,1643458770246,BeamStart_Target,1.455513,-0.01157688,0.07049455,270.1101,264.6499,0,
0,1643458770354,BeamStart_Target,1.454762,-0.01091564,0.07024311,270.148,61.88708,202.7285,
0,1643458770472,BeamStart_Target,1.455006,-0.01179153,0.07047238,270.1769,68.02197,196.6154,
0,1643458770605,BeamStart_Target,1.454839,-0.01177545,0.07050033,270.2176,67.4222,197.2197,
0,1643458770733,BeamStart_Target,1.454969,-0.01159162,0.0703117,270.2056,66.99175,197.6776,
0,1643458770852,BeamStart_Target,1.454787,-0.01132268,0.07021891,270.2065,61.3125,203.3395,
0,1643458770977,BeamStart_Target,1.454974,-0.01149536,0.07037427,270.2094,65.78255,198.8503,
0,1643458771109,BeamStart_Target,1.454969,-0.01150443,0.07041611,270.2131,65.02433,199.6118,
