pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643460688568,BeamEnd_Target,-4.538227,0.08893065,0.1502033,271.6045,129.0205,49.24015,
0,1643460688667,BeamEnd_Target,-4.538192,0.08879091,0.1502008,271.6177,129.1283,49.12115,
0,1643460688771,BeamEnd_Target,-4.538353,0.08878765,0.1503017,271.6211,129.0071,49.23922,
0,1643460688890,BeamEnd_Target,-4.538059,0.08875143,0.1501225,271.6238,128.7458,49.51496,
0,1643460689007,BeamEnd_Target,-4.538299,0.08895041,0.1501772,271.6099,128.5672,49.67911,
0,1643460689122,BeamEnd_Target,-4.538133,0.0890424,0.150233,271.6086,128.4013,49.84554,
0,1643460689242,BeamEnd_Target,-4.538219,0.0888356,0.1501291,271.6211,128.7549,49.48973,
0,1643460689343,BeamEnd_Target,-4.538279,0.08882565,0.1500682,271.621,128.7368,49.49252,
0,1643460689475,BeamEnd_Target,-4.538132,0.08874146,0.1503634,271.614,128.8933,49.34956,
0,1643460689575,BeamEnd_Target,-4.538219,0.08900644,0.1500395,271.6111,128.754,49.49389,
0,1643460689676,BeamEnd_Target,-4.538087,0.08883553,0.1500241,271.6021,128.5703,49.67225,
0,1643460689809,BeamEnd_Target,-4.538156,0.08902571,0.1499152,271.5986,128.0665,50.16912,
0,1643460689922,BeamEnd_Target,-4.538121,0.08899642,0.1500838,271.606,128.4598,49.80034,
0,1643460690026,BeamEnd_Target,-4.538279,0.08908959,0.1500053,271.6069,128.6781,49.57504,
0,1643460690142,BeamEnd_Target,-4.538291,0.08873867,0.1501056,271.6061,128.2609,49.97818,
0,1643460690255,BeamEnd_Target,-4.53815,0.08885831,0.1502057,271.6123,128.2061,50.05176,
0,1643460690370,BeamEnd_Target,-4.538326,0.08863664,0.150033,271.6091,128.4141,49.84164,
0,1643460690497,BeamEnd_Target,-4.538137,0.08881667,0.1499448,271.6039,128.6362,49.61808,
0,1643460690598,BeamEnd_Target,-4.538194,0.08891491,0.1500035,271.6174,128.1777,50.05906,
0,1643460690731,BeamEnd_Target,-4.53814,0.08911323,0.1502768,271.6133,128.0494,50.20065,
0,1643460690831,BeamEnd_Target,-4.538144,0.0889469,0.1500115,271.6145,127.9295,50.32931,
0,1643460690970,BeamEnd_Target,-4.538186,0.08889227,0.1503331,271.6141,127.8361,50.41101,
0,1643460691097,BeamEnd_Target,-4.538103,0.08875153,0.1501263,271.6163,128.2813,49.9849,
0,1643460691212,BeamEnd_Target,-4.538173,0.08869258,0.1499193,271.6108,127.9855,50.26865,
0,1643460691327,BeamEnd_Target,-4.53824,0.08883761,0.150129,271.5979,127.7593,50.49704,
0,1643460691445,BeamEnd_Target,-4.538184,0.08889736,0.1501617,271.622,128.0439,50.20272,
0,1643460691546,BeamEnd_Target,-4.538322,0.08871613,0.1500937,271.6005,128.3748,49.87078,
0,1643460691663,BeamEnd_Target,-4.538134,0.0888934,0.1499648,271.6104,128.0605,50.18398,
0,1643460691788,BeamEnd_Target,-4.538226,0.08868368,0.1501623,271.6034,128.5092,49.72728,
0,1643460691893,BeamEnd_Target,-4.538214,0.08891725,0.1499125,271.6041,128.2184,50.01709,
0,1643460692026,BeamEnd_Target,-4.53808,0.08893882,0.1500808,271.6183,128.4293,49.81325,
0,1643460692155,BeamEnd_Target,-4.538117,0.08891714,0.1502662,271.6091,128.4354,49.80011,
0,1643460692255,BeamEnd_Target,-4.538313,0.08893017,0.1500536,271.6036,128.6546,49.57843,
0,1643460692387,BeamEnd_Target,-4.538142,0.08895902,0.1501565,271.6111,128.3833,49.87255,
0,1643460692498,BeamEnd_Target,-4.538308,0.08879787,0.149985,271.6047,128.623,49.61765,
0,1643460692610,BeamEnd_Target,-4.538243,0.08868428,0.1501405,271.6067,128.3098,49.93489,
0,1643460692724,BeamEnd_Target,-4.538122,0.08862019,0.1499593,271.6018,128.0709,50.16864,
0,1643460692840,BeamEnd_Target,-4.538327,0.088914,0.1499275,271.6021,128.1633,50.07889,
0,1643460692960,BeamEnd_Target,-4.538092,0.08881453,0.1499867,271.5988,128.3096,49.9303,
0,1643460693075,BeamEnd_Target,-4.538208,0.08872198,0.150283,271.6102,128.0316,50.19812,
0,1643460693175,BeamEnd_Target,-4.538117,0.0889798,0.149867,271.611,128.6042,49.64141,
0,1643460693309,BeamEnd_Target,-4.538242,0.0887316,0.1502123,271.6156,128.6707,49.57782,
