pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643460688568,LeftFoot_Target,1.598251,-0.01085521,-0.2073618,355.5056,341.6061,356.6177,
0,1643460688667,LeftFoot_Target,1.597824,-0.01090401,-0.2072729,355.4768,341.6,356.6273,
0,1643460688771,LeftFoot_Target,1.597919,-0.01107328,-0.2071151,355.4943,341.5876,356.6391,
0,1643460688890,LeftFoot_Target,1.59776,-0.01097136,-0.2072327,355.4869,341.5927,356.626,
0,1643460689007,LeftFoot_Target,1.597821,-0.011025,-0.2071467,355.4678,341.5492,356.6715,
0,1643460689122,LeftFoot_Target,1.597639,-0.01099946,-0.2072383,355.5111,341.5133,356.7315,
0,1643460689242,LeftFoot_Target,1.597627,-0.01116861,-0.2072729,355.5581,341.5095,356.7622,
0,1643460689343,LeftFoot_Target,1.597861,-0.0109119,-0.2070676,355.5601,341.5142,356.7201,
0,1643460689475,LeftFoot_Target,1.597804,-0.01149034,-0.207316,355.5484,341.4828,356.6844,
0,1643460689575,LeftFoot_Target,1.598059,-0.01123607,-0.2072411,355.5385,341.4761,356.7281,
0,1643460689676,LeftFoot_Target,1.597947,-0.01096971,-0.2073859,355.5373,341.49,356.6808,
0,1643460689809,LeftFoot_Target,1.597976,-0.01127828,-0.2072035,355.5814,341.4677,356.6832,
0,1643460689922,LeftFoot_Target,1.597723,-0.0113739,-0.2071946,355.583,341.4573,356.6837,
0,1643460690026,LeftFoot_Target,1.597743,-0.01113979,-0.2071735,355.5704,341.4302,356.6114,
0,1643460690142,LeftFoot_Target,1.59785,-0.01150457,-0.2071427,355.5738,341.4228,356.5699,
0,1643460690255,LeftFoot_Target,1.597572,-0.01126305,-0.2071708,355.5602,341.442,356.5699,
0,1643460690370,LeftFoot_Target,1.597639,-0.01133785,-0.2071589,355.5317,341.5171,356.5194,
0,1643460690497,LeftFoot_Target,1.597744,-0.01141407,-0.2072422,355.5135,341.5123,356.5191,
0,1643460690598,LeftFoot_Target,1.597769,-0.01122414,-0.2072608,355.4729,341.5302,356.559,
0,1643460690731,LeftFoot_Target,1.59778,-0.01166178,-0.2071799,355.4501,341.5566,356.5358,
0,1643460690831,LeftFoot_Target,1.597811,-0.0111485,-0.2074568,355.4071,341.5656,356.6025,
0,1643460690970,LeftFoot_Target,1.597788,-0.01146312,-0.2072534,355.4064,341.5864,356.6037,
0,1643460691097,LeftFoot_Target,1.597852,-0.0114964,-0.2072385,355.4392,341.6148,356.5309,
0,1643460691212,LeftFoot_Target,1.597849,-0.01106527,-0.2074283,355.4553,341.6053,356.5443,
0,1643460691327,LeftFoot_Target,1.597892,-0.01131303,-0.207112,355.3937,341.6259,356.5327,
0,1643460691445,LeftFoot_Target,1.59802,-0.01114449,-0.2072513,355.36,341.5852,356.4735,
0,1643460691546,LeftFoot_Target,1.598029,-0.01103947,-0.2074121,355.3744,341.5808,356.4785,
0,1643460691663,LeftFoot_Target,1.597852,-0.01135294,-0.2068586,355.4118,341.6039,356.4444,
0,1643460691788,LeftFoot_Target,1.59787,-0.01055124,-0.2076099,355.4051,341.594,356.4462,
0,1643460691893,LeftFoot_Target,1.59789,-0.01085996,-0.2072735,355.4697,341.5887,356.4462,
0,1643460692026,LeftFoot_Target,1.598057,-0.01116141,-0.20701,355.5047,341.5995,356.407,
0,1643460692155,LeftFoot_Target,1.597951,-0.01056155,-0.207131,355.5406,341.6481,356.3408,
0,1643460692255,LeftFoot_Target,1.598019,-0.01063659,-0.2072205,355.5327,341.6536,356.3174,
0,1643460692387,LeftFoot_Target,1.598079,-0.01084751,-0.2070272,355.5381,341.6699,356.2531,
0,1643460692498,LeftFoot_Target,1.597947,-0.01062873,-0.2071135,355.5285,341.6745,356.2588,
0,1643460692610,LeftFoot_Target,1.598008,-0.01165861,-0.2065319,355.5554,341.6794,356.2102,
0,1643460692724,LeftFoot_Target,1.598102,-0.01036133,-0.2069145,355.5897,341.6744,356.1557,
0,1643460692840,LeftFoot_Target,1.598412,-0.01093523,-0.207143,355.4406,341.6902,356.0956,
0,1643460692960,LeftFoot_Target,1.598081,-0.01033653,-0.2072278,355.4563,341.6896,356.1777,
0,1643460693075,LeftFoot_Target,1.59808,-0.01134828,-0.2068013,355.5669,341.7076,356.218,
0,1643460693175,LeftFoot_Target,1.598006,-0.01071864,-0.2069584,355.6628,341.6747,356.131,
0,1643460693309,LeftFoot_Target,1.598141,-0.01095944,-0.2066632,355.6837,341.6978,356.1851,
0,1643460693442,LeftFoot_Target,1.598058,-0.0102594,-0.2069878,355.6204,341.6923,356.1031,
0,1643460693543,LeftFoot_Target,1.598156,-0.01109712,-0.2064441,355.6329,341.6699,356.1094,
0,1643460693676,LeftFoot_Target,1.598177,-0.01001529,-0.2071987,355.6343,341.6634,356.0812,
0,1643460693788,LeftFoot_Target,1.598211,-0.01048866,-0.2071071,355.6192,341.6565,356.0323,
0,1643460693908,LeftFoot_Target,1.597974,-0.01101526,-0.2071502,355.6986,341.4772,356.2318,
0,1643460694032,LeftFoot_Target,1.597909,-0.01058927,-0.2069131,355.7627,341.5038,356.2862,
0,1643460694148,LeftFoot_Target,1.597955,-0.01031975,-0.2071641,355.7678,341.5297,356.3102,
0,1643460694263,LeftFoot_Target,1.597945,-0.01104369,-0.2069532,355.7534,341.5252,356.4185,
0,1643460694365,LeftFoot_Target,1.597928,-0.01052793,-0.2071574,355.7841,341.5345,356.3705,
0,1643460694498,LeftFoot_Target,1.59789,-0.01098501,-0.2069489,355.7943,341.5554,356.3603,
0,1643460694632,LeftFoot_Target,1.598108,-0.01089567,-0.2070011,355.7677,341.6008,356.321,
0,1643460694766,LeftFoot_Target,1.597931,-0.01054602,-0.2071562,355.8057,341.6371,356.2766,
0,1643460694866,LeftFoot_Target,1.598046,-0.0106139,-0.2070693,355.689,341.6878,356.1758,
0,1643460694967,LeftFoot_Target,1.598037,-0.01099968,-0.2072313,355.6084,341.6884,356.1634,
0,1643460695087,LeftFoot_Target,1.598075,-0.01105661,-0.2071681,355.505,341.6572,356.326,
0,1643460695203,LeftFoot_Target,1.597953,-0.01102003,-0.2074053,355.522,341.6369,356.3062,
0,1643460695317,LeftFoot_Target,1.598098,-0.01107018,-0.2071174,355.551,341.6432,356.333,
0,1643460695436,LeftFoot_Target,1.598003,-0.01087904,-0.2073894,355.495,341.6407,356.2807,
0,1643460695551,LeftFoot_Target,1.597904,-0.01100063,-0.2073546,355.4567,341.6042,356.3718,
0,1643460695653,LeftFoot_Target,1.598023,-0.01049516,-0.2076691,355.4648,341.6203,356.3997,
0,1643460695786,LeftFoot_Target,1.598014,-0.011046,-0.2072444,355.552,341.6506,356.3594,
0,1643460695919,LeftFoot_Target,1.598059,-0.01005573,-0.2075285,355.6235,341.5991,356.3572,
0,1643460696052,LeftFoot_Target,1.597961,-0.01129065,-0.2068841,355.6487,341.6225,356.3581,
0,1643460696153,LeftFoot_Target,1.598116,-0.01149035,-0.2066563,355.6683,341.6004,356.3583,
0,1643460696253,LeftFoot_Target,1.597847,-0.01189283,-0.2063174,355.6642,341.6326,356.3319,
0,1643460696386,LeftFoot_Target,1.598104,-0.01021298,-0.2072998,355.6433,341.6628,356.2625,
0,1643460696486,LeftFoot_Target,1.598135,-0.009972893,-0.2073981,355.6393,341.6765,356.2461,
0,1643460696604,LeftFoot_Target,1.598033,-0.01214285,-0.2061559,355.6762,341.6764,356.2641,
0,1643460696719,LeftFoot_Target,1.597977,-0.01319872,-0.2055658,355.6685,341.6563,356.31,
0,1643460696834,LeftFoot_Target,1.598076,-0.01039744,-0.2071501,355.652,341.6472,356.3458,
0,1643460696950,LeftFoot_Target,1.597779,-0.0114575,-0.2066709,355.685,341.6639,356.4059,
0,1643460697076,LeftFoot_Target,1.598018,-0.01107106,-0.2069053,355.7393,341.6612,356.3957,
0,1643460697209,LeftFoot_Target,1.598005,-0.01170947,-0.2066148,355.6131,341.7092,356.3245,
0,1643460697343,LeftFoot_Target,1.598142,-0.01086415,-0.2070687,355.5437,341.6733,356.3557,
0,1643460697443,LeftFoot_Target,1.598171,-0.009759411,-0.2076837,355.5384,341.6756,356.3265,
0,1643460697576,LeftFoot_Target,1.598116,-0.01114853,-0.2069219,355.5982,341.6569,356.3317,
0,1643460697676,LeftFoot_Target,1.598029,-0.01034795,-0.2072342,355.5933,341.6742,356.4147,
0,1643460697791,LeftFoot_Target,1.597973,-0.01129366,-0.2069354,355.5561,341.6529,356.4814,
0,1643460697906,LeftFoot_Target,1.598031,-0.01022032,-0.2072605,355.454,341.6281,356.4565,
0,1643460698024,LeftFoot_Target,1.598193,-0.01094705,-0.2071579,355.4301,341.6759,356.4676,
0,1643460698125,LeftFoot_Target,1.598164,-0.01169825,-0.2070878,355.4262,341.696,356.5049,
0,1643460698240,LeftFoot_Target,1.598035,-0.01167496,-0.2066028,355.3818,341.7007,356.5319,
0,1643460698365,LeftFoot_Target,1.598375,-0.009106264,-0.2081441,355.3416,341.6875,356.4664,
0,1643460698466,LeftFoot_Target,1.598072,-0.01080685,-0.2071341,355.3283,341.6855,356.5282,
0,1643460698598,LeftFoot_Target,1.598205,-0.01048906,-0.2073101,355.2765,341.703,356.603,
0,1643460698699,LeftFoot_Target,1.59842,-0.009536609,-0.2082951,355.1478,341.7271,356.6282,
0,1643460698832,LeftFoot_Target,1.598444,-0.01051346,-0.207641,355.0653,341.7897,356.7167,
0,1643460698942,LeftFoot_Target,1.598293,-0.0115472,-0.2072849,355.0124,341.8259,356.7814,
0,1643460699046,LeftFoot_Target,1.598495,-0.01196164,-0.20727,354.9065,341.8976,356.7555,
0,1643460699160,LeftFoot_Target,1.598588,-0.01061624,-0.208059,354.8378,341.9197,356.7806,
0,1643460699275,LeftFoot_Target,1.598685,-0.008784972,-0.2092023,354.7928,341.9171,356.7652,
0,1643460699390,LeftFoot_Target,1.598559,-0.009959225,-0.2085357,354.8671,341.9175,356.7559,
0,1643460699502,LeftFoot_Target,1.598612,-0.0106153,-0.2081975,354.8344,341.918,356.7104,
0,1643460699620,LeftFoot_Target,1.598655,-0.01007649,-0.2085517,354.8416,341.9226,356.6737,
0,1643460699742,LeftFoot_Target,1.598645,-0.01064783,-0.2080405,354.8637,341.9245,356.7028,
0,1643460699843,LeftFoot_Target,1.598659,-0.01064559,-0.2081266,354.8692,341.9394,356.6757,
0,1643460699975,LeftFoot_Target,1.598481,-0.01107042,-0.2078282,354.8543,341.9375,356.663,
0,1643460700076,LeftFoot_Target,1.598561,-0.01058289,-0.2080998,354.8386,341.9348,356.7245,
0,1643460700210,LeftFoot_Target,1.59872,-0.01071942,-0.2080228,354.85,341.904,356.7803,
0,1643460700343,LeftFoot_Target,1.598515,-0.01088149,-0.2078434,354.8826,341.9006,356.8114,
0,1643460700456,LeftFoot_Target,1.598495,-0.01047327,-0.2080606,354.9104,341.8904,356.7522,
0,1643460700558,LeftFoot_Target,1.59859,-0.01054332,-0.2079405,354.9543,341.9001,356.7169,
0,1643460700673,LeftFoot_Target,1.598606,-0.01059113,-0.2078331,354.9957,341.9337,356.615,
0,1643460700789,LeftFoot_Target,1.598779,-0.009917818,-0.2080802,355.0435,341.9283,356.5007,
0,1643460700902,LeftFoot_Target,1.598699,-0.01010051,-0.2077572,355.0213,341.9445,356.4461,
0,1643460701031,LeftFoot_Target,1.598841,-0.009113621,-0.208256,355.0353,341.9675,356.3356,
0,1643460701164,LeftFoot_Target,1.598798,-0.01015272,-0.207897,355.0418,341.9548,356.3035,
0,1643460701264,LeftFoot_Target,1.598829,-0.009486891,-0.2080137,355.0215,341.9702,356.2537,
0,1643460701364,LeftFoot_Target,1.598755,-0.009496033,-0.207938,355.0423,341.9773,356.2271,
0,1643460701498,LeftFoot_Target,1.598772,-0.009713531,-0.2078673,355.1325,341.9705,356.1245,
0,1643460701632,LeftFoot_Target,1.598731,-0.009828266,-0.2077447,355.1721,341.9729,356.0349,
0,1643460701748,LeftFoot_Target,1.598826,-0.009308323,-0.2080638,355.2254,341.9571,356.0307,
0,1643460701848,LeftFoot_Target,1.598766,-0.009594664,-0.2078231,355.2325,341.9513,356.0328,
0,1643460701965,LeftFoot_Target,1.598665,-0.009970453,-0.2076142,355.2242,341.9578,355.9769,
0,1643460702087,LeftFoot_Target,1.598735,-0.009851836,-0.2078548,355.2557,341.9248,356.0865,
0,1643460702190,LeftFoot_Target,1.59844,-0.01009383,-0.2077294,355.2377,341.9081,356.0942,
0,1643460702322,LeftFoot_Target,1.598511,-0.01003412,-0.207823,355.2626,341.8854,356.1903,
0,1643460702454,LeftFoot_Target,1.598441,-0.01068825,-0.2075345,355.2299,341.8582,356.2331,
0,1643460702587,LeftFoot_Target,1.598453,-0.01106068,-0.2075566,355.2411,341.8446,356.2752,
0,1643460702688,LeftFoot_Target,1.598342,-0.01127192,-0.2074626,355.2893,341.8392,356.2502,
0,1643460702821,LeftFoot_Target,1.598243,-0.01169052,-0.2070414,355.3864,341.857,356.2821,
0,1643460702954,LeftFoot_Target,1.598245,-0.01137017,-0.2072446,355.394,341.8308,356.3081,
0,1643460703056,LeftFoot_Target,1.598207,-0.01257798,-0.2065509,355.4377,341.8322,356.2999,
0,1643460703176,LeftFoot_Target,1.598414,-0.01153501,-0.2069134,355.6823,341.7697,356.3387,
0,1643460703290,LeftFoot_Target,1.598078,-0.01094932,-0.2063597,355.8313,341.6746,356.2182,
0,1643460703402,LeftFoot_Target,1.598072,-0.0101104,-0.2061718,356.0308,341.5709,356.1022,
0,1643460703517,LeftFoot_Target,1.597922,-0.009978369,-0.2061837,356.1056,341.5969,356.085,
0,1643460703642,LeftFoot_Target,1.598266,-0.01010637,-0.2057674,356.274,341.6946,355.7679,
0,1643460703776,LeftFoot_Target,1.598243,-0.01036441,-0.2059075,356.3081,341.7444,355.4677,
0,1643460703909,LeftFoot_Target,1.598327,-0.01006896,-0.2059064,356.181,341.8627,355.1888,
0,1643460704010,LeftFoot_Target,1.598857,-0.009282105,-0.2067171,355.9882,342.0578,354.8474,
0,1643460704143,LeftFoot_Target,1.599168,-0.009904437,-0.2069597,355.8414,342.4611,354.4857,
0,1643460704276,LeftFoot_Target,1.599156,-0.01027982,-0.2071693,355.8516,342.4293,354.8354,
0,1643460704393,LeftFoot_Target,1.599048,-0.01044411,-0.2071026,356.0531,342.3594,354.889,
0,1643460704508,LeftFoot_Target,1.598913,-0.01098606,-0.2066005,355.7904,342.3793,354.7887,
0,1643460704629,LeftFoot_Target,1.598485,-0.01009005,-0.205989,355.9687,341.959,355.5668,
0,1643460704734,LeftFoot_Target,1.597722,-0.01033527,-0.2048157,356.2187,341.4185,356.1118,
0,1643460704848,LeftFoot_Target,1.595767,-0.006211296,-0.2006873,0.2893447,339.9401,357.639,
0,1643460704954,LeftFoot_Target,1.584417,0.004078392,-0.1471188,359.4307,342.0584,357.6416,
0,1643460705055,LeftFoot_Target,1.556609,-0.007549964,-0.06569412,347.1713,346.1925,355.9515,
0,1643460705187,LeftFoot_Target,1.566338,-0.01400807,-0.08660474,356.3819,345.695,356.5497,
0,1643460705325,LeftFoot_Target,1.567211,-0.009556897,-0.08988061,356.4108,345.8919,356.2579,
0,1643460705457,LeftFoot_Target,1.567404,-0.009851865,-0.08973526,356.6343,345.8367,356.328,
