pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643460688568,LeftHand_Target,1.515821,1.109607,-0.2717936,18.80429,358.2489,0.4737144,
0,1643460688667,LeftHand_Target,1.512462,1.095372,-0.2619955,20.08529,358.3694,0.4745045,
0,1643460688771,LeftHand_Target,1.511064,1.097559,-0.2619188,18.84796,359.0378,1.80184,
0,1643460688890,LeftHand_Target,1.51028,1.101831,-0.2635802,19.1246,358.7609,0.4204321,
0,1643460689007,LeftHand_Target,1.510282,1.101532,-0.2651332,18.99797,358.9614,1.154796,
0,1643460689122,LeftHand_Target,1.507957,1.09832,-0.2638181,18.42094,359.1575,2.122259,
0,1643460689242,LeftHand_Target,1.50476,1.10043,-0.2632495,18.74184,359.3345,1.42106,
0,1643460689343,LeftHand_Target,1.502883,1.102101,-0.2625825,18.81852,359.6496,1.265404,
0,1643460689475,LeftHand_Target,1.500832,1.103109,-0.2629519,19.02889,359.6568,0.7108119,
0,1643460689575,LeftHand_Target,1.500617,1.102311,-0.2629957,19.02001,358.9715,1.029619,
0,1643460689676,LeftHand_Target,1.496908,1.105892,-0.265575,20.04759,359.2095,358.8447,
0,1643460689809,LeftHand_Target,1.483419,1.14573,-0.2671418,17.47498,359.7687,342.6037,
0,1643460689922,LeftHand_Target,1.471048,1.221515,-0.2679473,25.09775,350.948,315.0127,
0,1643460690026,LeftHand_Target,1.482063,1.284943,-0.2731159,25.06962,334.4758,292.5255,
0,1643460690142,LeftHand_Target,1.501455,1.335302,-0.2807097,18.81345,320.8488,274.2472,
0,1643460690255,LeftHand_Target,1.512933,1.382843,-0.2831402,11.68084,305.1508,257.7933,
0,1643460690370,LeftHand_Target,1.516735,1.413065,-0.2785599,9.844278,297.6166,248.3555,
0,1643460690497,LeftHand_Target,1.522376,1.422472,-0.2649829,9.301965,293.6917,238.7693,
0,1643460690598,LeftHand_Target,1.519707,1.418326,-0.2654601,10.91422,293.6788,246.2978,
0,1643460690731,LeftHand_Target,1.516043,1.426274,-0.2668605,8.893534,292.7418,240.8017,
0,1643460690831,LeftHand_Target,1.51809,1.431172,-0.2702225,9.15738,288.3589,238.3209,
0,1643460690970,LeftHand_Target,1.532715,1.427188,-0.2766099,6.853278,278.1919,239.2206,
0,1643460691097,LeftHand_Target,1.545621,1.41306,-0.2795981,5.344972,291.3646,243.7055,
0,1643460691212,LeftHand_Target,1.560295,1.418385,-0.2722594,1.678698,288.8914,237.77,
0,1643460691327,LeftHand_Target,1.571086,1.421502,-0.2610624,0.908279,286.1596,232.8968,
0,1643460691445,LeftHand_Target,1.57253,1.416941,-0.2590729,0.4557816,282.8283,234.179,
0,1643460691546,LeftHand_Target,1.57442,1.420593,-0.256349,1.968002,282.8189,232.0711,
0,1643460691663,LeftHand_Target,1.574092,1.420765,-0.2503832,0.402421,281.7615,232.7495,
0,1643460691788,LeftHand_Target,1.576229,1.421955,-0.2470672,1.730039,283.9932,232.3716,
0,1643460691893,LeftHand_Target,1.578506,1.421334,-0.246929,1.117934,283.6782,231.6709,
0,1643460692026,LeftHand_Target,1.577049,1.424442,-0.2420889,0.1802729,284.3149,234.2494,
0,1643460692155,LeftHand_Target,1.579556,1.420087,-0.2421079,1.478137,285.2002,232.6768,
0,1643460692255,LeftHand_Target,1.579478,1.418654,-0.2448765,1.292176,285.3036,234.1588,
0,1643460692387,LeftHand_Target,1.580712,1.415036,-0.2539647,1.30556,281.0518,237.4701,
0,1643460692498,LeftHand_Target,1.579302,1.414967,-0.2527897,2.22678,281.5107,235.7475,
0,1643460692610,LeftHand_Target,1.580392,1.41383,-0.2490895,358.1198,276.743,236.3466,
0,1643460692724,LeftHand_Target,1.579329,1.413341,-0.2506929,358.8484,280.1617,236.2311,
0,1643460692840,LeftHand_Target,1.582052,1.413497,-0.2568197,356.732,279.4434,237.9332,
0,1643460692960,LeftHand_Target,1.574255,1.421976,-0.2512524,355.9904,277.6404,236.5777,
0,1643460693075,LeftHand_Target,1.570139,1.42165,-0.2472946,351.8247,272.3228,236.5018,
0,1643460693175,LeftHand_Target,1.560846,1.424765,-0.2413142,351.961,275.8279,235.7356,
0,1643460693309,LeftHand_Target,1.56044,1.428963,-0.2394677,351.0968,276.438,236.14,
0,1643460693442,LeftHand_Target,1.559191,1.423674,-0.2419278,350.2091,278.5706,237.5767,
0,1643460693543,LeftHand_Target,1.56035,1.426774,-0.2423864,351.0836,279.5594,236.9614,
0,1643460693676,LeftHand_Target,1.559798,1.425671,-0.2445364,349.6768,277.7829,237.7722,
0,1643460693788,LeftHand_Target,1.553637,1.424639,-0.2439935,349.3145,277.8377,238.4532,
0,1643460693908,LeftHand_Target,1.542834,1.422185,-0.239007,348.0022,278.9907,239.399,
0,1643460694032,LeftHand_Target,1.537221,1.420553,-0.2335142,346.4779,280.3604,241.6996,
0,1643460694148,LeftHand_Target,1.52971,1.417686,-0.2269181,344.1195,280.1613,243.5135,
0,1643460694263,LeftHand_Target,1.528536,1.420743,-0.2287124,345.6588,280.764,242.406,
0,1643460694365,LeftHand_Target,1.530486,1.420241,-0.2338166,346.1788,280.3089,240.5563,
0,1643460694498,LeftHand_Target,1.534499,1.41849,-0.2371694,346.155,278.3826,241.8165,
0,1643460694632,LeftHand_Target,1.542657,1.412626,-0.2440478,344.1903,277.7933,245.7135,
0,1643460694766,LeftHand_Target,1.556593,1.412257,-0.2486027,344.3217,276.6569,242.3145,
0,1643460694866,LeftHand_Target,1.561903,1.412657,-0.251168,346.9553,273.774,238.4893,
0,1643460694967,LeftHand_Target,1.564033,1.417566,-0.2496148,349.0212,270.4109,235.5673,
0,1643460695087,LeftHand_Target,1.56666,1.41802,-0.2451728,347.0586,265.5984,237.0676,
0,1643460695203,LeftHand_Target,1.566787,1.423557,-0.243336,345.5711,264.1564,238.6308,
0,1643460695317,LeftHand_Target,1.56816,1.425436,-0.2446005,346.5624,267.3071,235.7701,
0,1643460695436,LeftHand_Target,1.568236,1.425932,-0.2482196,348.503,267.7711,233.9751,
0,1643460695551,LeftHand_Target,1.569788,1.424471,-0.254135,347.9539,266.597,235.1322,
