pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643460688568,RightFoot_Target,1.529448,-0.006629579,-0.001659535,1.059442,347.1289,354.156,
0,1643460688667,RightFoot_Target,1.52932,-0.006624058,-0.001464434,1.009547,347.1519,354.1639,
0,1643460688771,RightFoot_Target,1.52897,-0.006636254,-0.001480127,1.040936,347.1678,354.1387,
0,1643460688890,RightFoot_Target,1.529429,-0.006569505,-0.001471017,1.029849,347.1845,354.1478,
0,1643460689007,RightFoot_Target,1.529122,-0.006724637,-0.001597036,1.054774,347.2261,354.2772,
0,1643460689122,RightFoot_Target,1.5293,-0.007153857,-0.001450619,1.203924,347.2496,354.4188,
0,1643460689242,RightFoot_Target,1.529849,-0.007347118,-0.001348201,1.243811,347.2512,354.5035,
0,1643460689343,RightFoot_Target,1.528726,-0.007218126,-0.001230728,1.285762,347.2231,354.5186,
0,1643460689475,RightFoot_Target,1.529474,-0.007268764,-0.001469035,1.163678,347.2312,354.4878,
0,1643460689575,RightFoot_Target,1.529069,-0.006865904,-0.001252629,1.081368,347.2278,354.4754,
0,1643460689676,RightFoot_Target,1.528969,-0.00722032,-0.001336973,1.117764,347.2071,354.4174,
0,1643460689809,RightFoot_Target,1.528955,-0.007151134,-0.001242949,1.178245,347.1697,354.4808,
0,1643460689922,RightFoot_Target,1.529176,-0.007142194,-0.001125701,1.079969,347.1585,354.4599,
0,1643460690026,RightFoot_Target,1.528825,-0.007807501,-0.001446266,1.04176,347.114,354.4542,
0,1643460690142,RightFoot_Target,1.529041,-0.007562716,-0.001211271,1.021618,347.096,354.4412,
0,1643460690255,RightFoot_Target,1.52911,-0.006903924,-0.0008507688,0.9802482,347.1044,354.3925,
0,1643460690370,RightFoot_Target,1.528938,-0.007334724,-0.001266481,0.9541726,347.1053,354.3006,
0,1643460690497,RightFoot_Target,1.528672,-0.007226646,-0.00116737,0.8933936,347.1284,354.2758,
0,1643460690598,RightFoot_Target,1.529119,-0.007057194,-0.001188017,0.8703542,347.1298,354.2283,
