unixTime,lslTime,ECG
1643461161533,15346.7721623,725
1643461161533,15346.7721653,460
1643461161533,15346.7721683,-47
1643461161533,15346.7721712,-182
1643461161533,15346.7721741,-9
1643461161533,15346.772177,-7
1643461161533,15346.7721798,-70
1643461161533,15346.7721827,-28
1643461161533,15346.7721857,-11
1643461161533,15346.7721886,-30
1643461161561,15346.7721915,-14
1643461161561,15346.7721943,2
1643461161561,15346.7721972,-2
1643461161561,15346.772229,0
1643461161561,15346.7722484,11
1643461161561,15346.7722528,16
1643461161561,15346.7722557,16
1643461161561,15346.7722586,21
1643461161561,15346.7722613,30
1643461161561,15346.7722641,37
1643461161590,15346.7722669,42
1643461161590,15346.7722698,44
1643461161590,15346.7722726,59
1643461161590,15346.7722754,73
1643461161590,15346.7723137,78
1643461161590,15346.7728783,92
1643461161590,15346.7728859,111
1643461161590,15346.7729935,120
1643461161590,15346.7729993,127
1643461161590,15346.7730026,144
1643461161617,15346.7730066,153
1643461161617,15346.7730099,156
1643461161617,15346.7730141,153
1643461161617,15346.7730172,148
1643461161617,15346.7730203,139
1643461161617,15346.7730233,127
1643461161617,15346.7730263,99
1643461161617,15346.7730294,66
1643461161617,15346.7730325,37
1643461161617,15346.7730355,9
1643461161659,15346.7730386,-14
1643461161659,15346.7730416,-23
1643461161659,15346.7730446,-23
1643461161659,15346.7730475,-26
1643461161659,15346.7730505,-37
1643461161659,15346.7730536,-37
1643461161659,15346.7730566,-33
1643461161659,15346.7730596,-28
1643461161659,15346.7730625,-21
1643461161659,15346.7730656,-21
1643461161684,15346.7730686,-26
1643461161684,15346.7730717,-21
1643461161684,15346.7730746,-14
1643461161684,15346.7730778,-4
1643461161684,15346.7730819,2
1643461161684,15346.7730849,-2
1643461161684,15346.773088,-9
1643461161684,15346.773091,-2
1643461161684,15346.773094,4
1643461161684,15346.773097,0
1643461161715,15346.7731001,2
1643461161715,15346.773103,11
1643461161715,15347.4689984,14
1643461161715,15347.46901,11
1643461161715,15347.4690134,9
1643461161715,15347.4690162,4
1643461161715,15347.4690192,4
1643461161715,15347.4690239,9
1643461161715,15347.4690303,2
1643461161715,15347.4690335,0
1643461161759,15347.4690384,7
1643461161759,15347.4690416,-2
1643461161759,15347.4690465,-26
1643461161759,15347.4690496,-35
1643461161916,15347.4690545,-26
1643461161916,15347.4690575,-26
1643461161916,15347.4690604,-30
1643461161916,15347.4690632,-18
1643461161916,15347.4690661,-2
1643461161916,15347.4690689,-2
1643461161916,15347.4690717,-2
1643461161916,15347.4690745,9
1643461161916,15347.4690773,9
1643461161916,15347.4690801,-11
1643461161952,15347.4690829,-16
1643461161952,15347.4690857,0
1643461161952,15347.4690885,4
1643461161952,15347.4690915,-2
1643461161952,15347.4690944,2
1643461161952,15347.4690971,11
1643461161952,15347.4690999,4
1643461161952,15347.4691027,-35
1643461161952,15347.4691055,-82
1643461161952,15347.4691083,-14
1643461161982,15347.4691111,255
1643461161982,15347.469114,579
1643461161982,15347.4691168,683
1643461161982,15347.4691196,378
1643461161982,15347.4691225,-73
1643461161982,15347.4691253,-120
1643461161982,15347.469128,37
1643461161982,15347.4691308,2
1643461161982,15347.469134,-40
1643461161982,15347.469137,11
1643461162016,15347.46914,11
1643461162016,15347.469143,-4
1643461162016,15347.4691459,21
1643461162016,15347.4691489,33
1643461162016,15347.4691522,18
1643461162016,15347.4691576,7
1643461162016,15347.4691605,16
1643461162016,15347.4691634,26
1643461162016,15347.4691661,26
1643461162016,15347.469169,28
1643461162049,15347.4691718,40
1643461162049,15347.4691746,40
1643461162049,15347.4691774,42
1643461162049,15347.4691802,52
1643461162049,15347.469183,63
1643461162049,15347.4691858,68
1643461162049,15347.4691885,78
1643461162049,15347.4691913,92
1643461162049,15347.469194,104
1643461162049,15347.4691968,115
1643461162082,15347.4692002,127
1643461162082,15347.4692032,137
1643461162082,15347.469206,141
1643461162082,15347.4692088,141
1643461162082,15347.4692116,141
1643461162082,15347.4692144,146
1643461162082,15347.4692171,137
1643461162082,15347.4692199,118
1643461162082,15347.4692227,92
1643461162082,15347.4692255,59
1643461162116,15347.4692283,30
1643461162116,15347.8723722,9
1643461162116,15347.8724153,-2
1643461162116,15347.87242,-16
1643461162116,15347.8724231,-30
1643461162116,15347.8724262,-30
1643461162116,15347.8724291,-23
1643461162116,15347.872432,-23
1643461162116,15347.8724349,-18
1643461162116,15347.8724423,-11
1643461162149,15347.8726154,-11
1643461162149,15347.8726214,-16
1643461162149,15347.872636,-7
1643461162149,15347.8726396,0
1643461162516,15347.8726425,0
1643461162516,15347.8726454,2
1643461162516,15347.8726483,2
1643461162516,15347.8726512,-2
1643461162516,15347.8726541,7
1643461162516,15347.872657,11
1643461162516,15347.8726785,9
1643461162516,15347.8726834,11
1643461162516,15347.8726864,2
1643461162516,15347.8726894,-18
1643461162547,15347.8726923,-18
1643461162547,15347.8726953,-7
1643461162547,15347.8726982,-11
1643461162547,15347.8727011,-14
1643461162547,15347.8727039,-14
1643461162547,15347.8727068,-28
1643461162547,15347.8727097,-40
1643461162547,15347.8727126,-33
1643461162547,15347.8727155,-26
1643461162547,15347.8727185,-28
1643461162571,15347.8727214,-23
1643461162571,15347.8727243,-16
1643461162571,15347.8727271,-14
1643461162571,15347.87273,-11
1643461162571,15347.8727329,-7
1643461162571,15347.8727358,0
1643461162571,15347.8728689,-2
1643461162571,15347.8728745,-16
1643461162571,15347.8728779,-26
1643461162571,15347.8728808,-9
1643461162592,15347.8728837,4
1643461162592,15347.8728878,11
1643461162592,15347.8728916,21
1643461162592,15347.8728961,30
1643461162592,15347.872899,18
1643461162592,15347.8729205,2
1643461162592,15347.8729278,2
1643461162592,15347.8729323,11
1643461162592,15347.8729356,14
1643461162592,15347.8729396,16
1643461162639,15347.8729428,16
1643461162639,15347.872948,16
1643461162639,15347.8729518,16
1643461162639,15347.872955,-14
1643461162639,15347.872959,-70
1643461162639,15347.8729621,-26
1643461162639,15347.872966,222
1643461162639,15347.8729692,541
1643461162639,15347.872973,673
1643461162639,15347.8729762,413
1643461162661,15347.8729801,-42
1643461162661,15347.8729831,-134
1643461162661,15347.872987,28
1643461162661,15347.8729902,18
1643461162661,15347.8729941,-40
1643461162661,15347.8729973,2
1643461162661,15347.8730018,18
1643461162661,15347.8730049,-2
1643461162661,15347.8730089,7
1643461162661,15347.8730121,18
1643461162685,15348.471705,14
1643461162685,15348.4717174,16
1643461162685,15348.4717215,26
1643461162685,15348.4717267,28
1643461162685,15348.4717306,30
1643461162685,15348.4717354,40
1643461162685,15348.4717383,44
1643461162685,15348.471741,26
1643461162685,15348.4717438,9
1643461162685,15348.4717466,21
1643461162711,15348.4717494,40
1643461162711,15348.4717521,42
1643461162711,15348.4717549,52
1643461162711,15348.4717576,70
1643461163172,15348.4717603,80
1643461163172,15348.4717663,89
1643461163172,15348.4717693,104
1643461163172,15348.471772,115
1643461163172,15348.4718112,125
1643461163172,15348.4718538,127
1643461163172,15348.4718588,125
1643461163172,15348.4718621,120
1643461163172,15348.4718649,120
1643461163172,15348.4718678,111
1643461163198,15348.4718706,82
1643461163198,15348.4718734,47
1643461163198,15348.4718761,21
1643461163198,15348.471879,-7
1643461163198,15348.4718818,-35
1643461163198,15348.4718846,-52
1643461163198,15348.4718873,-54
1643461163198,15348.4718911,-59
1643461163198,15348.4718938,-70
1643461163198,15348.4718966,-78
1643461163222,15348.4718994,-73
1643461163222,15348.4719021,-63
1643461163222,15348.4719049,-61
1643461163222,15348.4719077,-56
1643461163222,15348.4719104,-47
1643461163222,15348.4719131,-44
1643461163222,15348.4719159,-42
1643461163222,15348.4719186,-35
1643461163222,15348.4719218,-33
1643461163222,15348.4719245,-30
1643461163257,15348.4719273,-28
1643461163257,15348.47193,-33
1643461163257,15348.4719338,-37
1643461163257,15348.4719365,-35
1643461163257,15348.4719393,-35
1643461163257,15348.471942,-37
1643461163257,15348.4719447,-30
1643461163257,15348.4719475,-26
1643461163257,15348.4719502,-35
1643461163257,15348.471953,-37
1643461163282,15348.4719557,-23
1643461163282,15348.4719584,-11
1643461163282,15348.4719612,-18
1643461163282,15348.471964,-26
1643461163282,15348.4719667,-21
1643461163282,15348.4719698,-7
1643461163282,15348.4719724,-2
1643461163282,15348.4719752,-16
1643461163282,15348.4719779,-26
1643461163282,15348.4719807,-21
1643461163315,15348.4719834,-14
1643461163315,15348.4719861,-9
1643461163315,15348.4719889,-11
1643461163315,15348.4719916,-4
1643461163315,15348.4719944,0
1643461163315,15348.4719971,-4
1643461163315,15348.4719998,-9
1643461163315,15348.4720025,-9
1643461163315,15348.4720053,-2
1643461163315,15349.1167701,2
1643461163348,15349.1167821,7
1643461163348,15349.1167869,23
1643461163348,15349.1167915,35
1643461163348,15349.1167945,23
1643461163348,15349.1167975,7
1643461163348,15349.1168006,11
1643461163348,15349.1168049,18
1643461163348,15349.1168081,11
