unixTime,lslTime,EDA
1643461161489,15347.1389802,10.4
1643461161489,15347.1389839,10.4
1643461161489,15347.1389878,10.4
1643461161489,15347.3205099,10.4
1643461161489,15347.3205188,10.4
1643461161489,15347.3205228,10.4
1643461161489,15347.3207134,10.4
1643461161489,15347.3207197,10.4
1643461161489,15347.3207238,10.4
1643461161489,15347.3207262,10.4
1643461161536,15347.3207296,10.4
1643461161536,15347.3207318,10.4
1643461161536,15347.3207354,10.4
1643461161536,15347.3207401,10.4
1643461161536,15347.3207464,10.4
1643461161536,15347.3207508,10.4
1643461161536,15347.3207545,10.4
1643461161536,15347.3207585,10.4
1643461161536,15347.4526201,10.4
1643461161536,15347.4526292,10.4
1643461161561,15347.4526335,10.4
1643461161561,15347.4526371,10.4
1643461161561,15347.4526406,10.4
1643461161561,15347.4526438,10.4
1643461161561,15347.4526468,10.4
1643461161561,15347.4526596,10.4
1643461161561,15347.4527515,10.4
1643461161561,15347.4527738,10.4
1643461161561,15347.4528662,10.4
1643461161561,15347.4528702,10.4
1643461161590,15347.4528724,10.4
1643461161590,15347.4528744,10.4
1643461161952,15347.4528763,10.4
1643461161952,15347.6054733,10.4
1643461161952,15347.6056655,10.4
1643461161952,15347.6056714,10.4
1643461161952,15347.6056755,10.4
1643461161952,15347.6056786,10.4
1643461161952,15347.6056825,10.4
1643461161952,15347.6057133,10.4
1643461161952,15347.6057198,10.4
1643461161952,15347.6057227,10.4
1643461161982,15347.605725,10.4
1643461161982,15347.6057279,10.4
1643461161982,15347.6057309,10.4
1643461161982,15347.6057338,10.38
1643461161982,15347.6058168,10.38
1643461161982,15347.6059726,10.4
1643461161982,15347.7550146,10.38
1643461161982,15347.7550245,10.38
1643461161982,15347.7550287,10.38
1643461161982,15347.755209,10.38
1643461162016,15347.7552144,10.38
1643461162016,15347.7552305,10.38
1643461162016,15347.7552372,10.38
1643461162016,15347.7552413,10.38
1643461162016,15347.7552438,10.38
1643461162016,15347.7552474,10.38
1643461162016,15347.7552497,10.38
1643461162016,15347.7552517,10.38
1643461162016,15347.7552562,10.38
1643461162016,15347.7553294,10.38
1643461162050,15347.7553365,10.38
1643461162050,15347.8934315,10.38
1643461162249,15347.8936272,10.38
1643461162249,15347.8936331,10.38
1643461162249,15347.8936373,10.38
1643461162249,15347.8936405,10.4
1643461162249,15347.8936447,10.38
1643461162249,15347.8936486,10.38
1643461162249,15347.8936523,10.4
1643461162249,15347.8936823,10.4
1643461162249,15347.8936976,10.4
1643461162249,15347.8937129,10.4
1643461162281,15347.8937182,10.4
1643461162281,15347.8937223,10.4
1643461162281,15347.8937255,10.4
1643461162281,15347.8937285,10.4
1643461162281,15348.0401232,10.4
1643461162281,15348.0401863,10.4
1643461162281,15348.0401924,10.4
1643461162281,15348.0401951,10.4
1643461162281,15348.0402278,10.4
1643461162281,15348.0402315,10.4
1643461162314,15348.0402338,10.38
1643461162314,15348.0402358,10.38
1643461162314,15348.0402378,10.38
1643461162314,15348.0402398,10.38
1643461162314,15348.0402417,10.38
1643461162314,15348.0402437,10.38
1643461162314,15348.0402456,10.38
1643461162314,15348.0402474,10.38
1643461162314,15348.0402493,10.38
1643461162314,15348.2002002,10.38
1643461162349,15348.2006912,10.38
1643461162349,15348.2006972,10.38
1643461162547,15348.2007012,10.38
1643461162547,15348.2007051,10.38
1643461162547,15348.2007087,10.38
1643461162547,15348.2007124,10.38
1643461162547,15348.2007158,10.38
1643461162547,15348.2007194,10.38
1643461162547,15348.2007234,10.38
1643461162547,15348.2007272,10.38
1643461162547,15348.2007309,10.38
1643461162547,15348.2010665,10.38
1643461162571,15348.2010708,10.38
1643461162571,15348.2010733,10.38
1643461162571,15348.3429381,10.38
1643461162571,15348.3429515,10.38
1643461162571,15348.342965,10.38
1643461162571,15348.3429683,10.38
1643461162571,15348.342973,10.38
1643461162571,15348.3429753,10.38
1643461162571,15348.3429773,10.38
1643461162571,15348.3429805,10.38
1643461162592,15348.3429834,10.38
1643461162592,15348.3429863,10.38
1643461162592,15348.3429892,10.38
1643461162592,15348.3429911,10.38
1643461162592,15348.3429929,10.38
1643461162592,15348.3429949,10.38
1643461162592,15348.3429968,10.38
1643461162592,15348.4974141,10.35
1643461162592,15348.4976213,10.38
1643461162592,15348.4976271,10.35
1643461162639,15348.4976314,10.35
1643461162639,15348.4976348,10.35
1643461162883,15348.4976882,10.35
1643461162883,15348.4976966,10.35
1643461162883,15348.4976989,10.35
1643461162883,15348.4977013,10.35
1643461162883,15348.4977032,10.35
1643461162883,15348.4977051,10.35
1643461162883,15348.497707,10.35
1643461162883,15348.497709,10.35
1643461162883,15348.4977506,10.35
1643461162883,15348.4977555,10.35
1643461162906,15348.6560516,10.35
1643461162906,15348.6561082,10.35
1643461162906,15348.6561125,10.35
1643461162906,15348.656116,10.35
1643461162906,15348.6561184,10.35
1643461162906,15348.6561218,10.38
1643461162906,15348.656124,10.35
1643461162906,15348.6561519,10.38
1643461162906,15348.6561541,10.38
1643461162906,15348.6561561,10.38
1643461162930,15348.6561579,10.38
1643461162930,15348.6561599,10.38
1643461162930,15348.6561619,10.38
1643461162930,15348.6561637,10.38
1643461162930,15348.6561658,10.38
1643461162930,15348.8260411,10.38
1643461162930,15348.8261,10.38
1643461162930,15348.8265395,10.38
1643461162930,15348.8265453,10.38
1643461162930,15348.8265492,10.38
1643461162958,15348.8266274,10.38
1643461162958,15348.8266328,10.38
1643461163144,15348.826637,10.38
1643461163144,15348.8266964,10.38
1643461163144,15348.8267022,10.4
1643461163144,15348.826707,10.4
1643461163144,15348.8267105,10.4
1643461163144,15348.826714,10.38
1643461163144,15348.8267176,10.4
1643461163144,15348.8267718,10.38
1643461163144,15348.9443715,10.38
1643461163144,15348.9443809,10.38
1643461163172,15348.9443854,10.38
1643461163172,15348.9443891,10.38
1643461163172,15348.9443928,10.38
1643461163172,15348.9443967,10.38
1643461163172,15348.9444004,10.38
1643461163172,15348.944404,10.38
1643461163172,15348.9444077,10.38
1643461163172,15348.9444114,10.38
1643461163172,15348.9444149,10.38
1643461163172,15348.9444186,10.38
1643461163198,15348.9444223,10.38
1643461163198,15348.9444259,10.38
1643461163198,15348.9444296,10.35
1643461163198,15349.1062858,10.35
1643461163198,15349.1063557,10.35
1643461163198,15349.1063615,10.35
1643461163198,15349.1063645,10.35
1643461163198,15349.1063666,10.35
1643461163198,15349.1063698,10.35
1643461163198,15349.1063728,10.35
1643461163222,15349.1063753,10.35
1643461163222,15349.1063775,10.35
1643461163450,15349.1063804,10.33
1643461163450,15349.1063833,10.33
1643461163450,15349.1063865,10.33
1643461163450,15349.1063889,10.33
1643461163450,15349.1063911,10.33
1643461163450,15349.1063943,10.33
1643461163450,15349.2444466,10.33
1643461163450,15349.2444546,10.33
1643461163450,15349.2444569,10.33
1643461163450,15349.2444589,10.33
1643461163483,15349.244461,10.33
1643461163483,15349.2444629,10.33
1643461163483,15349.2444649,10.33
1643461163483,15349.2444669,10.33
1643461163483,15349.2444691,10.33
1643461163483,15349.2444711,10.33
1643461163483,15349.244473,10.33
1643461163483,15349.2444749,10.33
1643461163483,15349.2444769,10.33
1643461163483,15349.244479,10.33
1643461163515,15349.244481,10.33
1643461163515,15349.4051777,10.33
1643461163515,15349.4053192,10.33
1643461163515,15349.4053334,10.33
1643461163515,15349.4053378,10.33
1643461163515,15349.405426,10.33
1643461163515,15349.4055697,10.33
1643461163515,15349.4055726,10.33
1643461163515,15349.4055748,10.33
1643461163515,15349.4055768,10.33
1643461163549,15349.4055788,10.33
1643461163549,15349.405581,10.33
1643461163748,15349.405583,10.33
1643461163748,15349.4055852,10.33
1643461163748,15349.4055873,10.33
1643461163748,15349.4055892,10.33
1643461163748,15349.5591391,10.33
1643461163748,15349.5591471,10.33
1643461163748,15349.5591514,10.33
1643461163748,15349.5591553,10.33
1643461163748,15349.5593161,10.33
1643461163748,15349.5593207,10.33
1643461163783,15349.5593244,10.33
1643461163783,15349.5593997,10.33
1643461163783,15349.5594035,10.33
1643461163783,15349.5594057,10.33
1643461163783,15349.5594078,10.33
1643461163783,15349.5594097,10.33
1643461163783,15349.5594116,10.33
1643461163783,15349.5594136,10.33
1643461163783,15349.5594154,10.33
1643461163783,15349.7005352,10.33
1643461163817,15349.7005429,10.33
1643461163817,15349.700546,10.33
1643461163817,15349.7005489,10.33
1643461163817,15349.7008339,10.33
1643461163817,15349.7008395,10.33
1643461163817,15349.7008419,10.33
1643461163817,15349.700844,10.33
1643461163817,15349.7008493,10.33
1643461163817,15349.7008515,10.33
1643461163817,15349.7008537,10.33
1643461163850,15349.7008556,10.33
1643461163850,15349.7008691,10.33
1643461164076,15349.7008737,10.33
1643461164076,15349.7008756,10.33
1643461164076,15349.8737413,10.33
1643461164076,15349.87382,10.33
1643461164076,15349.8738248,10.33
1643461164076,15349.8738296,10.33
1643461164076,15349.8739396,10.33
1643461164076,15349.8739474,10.33
1643461164076,15349.8739501,10.33
1643461164076,15349.8739523,10.33
1643461164103,15349.8739544,10.33
1643461164103,15349.8739566,10.33
1643461164103,15349.8739586,10.33
1643461164103,15349.8739606,10.33
1643461164103,15349.8739626,10.33
1643461164103,15349.8739644,10.33
1643461164103,15349.8739664,10.33
1643461164103,15350.0274861,10.33
1643461164103,15350.0276799,10.33
1643461164103,15350.0276857,10.33
1643461164149,15350.0276896,10.33
1643461164149,15350.0277129,10.33
1643461164149,15350.0277169,10.33
1643461164149,15350.0277853,10.33
1643461164149,15350.0277877,10.33
1643461164149,15350.0277897,10.33
1643461164149,15350.0277917,10.33
1643461164149,15350.0277937,10.33
1643461164149,15350.0277956,10.33
1643461164149,15350.0277976,10.33
1643461164187,15350.0277995,10.33
1643461164187,15350.0278015,10.33
1643461164511,15350.1366276,10.33
1643461164511,15350.137336,10.33
1643461164511,15350.1375198,10.33
1643461164511,15350.1375254,10.33
1643461164511,15350.1375282,10.33
1643461164511,15350.1375305,10.33
1643461164511,15350.1375326,10.33
1643461164511,15350.1375351,10.33
1643461164511,15350.1375372,10.33
1643461164511,15350.1375392,10.33
1643461164539,15350.1375413,10.33
1643461164539,15350.1375432,10.33
1643461164539,15350.1375452,10.33
1643461164539,15350.1375472,10.33
1643461164539,15350.1375493,10.33
1643461164539,15350.3005164,10.33
1643461164539,15350.3005249,10.33
1643461164539,15350.3005273,10.33
1643461164539,15350.3005295,10.33
1643461164539,15350.3005318,10.33
1643461164564,15350.3005343,10.33
1643461164564,15350.3005365,10.3
1643461164564,15350.3005387,10.33
1643461164564,15350.3005408,10.33
1643461164564,15350.3005429,10.3
1643461164564,15350.3005452,10.33
1643461164564,15350.3005471,10.3
1643461164564,15350.3005493,10.3
1643461164564,15350.3005514,10.3
1643461164564,15350.3005533,10.3
1643461164601,15350.4605897,10.3
1643461164601,15350.460723,10.3
1643461164804,15350.4607279,10.3
1643461164804,15350.4607377,10.3
1643461164804,15350.4607572,10.3
1643461164804,15350.4609423,10.3
1643461164804,15350.4609758,10.3
1643461164804,15350.4610476,10.3
1643461164804,15350.4610571,10.3
1643461164804,15350.4610599,10.33
1643461164804,15350.4610725,10.33
1643461164804,15350.4611568,10.3
1643461164830,15350.4611616,10.3
1643461164830,15350.4611639,10.33
1643461164830,15350.461166,10.3
1643461164830,15350.5887936,10.3
1643461164830,15350.5892334,10.3
1643461164830,15350.5892378,10.3
1643461164830,15350.5892401,10.3
1643461164830,15350.5892423,10.3
1643461164830,15350.5892443,10.3
1643461164830,15350.5892464,10.3
1643461164856,15350.5892485,10.3
1643461164856,15350.5892506,10.3
1643461164856,15350.5892788,10.3
1643461164856,15350.5893876,10.3
1643461164856,15350.5893902,10.3
1643461164856,15350.5893924,10.3
1643461164856,15350.5893944,10.3
1643461164856,15350.5893963,10.3
1643461164856,15350.75471,10.3
1643461164856,15350.75488,10.3
1643461164880,15350.7548853,10.3
1643461164880,15350.7548884,10.3
1643461165119,15350.7549738,10.3
1643461165119,15350.7549765,10.3
1643461165119,15350.7549784,10.3
1643461165119,15350.7549804,10.3
1643461165119,15350.7549823,10.3
1643461165119,15350.7549842,10.28
1643461165119,15350.7549861,10.28
1643461165119,15350.754988,10.3
1643461165119,15350.7549898,10.28
1643461165119,15350.7549917,10.28
1643461165144,15350.7549936,10.28
1643461165144,15350.8912019,10.28
1643461165144,15350.8912097,10.28
1643461165144,15350.891213,10.28
1643461165144,15350.8914661,10.28
1643461165144,15350.8914892,10.28
1643461165144,15350.8914945,10.28
1643461165144,15350.8914986,10.28
1643461165144,15350.8915025,10.28
1643461165144,15350.8915063,10.28
1643461165172,15350.89151,10.28
1643461165172,15350.8915139,10.28
1643461165172,15350.8915176,10.28
1643461165172,15350.8915218,10.28
1643461165172,15350.8915256,10.28
1643461165172,15350.8915293,10.28
1643461165172,15351.0412941,10.28
1643461165172,15351.0413779,10.28
1643461165172,15351.0413866,10.28
1643461165172,15351.0414114,10.28
1643461165205,15351.0414485,10.28
1643461165205,15351.0414523,10.28
1643461165406,15351.0414546,10.3
1643461165406,15351.0414568,10.3
1643461165406,15351.0414588,10.3
1643461165406,15351.0414608,10.3
1643461165406,15351.041463,10.3
1643461165406,15351.0414651,10.3
1643461165406,15351.0414671,10.33
1643461165406,15351.0414693,10.33
1643461165406,15351.0414713,10.3
1643461165406,15351.1955498,10.33
1643461165442,15351.1955568,10.33
1643461165442,15351.1955591,10.33
1643461165442,15351.195561,10.33
1643461165442,15351.1955631,10.33
1643461165442,15351.1955652,10.33
1643461165442,15351.1955672,10.33
1643461165442,15351.1955691,10.33
1643461165442,15351.195571,10.35
1643461165442,15351.1955729,10.35
1643461165442,15351.1955748,10.35
1643461165472,15351.1955783,10.35
1643461165472,15351.1955806,10.35
1643461165472,15351.1955825,10.35
1643461165472,15351.1955854,10.35
1643461165472,15351.3657596,10.35
1643461165472,15351.3657668,10.38
1643461165472,15351.3657694,10.38
1643461165472,15351.3657715,10.38
1643461165472,15351.3657735,10.38
1643461165472,15351.3657756,10.38
1643461165505,15351.3657775,10.38
1643461165505,15351.3657795,10.38
1643461165706,15351.3657823,10.35
1643461165706,15351.3659733,10.35
1643461165706,15351.3660035,10.35
1643461165706,15351.3660078,10.35
1643461165706,15351.3660097,10.35
1643461165706,15351.3660117,10.35
1643461165706,15351.3660139,10.35
1643461165706,15351.5077517,10.35
1643461165706,15351.5078837,10.33
1643461165706,15351.5078896,10.33
1643461165740,15351.5078939,10.35
1643461165740,15351.5078978,10.35
1643461165740,15351.5079015,10.35
1643461165740,15351.507905,10.35
1643461165740,15351.5080879,10.35
1643461165740,15351.5080919,10.35
1643461165740,15351.5080941,10.35
1643461165740,15351.5080961,10.38
1643461165740,15351.5080981,10.38
1643461165740,15351.5081001,10.38
1643461165771,15351.508102,10.38
1643461165771,15351.5081043,10.38
1643461165771,15351.6621529,10.38
1643461165771,15351.6623191,10.38
1643461165771,15351.6623239,10.38
1643461165771,15351.6623264,10.35
1643461165771,15351.6623288,10.35
1643461165771,15351.6623315,10.35
1643461165771,15351.6623337,10.35
1643461165771,15351.662336,10.35
1643461165794,15351.6623386,10.35
1643461165794,15351.6623409,10.35
1643461166014,15351.6623432,10.35
1643461166014,15351.6623454,10.35
1643461166014,15351.6623476,10.35
1643461166014,15351.6623499,10.35
1643461166014,15351.6623519,10.35
1643461166014,15351.7930087,10.35
1643461166014,15351.793017,10.35
1643461166014,15351.7930214,10.35
1643461166014,15351.7930238,10.35
1643461166014,15351.7930275,10.35
1643461166042,15351.7930311,10.35
1643461166042,15351.7930333,10.35
1643461166042,15351.7930366,10.35
1643461166042,15351.7930399,10.35
1643461166042,15351.7930473,10.35
1643461166042,15351.7930512,10.38
1643461166042,15351.7930534,10.35
1643461166042,15351.7930554,10.35
1643461166042,15351.7930587,10.35
1643461166042,15351.7930626,10.35
1643461166070,15351.9556281,10.35
1643461166070,15351.9578468,10.35
1643461166070,15351.9578799,10.35
1643461166070,15351.9578831,10.35
1643461166070,15351.9578854,10.35
1643461166070,15351.9578878,10.35
1643461166070,15351.95789,10.35
1643461166070,15351.9578922,10.35
1643461166070,15351.9578943,10.35
1643461166070,15351.9578966,10.35
1643461166108,15351.9578989,10.35
1643461166108,15351.9579011,10.35
1643461166308,15351.9579033,10.35
1643461166308,15351.9579054,10.33
1643461166308,15351.9579076,10.33
1643461166308,15352.0943793,10.35
1643461166308,15352.0954664,10.33
1643461166308,15352.0954749,10.35
1643461166308,15352.0954792,10.33
1643461166308,15352.0954825,10.35
1643461166308,15352.0954853,10.35
1643461166308,15352.0954891,10.35
1643461166332,15352.0954922,10.35
1643461166332,15352.0954955,10.35
1643461166332,15352.0954994,10.35
1643461166332,15352.0955031,10.35
1643461166332,15352.095507,10.35
1643461166332,15352.0955108,10.35
1643461166332,15352.0955142,10.35
1643461166332,15352.0955189,10.35
1643461166332,15352.2505013,10.35
1643461166332,15352.2505676,10.35
1643461166354,15352.2505742,10.35
1643461166354,15352.2505772,10.35
1643461166354,15352.2505813,10.35
1643461166354,15352.2505838,10.35
1643461166354,15352.2505874,10.35
1643461166354,15352.2505898,10.35
1643461166354,15352.2506341,10.35
1643461166354,15352.2506407,10.35
1643461166354,15352.2506452,10.35
1643461166354,15352.2506478,10.35
1643461166378,15352.2506517,10.35
1643461166378,15352.2506543,10.38
1643461166749,15352.2506565,10.38
1643461166749,15352.4015789,10.38
1643461166749,15352.4015899,10.38
1643461166749,15352.4015934,10.38
1643461166749,15352.4016797,10.38
1643461166749,15352.4017129,10.38
1643461166749,15352.4017158,10.38
1643461166749,15352.4017182,10.38
1643461166749,15352.4017203,10.4
1643461166749,15352.4017224,10.4
1643461166789,15352.4017244,10.4
1643461166789,15352.4017264,10.4
1643461166789,15352.4017284,10.4
1643461166789,15352.4017305,10.4
1643461166789,15352.4017328,10.4
1643461166789,15352.4017349,10.4
1643461166789,15352.5664893,10.4
1643461166789,15352.5664971,10.4
1643461166789,15352.5665002,10.4
1643461166789,15352.5665045,10.4
1643461166815,15352.5665078,10.4
1643461166815,15352.5665785,10.4
1643461166815,15352.5665845,10.42
1643461166815,15352.5665882,10.42
1643461166815,15352.5665919,10.42
1643461166815,15352.5665955,10.42
1643461166815,15352.5665991,10.42
1643461166815,15352.5666024,10.42
1643461166815,15352.5666055,10.42
1643461166815,15352.5666092,10.42
1643461166847,15352.5666225,10.42
1643461166847,15352.7123127,10.42
1643461167047,15352.7123327,10.42
1643461167047,15352.7123375,10.42
1643461167047,15352.7123398,10.42
1643461167047,15352.7127481,10.42
1643461167047,15352.712752,10.42
1643461167047,15352.7128521,10.42
1643461167047,15352.7128575,10.4
1643461167047,15352.7128612,10.4
1643461167047,15352.7128648,10.4
1643461167047,15352.7128682,10.4
1643461167081,15352.7128715,10.4
1643461167081,15352.7128746,10.4
1643461167081,15352.712878,10.4
1643461167081,15352.7128931,10.4
1643461167081,15352.8444,10.4
1643461167081,15352.8445802,10.4
1643461167081,15352.8445858,10.4
1643461167081,15352.8445891,10.4
1643461167081,15352.8447263,10.4
1643461167081,15352.8447621,10.4
1643461167114,15352.8447699,10.4
1643461167114,15352.8447726,10.4
1643461167114,15352.8447749,10.4
1643461167114,15352.8447771,10.4
1643461167114,15352.8447791,10.4
1643461167114,15352.8447811,10.4
1643461167114,15352.8447831,10.4
1643461167114,15352.8447854,10.4
1643461167114,15352.8447874,10.4
1643461167114,15353.0074962,10.4
1643461167147,15353.0076384,10.4
1643461167147,15353.0076438,10.4
1643461167352,15353.0079193,10.4
1643461167352,15353.0079231,10.4
1643461167352,15353.0079253,10.4
1643461167352,15353.0079275,10.4
1643461167352,15353.0079294,10.4
1643461167352,15353.0079316,10.4
1643461167352,15353.0079339,10.4
1643461167352,15353.0079363,10.4
1643461167352,15353.0079382,10.4
1643461167352,15353.0079403,10.4
1643461167377,15353.0079422,10.4
1643461167377,15353.007944,10.42
1643461167377,15353.1467274,10.42
1643461167377,15353.1467598,10.4
1643461167377,15353.1467649,10.42
1643461167377,15353.1467674,10.42
1643461167377,15353.1467711,10.4
1643461167377,15353.1467742,10.4
1643461167377,15353.1467775,10.4
1643461167377,15353.1467796,10.42
1643461167401,15353.1472015,10.4
1643461167401,15353.1472051,10.4
1643461167401,15353.1472083,10.4
1643461167401,15353.1472117,10.4
1643461167401,15353.1472842,10.4
1643461167401,15353.1472895,10.4
1643461167401,15353.1472935,10.4
1643461167401,15353.3082475,10.4
1643461167401,15353.3083339,10.4
1643461167401,15353.3083382,10.4
1643461167433,15353.3083406,10.38
1643461167433,15353.3083425,10.38
1643461167649,15353.3083444,10.38
1643461167649,15353.3083464,10.38
1643461167649,15353.3083483,10.38
1643461167649,15353.3083502,10.38
1643461167649,15353.3083521,10.38
1643461167649,15353.308354,10.38
1643461167649,15353.3083559,10.38
1643461167649,15353.3083578,10.38
1643461167649,15353.3083598,10.38
1643461167649,15353.3083617,10.38
1643461167674,15353.447367,10.38
1643461167674,15353.4475346,10.38
1643461167674,15353.4475407,10.38
1643461167674,15353.447545,10.38
1643461167674,15353.4475475,10.38
1643461167674,15353.447551,10.38
1643461167674,15353.4475549,10.38
1643461167674,15353.4475586,10.38
1643461167674,15353.4475621,10.38
1643461167674,15353.4475655,10.38
1643461167698,15353.4475695,10.38
1643461167698,15353.4475718,10.35
1643461167698,15353.4475752,10.35
1643461167698,15353.4475774,10.35
1643461167698,15353.447581,10.35
1643461167698,15353.6140319,10.35
1643461167698,15353.6141298,10.35
1643461167698,15353.6148333,10.35
1643461167698,15353.6148641,10.35
1643461167698,15353.6148688,10.35
1643461167728,15353.6148731,10.35
1643461167728,15353.6148769,10.38
1643461167948,15353.6148806,10.35
1643461167948,15353.6148844,10.35
1643461167948,15353.6148883,10.38
1643461167948,15353.6148924,10.38
1643461167948,15353.6148947,10.38
1643461167948,15353.6148985,10.38
1643461167948,15353.6149008,10.38
1643461167948,15353.6149029,10.38
1643461167948,15353.7393249,10.38
1643461167948,15353.7394175,10.38
1643461167980,15353.7394246,10.38
1643461167980,15353.7394298,10.38
1643461167980,15353.7394338,10.38
1643461167980,15353.7394384,10.38
1643461167980,15353.7394433,10.38
1643461167980,15353.7394481,10.38
1643461167980,15353.7394531,10.38
1643461167980,15353.739458,10.38
1643461167980,15353.7394623,10.38
1643461167980,15353.7394674,10.38
1643461168014,15353.7394714,10.38
1643461168014,15353.739476,10.35
1643461168014,15353.7394801,10.38
1643461168014,15353.9119606,10.38
1643461168014,15353.9124452,10.38
1643461168014,15353.9124499,10.38
1643461168014,15353.9124647,10.38
1643461168014,15353.912504,10.38
1643461168014,15353.9125077,10.35
1643461168014,15353.9125099,10.35
1643461168048,15353.9125119,10.35
1643461168048,15353.9125138,10.35
1643461168251,15353.9125158,10.35
1643461168251,15353.9125178,10.35
1643461168251,15353.9125197,10.35
1643461168251,15353.9125217,10.35
1643461168251,15353.9125238,10.35
1643461168251,15353.9125257,10.35
1643461168251,15354.0387421,10.35
1643461168251,15354.0388764,10.35
1643461168251,15354.0389633,10.35
1643461168251,15354.0389686,10.35
1643461168285,15354.0389712,10.35
1643461168285,15354.0389734,10.35
1643461168285,15354.0389756,10.33
1643461168285,15354.0389777,10.33
1643461168285,15354.0389802,10.33
1643461168285,15354.0389823,10.33
1643461168285,15354.0389845,10.33
1643461168285,15354.0389868,10.33
1643461168285,15354.0389895,10.33
1643461168285,15354.0389916,10.33
1643461168315,15354.0389937,10.33
1643461168315,15354.2085957,10.33
1643461168315,15354.2087003,10.33
1643461168315,15354.208704,10.33
1643461168315,15354.2087068,10.33
1643461168315,15354.208709,10.33
1643461168315,15354.208711,10.33
1643461168315,15354.2087132,10.33
1643461168315,15354.2087152,10.33
1643461168315,15354.2087172,10.33
1643461168347,15354.2087191,10.33
1643461168347,15354.2087212,10.33
1643461168607,15354.2087236,10.33
1643461168607,15354.2087257,10.33
1643461168607,15354.2087277,10.33
1643461168607,15354.2087298,10.33
1643461168607,15354.3666188,10.33
1643461168607,15354.3667016,10.33
1643461168607,15354.3667267,10.33
1643461168607,15354.3667373,10.33
1643461168607,15354.3667617,10.33
1643461168607,15354.3668387,10.33
1643461168633,15354.3668451,10.33
1643461168633,15354.3668493,10.33
1643461168633,15354.366853,10.33
1643461168633,15354.3668573,10.33
1643461168633,15354.3668617,10.33
1643461168633,15354.3668656,10.33
1643461168633,15354.3668695,10.33
1643461168633,15354.3668733,10.33
1643461168633,15354.3668772,10.33
1643461168633,15354.5545046,10.33
1643461168659,15354.554991,10.33
