pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643461161534,BeamEnd_Target,-4.541347,-0.0794595,0.01346906,271.0609,159.6634,17.31222,
0,1643461161659,BeamEnd_Target,-4.541273,-0.07979152,0.01349589,271.0417,159.9609,17.03392,
0,1643461161785,BeamEnd_Target,-4.541392,-0.07974976,0.01352137,271.0531,160.6062,16.37914,
0,1643461161916,BeamEnd_Target,-4.541334,-0.07947104,0.01352216,271.0481,160.0697,16.93612,
0,1643461162016,BeamEnd_Target,-4.541415,-0.07950424,0.01350766,271.0605,160.5224,16.46723,
0,1643461162149,BeamEnd_Target,-4.541294,-0.07932059,0.01329274,271.0846,159.6456,17.35208,
0,1643461162281,BeamEnd_Target,-4.541293,-0.07966901,0.01351284,271.075,159.6214,17.37929,
0,1643461162382,BeamEnd_Target,-4.541214,-0.07965895,0.01353776,271.0692,159.544,17.44321,
0,1643461162516,BeamEnd_Target,-4.54133,-0.07933235,0.01339319,271.0732,160.0614,16.92547,
0,1643461162639,BeamEnd_Target,-4.541285,-0.07967569,0.01391351,271.0672,159.0084,17.98617,
0,1643461162756,BeamEnd_Target,-4.541467,-0.07944844,0.0133464,271.0846,159.8306,17.15352,
0,1643461162858,BeamEnd_Target,-4.541221,-0.07963998,0.01336616,271.0732,159.5013,17.4971,
0,1643461162984,BeamEnd_Target,-4.541406,-0.07934854,0.01332393,271.0737,159.424,17.56874,
0,1643461163091,BeamEnd_Target,-4.541241,-0.07968192,0.01353956,271.0705,159.302,17.69104,
0,1643461163198,BeamEnd_Target,-4.541363,-0.07925396,0.01350407,271.077,159.8264,17.16853,
0,1643461163315,BeamEnd_Target,-4.541321,-0.07957583,0.01335684,271.0783,159.4241,17.57049,
0,1643461163417,BeamEnd_Target,-4.541292,-0.07957312,0.01353263,271.0759,158.6765,18.31774,
0,1643461163549,BeamEnd_Target,-4.541251,-0.07958731,0.01351658,271.0661,159.1022,17.88686,
0,1643461163682,BeamEnd_Target,-4.54131,-0.07978003,0.01358196,271.0815,159.4535,17.54275,
0,1643461163783,BeamEnd_Target,-4.541345,-0.07966263,0.01369932,271.0772,159.6129,17.38307,
0,1643461163883,BeamEnd_Target,-4.541425,-0.07962905,0.01352069,271.0828,159.7666,17.22034,
0,1643461164017,BeamEnd_Target,-4.541466,-0.07941785,0.01339205,271.0706,161.0172,15.96611,
0,1643461164149,BeamEnd_Target,-4.54127,-0.07979098,0.01363387,271.09,159.8558,17.13396,
0,1643461164262,BeamEnd_Target,-4.541346,-0.0797418,0.01342865,271.0862,159.5804,17.41459,
0,1643461164376,BeamEnd_Target,-4.541285,-0.07950661,0.01342663,271.0898,159.4506,17.54878,
0,1643461164483,BeamEnd_Target,-4.54139,-0.07952687,0.01358911,271.0803,158.7511,18.25512,
0,1643461164601,BeamEnd_Target,-4.541115,-0.07947228,0.01333153,271.0752,158.6628,18.34238,
0,1643461164715,BeamEnd_Target,-4.541314,-0.07960192,0.01363567,271.0748,158.1222,18.89717,
0,1643461164830,BeamEnd_Target,-4.541235,-0.07969057,0.01347838,271.0598,160.0404,16.97416,
0,1643461164941,BeamEnd_Target,-4.541154,-0.07954822,0.0135802,271.0685,158.932,18.07214,
0,1643461165072,BeamEnd_Target,-4.54126,-0.07957684,0.01353557,271.0792,159.1241,17.88636,
