pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643461161534,Pelvis_Target,1.616886,0.7990069,0.03857576,356.6537,179.2589,347.7072,
0,1643461161659,Pelvis_Target,1.617408,0.79951,0.03852767,356.703,179.5717,347.9772,
0,1643461161785,Pelvis_Target,1.617949,0.798494,0.03543225,356.7122,179.5046,348.14,
0,1643461161916,Pelvis_Target,1.61868,0.798676,0.03286959,356.8261,179.7957,348.321,
0,1643461162016,Pelvis_Target,1.618667,0.7988415,0.03062601,356.8468,180.0583,348.5008,
0,1643461162149,Pelvis_Target,1.618188,0.7992202,0.02832001,357.0754,180.7386,348.885,
0,1643461162281,Pelvis_Target,1.616877,0.7991841,0.02707713,357.1942,181.7669,349.1763,
0,1643461162382,Pelvis_Target,1.615648,0.7987784,0.02695429,357.1885,182.5801,348.9266,
0,1643461162516,Pelvis_Target,1.6145,0.7989366,0.02735704,357.1306,183.0156,348.7907,
0,1643461162639,Pelvis_Target,1.614586,0.7989486,0.02820676,356.9769,183.0866,348.5284,
0,1643461162756,Pelvis_Target,1.614946,0.7989583,0.02959432,356.9512,182.8527,348.3696,
0,1643461162858,Pelvis_Target,1.615582,0.7990421,0.03099748,356.9249,182.4108,348.4066,
0,1643461162984,Pelvis_Target,1.616267,0.7992032,0.0324169,356.7796,181.6254,348.4877,
0,1643461163091,Pelvis_Target,1.617171,0.7992917,0.03365933,356.6548,181.1057,348.5389,
0,1643461163198,Pelvis_Target,1.618736,0.7994748,0.0348484,356.6715,180.3476,348.4586,
0,1643461163315,Pelvis_Target,1.619992,0.7998677,0.03560166,356.7362,179.8221,348.4896,
0,1643461163417,Pelvis_Target,1.621153,0.8001001,0.03517042,356.7462,179.711,348.5238,
0,1643461163549,Pelvis_Target,1.621759,0.8000267,0.03376468,356.8177,180.0648,348.5292,
0,1643461163682,Pelvis_Target,1.62092,0.7999817,0.031834,356.9751,180.2159,348.7411,
0,1643461163783,Pelvis_Target,1.620812,0.8000168,0.02985749,357.0923,180.2708,348.6773,
0,1643461163883,Pelvis_Target,1.619869,0.7997712,0.02632,357.1989,179.9538,348.71,
0,1643461164017,Pelvis_Target,1.61794,0.7996869,0.01898255,357.2354,178.7881,348.8088,
0,1643461164149,Pelvis_Target,1.615604,0.7992547,0.008480661,357.3172,177.4419,349.1776,
0,1643461164262,Pelvis_Target,1.614268,0.7988688,-0.002422564,357.3969,176.6663,349.4611,
0,1643461164376,Pelvis_Target,1.616151,0.7972112,-0.01448298,357.3832,176.6795,349.1232,
0,1643461164483,Pelvis_Target,1.620033,0.7958369,-0.0263423,356.5752,177.0351,349.4518,
0,1643461164601,Pelvis_Target,1.619692,0.7960845,-0.02983981,357.0445,177.0942,350.427,
0,1643461164715,Pelvis_Target,1.620526,0.7959682,-0.02813643,357.618,176.9557,349.9694,
0,1643461164830,Pelvis_Target,1.62599,0.7975101,-0.02372024,358.0194,178.2925,349.4192,
0,1643461164941,Pelvis_Target,1.630109,0.7969365,-0.01891844,358.1992,179.516,349.0018,
0,1643461165072,Pelvis_Target,1.634132,0.79709,-0.008155942,358.0215,180.8565,348.595,
0,1643461165205,Pelvis_Target,1.633066,0.8004896,0.004283465,358.4364,181.1902,348.7769,
0,1643461165305,Pelvis_Target,1.628277,0.7998083,0.01107565,358.0003,181.6438,349.5986,
0,1643461165442,Pelvis_Target,1.628033,0.7987819,0.01713679,357.5798,183.8663,348.4126,
0,1643461165572,Pelvis_Target,1.621897,0.7984119,0.02297415,357.5078,183.6623,349.0414,
0,1643461165672,Pelvis_Target,1.61756,0.7993924,0.02578284,357.3371,183.8429,348.887,
0,1643461165795,Pelvis_Target,1.613188,0.7984085,0.02950721,357.1682,183.8168,348.1315,
0,1643461165899,Pelvis_Target,1.609956,0.7979983,0.03182214,357.0181,183.7799,348.1208,
0,1643461166014,Pelvis_Target,1.607133,0.7982835,0.03378595,356.836,183.8244,348.1759,
0,1643461166135,Pelvis_Target,1.606556,0.7973864,0.03660502,356.7431,183.884,347.8566,
0,1643461166245,Pelvis_Target,1.606812,0.7970201,0.03911963,356.7025,183.67,347.7859,
0,1643461166354,Pelvis_Target,1.608216,0.7961129,0.04073225,356.6562,183.6655,348.041,
0,1643461166482,Pelvis_Target,1.612557,0.7963275,0.04208211,356.5988,184.0033,347.7886,
0,1643461166616,Pelvis_Target,1.621526,0.7977072,0.04278661,356.3262,184.0871,346.4106,
0,1643461166749,Pelvis_Target,1.625938,0.7982705,0.04181831,356.0924,183.758,345.0735,
0,1643461166880,Pelvis_Target,1.628682,0.7987778,0.04145818,356.0833,183.7765,344.4099,
0,1643461166981,Pelvis_Target,1.628307,0.7995185,0.04008776,356.0801,184.0449,344.2407,
0,1643461167081,Pelvis_Target,1.62775,0.7997676,0.03789306,356.1033,184.4625,344.0246,
