unixTime,lslTime,ECG
1643464358531,18543.8161042,-18
1643464358531,18543.8161071,-4
1643464358531,18543.81611,11
1643464358531,18543.8161128,35
1643464358531,18543.8161156,54
1643464358531,18543.8161184,75
1643464358531,18543.8161212,101
1643464358531,18543.816124,117
1643464358531,18543.8161268,122
1643464358531,18543.8161296,115
1643464358557,18543.8161324,108
1643464358557,18543.8161353,120
1643464358557,18543.8161381,129
1643464358557,18543.8161409,115
1643464358557,18543.8161437,98
1643464358557,18543.8161474,75
1643464358557,18543.8161501,40
1643464358557,18543.8161529,0
1643464358557,18543.8161564,-42
1643464358557,18543.8161591,-77
1643464358580,18543.8161619,-103
1643464358580,18543.8161647,-120
1643464358580,18543.8161675,-134
1643464358580,18543.8162409,-141
1643464358580,18543.8162486,-131
1643464358580,18543.8162516,-122
1643464358580,18543.8162544,-127
1643464358580,18543.8162573,-120
1643464358580,18543.81626,-103
1643464358580,18543.8162628,-103
1643464358603,18543.8162656,-106
1643464358603,18543.8162684,-98
1643464358603,18543.8162711,-96
1643464358603,18543.8162739,-94
1643464358603,18543.8162766,-84
1643464358603,18543.8162794,-68
1643464358603,18543.8162822,-58
1643464358603,18543.816285,-58
1643464358603,18543.8162877,-56
1643464358603,18543.8162905,-56
1643464358638,18543.8162933,-51
1643464358638,18543.8162961,-37
1643464358638,18543.8162989,-30
1643464358638,18543.8163016,-30
1643464358638,18543.8163043,-30
1643464358638,18543.8163071,-23
1643464358638,18543.8163098,-25
1643464358638,18543.8163126,-35
1643464358638,18543.8163153,-42
1643464358638,18543.8163181,-32
1643464358666,18543.8163208,-28
1643464358666,18543.8163239,-42
1643464358666,18543.8163267,-51
1643464358666,18543.8163295,-40
1643464358666,18543.8163323,-32
1643464358666,18543.8163351,-49
1643464358666,18543.8163379,-54
1643464358666,18543.8163407,-44
1643464358666,18544.4706477,-49
1643464358666,18544.470661,-54
1643464358704,18544.4706647,-42
1643464358704,18544.4706699,-37
1643464358704,18544.470673,-51
1643464358704,18544.4706777,-75
1643464358704,18544.4706808,-77
1643464358704,18544.4706857,-70
1643464358704,18544.4706888,-70
1643464358704,18544.4706941,-73
1643464358704,18544.4706972,-80
1643464358704,18544.470702,-63
1643464358733,18544.4707051,-25
1643464358733,18544.4707099,-14
1643464358733,18544.470713,-37
1643464358733,18544.4707178,-51
1643464358933,18544.4707209,-40
1643464358933,18544.4707243,-40
1643464358933,18544.4707274,-35
1643464358933,18544.4707303,-18
1643464358933,18544.4707332,-14
1643464358933,18544.4707361,-23
1643464358933,18544.470739,-23
1643464358933,18544.4707419,-16
1643464358933,18544.4707448,-18
1643464358933,18544.4707999,-4
1643464358966,18544.4708111,131
1643464358966,18544.4708156,556
1643464358966,18544.4708194,1187
1643464358966,18544.4708227,1592
1643464358966,18544.4708256,1236
1643464358966,18544.4708285,315
1643464358966,18544.4708315,-148
1643464358966,18544.4708345,-9
1643464358966,18544.4708374,7
1643464358966,18544.4708402,-110
1643464358998,18544.4708431,-89
1643464358998,18544.470846,-56
1643464358998,18544.4708493,-80
1643464358998,18544.4708522,-63
1643464358998,18544.470855,-30
1643464358998,18544.4708579,-28
1643464358998,18544.4708608,-23
1643464358998,18544.4708636,-2
1643464358998,18544.4708665,14
1643464358998,18544.4708694,35
1643464359032,18544.4708724,56
1643464359032,18544.4708753,82
1643464359032,18544.4708782,103
1643464359032,18544.4708811,122
1643464359032,18544.4708839,143
1643464359032,18544.4708867,171
1643464359032,18544.4708898,193
1643464359032,18544.4708927,204
1643464359032,18544.4708955,207
1643464359032,18544.4708984,200
1643464359065,18544.4709013,193
1643464359065,18544.4709042,176
1643464359065,18544.470907,136
1643464359065,18544.4709099,77
1643464359065,18544.4709129,23
1643464359065,18544.4709158,-21
1643464359065,18544.4709186,-63
1643464359065,18544.4709215,-87
1643464359065,18544.4709245,-96
1643464359065,18544.4709273,-101
1643464359099,18544.4709302,-103
1643464359099,18544.470933,-96
1643464359099,18544.4709358,-91
1643464359099,18544.4709387,-91
1643464359099,18544.4709416,-91
1643464359099,18544.4709445,-91
1643464359099,18544.4709473,-89
1643464359099,18544.8699731,-80
1643464359099,18544.8699854,-75
1643464359099,18544.869989,-75
1643464359133,18544.8699921,-68
1643464359133,18544.8699951,-58
1643464359133,18544.8699997,-54
1643464359133,18544.8700028,-47
1643464359133,18544.8700059,-40
1643464359133,18544.8700089,-42
1643464359133,18544.870012,-44
1643464359133,18544.8700156,-42
1643464359133,18544.8700187,-35
1643464359133,18544.8700242,-35
1643464359166,18544.8700272,-37
1643464359166,18544.8700323,-42
1643464359166,18544.8700352,-42
1643464359166,18544.8700383,-37
1643464359535,18544.8700444,-35
1643464359535,18544.8700476,-37
1643464359535,18544.8700505,-37
1643464359535,18544.8700534,-40
1643464359535,18544.8700562,-42
1643464359535,18544.870059,-40
1643464359535,18544.8700619,-37
1643464359535,18544.8700648,-37
1643464359535,18544.8700677,-37
1643464359535,18544.8700706,-47
1643464359567,18544.8700734,-65
1643464359567,18544.8700762,-75
1643464359567,18544.8700791,-70
1643464359567,18544.8700819,-68
1643464359567,18544.8700848,-70
1643464359567,18544.8700877,-75
1643464359567,18544.8700905,-82
1643464359567,18544.8700933,-82
1643464359567,18544.8700961,-63
1643464359567,18544.870099,-49
1643464359600,18544.8701019,-47
1643464359600,18544.8701047,-30
1643464359600,18544.8701078,7
1643464359600,18544.8701108,14
1643464359600,18544.8701167,-14
1643464359600,18544.8701211,-21
1643464359600,18544.8701242,-4
1643464359600,18544.8701293,-4
1643464359600,18544.8701324,-9
1643464359600,18544.8701363,-7
1643464359634,18544.8701395,-7
1643464359634,18544.8701435,-2
1643464359634,18544.8701466,9
1643464359634,18544.8701518,9
1643464359634,18544.8701556,11
1643464359634,18544.8701586,2
1643464359634,18544.8701633,21
1643464359634,18544.8701664,310
1643464359634,18544.870172,982
1643464359634,18544.8701751,1726
1643464359667,18544.87018,1816
1643464359667,18544.8701831,848
1643464359667,18544.870188,-58
1643464359667,18544.8701912,-61
1643464359667,18544.870196,30
1643464359667,18544.8701992,-143
1643464359667,18544.8702048,-157
1643464359667,18544.8702078,-91
1643464359667,18544.870211,-124
1643464359667,18544.8702159,-134
1643464359701,18544.8702199,-94
1643464359701,18544.8702252,-82
1643464359701,18544.8702284,-75
1643464359701,18544.8702334,-56
1643464359701,18544.8702365,-42
1643464359701,18544.8702421,-30
1643464359701,18545.4650843,-14
1643464359701,18545.4650968,4
1643464359701,18545.4651017,28
1643464359701,18545.4651066,51
1643464359735,18545.4651098,73
1643464359735,18545.4651145,87
1643464359735,18545.4651182,87
1643464359735,18545.4651222,82
1643464359735,18545.4651262,98
1643464359735,18545.4651293,113
1643464359735,18545.4651342,110
1643464359735,18545.4651374,94
1643464359735,18545.465142,58
1643464359735,18545.465145,16
1643464359769,18545.4651489,-30
1643464359769,18545.465152,-75
1643464359769,18545.4651568,-110
1643464359769,18545.4651599,-136
1643464360134,18545.4651646,-153
1643464360134,18545.4651677,-157
1643464360134,18545.4651707,-155
1643464360134,18545.4651736,-148
1643464360134,18545.4651764,-141
1643464360134,18545.4651793,-134
1643464360134,18545.4651822,-129
1643464360134,18545.4651851,-124
1643464360134,18545.4651879,-120
1643464360134,18545.4651908,-113
1643464360167,18545.4651936,-106
1643464360167,18545.4651964,-96
1643464360167,18545.4651993,-87
1643464360167,18545.4652021,-87
1643464360167,18545.4652049,-84
1643464360167,18545.4652078,-80
1643464360167,18545.4652106,-80
1643464360167,18545.4652135,-80
1643464360167,18545.4652165,-77
1643464360167,18545.4652195,-73
1643464360201,18545.4652236,-70
1643464360201,18545.4652267,-70
1643464360201,18545.4652313,-70
1643464360201,18545.4652342,-65
1643464360201,18545.4652372,-58
1643464360201,18545.4652419,-61
1643464360201,18545.4652448,-68
1643464360201,18545.4652479,-70
1643464360201,18545.4652527,-65
1643464360201,18545.4652556,-61
1643464360235,18545.4652586,-56
1643464360235,18545.4652634,-51
1643464360235,18545.4652672,-44
1643464360235,18545.4652719,-49
1643464360235,18545.4652758,-49
1643464360235,18545.4652805,-44
1643464360235,18545.4652835,-35
1643464360235,18545.4652883,-37
1643464360235,18545.4652928,-47
1643464360235,18545.4652974,-51
1643464360268,18545.4653004,-44
1643464360268,18545.4653044,-40
1643464360268,18545.4653075,-40
1643464360268,18545.4653121,-37
1643464360268,18545.4653165,-32
1643464360268,18545.4653215,-28
1643464360268,18545.4653247,-28
1643464360268,18545.4653295,-25
1643464360268,18545.4653325,-21
1643464360268,18545.4653371,-14
1643464360301,18545.4653415,-11
1643464360301,18545.4653464,-11
1643464360301,18545.4653496,-9
1643464360301,18545.4653524,-4
1643464360301,18545.4653563,0
1643464360301,18546.0686147,2
1643464360301,18546.0686273,2
1643464360301,18546.0686316,-2
1643464360301,18546.0686366,-2
1643464360301,18546.0686398,-11
1643464360335,18546.0686446,-35
1643464360335,18546.0686477,-47
1643464360335,18546.0686517,-42
1643464360335,18546.0686548,-44
1643464360335,18546.0686595,-44
1643464360335,18546.0686626,-32
1643464360335,18546.0686673,-30
1643464360335,18546.0686717,-32
1643464360335,18546.0686763,-9
1643464360335,18546.0686794,28
1643464360367,18546.0686823,35
1643464360367,18546.0686863,7
